# 10本目② 目で見た記録（2026-09-20）。○=顔の識別なし・採用候補／△=条件付き（額装のみ・寄らない）／×=不採用
# 出どころ K=公共ヌリ（継承なし）／C=Commons（CC BY-SA 4.0・額装だけ）
出どころ	番号	判定	場面	理由・メモ
C	57	○	はしご車と「여름패션 액세서리 大展 1F」の垂れ幕・青いガラス	🔴日常の広告＝崩壊とのコントラスト
C	58	△	クレーンのブームと瓦礫の上に並ぶ人影	シルエットで場面が弱い
C	59	×	僧侶と消防幹部（テント）	#014と同じ理由
C	60	×	テント内の僧侶と消防・警察	近景に私人の顔
C	61	○	🔴三豊ガソリンスタンドの前庭に並ぶ物資と人（俯瞰）	原寸で確認＝給油機の番号札1〜8・「무연휘발유」「삼풍 주유소」。顔は小さく識別できない。⚠️何の配給かは原本に無い＝副題で断定しない
C	62	×	テント内の事務作業（警察・白衣）	欄に無い場面
C	63	×	担架を運ぶオレンジの隊員（近景）	覆われた搬送は遠景だけ＝近景は不可
C	64	○	道路に並ぶ消防車の列と軍用車両（遠景）	人物は小さい
C	65	○	「119구조대 ○○소방서」の2人が瓦礫を覗く（後ろ姿）	顔は見えない
C	66	×	外壁と割れたガラス・木の樽	何の絵か読み取れない
C	67	△	赤いクレーン（대성）と瓦礫・背景にマンション	#043・#032と重なる
C	68	○	🔴放水する消防士（手前）と背景の2棟の断面・ピンクの上部	主役級
C	69	○	瓦礫の上の多数の隊員（ピンクのスラブの下）	顔は小さい
C	70	○	🔴ピンクの梁でつながった2棟の断面と崩落した空洞	主役級。崩れた範囲が一目で分かる
C	71	○	🔴斜めに突き出した巨大な柱＋消防車＋大勢	c5の柱の引き。人物は小さい
C	72	×	緑に大きく変色した全景	色が大きく変色
C	73	○	ピンクの外壁パネルの上で放水する隊員1人	⚠️日付の焼き込み
C	74	○	クレーン2台と瓦礫の全景・煙	⚠️日付の焼き込み
C	75	○	泥道に並ぶ消防車	人物はほぼいない
C	76	○	🔴立ったままの太い柱2本（赤い「9」の書き込み）	c5の柱。人物は小さい
C	77	○	煙と傾いたスラブ・隊員1人	⚠️日付の焼き込み
C	78	○	崩れたスラブの断面（層が見える）と隊員2人	断面が分かる
C	79	△	放水する隊員と手前に立つ白ヘルメットの私服（カメラ）	近景の人物が私服で顔が見える
C	80	○	🔴赤い「9」の柱の寄り・煙・隊員	c5の柱
C	81	○	🔴折れた柱（鉄筋が上に突き出す）	c5の最良級。⚠️日付の焼き込み
C	82	○	放水する消防士2人（背中「영등포1-2」）	顔は見えない。⚠️日付の焼き込み
C	83	○	🔴倒れた巨大な柱（折れ口と鉄筋）と隊員数名	c5の最良級。⚠️日付の焼き込み
C	84	○	🔴鉄筋がむき出しのコンクリートの断面（寄り）と放水	c5の鉄筋の寄り。⚠️日付の焼き込み
C	86	○	🔴折れた柱（鉄筋が突き出す）と奥の救助隊・青いコンテナ	c5の柱
C	87	○	煙の中で放水する消防士	⚠️日付の焼き込み
C	88	△	煙の中の隊員1人と柱	ぼやけて弱い
C	90	○	横たわる柱と隊員たち・煙	c5の柱
C	91	○	赤い「9」の柱（左に大きく）と瓦礫の山	⚠️日付の焼き込み
C	92	○	放水する隊員2人・煙	⚠️日付の焼き込み
C	93	○	アーチ状に曲がった鉄骨と瓦礫・柱	⚠️日付の焼き込み
C	95	○	はしご車と「여름패션 액세서리 大展」の垂れ幕・SAMPOONGのガラス	#057と同系
C	96	×	夜・雨粒の中のクレーンと軍の隊列	暗く粒が乗る
C	97	○	🔴ピンクの建物の断面（鉄骨がむき出し）	主役級。⚠️日付の焼き込み
C	98	○	俯瞰の全景（ヘリ付き）	人物は極小
C	99	○	軍人とオレンジの隊員が手で掘る（近景）	全員が公的な任務の人。顔は見えにくい
C	100	○	はしご車と垂れ幕・手前に消防と警察	#057と同系
C	101	△	夜・クレーンが潰れた車を吊り上げる	暗く粒が乗る。手前に私人の後ろ姿
C	102	○	夜・クレーンとSAMPOONGの看板・警察の隊列	夜の作業。人物は小さい
C	108	×	白いシャツの男性たちが歩く（背に汚れ）	私人の近景
C	109	○	屈折はしご車と消防車列・背景にマンション	人物は小さい
C	110	×	瓦礫の中の作業・手前に指のぼけ	手前のぼけが大きく場面が読めない
C	111	△	🔴クレーンが吊り上げる長い柱／横たわる柱	原寸で確認＝手前は後頭部で顔は写らないが画面の左1/5を占める。柱の絵は良いが額装で切れない
C	113	×	緑に変色した崩落部	色が大きく変色
C	114	×	暗く緑に変色した群衆	色が大きく変色
C	116	○	道路を埋める群衆と警察の隊列・横断幕（俯瞰）	人物は小さく識別できない。⚠️何の集まりか原本に説明が無い＝出どころを確かめるまで台本で結び付けない（SLOTSには入れていない）
C	117	○	はしご車と垂れ幕（「大展 1F」）・消防士	#057と同系
C	119	○	瓦礫の上で休憩する隊員たち	隊員＝公的な任務の人。17日間の長さが出る
C	120	○	🔴俯瞰＝多数の救助隊・重機・瓦礫の山と「2L」の壁	規模が出る
C	122	○	🔴軍（迷彩服）がスコップで瓦礫を片付ける	軍＝公的な任務の人。動員の規模が分かる
C	123	×	夜・暗い中で何かを取り出す救助隊と警察	暗く場面が読めない（搬送の可能性）
C	124	△	瓦礫の中の隊員数名・手前下に後頭部	手前の頭が入る
C	125	○	削岩機で壁を壊すオレンジの隊員（建物内部）	道具が分かる良い絵
C	126	△	夜・クレーンのフックと隊員のシルエット	暗く読み取りにくい
C	127	×	担架を走って運ぶ（ブレ写真）	🔴原寸で確認＝覆われた人を運ぶ近景。ブレで識別はできないが「遠景だけ」の線を越える
C	128	○	軍人が大きな黄色い袋を扱う	軍＝公的な任務の人。⚠️袋の中身は原本に説明が無い＝副題で断定しない。⚠️日付の焼き込み
C	129	○	🔴崩れていない側のピンクの棟が丸ごと（道路から）	崩壊前の姿に最も近い。人物は小さい
C	130	○	ピンクの壁と崩れた断面・手前に整列するヘルメットの一団と柵	顔は小さい
C	131	×	黄色い袋のアップと地面	何の絵か読み取れない
C	132	×	真っ暗	暗すぎる
C	133	○	オレンジのベストの隊員たちが輪になって作業	顔は小さい
C	135	○	煙の中で放水する消防士	⚠️日付の焼き込み
C	137	○	大宇の油圧ショベル（SOLAR 280）が瓦礫を掻く	人物は小さい
C	138	○	🔴「三豊百貨店」の看板＋「Sign of the Blue」の大看板＋消防車	看板が最も読みやすい。主役級
C	139	△	はしご車と垂れ幕・手前に消防士の後ろ姿（大きい）	#057と重なり手前が大きい
C	140	○	瓦礫の上でオレンジの隊員が輪になって集まる	顔は小さい
C	141	△	建物内部の消防幹部3人（後ろ姿）	場面が読み取りにくい。⚠️日付の焼き込み
C	142	○	🔴崩れた2棟の断面と手前の警察官・クレーン（街路から）	主役級
C	143	○	軍人と消防隊員がバケツで瓦礫を手渡し	手作業の掘削が分かる
C	144	○	潰れた構造物の隙間に入り込むオレンジの隊員	狭所進入
C	146	×	担架の負傷者（血まみれの頭）と看護師	🔴血が明確に見える＝YouTubeの広告ガイドラインで制限
C	147	○	🔴ピンクの建物（Sign of the Blue）と119구조대の車両・警察の封鎖	主役級
C	148	○	🔴🔴救急車が道路一面に並ぶ（俯瞰・数十台）	ambulance_lineの最良。人物は極小
C	149	○	道路の封鎖（軍が立つ）とクレーン・奥に「三豊百貨店」の看板	人物は小さい
C	150	○	🔴🔴ピンクの壁に走る大きなひび割れ（人物なし）	c1/c6の前兆に効く。⚠️原本に説明が無い＝「崩壊当日のひび」と断定しない。「壁に走ったひび」まで
C	151	△	指揮テント（「구급부」「후송부」の手書き札と職員）	札は読めるが近景に職員の顔。場面の使い道は薄い
C	152	○	俯瞰の全景（ヘリ付き・SAMPOONGの看板）	人物は極小
C	153	×	テントの僧侶と消防幹部	#014と同じ理由
C	154	○	穴を覗く隊員（黄ヘル）と縞シャツの人	縞シャツは後ろ姿。⚠️日付の焼き込み
C	155	×	銀色のシートに包んだものを運ぶ救助隊（近景）	覆われた搬送は遠景だけ＝近景は不可
C	156	○	俯瞰の全景（ヘリ）＝「三豊百貨店」の看板＋崩れた棟	人物は極小
C	157	○	🔴道路に並ぶ消防車の列と軍（遠景）	人物は小さい
C	159	○	🔴夜・「로젠탈 특별전 5F 특설매장」の垂れ幕とクレーン・投光器	c2「各階に何があったか」に効く。暗いが札は読める
C	160	○	🔴「SAMPOONG」のロゴと青いガラス面（崩れていない側）	主役級
C	161	○	クレーン2台と瓦礫・手前に作業員の後ろ姿	顔は見えない
C	162	○	🔴クレーン数台とピンクの建物の断面（青空）	主役級
C	163	○	オレンジの隊員が黄色い大袋を運ぶ	⚠️袋の中身は原本に説明が無い＝副題で断定しない
C	164	△	建物内部（地下か）の消防隊員たち	暗く場所が読み取りにくい
C	165	○	瓦礫の上の隊員たち（デパートの椅子が見える）	顔は小さい。⚠️日付の焼き込み
C	166	○	瓦礫の上の隊員たち	#165と同系
C	167	○	クレーンの網カゴで瓦礫を運ぶ・ピンクの建物とグレーの断面	人物は小さい
C	168	×	煙と瓦礫・手前に人の肩のぼけ	手前のぼけが大きい
C	170	○	🔴SAMSUNGのクレーンとピンクの2棟の断面・消防車（青空）	主役級
C	171	○	放水する隊員（黒い防火服）と煙・背景に柱	⚠️日付の焼き込み
C	172	○	煙の中の折れた柱（鉄筋が飛び出す）と鉄骨	c5の柱
C	174	○	煙と瓦礫・クレーン	人物は小さい
C	175	○	🔴🔴ピンクの壁の大看板「'95 SUMMER Sign of the Blue／여름패션」と上のはしご	日常の広告が最も読みやすい。主役級
C	176	○	🔴🔴俯瞰の全景＝無事な棟の看板＋完全に崩れた棟＋クレーン	この回の最良の1枚。人物は極小
C	177	○	俯瞰の全景（ヘリ）＋道路の車両列	人物は極小
C	178	×	手前に黄色いヘルメットの人の横顔（大きい）・奥に崩れた建物	🔴消防本部の但し書きの対象。手前の人物が識別できる
C	179	○	俯瞰の全景（別角度・ヘリ）＝「三豊百貨店」の看板＋崩れた棟	🔴但し書きの対象だが人物は豆粒で識別できない
C	181	△	俯瞰＝瓦礫の斜面と多数の救助隊・「2L」の壁	🔴但し書きの対象。原寸で確認＝顔は約15〜30pxで識別できないが線が近い。使うなら額装のまま・寄らない（SLOTSには入れていない）
C	184	○	救助隊員8人が並ぶ（夜）	🔴説明に実名（현철호・구자형ら서울소방구조대1기）＝公的な任務の人なので可。暗い
