✓ wreck_klm_01             3000x2535     1977 KB
✓ losrodeos_now_11         2816x2112     1070 KB
✓ losrodeos_now_12         2560x1440      940 KB
✓ losrodeos_now_13         3000x1688      932 KB
✓ losrodeos_now_14         3000x1688      941 KB
✓ losrodeos_now_15         3000x2249      929 KB
✓ losrodeos_now_16         3000x1688     1107 KB
✓ losrodeos_now_17         3000x2250      996 KB
✓ losrodeos_now_18         2513x1414      701 KB
✓ fog_laguna_01            3000x2002     2436 KB
✓ fog_laguna_02            3000x2002     2020 KB
✓ fog_laguna_03            3000x2002     2356 KB
✓ fog_laguna_04            3000x2002     2181 KB
✓ fog_laguna_05            3000x2002     1772 KB
✓ fog_laguna_06            3000x2250     3116 KB
✓ cockpit_747_02           3000x1961     1619 KB
✓ cockpit_747_03           3000x1974     1423 KB
✓ cockpit_747_04           3000x1968     1384 KB
✓ cockpit_747_05           3000x1972     2070 KB
✓ cockpit_747_06           600x400      125 KB
✓ cockpit_747_07           3000x2250     2098 KB
✓ cockpit_747_08           3000x2250     1570 KB
✓ cockpit_747_09           2048x1536      873 KB
✓ cockpit_747_10           2848x2136     1666 KB
✓ cockpit_747_11           3000x2000     1735 KB
✓ cockpit_747_12           3000x2000     2091 KB
✓ cockpit_747_13           3000x2000     1878 KB
✓ cockpit_747_14           3000x1996     1285 KB
✓ cockpit_747_15           3000x2008     1185 KB
✓ cockpit_747_16           1688x1132      703 KB
✓ cockpit_747_17           1798x1128      342 KB
✓ engine_747_02            3000x2000     1396 KB
✓ engine_747_03            3000x2250     1158 KB
✓ engine_747_04            3000x2250     1492 KB
✓ engine_747_05            3000x2214     1040 KB
✓ engine_747_06            3000x2214      880 KB
✓ engine_747_07            2610x3543     1349 KB
✓ klm_747_same_type_04     3000x1944     1583 KB
✓ klm_747_same_type_05     3000x1973     1880 KB
✓ klm_747_same_type_06     3000x1983     1864 KB
✓ klm_747_same_type_07     3000x1912     1854 KB
✓ klm_747_same_type_08     3000x1983     1932 KB
✓ klm_747_same_type_09     3000x1928     2063 KB
✓ klm_747_same_type_10     3000x2001     1768 KB
✓ klm_747_same_type_11     3000x1972     1603 KB
✓ klm_747_same_type_12     3000x1972      977 KB
✓ klm_747_same_type_13     3000x1995     1589 KB
✓ klm_747_same_type_14     3000x1986     1775 KB
✓ panam_747_same_type_04   3000x2004     1241 KB
✓ panam_747_same_type_05   3000x1786      755 KB
✓ panam_747_same_type_06   3000x2027      697 KB
✓ panam_747_same_type_07   2000x1333      559 KB
✓ panam_747_same_type_08   1600x1067      349 KB
✓ canary_iss_01            3000x1996      987 KB

落とした 128 ／ すでに在る 0 ／ 失敗 0
fetch_exit=0
