wreck_klm | 3241 x 2739 CC0 1977 | Het verongelukte KLM-toestel De Rijn, Bestanddeelnr 929-1003.jpg
losrodeos_now | 3658 x 1956 CC BY 3.0 2012 | Santa Cruz de Tenerife airport runway landing system, Canary Islands, Spain - panoramio.jp
losrodeos_now | 2642 x 3522 CC BY 2.0 2011 | Tenerife North Airport radar.jpg
losrodeos_now | 2560 x 1920 CC BY 2.0 2011 | Bell 412SP aterrizando en el aeropuerto de Los Rodeos (Tenerife Norte).jpg
losrodeos_now | 1632 x 1009 CC BY 2.5 2003 | Plataforma tfn.jpg
losrodeos_now | 1632 x 1232 Public domain 2003 | Terminal tfn.jpg
losrodeos_now | 1534 x 1192 Public domain 2009 | Tenerife lennujaam.jpg
laspalmas_now | 3776 x 2520 CC BY 2.0 2010 | Aeropuerto de Gran Canaria interior (5195390363).jpg
laspalmas_now | 3700 x 2469 CC BY 2.0 2010 | Aeropuerto de Gran Canaria interior (5195391885).jpg
laspalmas_now | 3690 x 2463 CC BY 2.0 2010 | Check-In Aeropuerto de Gran Canaria (5195973172).jpg
laspalmas_now | 3776 x 2520 CC BY 2.0 2010 | Gates (5195996258).jpg
laspalmas_now | 3776 x 2520 CC BY 2.0 2010 | Boarding (5196003292).jpg
laspalmas_now | 3776 x 2520 CC BY 2.0 2010 | Busy traveller (5195388141).jpg
laspalmas_now | 3770 x 1616 CC BY 2.0 2010 | Aeropuerto de Gran Canaria Tower (5195405623).jpg
laspalmas_now | 3763 x 2880 CC BY 3.0 2012 | Tower - panoramio (34).jpg
laspalmas_now | 3048 x 3044 CC BY 3.0 2012 | Airporttower(Cran Canaria) - panoramio.jpg
laspalmas_now | 3413 x 2171 CC BY 3.0 2008 | Aeropuerto LPA Gran Canaria.jpg
laspalmas_now | 3288 x 2184 CC BY 3.0 2010 | Gran Canaria International Airport R01.jpg
laspalmas_now | 4608 x 2592 CC BY 2.0 2013 | Planes (10136783155).jpg
laspalmas_now | 4320 x 3240 CC BY 3.0 2012 | In Reih und Glied - panoramio.jpg
laspalmas_now | 4265 x 2732 CC BY 3.0 2012 | Airport(Eingang) - panoramio.jpg
laspalmas_now | 3535 x 2359 CC BY 2.0 2010 | Boarding aircraft (5195400705).jpg
laspalmas_now | 3627 x 2421 CC BY 2.0 2010 | Boarding rear door (5195398367).jpg
cockpit_747 | 3248 x 2000 CC BY 2.0 2008 | KLM Boeing 747 Cockpit.jpg
engine_747 | 2422 x 2422 CC BY 2.0 2010 | Jet engine (5195403907).jpg
nl_crisis | 3700 x 2457 CC0 1977 | Crisiscentrum te Amstelveen, Bestanddeelnr 929-0963.jpg
nl_crisis | 3700 x 2457 CC0 1977 | Crisiscentrum te Amstelveen, Bestanddeelnr 929-0964.jpg
nl_crisis | 3700 x 2457 CC0 1977 | Overzicht crisiscentrum te Amstelveen, Bestanddeelnr 929-0965.jpg
nl_crisis | 3700 x 2457 CC0 1977 | Vlaggen halfstok voor het KLM-hoofdkantoor te Amstelveen, Bestanddeelnr 929-0961.jpg
nl_crisis | 2457 x 3700 CC0 1977 | President-directeur van KLM Orlandini staat de pers te woord, Bestanddeelnr 929-0962.jpg
nl_mourning | 3682 x 2448 CC0 1977 | 1 minuut stilte aan het begin van de herdenking, Bestanddeelnr 929-1118.jpg
nl_mourning | 3682 x 2448 CC0 1977 | 1 minuut stilte aan het begin van de herdenking, Bestanddeelnr 929-1119.jpg
nl_mourning | 3682 x 2448 CC0 1977 | Toespraak door de president-directeur van KLM, Sergio Orlandini, Bestanddeelnr 929-1120.jp
nl_mourning | 3682 x 2448 CC0 1977 | Minister-president Den Uyl en minister Westerterp (Verkeer en Waterstaat) langs , Bestandd
nl_mourning | 3682 x 2448 CC0 1977 | Geëmotioneerde familieleden tijdens de dienst, Bestanddeelnr 929-1122.jpg
nl_mourning | 3682 x 2448 CC0 1977 | De kisten van de slachtoffers van de ramp, Bestanddeelnr 929-1123.jpg
nl_mourning | 3682 x 2448 CC0 1977 | Aanwezigen verlaten de hal aan het einde van de dienst, Bestanddeelnr 929-1124.jpg
nl_mourning | 3682 x 2448 CC0 1977 | Aanwezigen verlaten de hal aan het einde van de dienst, Bestanddeelnr 929-1125.jpg
nl_mourning | 3682 x 2448 CC0 1977 | Slachtoffers, herdenkingen, vliegtuigongevallen, rampen, Bestanddeelnr 929-1126.jpg
nl_mourning | 3700 x 2457 CC0 1977 | Tweede Kamer neemt voor het debat een minuut stilte in acht voor de slachtoffers, Bestandd
nl_funeral | 3682 x 2448 CC0 1977 | Stoet trekt langs de kisten, Bestanddeelnr 929-1130.jpg
nl_funeral | 3682 x 2448 CC0 1977 | Stoet trekt langs de kisten, Bestanddeelnr 929-1131.jpg
nl_funeral | 3682 x 2448 CC0 1977 | Burgemeester Ivo Samkalden van Amsterdam legt een herdenkingskrans, Bestanddeelnr 929-1132
nl_funeral | 3682 x 2448 CC0 1977 | Stoet trekt langs de kisten, Bestanddeelnr 929-1133.jpg
nl_funeral | 3682 x 2448 CC0 1977 | Burgemeester Ivo Samkalden van Amsterdam loopt langs de kisten, Bestanddeelnr 929-1134.jpg
nl_funeral | 3682 x 2448 CC0 1977 | Burgemeester Ivo Samkalden van Amsterdam na de kranslegging, Bestanddeelnr 929-1135.jpg
schiphol_1977 | 4031 x 3235 CC0 1977 | HUA-170857-Gezicht op de vertrekhal Noord van de luchthaven Schiphol, vanaf de hal van het
schiphol_1977 | 3682 x 2442 CC0 1977 | Proef met gescheiden paspoortcontrole op Schiphol bord in aankomsthal wijst r, Bestanddeel
schiphol_1977 | 3682 x 2445 CC0 1978 | Vliegtuigkijkers bij Schiphol, Bestanddeelnr 929-9386.jpg
memorial | 927 x 743 CC0 2015 | International Tenerife Memorial March 27, 1977.jpg
memorial | 1573 x 1070 CC0 2015 | Memorial plaque at International Tenerife Memorial March 27, 1977.jpg
memorial | 2060 x 1541 Public domain 2009 | TenerifeMemorial.JPG
memorial | 2257 x 1437 CC0 2011 | VvZ Westgaarde.jpg
