行	型	該当	本文
c207-2	数詞＋助数詞	23日	止めたのは1960年12月23日。クリスマス休暇のためである。
c208-1	文頭の数字	1	12月27日から30日にかけて、点検と計器の校正、
c208-1	1モーラ語＋助詞	日に	12月27日から30日にかけて、点検と計器の校正、
c208-1	同形異音語（一般）	日	12月27日から30日にかけて、点検と計器の校正、
c208-1	同形異音語（一般）	日	12月27日から30日にかけて、点検と計器の校正、
c208-1	数詞＋助数詞	12月	12月27日から30日にかけて、点検と計器の校正、
c208-1	数詞＋助数詞	27日	12月27日から30日にかけて、点検と計器の校正、
c208-1	数詞＋助数詞	30日	12月27日から30日にかけて、点検と計器の校正、
c208-2	同形異音語（一般）	事	復水ポンプの改造、弁と配管の工事が行われている。
c209-1	同形異音語（一般）	日	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	同形異音語（一般）	人	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	同形異音語（一般）	物	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	数詞＋助数詞	1月	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	数詞＋助数詞	3日	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	数詞＋助数詞	0時	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	数詞＋助数詞	8時	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	数詞＋助数詞	4人	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-1	§6の語（SL-1）	当直	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-2	§6の語（SL-1）	遮蔽	最初の作業は、炉の蓋のまわりから遮蔽ブロックを外すこと。
c210-1	同形異音語（一般）	下	次に、圧力容器を水で満たす。上端から1フィート下まで。
c210-1	数詞＋助数詞	1フィート	次に、圧力容器を水で満たす。上端から1フィート下まで。
c210-2	§6の語（SL-1）	制御棒	そのうえで、制御棒の駆動部と栓を取り外している。
c211-1	同形異音語（一般）	下	それから、水位を蓋の下から6インチのところまで下げた。
c211-1	同形異音語（一般）	下	それから、水位を蓋の下から6インチのところまで下げた。
c211-1	数詞＋助数詞	6インチ	それから、水位を蓋の下から6インチのところまで下げた。
c212-1	文頭の数字	1	1月3日の日中、44本の細い棒が炉に差し込まれた。
c212-1	同形異音語（一般）	日	1月3日の日中、44本の細い棒が炉に差し込まれた。
c212-1	数詞＋助数詞	1月	1月3日の日中、44本の細い棒が炉に差し込まれた。
c212-1	数詞＋助数詞	3日	1月3日の日中、44本の細い棒が炉に差し込まれた。
c212-1	数詞＋助数詞	44本	1月3日の日中、44本の細い棒が炉に差し込まれた。
c213-2	§6の語（SL-1）	中性子	中性子がどこにどれだけ来たかを、あとから測る道具だ。
c214-1	同形異音語（一般）	人	午後4時。3人の当直が、日勤の班と交代した。
c214-1	数詞＋助数詞	4時	午後4時。3人の当直が、日勤の班と交代した。
c214-1	数詞＋助数詞	3人	午後4時。3人の当直が、日勤の班と交代した。
c214-1	§6の語（SL-1）	当直	午後4時。3人の当直が、日勤の班と交代した。
c214-1	§6の語（SL-1）	日勤	午後4時。3人の当直が、日勤の班と交代した。
c214-2	同形異音語（一般）	目	その夜やることは、指示書に9項目、書かれていた。
c215-1	文頭の数字	1	1、炉の水を汲み下げる。手順書54番。
c215-1	同形異音語（一般）	下	1、炉の水を汲み下げる。手順書54番。
c215-1	§6の語（SL-1）	汲	1、炉の水を汲み下げる。手順書54番。
c215-2	文頭の数字	2	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。
c215-2	同形異音語（一般）	上	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。
c215-2	§6の語（SL-1）	制御棒	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。
c215-2	§6の語（SL-1）	遮蔽	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。
c216-1	文頭の数字	3	3、棒の駆動モーターをつなぐ。4、制御棒の位置をゼロに合わせる。
c216-1	§6の語（SL-1）	制御棒	3、棒の駆動モーターをつなぐ。4、制御棒の位置をゼロに合わせる。
c216-2	文頭の数字	5	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。
c216-2	同形異音語（一般）	表	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。
c216-2	EL_YOMI 既存	始動確認表→しどう確認表×1	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。
c217-1	文頭の数字	7	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。
c217-1	同形異音語（一般）	上	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。
c217-1	§6の語（SL-1）	上の栓	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。
c217-2	文頭の数字	8	8、熱い状態で棒を落とす。9、3000キロワットまで上げる。
c217-2	同形異音語（一般）	上	8、熱い状態で棒を落とす。9、3000キロワットまで上げる。
c218-1	同形異音語（一般）	日	順番に見ていくと、この夜は「起動の前の日」にあたる。
c218-1	鉤括弧	「	順番に見ていくと、この夜は「起動の前の日」にあたる。
c218-1	鉤括弧	」	順番に見ていくと、この夜は「起動の前の日」にあたる。
c219-1	§6の語（SL-1）	制御棒	制御棒を組み直すというのは、外してあった駆動部を、
c221-1	数詞＋助数詞	5時	運転日誌の最後の記載は、午後5時半から9時のあいだ。
c221-1	数詞＋助数詞	9時	運転日誌の最後の記載は、午後5時半から9時のあいだ。
c221-2	数詞＋助数詞	5フィート	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。
c221-2	鉤括弧	「	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。
c221-2	鉤括弧	」	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。
c221-2	§6の語（SL-1）	汲	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。
c222-1	鉤括弧	「	「全部の棒に、栓と筒などを戻している」。
c222-1	鉤括弧	」	「全部の棒に、栓と筒などを戻している」。
c301-1	同形異音語（一般）	人	午後9時1分に何が起きたのかを、見た人はいない。
c301-1	数詞＋助数詞	9時	午後9時1分に何が起きたのかを、見た人はいない。
c301-1	数詞＋助数詞	1分	午後9時1分に何が起きたのかを、見た人はいない。
c301-2	同形異音語（一般）	人	その場にいた3人は、みな亡くなっている。
c301-2	数詞＋助数詞	3人	その場にいた3人は、みな亡くなっている。
c302-1	数詞＋助数詞	3つ	記録に残っているのは、3つ。建屋の熱の警報。
c302-2	文頭の数字	0	0.9マイル離れた門衛所の測定器。そして、止まった制御盤。
c302-2	小数	0.9	0.9マイル離れた門衛所の測定器。そして、止まった制御盤。
c304-1	鉤括弧	「	報告書は前書きで、建屋の損傷は「わずか」だったと書いている。
c304-1	鉤括弧	」	報告書は前書きで、建屋の損傷は「わずか」だったと書いている。
c304-2	同形異音語（一般）	物	壊れたのは、建物ではなかった。
c305-1	文頭の数字	1	1月6日、屋根に穴が開いたように見え、空から撮り直している。
c305-1	同形異音語（一般）	日	1月6日、屋根に穴が開いたように見え、空から撮り直している。
c305-1	数詞＋助数詞	1月	1月6日、屋根に穴が開いたように見え、空から撮り直している。
c305-1	数詞＋助数詞	6日	1月6日、屋根に穴が開いたように見え、空から撮り直している。
c306-1	1モーラ語＋助詞	目に	円筒にも、下の杭にも、目に見える損傷は無い。
c306-1	同形異音語（一般）	下	円筒にも、下の杭にも、目に見える損傷は無い。
c306-1	同形異音語（一般）	目	円筒にも、下の杭にも、目に見える損傷は無い。
c306-1	§6の語（SL-1）	杭	円筒にも、下の杭にも、目に見える損傷は無い。
c306-2	小数	2.5	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c306-2	数詞＋助数詞	25フィート	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c306-2	§6の語（SL-1）	レントゲン	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c306-2	EL_YOMI 既存	建屋から25フィート→たてやから25フィート×1	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c307-2	同形異音語（実績）	間	では中はどうなっていたのか。それを見るまでに、時間がかかった。
c308-1	同形異音語（一般）	日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	同形異音語（一般）	日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	同形異音語（一般）	日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	数詞＋助数詞	2月	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	数詞＋助数詞	22日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	数詞＋助数詞	3月	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	数詞＋助数詞	16日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-1	数詞＋助数詞	17日	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-2	数詞＋助数詞	2か月	事故から、2か月半が経っている。
c309-1	§6の語（SL-1）	判読	写した絵を読んだのは、海軍の写真判読センターと、
c310-2	§6の語（SL-1）	制御棒	制御棒の位置である。読み取りは、その番号ごとに並んでいる。
c312-1	文頭の数字	1	1番と3番。棒を囲う覆いは、折れ、ねじれ、
c312-1	§6の語（SL-1）	覆い	1番と3番。棒を囲う覆いは、折れ、ねじれ、
c312-2	§6の語（SL-1）	遮蔽	炉心を囲う鋼の筒、熱遮蔽に押しつけられていた。
c312-3	文頭の数字	3	3番では、棒があった場所に、口の開いた穴が残っている。
c314-1	文頭の数字	4	4番。覆いは、壁の配管に叩きつけられている。
c314-1	§6の語（SL-1）	覆い	4番。覆いは、壁の配管に叩きつけられている。
c314-2	文頭の数字	1	1インチ半の給水管は、上端が引きちぎられ、3番のほうへねじれていた。
c314-2	数詞＋助数詞	1インチ	1インチ半の給水管は、上端が引きちぎられ、3番のほうへねじれていた。
c316-1	文頭の数字	7	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。
c316-1	数詞＋助数詞	6インチ	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。
c316-1	数詞＋助数詞	8インチ	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。
c316-1	§6の語（SL-1）	覆い	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。
c316-2	§6の語（SL-1）	歯棒	棒の延長と歯棒も、継手のところで曲がるか、折れるかしている。
c316-2	EL_YOMI 既存	継手→つぎ手×1	棒の延長と歯棒も、継手のところで曲がるか、折れるかしている。
c317-1	文頭の数字	8	8番。覆いは燃料の高さでねじれ、熱遮蔽に押しつけられていた。
c317-1	§6の語（SL-1）	覆い	8番。覆いは燃料の高さでねじれ、熱遮蔽に押しつけられていた。
c317-1	§6の語（SL-1）	遮蔽	8番。覆いは燃料の高さでねじれ、熱遮蔽に押しつけられていた。
c317-2	同形異音語（実績）	間	押さえ具はひどくねじれ、隙間に燃料箱の蓋が挟まっている。
c318-1	文頭の数字	5	5番と6番は、ほとんど読み取れていない。
c319-2	文頭の数字	9	9番自身の刃に塞がれていた。
c319-2	§6の語（SL-1）	刃	9番自身の刃に塞がれていた。
c320-1	§6の語（SL-1）	刃	刃はほぼ水平に倒れ、1番と2番のあたりから、
c320-2	文頭の数字	6	6番と7番のほうへ渡っていた。
c321-1	同形異音語（実績）	側	その刃の外側の被覆は、破れ、ねじれ、
c321-1	§6の語（SL-1）	刃	その刃の外側の被覆は、破れ、ねじれ、
c322-1	同形異音語（一般）	下	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。
c322-1	§6の語（SL-1）	散水	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。
c322-2	文頭の数字	8	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c322-2	同形異音語（一般）	上	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c322-2	同形異音語（一般）	上	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c322-2	同形異音語（一般）	上	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c322-2	数詞＋助数詞	6フィート	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c323-1	同形異音語（一般）	上	しかもその上に、燃料箱の蓋が2枚、載っていた。
c323-1	数詞＋助数詞	2枚	しかもその上に、燃料箱の蓋が2枚、載っていた。
c323-2	同形異音語（一般）	上	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。
c323-2	同形異音語（一般）	上	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。
c323-2	§6の語（SL-1）	散水	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。
c324-1	数詞＋助数詞	19個	数えられた燃料箱は19個。あと2個は、たぶんそれだろう、という判定である。
c324-1	数詞＋助数詞	2個	数えられた燃料箱は19個。あと2個は、たぶんそれだろう、という判定である。
c324-2	文頭の数字	4	4つの蓋は、それとは別に見つかっている。
c324-2	数詞＋助数詞	4つ	4つの蓋は、それとは別に見つかっている。
c326-1	§6の語（SL-1）	判読	そして9番について、運転会社の判読はこう書いている。
c326-2	文頭の数字	9	9番は、炉から完全に外れていた
c327-1	同形異音語（一般）	上	炉心の構造の上に、載っていた。
c327-2	同形異音語（実績）	方	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。
c327-2	§6の語（SL-1）	遮蔽	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。
c328-1	§6の語（SL-1）	判読	判読の結論は、ここで止まる。炉心が全体として乱れた、と。
c401-1	数詞＋助数詞	9時	午後9時1分。炉の建屋にある、熱を感じる警報が鳴った。
c401-1	数詞＋助数詞	1分	午後9時1分。炉の建屋にある、熱を感じる警報が鳴った。
c401-2	数詞＋助数詞	2つ	信号は3か所へ同時に流れている。消防署2つと、通信棟である。
c402-1	小数	0.9	ほぼ同じ時刻、北西へ0.9マイル離れた別の施設の門衛所で、
c402-2	同形異音語（一般）	人	人の汚染を測る装置が鳴った。
c404-2	EL_YOMI 既存	放出を→ほうしゅつを×1	放出を示していない。門衛所を測っても、背景の値だけである。
c405-2	同形異音語（一般）	人	現場は火災として動いた。6人が3号車に乗り、副隊長は自分の車で出た。
c405-2	数詞＋助数詞	6人	現場は火災として動いた。6人が3号車に乗り、副隊長は自分の車で出た。
c406-1	文頭の数字	9	9時2分、警報は試験場全体の無線に流れた。
c406-1	数詞＋助数詞	9時	9時2分、警報は試験場全体の無線に流れた。
c406-1	数詞＋助数詞	2分	9時2分、警報は試験場全体の無線に流れた。
c407-1	文頭の数字	9	9時4分、隣の炉の技術者が現場へ向かった。
c407-1	数詞＋助数詞	9時	9時4分、隣の炉の技術者が現場へ向かった。
c407-1	数詞＋助数詞	4分	9時4分、隣の炉の技術者が現場へ向かった。
c408-1	文頭の数字	9	9時10分ごろ、消防が到着した。中央施設から8マイル。
c408-1	数詞＋助数詞	9時	9時10分ごろ、消防が到着した。中央施設から8マイル。
c408-1	数詞＋助数詞	10分	9時10分ごろ、消防が到着した。中央施設から8マイル。
c408-2	同形異音語（一般）	上	副隊長は、建屋の上に出ている蒸気を、いつもどおりだと見ている。
c409-1	同形異音語（実績）	話	隊長は門衛所に入り、炉の制御室に電話をかけた。誰も出ない。
c410-1	文頭の数字	9	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。
c410-1	数詞＋助数詞	9時	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。
c410-1	数詞＋助数詞	12分	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。
c411-1	同形異音語（一般）	人	別の入口から6人が中へ入った。持っていた線量計2台が示したのは、
c411-1	数詞＋助数詞	6人	別の入口から6人が中へ入った。持っていた線量計2台が示したのは、
c411-2	小数	1.5	毎時1.5レントゲン。人が働いてよい場所の値ではない。
c411-2	同形異音語（一般）	人	毎時1.5レントゲン。人が働いてよい場所の値ではない。
c411-2	§6の語（SL-1）	レントゲン	毎時1.5レントゲン。人が働いてよい場所の値ではない。
c412-1	同形異音語（一般）	下	副隊長は、消防車を構外の道路まで下げさせた。
c412-2	1モーラ語＋助詞	火も	中に入ってから、まだ2分半である。火も煙も人も、見ていない。
