行	型	該当	本文
pr08-1	同形異音語（一般）	上	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	数詞＋助数詞	5階	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	数詞＋助数詞	8時	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	数詞＋助数詞	10時	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	§6の語（三豊百貨店）	階	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	§6の語（三豊百貨店）	床	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-1	§6の語（三豊百貨店）	盛り上が	5階の食堂の床が盛り上がったのが、朝8時から10時のあいだ。
pr08-2	同形異音語（一般）	下	昼をすぎたころには、柱のまわりの床が15センチ下がっていた。
pr08-2	数詞＋助数詞	15センチ	昼をすぎたころには、柱のまわりの床が15センチ下がっていた。
pr08-2	§6の語（三豊百貨店）	柱	昼をすぎたころには、柱のまわりの床が15センチ下がっていた。
pr08-2	§6の語（三豊百貨店）	床	昼をすぎたころには、柱のまわりの床が15センチ下がっていた。
pr09-2	同形異音語（一般）	生	生きて助け出された人は、17日目まで出つづけている。
pr09-2	同形異音語（一般）	人	生きて助け出された人は、17日目まで出つづけている。
pr09-2	同形異音語（一般）	目	生きて助け出された人は、17日目まで出つづけている。
pr09-2	数詞＋助数詞	17日	生きて助け出された人は、17日目まで出つづけている。
pr09-3	文頭の数字	7	7月19日までに、932人が瓦礫から助け出された。
pr09-3	同形異音語（一般）	日	7月19日までに、932人が瓦礫から助け出された。
pr09-3	同形異音語（一般）	人	7月19日までに、932人が瓦礫から助け出された。
pr09-3	数詞＋助数詞	7月	7月19日までに、932人が瓦礫から助け出された。
pr09-3	数詞＋助数詞	19日	7月19日までに、932人が瓦礫から助け出された。
pr09-3	数詞＋助数詞	932人	7月19日までに、932人が瓦礫から助け出された。
pr10-1	§6の語（三豊百貨店）	白書	この動画が使うのは、公の記録だけである。ソウル市がまとめた白書、
pr11-1	同形異音語（一般）	物	追いかける問いは二つある。なぜこの建物は、
pr11-3	同形異音語（一般）	人	中にいた人たちは外に出されなかったのか。
c101-1	文頭の数字	1	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	同形異音語（一般）	日	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	同形異音語（一般）	日	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	同形異音語（一般）	日	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	数詞＋助数詞	1995年	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	数詞＋助数詞	6月	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	数詞＋助数詞	29日	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	§6の語（三豊百貨店）	三豊	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	§6の語（三豊百貨店）	百貨店	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c101-1	EL_YOMI 既存	三豊→サンプン×1	1995年6月29日、木曜日。三豊百貨店はこの日も店を開けた。
c102-1	同形異音語（一般）	物	まず、建物の形を押さえておく。棟は2つに分かれていて、
c102-1	数詞＋助数詞	2つ	まず、建物の形を押さえておく。棟は2つに分かれていて、
c102-1	§6の語（三豊百貨店）	棟	まず、建物の形を押さえておく。棟は2つに分かれていて、
c102-2	§6の語（三豊百貨店）	棟	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。
c102-2	§6の語（三豊百貨店）	百貨店	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。
c102-2	§6の語（三豊百貨店）	棟	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。
c102-3	§6の語（三豊百貨店）	棟	このあと崩れるのは、北の棟のほうである。
c103-1	数詞＋助数詞	1階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	数詞＋助数詞	4階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	数詞＋助数詞	5階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	§6の語（三豊百貨店）	棟	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	§6の語（三豊百貨店）	階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	§6の語（三豊百貨店）	階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-1	§6の語（三豊百貨店）	階	北の棟は、1階から4階までが売り場で、5階が食堂街だった。
c103-2	同形異音語（一般）	下	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	同形異音語（一般）	下	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	数詞＋助数詞	1階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	数詞＋助数詞	2階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	数詞＋助数詞	3階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	§6の語（三豊百貨店）	階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	§6の語（三豊百貨店）	階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-2	§6の語（三豊百貨店）	階	地下1階は食品売り場、地下2階と3階が駐車場である。
c103-3	同形異音語（一般）	下	地下4階は機械室で、人がふだん入る場所ではない。
c103-3	同形異音語（一般）	人	地下4階は機械室で、人がふだん入る場所ではない。
c103-3	数詞＋助数詞	4階	地下4階は機械室で、人がふだん入る場所ではない。
c103-3	§6の語（三豊百貨店）	階	地下4階は機械室で、人がふだん入る場所ではない。
c104-1	同形異音語（一般）	物	建物の異変は、この日が初めてではなかった。
c104-1	同形異音語（一般）	日	建物の異変は、この日が初めてではなかった。
c104-2	文頭の数字	2	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-2	数詞＋助数詞	2か月	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-2	数詞＋助数詞	4月	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-2	数詞＋助数詞	5階	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-2	§6の語（三豊百貨店）	階	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-2	§6の語（三豊百貨店）	壁	2か月前の4月中旬、5階の天井と壁から水がもれている。
c104-3	文頭の数字	6	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	1モーラ語＋助詞	日に	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	同形異音語（一般）	日	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	同形異音語（一般）	事	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	数詞＋助数詞	6月	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	数詞＋助数詞	21日	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	数詞＋助数詞	4階	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	数詞＋助数詞	5階	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	§6の語（三豊百貨店）	階	6月21日には、4階と5階で水もれを止める工事をした。
c104-3	§6の語（三豊百貨店）	階	6月21日には、4階と5階で水もれを止める工事をした。
c105-1	文頭の数字	6	6月の初めには、4階の照明売り場で建物が揺れ、
c105-1	同形異音語（一般）	物	6月の初めには、4階の照明売り場で建物が揺れ、
c105-1	数詞＋助数詞	6月	6月の初めには、4階の照明売り場で建物が揺れ、
c105-1	数詞＋助数詞	4階	6月の初めには、4階の照明売り場で建物が揺れ、
c105-1	§6の語（三豊百貨店）	階	6月の初めには、4階の照明売り場で建物が揺れ、
c105-3	同形異音語（一般）	上	屋上にある冷却塔の水の量が調節された。
c105-3	§6の語（三豊百貨店）	屋上	屋上にある冷却塔の水の量が調節された。
c105-3	§6の語（三豊百貨店）	冷却塔	屋上にある冷却塔の水の量が調節された。
c106-1	同形異音語（一般）	日	そして6月29日、朝の8時から10時のあいだのことである。
c106-1	数詞＋助数詞	6月	そして6月29日、朝の8時から10時のあいだのことである。
c106-1	数詞＋助数詞	29日	そして6月29日、朝の8時から10時のあいだのことである。
c106-1	数詞＋助数詞	8時	そして6月29日、朝の8時から10時のあいだのことである。
c106-1	数詞＋助数詞	10時	そして6月29日、朝の8時から10時のあいだのことである。
c106-2	文頭の数字	5	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c106-2	同形異音語（一般）	上	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c106-2	数詞＋助数詞	5階	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c106-2	§6の語（三豊百貨店）	階	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c106-2	§6の語（三豊百貨店）	床	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c106-2	§6の語（三豊百貨店）	盛り上が	5階にある食堂の床が盛り上がり、天井が沈みはじめた。
c107-1	同形異音語（一般）	上	同じころ、屋上の床は魚のうろこのように浮き上がり、
c107-1	同形異音語（一般）	上	同じころ、屋上の床は魚のうろこのように浮き上がり、
c107-1	§6の語（三豊百貨店）	屋上	同じころ、屋上の床は魚のうろこのように浮き上がり、
c107-1	§6の語（三豊百貨店）	床	同じころ、屋上の床は魚のうろこのように浮き上がり、
c107-2	同形異音語（一般）	下	一部は下に向かってたわんでいた。報告書が書いている言葉だ。
c107-2	§6の語（コロンビア号）	報告書	一部は下に向かってたわんでいた。報告書が書いている言葉だ。
c108-1	文頭の数字	1	10時から12時にかけて。4階の貴金属売り場では、
c108-1	数詞＋助数詞	10時	10時から12時にかけて。4階の貴金属売り場では、
c108-1	数詞＋助数詞	12時	10時から12時にかけて。4階の貴金属売り場では、
c108-1	数詞＋助数詞	4階	10時から12時にかけて。4階の貴金属売り場では、
c108-1	§6の語（三豊百貨店）	階	10時から12時にかけて。4階の貴金属売り場では、
c108-1	§6の語（三豊百貨店）	貴金属	10時から12時にかけて。4階の貴金属売り場では、
c108-2	数詞＋助数詞	5センチ	揺れとともに天井が5センチ沈んだ。5階の別の食堂でも、
c108-2	数詞＋助数詞	5階	揺れとともに天井が5センチ沈んだ。5階の別の食堂でも、
c108-2	§6の語（三豊百貨店）	階	揺れとともに天井が5センチ沈んだ。5階の別の食堂でも、
c108-3	同形異音語（一般）	上	床が盛り上がり、天井が沈んでいる。
c108-3	§6の語（三豊百貨店）	床	床が盛り上がり、天井が沈んでいる。
c108-3	§6の語（三豊百貨店）	盛り上が	床が盛り上がり、天井が沈んでいる。
c109-1	同形異音語（一般）	上	社長らが5階と屋上を見てまわり、
c109-1	数詞＋助数詞	5階	社長らが5階と屋上を見てまわり、
c109-1	§6の語（三豊百貨店）	階	社長らが5階と屋上を見てまわり、
c109-1	§6の語（三豊百貨店）	屋上	社長らが5階と屋上を見てまわり、
c109-2	文頭の数字	5	5階の一部の食堂は、この時間に出入りを止めている。
c109-2	同形異音語（実績）	間	5階の一部の食堂は、この時間に出入りを止めている。
c109-2	数詞＋助数詞	5階	5階の一部の食堂は、この時間に出入りを止めている。
c109-2	§6の語（三豊百貨店）	階	5階の一部の食堂は、この時間に出入りを止めている。
c110-1	同形異音語（実績）	側	昼の12時から午後2時のあいだ。5階の北側では、
c110-1	数詞＋助数詞	12時	昼の12時から午後2時のあいだ。5階の北側では、
c110-1	数詞＋助数詞	2時	昼の12時から午後2時のあいだ。5階の北側では、
c110-1	数詞＋助数詞	5階	昼の12時から午後2時のあいだ。5階の北側では、
c110-1	§6の語（三豊百貨店）	階	昼の12時から午後2時のあいだ。5階の北側では、
c110-2	同形異音語（実績）	方	食堂のほとんどで、壁と床の両方にひびが入った。
c110-2	§6の語（三豊百貨店）	壁	食堂のほとんどで、壁と床の両方にひびが入った。
c110-2	§6の語（三豊百貨店）	床	食堂のほとんどで、壁と床の両方にひびが入った。
c110-2	§6の語（三豊百貨店）	ひび	食堂のほとんどで、壁と床の両方にひびが入った。
c110-3	文頭の数字	4	4階でも、柱と床のあいだにひびが出ている。
c110-3	数詞＋助数詞	4階	4階でも、柱と床のあいだにひびが出ている。
c110-3	§6の語（三豊百貨店）	階	4階でも、柱と床のあいだにひびが出ている。
c110-3	§6の語（三豊百貨店）	柱	4階でも、柱と床のあいだにひびが出ている。
c110-3	§6の語（三豊百貨店）	床	4階でも、柱と床のあいだにひびが出ている。
c110-3	§6の語（三豊百貨店）	ひび	4階でも、柱と床のあいだにひびが出ている。
c111-1	同形異音語（実績）	間	この時間に、屋上の冷却塔は止められ、ガスも切られた。
c111-1	同形異音語（一般）	上	この時間に、屋上の冷却塔は止められ、ガスも切られた。
c111-1	§6の語（三豊百貨店）	屋上	この時間に、屋上の冷却塔は止められ、ガスも切られた。
c111-1	§6の語（三豊百貨店）	冷却塔	この時間に、屋上の冷却塔は止められ、ガスも切られた。
c111-2	文頭の数字	5	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-2	数詞＋助数詞	5階	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-2	数詞＋助数詞	4階	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-2	§6の語（三豊百貨店）	階	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-2	§6の語（三豊百貨店）	階	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c111-2	§6の語（三豊百貨店）	貴金属	5階の食堂の大部分と、4階の貴金属売り場は営業をやめている。
c112-1	同形異音語（実績）	間	同じ時間に、もう一つのことが分かっていた。
c112-1	同形異音語（一般）	一	同じ時間に、もう一つのことが分かっていた。
c112-2	文頭の数字	5	5階の柱のまわりの床が15センチ沈んだ
c112-2	数詞＋助数詞	5階	5階の柱のまわりの床が15センチ沈んだ
c112-2	数詞＋助数詞	15センチ	5階の柱のまわりの床が15センチ沈んだ
c112-2	§6の語（三豊百貨店）	階	5階の柱のまわりの床が15センチ沈んだ
c112-2	§6の語（三豊百貨店）	柱	5階の柱のまわりの床が15センチ沈んだ
c112-2	§6の語（三豊百貨店）	床	5階の柱のまわりの床が15センチ沈んだ
c113-1	文頭の数字	1	15センチは、文庫本の縦の長さとほぼ同じである。
c113-1	数詞＋助数詞	15センチ	15センチは、文庫本の縦の長さとほぼ同じである。
c113-2	同形異音語（一般）	下	床がそれだけ下がったということは、
c113-2	§6の語（三豊百貨店）	床	床がそれだけ下がったということは、
c113-3	§6の語（三豊百貨店）	床	床を支えていたものが、もう効いていないということだ。
c114-1	同形異音語（一般）	日	この日のできごとは、その日のうちに会社の上まで伝わった。
c114-1	同形異音語（一般）	日	この日のできごとは、その日のうちに会社の上まで伝わった。
c114-1	同形異音語（一般）	上	この日のできごとは、その日のうちに会社の上まで伝わった。
c114-2	数詞＋助数詞	9時	幹部に届いたのが朝9時ごろ、社長には10時ごろである。
c114-2	数詞＋助数詞	10時	幹部に届いたのが朝9時ごろ、社長には10時ごろである。
c115-1	数詞＋助数詞	2時	会長に報告が入ったのは、午後2時半ごろ。
c115-2	数詞＋助数詞	30分	その30分前には対策の会議が開かれ、社長が役員に説明している。
c116-1	同形異音語（一般）	物	では、なぜ床が動くような建物になっていたのか。
c116-1	§6の語（三豊百貨店）	床	では、なぜ床が動くような建物になっていたのか。
c116-2	数詞＋助数詞	8年	それを知るには、事故の8年前まで戻る必要がある。
c201-1	同形異音語（一般）	物	ここからは、この建物がどう建てられたのかを見ていく。
c201-2	§6の語（三豊百貨店）	三豊	三豊百貨店を持っていたのは、三豊建設産業という会社である。
c201-2	§6の語（三豊百貨店）	百貨店	三豊百貨店を持っていたのは、三豊建設産業という会社である。
c201-2	§6の語（三豊百貨店）	三豊	三豊百貨店を持っていたのは、三豊建設産業という会社である。
c201-2	§6の語（三豊百貨店）	建設産業	三豊百貨店を持っていたのは、三豊建設産業という会社である。
c201-2	EL_YOMI 既存	三豊→サンプン×2	三豊百貨店を持っていたのは、三豊建設産業という会社である。
c202-1	同形異音語（一般）	事	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-1	同形異音語（一般）	日	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-1	数詞＋助数詞	1987年	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-1	数詞＋助数詞	3月	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-1	数詞＋助数詞	8月	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-1	数詞＋助数詞	25日	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-2	同形異音語（一般）	事	骨組みの工事は1988年11月まで続いたが、
c202-2	数詞＋助数詞	1988年	骨組みの工事は1988年11月まで続いたが、
c202-2	数詞＋助数詞	11月	骨組みの工事は1988年11月まで続いたが、
c202-3	同形異音語（一般）	上	仕上がらないまま打ち切られている。
c203-1	同形異音語（実績）	方	敷地は1万5,397平方メートル。サッカー場2面ぶんより少し広い。
c203-1	桁区切りの数	5,397	敷地は1万5,397平方メートル。サッカー場2面ぶんより少し広い。
c203-2	同形異音語（実績）	方	建物の床を全部たすと、7万3,877平方メートルになる。
c203-2	同形異音語（一般）	物	建物の床を全部たすと、7万3,877平方メートルになる。
c203-2	§6の語（三豊百貨店）	床	建物の床を全部たすと、7万3,877平方メートルになる。
c203-2	桁区切りの数	3,877	建物の床を全部たすと、7万3,877平方メートルになる。
c203-3	同形異音語（一般）	下	これは、1994年に地下を広げたあとの数字である。
c203-3	数詞＋助数詞	1994年	これは、1994年に地下を広げたあとの数字である。
c204-1	数詞＋助数詞	2つ	建っていたのは、同じ大きさの棟が2つである。
c204-1	§6の語（三豊百貨店）	棟	建っていたのは、同じ大きさの棟が2つである。
c204-2	§6の語（三豊百貨店）	棟	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-2	§6の語（三豊百貨店）	百貨店	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-2	§6の語（三豊百貨店）	棟	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-2	英字・記号	A	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-2	英字・記号	B	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-3	文頭の数字	1	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	数詞＋助数詞	1階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	数詞＋助数詞	3階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	数詞＋助数詞	4階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	数詞＋助数詞	5階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	§6の語（三豊百貨店）	階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	§6の語（三豊百貨店）	階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	§6の語（三豊百貨店）	階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c204-3	§6の語（三豊百貨店）	階	1階から3階が売り場、4階と5階がスポーツ施設だった。
c205-1	文頭の数字	2	2つの棟は、真ん中のガラス張りの通路でつながっていた。
c205-1	数詞＋助数詞	2つ	2つの棟は、真ん中のガラス張りの通路でつながっていた。
c205-1	§6の語（三豊百貨店）	棟	2つの棟は、真ん中のガラス張りの通路でつながっていた。
c205-2	同形異音語（一般）	物	正面から見ると、門のような形に見える建物である。
c205-3	§6の語（三豊百貨店）	板	なお、この先に出てくる看板は、崩れずに残った南の棟のものだ。
c205-3	§6の語（三豊百貨店）	棟	なお、この先に出てくる看板は、崩れずに残った南の棟のものだ。
c206-1	同形異音語（一般）	下	地下の2つの階は、まるごと駐車場だった。とめられる車は524台。
c206-1	数詞＋助数詞	2つ	地下の2つの階は、まるごと駐車場だった。とめられる車は524台。
c206-1	§6の語（三豊百貨店）	階	地下の2つの階は、まるごと駐車場だった。とめられる車は524台。
c206-2	同形異音語（一般）	上	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	同形異音語（一般）	下	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	同形異音語（一般）	上	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	数詞＋助数詞	1階	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	数詞＋助数詞	5階	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	§6の語（三豊百貨店）	階	客が入るのは、その上の、地下1階から地上5階までである。
c206-2	§6の語（三豊百貨店）	階	客が入るのは、その上の、地下1階から地上5階までである。
c207-1	数詞＋助数詞	6つ	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c207-1	数詞＋助数詞	5階	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c207-1	§6の語（三豊百貨店）	階	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c207-1	§6の語（三豊百貨店）	階	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c207-2	同形異音語（一般）	事	最上階であり、この動画でいちばん大事な階になる。
c207-2	§6の語（三豊百貨店）	階	最上階であり、この動画でいちばん大事な階になる。
c207-2	§6の語（三豊百貨店）	階	最上階であり、この動画でいちばん大事な階になる。
c208-1	同形異音語（一般）	下	売り場には、催しごとの垂れ幕がいくつも下がっていた。
c208-2	文頭の数字	5	5階にも特設の売り場があったことが、写真から分かる。
c208-2	数詞＋助数詞	5階	5階にも特設の売り場があったことが、写真から分かる。
c208-2	§6の語（三豊百貨店）	階	5階にも特設の売り場があったことが、写真から分かる。
c209-1	同形異音語（一般）	人	会員として名前を登録していた人は、7万6,500人をこえていた。
c209-1	同形異音語（一般）	人	会員として名前を登録していた人は、7万6,500人をこえていた。
c209-1	数詞＋助数詞	500人	会員として名前を登録していた人は、7万6,500人をこえていた。
c209-1	桁区切りの数	6,500	会員として名前を登録していた人は、7万6,500人をこえていた。
c210-1	同形異音語（一般）	上	売り上げは、全国の百貨店で7番目だった。
c210-1	同形異音語（一般）	目	売り上げは、全国の百貨店で7番目だった。
c210-1	§6の語（三豊百貨店）	百貨店	売り上げは、全国の百貨店で7番目だった。
c210-2	同形異音語（一般）	一	一つの売り場としての大きさでいえば、
