行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
pr09-2	読み一致		ツバサニアナガヒライテエルトハシラナイママダッタ	ツバサニアナガヒライテエルトハシラナイママダッタ	翼に穴が開いているとは、知らないままだった。	翼に穴が開いているとは知らないままだった。
pr10-1	読み一致		イインカイハジョオインノサイゴノコマカイジジツハコオヒョオシナイトキメテエル	イインカイハジョオインノサイゴノコマカイジジツハコオヒョオシナイトキメテエル	委員会は、乗員の最期の細かい事実は公表しないと決めている。	委員会は上院の最後の細かい事実は公表しないと決めている。
pr10-2	読みが違う	コ→ド	ココデモソノセンハコエナイ	ドコデモソノセンハコエナイ	ここでも、その線は越えない。	どこでもその線は越えない。
pr11-1	読み一致		セボネニナルノハサツノホオコクショデアル	セボネニナルノハサツノホオコクショデアル	背骨になるのは、1冊の報告書である。	背骨になるのは一冊の報告書である。
pr11-2	読み一致		アメリカガツクッタドクリツノチョオサイインカイガネンツキニダシタ	アメリカガツクッタドクリツノチョオサイインカイガネンツキニダシタ	アメリカが作った独立の調査委員会が、2003年8月に出した。	アメリカが作った独立の調査委員会が2003年8月に出した
pr11-3	読み一致		ココデハジコチョオサイインカイトヨブ	ココデハジコチョオサイインカイトヨブ	ここでは、事故調査委員会と呼ぶ。	ここでは事故調査委員会と呼ぶ。
pr12-1	読み一致		オイカケルノハフタツノトイデアル	オイカケルノハフタツノトイデアル	追いかけるのは、二つの問いである。	追いかけるのは二つの問いである。
pr12-2	読み一致		ヒトツカケラヒトツデナゼキタイガコワレタノカ	ヒトツカケラヒトツデナゼキタイガコワレタノカ	一つ。かけら一つで、なぜ機体が壊れたのか。	一つ。 欠片一つでなぜ機体が壊れたのか。
pr12-3	読み一致		フタツキヅクキカイハホントオニナカッタノカ	フタツキヅクキカイハホントオニナカッタノカ	二つ。気づく機会は、本当に無かったのか。	二つ。気づく機会は本当になかったのか？
c101-1	読み一致		コロンビアゴオガハジメテトンダノハネンツキニチ	コロンビアゴオガハジメテトンダノハネンツキニチ	コロンビア号が初めて飛んだのは、1981年4月12日。	コロンビア号が初めて飛んだのは 1981年4月12日
c101-2	読み一致		ウチュウヘデタサイショノスペエスシャトルダッタ	ウチュウヘデタサイショノスペエスシャトルダッタ	宇宙へ出た、最初のスペースシャトルだった。	宇宙へ出た最初のスペースシャトルだった。
c102-1	読み一致		ノッタノハジョンヤングトロバアトクリッペンノニン	ノッタノハジョンヤングトロバアトクリッペンノニン	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。	乗ったのはジョン・ヤングとロバート・クリッペンの二人。
c102-2	読み一致		ニチアマリマワリカリフォルニアノクウグンキチニオリタ	ニチアマリマワリカリフォルニアノクウグンキチニオリタ	2日あまり回り、カリフォルニアの空軍基地に降りた。	二日余り回り、カリフォルニアの空軍基地に降りた。
c103-1	読み一致		スペエスシャトルハツノブヒンデクミニナッテエル	スペエスシャトルハミッツノブヒンデクミニナッテエル	スペースシャトルは、3つの部品で1組になっている。	スペースシャトルは三つの部品で一組になっている。
c103-2	読み一致		ヒトガノルオオビタネンリョオヲタメルガイブタンク	ヒトガノルオオビタネンリョオヲタメルガイブタンク	人が乗るオービタ。燃料をためる外部タンク。	人が乗るオービタ、燃料を溜める外部タンク
c103-3	読みが違う	—→ア	ウチアゲヲニナウコタイロケットブウスタガホン	ウチアゲヲニナウコタイロケットブウスタアガホン	打ち上げを担う、固体ロケットブースタが2本。	打ち上げを担う固体ロケットブースターが二本。
c104-1	読み一致		オオビタハコガタノリョカクキホドノオオキサガアル	オオビタハコガタノリョカクキホドノオオキサガアル	オービタは、小型の旅客機ほどの大きさがある。	オービタは小型の旅客機ほどの大きさがある。
c104-2	読み一致		シャトルゼンタイデハブヒンガテンデンセンガヤクキロ	シャトルゼンタイデハブヒンガテンデンセンガヤクキロ	シャトル全体では、部品が250万点、電線が約370キロ。	シャトル全体では部品が二百五十万点、電線が約三百七十キロ
c105-1	読み一致		ウチアゲノトキノオモサハヤクトン	ウチアゲノトキノオモサハヤクトン	打ち上げのときの重さは、約2,040トン。	打ち上げの時の重さは約二千四十トン。
c105-2	読み一致		ソレヲフンアマリデオトノバイノハヤサマデカソクスル	ソレヲフンアマリデオトノバイノハヤサマデカソクスル	それを8分あまりで、音の25倍の速さまで加速する。	それを八分余りで音の二十五倍の速さまで加速する。
c106-1	読み一致		イチバンオオキイノハマンナカノオレンジショクノガイブタンクデアル	イチバンオオキイノハマンナカノオレンジショクノガイブタンクデアル	いちばん大きいのは、真ん中のオレンジ色の外部タンクである。	一番大きいのは真ん中のオレンジ色の外部タンクである。
c106-2	読みが違う	—→テン／—→テン	ゼンチョオハヤクメエトルフトサハヤクメエトルアル	ゼンチョオハヤクテンメエトルフトサハヤクテンメエトルアル	全長は約46.9メートル、太さは約8.4メートルある。	全長は約四十六点九メートル、太さは約八点四メートルある。
c107-1	読み一致		エキタイサンソハマイナスドエキタイスイソハマイナスド	エキタイサンソハマイナスドエキタイスイソハマイナスド	液体酸素はマイナス183度、液体水素はマイナス253度。	液体酸素はマイナス百八十三度、液体水素はマイナス二百五十三度。
c107-2	読み一致		ワカサズソトニコオリヲツクラナイタメニダンネツザイデオオッテアル	ワカサズソトニコオリヲツクラナイタメニダンネツザイデオオッテアル	沸かさず、外に氷を作らないために、断熱材で覆ってある。	沸かさず外に氷を作らないために断熱材で覆ってある。
c108-1	読み一致		ダンネツザイハヨクキイテエテヒョオメンハスコシヒンヤリスルテエド	ダンネツザイハヨクキイテエテヒョオメンハスコシヒンヤリスルテエド	断熱材はよく効いていて、表面は少しひんやりする程度。	断熱材はよく効いていて、表面は少しひんやりする程度。
c108-2	読みが違う	—→テン	アツサハヤクセンチインチホドシカナイ	アツサハヤクテンセンチインチホドシカナイ	厚さは約2.5センチ（1インチ）ほどしかない。	厚さは約二点五センチ、一インチほどしかない。
c109-1	読みが違う	オオ→タイビ／ハ→ガ	オオビタノサキトガイブタンクハホンノシチュウデツナイデアル	タイビビタノサキトガイブタンクガホンノシチュウデツナイデアル	オービタの先と外部タンクは、2本の支柱でつないである。	大尾びたの先と外部タンクが二本の支柱でつないである。
c109-2	読み一致		バイポッドトイウソノツケネダケハキカイデフキツケラレナイ	バイポッドトイウソノツケネダケハキカイデフキツケラレナイ	バイポッドという。その付け根だけは、機械で吹き付けられない。	バイポッドというその付け根だけは機械で吹き付けられない。
c109-3	読み一致		ヒトノテデフキツケカワカシテカラテデケズッテカタチヲツクッテエタ	ヒトノテデフキツケカワカシテカラテデケズッテカタチヲツクッテエタ	人の手で吹き付け、乾かしてから、手で削って形を作っていた。	人の手で吹き付け、乾かしてから手で削って形を作っていた。
c110-1	読み一致		ソノテヅクリノモリアガリヲシラベルホオホオハヒトツダケダッタ	ソノテヅクリノモリアガリヲシラベルホオホオハヒトツダケダッタ	その手作りの盛り上がりを調べる方法は、ひとつだけだった。	その手作りの盛り上がりを調べる方法は一つだけだった。
c110-2	読み一致		ケンサハメデミルダケダッタ	ケンサハメデミルダケダッタ	検査は、目で見るだけだった	検査は目で見るだけだった。
c111-1	読みが違う	フチ→エン	ツバサノマエノフチハトイウタンソノイタデデキテエル	ツバサノマエノエンハトイウタンソノイタデデキテエル	翼の前のふちは、RCCという炭素の板でできている。	翼の前の縁はRCCという炭素の板でできている。
c111-2	読みが違う	キョオ→リュウ	キョオカタンソタンソトイウザイリョオノリャクデカタホオノツバサニマイガナラブ	リュウカタンソタンソトイウザイリョオノリャクデカタホオノツバサニマイガナラブ	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。	硫化炭素炭素という材料の略で、片方の翼に二十二枚が並ぶ。
c112-1	読みが違う	フチ→エン	ウチュウカラタイキケンヘモドルサイトツニュウノトキキシュトツバサノマエノフチハドヲコエル	ウチュウカラタイキケンヘモドルサイトツニュウノトキキシュトツバサノマエノエンハドヲコエル	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。	宇宙から大気圏へ戻る再突入の時、機首と翼の前の縁は千五百度を超える。
c112-2	読み一致		ナカノアルミノホネグミハヤクドデトケテシマウ	ナカノアルミノホネグミハヤクドデトケテシマウ	中のアルミの骨組みは、約650度で溶けてしまう。	中のアルミの骨組みは約六百五十度で溶けてしまう。
c112-3	読み一致		ハソノホネグミヲヤクドヨリシタニタモツタメニアル	ハソノホネグミヲヤクドヨリシタニタモツタメニアル	RCCは、その骨組みを約177度より下に保つためにある。	RCCはその骨組みを約百七十七度より下に保つためにある。
c113-1	読み一致		ノセッケエノキマリニハタエルベキチカラガカイテアル	ノセッケエノキマリニハタエルベキチカラガカイテアル	RCCの設計の決まりには、耐えるべき力が書いてある。	RCCの設計の決まりには耐えるべき力が書いてある。
c113-2	読みが違う	ネ→ナタイ	ソノネハジュウルエンダマヲセンチオトスホドノチカラ	ソノナタイハジュウルイチエンダマヲセンチオトスホドノチカラ	その値は0.008ジュール。1円玉を80センチ落とすほどの力。	その名帯は0.08ジュール。一円玉を八十センチ落とすほどの力。
c113-3	読み一致		ハヘンヤコオリガブツカルコトハソオテエニハイッテエナカッタ	ハヘンヤコオリガブツカルコトハソオテエニハイッテエナカッタ	破片や氷がぶつかることは、想定に入っていなかった。	破片や氷がぶつかることは想定に入っていなかった。
c114-1	読み一致		コロンビアゴオハツクラレタキノオチイチバンフルイ	コロンビアゴオハツクラレタキノオチイチバンフルイ	コロンビア号は、作られた5機のうちいちばん古い。	コロンビア号は作られた五機のうち一番古い。
c114-2	読み一致		ツヅイテチャレンジャアゴオディスカバリイゴオアトランティスゴオ	ツヅイテチャレンジャアゴオディスカバリイゴオアトランティスゴオ	続いてチャレンジャー号、ディスカバリー号、アトランティス号。	続いてチャレンジャー号、ディスカバリー号、アトランティス号
c114-3	読み一致		ウチキハネンニウシナワレカワリノキタイガネンニクワワッタ	ウチキハネンニウシナワレカワリノキタイガネンニクワワッタ	うち1機は1986年に失われ、代わりの機体が1992年に加わった。	うち一機は 1986年に失われ、代わりの機体が 1992年に加わった。
c115-1	読み一致		コロンビアゴオダケフルイキジュンデツクラレテエテキタイガオモカッタ	コロンビアゴオダケフルイキジュンデツクラレテエテキタイガオモカッタ	コロンビア号だけ、古い基準で作られていて機体が重かった。	コロンビア号だけ古い基準で作られていて機体が重かった。
c115-2	読み一致		ナカニキミツシツヲノコシテエタタダキノキタイデモアッタ	ナカニキミツシツヲノコシテエタタダキノキタイデモアッタ	中に気密室を残していた、ただ1機の機体でもあった。	中に機密室を残していたただ一機の機体でもあった。
c116-1	読み一致		コクサイウチュウステエションノキドオヘハトドクガニモツヲオオクハコベナイ	コクサイウチュウステエションノキドオヘハトドクガニモツヲオオクハコベナイ	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。
c116-2	読み一致		ダカラコノキタイハケンキュウノタメノヒコオニオオクツカワレタ	ダカラコノキタイハケンキュウノタメノヒコオニオオクツカワレタ	だからこの機体は、研究のための飛行に多く使われた。	だからこの機体は研究のための飛行に多く使われた。
c117-1	読み一致		ネンツキコロンビアゴオハハツヒコオカラネンメニハイッテエタ	ネンツキコロンビアゴオハハツヒコオカラネンメニハイッテエタ	2003年1月、コロンビア号は初飛行から22年目に入っていた。	2003年1月、コロンビア号は初飛行から二十二年目に入っていた。
c117-2	読み一致		ドオタイノシタヲマモルタイネツタイルハトハベツモノパアセントイジョオガトオジノママ	ドオタイノシタヲマモルタイネツタイルハトハベツモノパアセントイジョオガトオジノママ	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。	胴体の下を守る耐熱タイルはRCCとは別物。 四十四パーセント以上が当時のまま。
c118-1	読みが違う	フチ→エン	ツバサノマエノフチノモマイノオチマイガトオジノモノ	ツバサノマエノエンノモマイノオチマイガトオジノモノ	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。	翼の前の縁のRCCも四十四枚のうち四十一枚が当時のもの。
c118-2	読み一致		ソシテコノヒコオハコロンビアゴオニトッテカイメダッタ	ソシテコノヒコオハコロンビアゴオニトッテカイメダッタ	そしてこの飛行は、コロンビア号にとって28回目だった。	そしてこの飛行はコロンビア号にとって28回目だった。
c201-1	読みが違う	—→シチガ／キ→—	コノヒコオハモトモトネンツキニチニアガルハズダッタ	コノヒコオハモトモトネンシチガツニチニアガルハズダッタ	この飛行は、もともと2002年7月19日に上がるはずだった。	この飛行はもともと二千二年七月十九日に上がるはずだった。
c201-2	読み一致		ソノカゲツマエシュエンジンノハイカンニヒビガミツカリゼンキガカゲツトマル	ソノカゲツマエシュエンジンノハイカンニヒビガミツカリゼンキガカゲツトマル	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。	その一ヶ月前、主エンジンの配管にヒビが見つかり、全機が四ヶ月止まる。
c201-3	読みが違う	—→イチガ／キ→—	ウチュウステエションノビンガサキニマワサレアガッタノハハントシゴノネンツキニチ	ウチュウステエションノビンガサキニマワサレアガッタノハハントシゴノネンイチガツニチ	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。	宇宙ステーションの便が先に回され、上がったのは半年後の二〇〇三年一月十六日。
c202-1	読み一致		トオジツノアサニンハチジョオメエトルノタカサカラノリコンダ	トオジツノアサニンハチジョオメエトルノタカサカラノリコンダ	当日の朝、7人は地上59メートルの高さから乗り込んだ。	当日の朝、七人は地上五十九メートルの高さから乗り込んだ。
c203-1	読み一致		キオンハヤクドカゼハホトンドナイ	キオンハヤクドカゼハホトンドナイ	気温は約18度、風はほとんど無い。	気温は約十八度。風はほとんどない。
c203-2	読み一致		ウチアゲヲトメルリユウハドコニモナカッタ	ウチアゲヲトメルリユウハドコニモナカッタ	打ち上げを止める理由は、どこにも無かった。	打ち上げを止める理由はどこにもなかった。
c204-1	読みが違う	—→ア	ゴゼンジフンコタイロケットブウスタニヒガハイッタ	ゴゼンジフンコタイロケットブウスタアニヒガハイッタ	午前10時39分、固体ロケットブースタに火が入った。	午前十時三十九分、固体ロケットブースターに火が入った。
c204-2	読み一致		コロンビアゴオハカイメノシャトルヒコオニデタ	コロンビアゴオハカイメノシャトルヒコオニデタ	コロンビア号は、113回目のシャトル飛行に出た。	コロンビア号は百十三回目のシャトル飛行に出た。
c205-1	読みが違う	—→テン	ウチアゲカラビョオゴヒダリノバイポッドノツケネカラ	ウチアゲカラテンビョオゴヒダリノバイポッドノツケネカラ	打ち上げから81.7秒後。左のバイポッドの付け根から、	打ち上げから八十一点七秒後、左のバイポッドの付け根から
c205-2	読み一致		テデモッタダンネツザイガオオキナコトチイサナコイジョオニワレテトンダ	テデモッタダンネツザイガオオキナコトチイサナコイジョオニワレテトンダ	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。	手で持った断熱材が大きな一個と小さな二個以上に割れて飛んだ。
c206-1	読みが違う	ハ→ガ	ソノビョオゴカケラハヒダリノツバサニアタッタ	ソノビョオゴカケラガヒダリノツバサニアタッタ	その0.2秒後、かけらは左の翼に当たった。	その0.2秒後、欠片が左の翼に当たった。
c206-2	読みが違う	コオ→ソク／—→テン	コオドハヤクキロハヤサハオトノバイダッタ	ソクドハヤクキロハヤサハオトノテンバイダッタ	高度は約20キロ。速さは音の2.46倍だった。	速度は約二十キロ、速さは音の二点四六倍だった。
c206-3	読み一致		ソノビョオヲダレモミテエナイ	ソノビョオヲダレモミテエナイ	その0.2秒を、誰も見ていない	その0.2秒を誰も見ていない。
c207-1	読み一致		ダンネツザイハハナレタシュンカンマデキタイトオナジハヤサデトンデエタ	ダンネツザイハハナレタシュンカンマデキタイトオナジハヤサデトンデエタ	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。	断熱材は離れた瞬間まで機体と同じ速さで飛んでいた。
c207-2	読みが違う	—→テン	クウキニオサレテビョオデジソクヤクキロカラヤクキロヘオチル	クウキニオサレテテンビョオデジソクヤクキロカラヤクキロヘオチル	空気に押されて、0.2秒で時速約2,520キロから約1,640キロへ落ちる。	空気に押されて零点二秒で時速約二千五百二十キロから約一千六百四十キロへ落ちる。
c207-3	読み一致		サノブンダケキタイノホオガオイツイテブツカッタ	サノブンダケキタイノホオガオイツイテブツカッタ	差の分だけ、機体のほうが追いついてぶつかった。	差の分だけ機体の方が追いついてぶつかった。
c208-1	読みが違う	—→テン／フチ→エン	アタッタノハビョオゴヒダリノツバサノマエノフチ	アタッタノハテンビョオゴヒダリノツバサノマエノエン	当たったのは、81.9秒後。左の翼の前のふち。	当たったのは八十一点九秒後、左の翼の前の縁。
c208-2	読みが違う	マ→メ	ノイタデエエバマイメカラマイマノアタリ	ノイタデエエバマイメカラマイメノアタリ	RCCの板でいえば、5枚目から9枚目のあたり。	LCCの板で言えば五枚目から九枚目の辺り
c209-1	読み一致		カケラノナガサハヤクセンチハバハヤクセンチ	カケラノナガサハヤクセンチハバハヤクセンチ	かけらの長さは約53〜69センチ、幅は約30〜46センチ。	欠片の長さは約五十三to六十九センチ、幅は約三十to四十六センチ。
c209-2	読み一致		ザブトンホドノイタガマワリナガラオチテエッタ	ザブトンホドノイタガマワリナガラオチテエッタ	座布団ほどの板が、回りながら落ちていった。	座布団ほどの板が回りながら落ちていった。
c210-1	読みが違う	—→ト	ブツカッタトキノハヤサノサハジソクヤクキロ	ブツカッタトキノハヤサノサハジソクヤクトキロ	ぶつかったときの速さの差は、時速約670〜920キロ。	ぶつかった時の速さの差は時速約六百七十と九百二十キロ。
c210-2	読み一致		ダンネツザイハカルイダカラアタッテモヘエキダトオモワレテエタ	ダンネツザイハカルイダカラアタッテモヘエキダトオモワレテエタ	断熱材は軽い。だから、当たっても平気だと思われていた。	断熱材は軽い。だから当たっても平気だと思われていた。
c211-1	読み一致		ウチアゲカラジカンイナイニソノヒノエエゾオハカクニンサレテエル	ウチアゲカラジカンイナイニソノヒノエエゾオハカクニンサレテエル	打ち上げから2時間以内に、その日の映像は確認されている。	打ち上げから二時間以内にその日の映像は確認されている。
c211-2	読み一致		イジョオハナニモミツカラナカッタ	イジョオハナニモミツカラナカッタ	異常は、何も見つからなかった。	異常は何も見つからなかった。
c212-1	読み一致		ウチアゲヲトルバショハチジョオニカショアッタ	ウチアゲヲトルバショハチジョオニカショアッタ	打ち上げを撮る場所は、地上に12か所あった。	打ち上げを取る場所は地上に十二箇所あった。
c212-2	読みが違う	リ→—	リリクカラオイツヅケルヤクメハソノオチカショ	リクカラオイツヅケルヤクメハソノオチカショ	離陸から追い続ける役目は、そのうち5か所。	陸から追い続ける役目はそのうち五箇所
c212-3	読み一致		カクドトタイキノツゴオデカショハサイショカラウツセナイ	カクドトタイキノツゴオデカショハサイショカラウツセナイ	角度と大気の都合で、2か所は最初から写せない。	角度と大気の都合で二か所は最初から映せない。
c213-1	読み一致		ノコルカショノオチツハキタイヲミウシナッタ	ノコルカショノオチヒトツハキタイヲミウシナッタ	残る3か所のうち、1つは機体を見失った。	残る三か所のうち、一つは機体を見失った。
c213-2	読み一致		ツハレンズノテエレガタリズピントガアッテエナイ	ヒトツハレンズノテエレガタリズピントガアッテエナイ	1つはレンズの手入れが足りず、ピントが合っていない。	一つはレンズの手入れが足りず、ピントが合っていない。
c213-3	読み一致		ツハヒダリノツバサノオワガワシカウツッテエナカッタ	ヒトツハヒダリノツバサノオワガワシカウツッテエナカッタ	1つは、左の翼の上側しか写っていなかった。	一つは左の翼の上側しか映っていなかった。
c214-1	読み一致		ヨサントカメラハンノジンインガケズラレテエタ	ヨサントカメラハンノジンインガケズラレテエタ	予算とカメラ班の人員が削られていた。	予算とカメラ班の人員が削られていた。
c214-2	読みが違う	ア→マ／ッ→—	アガッテエクシャトルヲオオチカラハネンネンオチテエッタトミラレル	マガッテエクシャトルヲオオチカラハネンネンオチテエタトミラレル	上がっていくシャトルを追う力は、年々落ちていったとみられる。	曲がっていくシャトルを追う力は年々落ちていたと見られる。
c215-1	読み一致		イッポオキドオニハイッタコロンビアゴオニカワッタヨオスハナカッタ	イッポオキドオニハイッタコロンビアゴオニカワッタヨオスハナカッタ	一方、軌道に入ったコロンビア号に、変わった様子は無かった。	一方、軌道に入ったコロンビア号に変わった様子はなかった。
c215-2	読み一致		ジョオインハニチカンノクラシノシタクヲハジメテエル	ジョオインハニチカンノクラシノシタクヲハジメテエル	乗員は16日間の暮らしの支度を始めている。	乗員は十六日間の暮らしの支度を始めている。
c216-1	読みが違う	ジ→トキ／アイダ→マ	ヒコオニチメノゴゼンジハンカラジノアイダナニカガハナレタ	ヒコオニチメノゴゼンジハンカラトキノマナニカガハナレタ	飛行2日目の午前10時半から11時のあいだ、何かが離れた。	飛行二日目の午前十時半から十一時の間、何かが離れた。
c216-2	読みが違う	アト→ノチ	ジコノアトクウグンノレエダアノキロクヲシラベナオシテワカッタコトデアル	ジコノノチクウグンノレエダアノキロクヲシラベナオシテワカッタコトデアル	事故のあと、空軍のレーダーの記録を調べ直して分かったことである。	事故の後、空軍のレーダーの記録を調べ直してわかったことである。
c217-1	読み一致		ヒコオショニチブラウンヒコオシハガイブタンクガハナレルヨオスヲトッテエタ	ヒコオショニチブラウンヒコオシハガイブタンクガハナレルヨオスヲトッテエタ	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。
c217-2	読み一致		チジョオヘオクッタノハソノオチビョオブンダケ	チジョオヘオクッタノハソノオチビョオブンダケ	地上へ送ったのは、そのうち35秒分だけ。	地上へ送ったのはそのうち35秒分だけ。
c217-3	読み一致		イインカイハモットトッテエタハズダトケツロンシテエル	イインカイハモットトッテエタハズダトケツロンシテエル	委員会は「もっと撮っていたはずだ」と結論している。	委員会はもっと取っていたはずだと結論している。
c218-1	読み一致		ダガチジョオカラノコリノエエゾオヲオクッテクレトタノンダモノハイナカッタ	ダガチジョオカラノコリノエエゾオヲオクッテクレトタノンダモノハイナカッタ	だが地上から、残りの映像を送ってくれと頼んだ者はいなかった。	だが、地上から残りの映像を送ってくれと頼んだ者はいなかった。
c218-2	読み一致		イインカイハフセゲタカモシレナイキカイヲツカゾエテエルソノバンメデアル	イインカイハフセゲタカモシレナイキカイヲヤッツカゾエテエルソノバンメデアル	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。	委員会は防げたかもしれない機会を八つ数えている。その二番目である。
c219-1	読み一致		ダンネツザイガハガレルコトジタイハハジメテデハナイ	ダンネツザイガハガレルコトジタイハハジメテデハナイ	断熱材がはがれること自体は、初めてではない。	断熱材が剥がれること自体は初めてではない。
c219-2	読み一致		エエゾオデタシカメラレルカイノヒコオノオチワリチョオデナニカガハガレテエタ	エエゾオデタシカメラレルカイノヒコオノオチワリチョオデナニカガハガレテエタ	映像で確かめられる79回の飛行のうち、8割超で何かがはがれていた。	映像で確かめられる七十九回の飛行のうち、八割超で何かが剥がれていた。
c220-1	読み一致		バイポッドノツケネガマルゴトオチタノハワカルカギリカイ	バイポッドノツケネガマルゴトオチタノハワカルカギリカイ	バイポッドの付け根が丸ごと落ちたのは、分かる限り7回。	バイポッドの付け根が丸ごと落ちたのはわかる限り七回
c220-2	読みが違う	ネン→トシ／センチ→—	サイショハネンヤクカケルセンチガカケテエル	サイショハトシヤクカケルガカケテエル	最初は1983年。約48×30センチが欠けている。	最初は年、約四十八かける三十cmが欠けている。
c221-1	読み一致		ミギノバイポッドカラハドモオチテエナイ	ミギノバイポッドカラハドモオチテエナイ	右のバイポッドからは、一度も落ちていない。	右のバイポッドからは一度も落ちていない。
