行	型	該当	本文
c209-3	EL_YOMI 既存	1968年→せんきゅうひゃくろくじゅうはちねん×1	係員は、1968年からこの会社で働いていた。
c210-1	同形異音語（実績）	話	係員は、事故の3日後、調べに対してこう話している。
c210-1	数詞＋助数詞	3日	係員は、事故の3日後、調べに対してこう話している。
c210-1	EL_YOMI 既存	3日後→みっかご×1	係員は、事故の3日後、調べに対してこう話している。
c210-2	同形異音語（一般）	下	ボタンを押すとドアが下りて収まり、カチッと鳴った。それから錠のレバーを倒した。
c211-1	同形異音語（実績）	話	のちの補足の供述では、レバーを倒そうとしたが、立つ位置が悪かったと話す。
c212-1	文頭の数字	3	3月6日の供述で、係員はこう言い切っている。
c212-1	同形異音語（一般）	日	3月6日の供述で、係員はこう言い切っている。
c212-1	数詞＋助数詞	3月	3月6日の供述で、係員はこう言い切っている。
c212-1	数詞＋助数詞	6日	3月6日の供述で、係員はこう言い切っている。
c212-1	EL_YOMI 既存	3月6日→三月むいか×1	3月6日の供述で、係員はこう言い切っている。
c213-1	同形異音語（一般）	下	このドアの下には、小さなのぞき窓がある。
c215-1	同形異音語（実績）	方	閉め方は、会社の職長が、班の全員の前でやって見せて教えた。
c216-2	同形異音語（実績）	話	本人は、毎便確かめていたと話す。ピンは白く光り、かなりよく見えるという。
c216-2	同形異音語（一般）	人	本人は、毎便確かめていたと話す。ピンは白く光り、かなりよく見えるという。
c217-1	同形異音語（実績）	話	ただ、荷物の会社の職長は、その確認はときどきしかしていなかった、と話す。
c217-1	同形異音語（一般）	物	ただ、荷物の会社の職長は、その確認はときどきしかしていなかった、と話す。
c217-2	同形異音語（一般）	日	そしてこの日、その主任整備士は、研修でイスタンブールに行っていて、いなかった。
c217-2	§6の語（テネリフェ）	行って	そしてこの日、その主任整備士は、研修でイスタンブールに行っていて、いなかった。
c218-1	数詞＋助数詞	1人	代わりに、イスタンブールから同じ機体に、整備士が1人乗ってきていた。
c218-1	§6の語（9.11）	機体	代わりに、イスタンブールから同じ機体に、整備士が1人乗ってきていた。
c218-1	EL_YOMI 既存	1人乗って→ひとり乗って×1	代わりに、イスタンブールから同じ機体に、整備士が1人乗ってきていた。
c218-2	同形異音語（一般）	人	係員が閉めたあと、その整備士も、ほかの乗員も、窓を確かめるのを見た人はいない。
c218-2	§6の語（9.11）	乗員	係員が閉めたあと、その整備士も、ほかの乗員も、窓を確かめるのを見た人はいない。
c219-1	§6の語（コロンビア号）	報告書	しかも報告書は、作業のあとで窓をのぞくには、足場が要ったはずだ、と書く。
c219-2	同形異音語（一般）	人	その整備士も、乗員の1人として981便に乗っていた。
c219-2	数詞＋助数詞	1人	その整備士も、乗員の1人として981便に乗っていた。
c219-2	§6の語（9.11）	乗員	その整備士も、乗員の1人として981便に乗っていた。
c219-2	EL_YOMI 既存	981便→きゅうはちいちびん×1	その整備士も、乗員の1人として981便に乗っていた。
c219-2	EL_YOMI 既存	1人→ひとり×1	その整備士も、乗員の1人として981便に乗っていた。
c220-1	数詞＋助数詞	12時	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-1	数詞＋助数詞	30分	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-1	数詞＋助数詞	30秒	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-1	§6の語（テネリフェ）	滑走路	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-1	EL_YOMI 既存	12時30分30秒→じゅうにじ さんじゅっぷん さんじゅうびょう×1	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-1	EL_YOMI 既存	981便→きゅうはちいちびん×1	昼の12時30分30秒、981便は東へ向かって滑走路を飛び立った。
c220-2	数詞＋助数詞	55分	ドアが閉められてから、およそ55分後のことだった。
c220-2	EL_YOMI 既存	55分後→ごじゅうごふんご×1	ドアが閉められてから、およそ55分後のことだった。
c221-1	§6の語（コロンビア号）	報告書	報告書の本文は、係員の言葉をこう記している。
c222-1	鉤括弧	「	では、なぜ、そのドアは「閉まっている」ように見えたのか。
c222-1	鉤括弧	」	では、なぜ、そのドアは「閉まっている」ように見えたのか。
c301-1	§6の語（コロンビア号）	報告書	報告書の写真で、ドアの場所を確かめておく。
c301-2	同形異音語（実績）	側	線の先が、後ろの左側の貨物ドアだ。
c301-2	同形異音語（一般）	物	線の先が、後ろの左側の貨物ドアだ。
c302-1	同形異音語（実績）	側	ドアは、外側へ大きく開く。荷物の出し入れは、ここから行う。
c302-1	同形異音語（一般）	物	ドアは、外側へ大きく開く。荷物の出し入れは、ここから行う。
c303-1	鉤括弧	「	高い空では、機内の空気の圧力を、外より高く保っている。これを「与圧」という。
c303-1	鉤括弧	」	高い空では、機内の空気の圧力を、外より高く保っている。これを「与圧」という。
c303-1	§6の語（コロンビア号）	圧力	高い空では、機内の空気の圧力を、外より高く保っている。これを「与圧」という。
c303-2	§6の語（コロンビア号）	圧力	その圧力の差は、ドアを外へ押し出す力になる。
c304-1	同形異音語（一般）	下	その力に耐えるのは、ドアの下の縁にある、4つのフックだ。
c304-1	数詞＋助数詞	4つ	その力に耐えるのは、ドアの下の縁にある、4つのフックだ。
c304-1	EL_YOMI 既存	4つ→よっつ×1	その力に耐えるのは、ドアの下の縁にある、4つのフックだ。
c304-2	同形異音語（実績）	側	フックが胴体の側に引っかかって、ドアを留めている。
c305-2	同形異音語（実績）	側	電気のモーターがフックを回して、胴体の側に引っかける。
c306-1	同形異音語（一般）	目	次に、外のハンドルを倒す。このハンドルには、3つの役目がある。
c306-1	数詞＋助数詞	3つ	次に、外のハンドルを倒す。このハンドルには、3つの役目がある。
c306-1	EL_YOMI 既存	3つ→みっつ×1	次に、外のハンドルを倒す。このハンドルには、3つの役目がある。
c306-2	数詞＋助数詞	3つ	ピンを差す、通気扉を閉める、灯りを消す。この3つを、ひと動きで行う。
c306-2	EL_YOMI 既存	3つ→みっつ×1	ピンを差す、通気扉を閉める、灯りを消す。この3つを、ひと動きで行う。
c307-1	文頭の数字	1	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c307-1	同形異音語（一般）	目	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c307-1	数詞＋助数詞	1つ	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c307-1	鉤括弧	「	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c307-1	鉤括弧	」	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c307-1	EL_YOMI 既存	1つ目→ひとつめ×1	1つ目。フックの後ろに「ロックピン」を差しこみ、フックが戻らないよう止める。
c308-1	文頭の数字	2	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-1	同形異音語（一般）	目	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-1	数詞＋助数詞	2つ	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-1	鉤括弧	「	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-1	鉤括弧	」	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-1	EL_YOMI 既存	2つ目→ふたつめ×1	2つ目。ドアについた、小さな「通気扉」を閉める。
c308-2	文頭の数字	3	3つ目。操縦室にある、ドアの警告灯を消す。
c308-2	同形異音語（一般）	目	3つ目。操縦室にある、ドアの警告灯を消す。
c308-2	数詞＋助数詞	3つ	3つ目。操縦室にある、ドアの警告灯を消す。
c308-2	§6の語（9.11）	操縦室	3つ目。操縦室にある、ドアの警告灯を消す。
c308-2	§6の語（テネリフェ）	操縦室	3つ目。操縦室にある、ドアの警告灯を消す。
c308-2	EL_YOMI 既存	3つ目→みっつめ×1	3つ目。操縦室にある、ドアの警告灯を消す。
c310-1	同形異音語（一般）	人	報告書の写真では、人が、あののぞき窓からピンを確かめている。
c310-1	§6の語（コロンビア号）	報告書	報告書の写真では、人が、あののぞき窓からピンを確かめている。
c310-2	数詞＋助数詞	1972年	この窓は、1972年の夏に、使われていたDC-10の全機に付けられた。
c310-2	英字・記号	DC	この窓は、1972年の夏に、使われていたDC-10の全機に付けられた。
c310-2	EL_YOMI 既存	1972年→せんきゅうひゃくななじゅうにねん×1	この窓は、1972年の夏に、使われていたDC-10の全機に付けられた。
c310-2	EL_YOMI 既存	DC-10→ディーシーテン×1	この窓は、1972年の夏に、使われていたDC-10の全機に付けられた。
c311-1	同形異音語（一般）	上	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-1	鉤括弧	「	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-1	鉤括弧	」	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-1	§6の語（9.11）	操縦室	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-1	§6の語（テネリフェ）	操縦室	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-1	§6の語（テネリフェ）	航空機関士	操縦室では、「航空機関士」の席の上のパネルに、このドアの警告灯がある。
c311-2	§6の語（9.11）	乗員	航空機関士は、エンジンや電気を受けもつ乗員だ。
c311-2	§6の語（テネリフェ）	航空機関士	航空機関士は、エンジンや電気を受けもつ乗員だ。
c313-2	§6の語（9.11）	機体	使われ始めた機体では、電気が弱くて回りきらないことが、何度か報告されていた。
c314-1	鉤括弧	「	報告書の図7は、そのときに何が起きるかを描いている。題は「無理に閉めた」。
c314-1	鉤括弧	」	報告書の図7は、そのときに何が起きるかを描いている。題は「無理に閉めた」。
c314-1	§6の語（コロンビア号）	報告書	報告書の図7は、そのときに何が起きるかを描いている。題は「無理に閉めた」。
c314-1	EL_YOMI 既存	図7→図なな×1	報告書の図7は、そのときに何が起きるかを描いている。題は「無理に閉めた」。
c317-2	文頭の数字	2	2年近く前の事故の調べでは、スイッチは3ミリに満たない動きで入ると分かった。
c317-2	数詞＋助数詞	2年	2年近く前の事故の調べでは、スイッチは3ミリに満たない動きで入ると分かった。
c317-2	数詞＋助数詞	3ミリ	2年近く前の事故の調べでは、スイッチは3ミリに満たない動きで入ると分かった。
c317-2	EL_YOMI 既存	2年近く前の事故の調べ→二年近く前の事故の調べ×1	2年近く前の事故の調べでは、スイッチは3ミリに満たない動きで入ると分かった。
c317-2	EL_YOMI 既存	スイッチは3ミリ→スイッチは さんミリ×1	2年近く前の事故の調べでは、スイッチは3ミリに満たない動きで入ると分かった。
c318-1	§6の語（コロンビア号）	報告書	フランスの報告書も、この設計では、通気扉が閉まり、錠がかかって見えても、
c319-1	同形異音語（一般）	上	その状態で飛び立つと、上るにつれて、機内と外の圧力の差が大きくなる。
c319-1	§6の語（コロンビア号）	圧力	その状態で飛び立つと、上るにつれて、機内と外の圧力の差が大きくなる。
c320-1	鉤括弧	「	ドアが外れると、貨物室の空気は一気に抜ける。これが「減圧」だ。
c320-1	鉤括弧	」	ドアが外れると、貨物室の空気は一気に抜ける。これが「減圧」だ。
c320-1	§6の語（コロンビア号）	貨物室	ドアが外れると、貨物室の空気は一気に抜ける。これが「減圧」だ。
c320-2	同形異音語（一般）	上	客室の床の上と下で、圧力の差が生まれる。
c320-2	同形異音語（一般）	下	客室の床の上と下で、圧力の差が生まれる。
c320-2	同形異音語（一般）	生	客室の床の上と下で、圧力の差が生まれる。
c320-2	§6の語（コロンビア号）	圧力	客室の床の上と下で、圧力の差が生まれる。
c320-2	§6の語（三豊百貨店）	床	客室の床の上と下で、圧力の差が生まれる。
c321-1	同形異音語（一般）	下	床は、その差に耐えきれずに、下の貨物室へ落ちる。
c321-1	§6の語（コロンビア号）	貨物室	床は、その差に耐えきれずに、下の貨物室へ落ちる。
c321-1	§6の語（三豊百貨店）	床	床は、その差に耐えきれずに、下の貨物室へ落ちる。
c321-2	同形異音語（一般）	下	床の下には、操縦のためのケーブルが、まとめて通っていた。
c321-2	§6の語（三豊百貨店）	床	床の下には、操縦のためのケーブルが、まとめて通っていた。
c401-1	文頭の数字	1	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	同形異音語（一般）	日	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	数詞＋助数詞	1971年	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	数詞＋助数詞	7月	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	数詞＋助数詞	28日	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	英字・記号	DC	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	EL_YOMI 既存	1971年7月28日→千九百七十一年 しちがつにじゅうはちにち×1	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	EL_YOMI 既存	1機受け取った→いっき受け取った×1	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-1	EL_YOMI 既存	DC-10→ディーシーテン×1	1971年7月28日、アメリカン航空は、新しいDC-10を1機受け取った。
c401-2	§6の語（9.11）	機体	機体ごとの番号、登録記号はN103AA。のちに、ドアの事故を起こす機体だ。
c401-2	§6の語（9.11）	機体	機体ごとの番号、登録記号はN103AA。のちに、ドアの事故を起こす機体だ。
c401-2	英字・記号	N	機体ごとの番号、登録記号はN103AA。のちに、ドアの事故を起こす機体だ。
c401-2	英字・記号	AA	機体ごとの番号、登録記号はN103AA。のちに、ドアの事故を起こす機体だ。
c401-2	EL_YOMI 既存	N103AA→エヌいちまるさんエーエー×1	機体ごとの番号、登録記号はN103AA。のちに、ドアの事故を起こす機体だ。
c402-1	同形異音語（一般）	物	だが、貨物ドアの弱点は、それより前から姿を見せていた。
c402-2	同形異音語（一般）	日	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c402-2	数詞＋助数詞	1970年	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c402-2	数詞＋助数詞	5月	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c402-2	数詞＋助数詞	29日	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c402-2	§6の語（三豊百貨店）	階	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c402-2	EL_YOMI 既存	1970年5月29日→せんきゅうひゃくななじゅうねん ごがつにじゅうくにち×1	最初は、1970年5月29日。まだ胴体を組み立てている段階の試験だった。
c403-1	同形異音語（一般）	上	組み立て中の胴体1号機に、地上で空気を詰めていく試験の最中に、
c403-1	EL_YOMI 既存	1号機→いちごうき×1	組み立て中の胴体1号機に、地上で空気を詰めていく試験の最中に、
c403-2	同形異音語（実績）	方	前方の貨物ドアが開いた。
c403-2	同形異音語（一般）	物	前方の貨物ドアが開いた。
c404-2	§6の語（コロンビア号）	圧力	錠が不完全で、ドアは機内の圧力で開いた
c405-1	§6の語（三豊百貨店）	床	ドアの近くで、客室の床が傷んだ。
c405-2	同形異音語（一般）	物	これを受けて、すべての貨物ドアに、あの通気扉が付けられた。
c406-1	英字・記号	FAA	この試験に、アメリカの航空の役所、FAAは立ち会っていなかった。
c406-2	英字・記号	FAA	のちに議会で、FAAの西部地域局長がそう証言している。
