行	key	val	前	後	前の聞取	後の聞取
c812-2	瓦礫	がれき	0.889	1.000	カラキの下から生きたまま一人が助け出されている。	瓦礫の下から生きたまま一人が助け出されている
pr10-3	報道	ほうどう	0.714	1.000	行動は使わない	報道は使わない。
ep08-3	裁判を	さいばんを	0.692	1.000	毎晩を交際へ差し戻している	裁判を高裁へ差し戻している
c901-1	瑞草区	ソチョく	0.800	0.829	飯塚区の区民会館に合同の昇降所が作られた	ソチョクの区民会館に合同の焼香所が作られた
pr01-2	瑞草区	ソチョく	0.957	0.851	韓国の首都ソウル水草区にあった百貨店が崩れ落ちた。	韓国の首都ソウル、ソチョクにあった百貨店が崩れ落ちた。
c707-3	地検	ちけん	0.807	0.807	事件の報告は四時によって十七時五十七分頃とも幅でも書いている。	試験の報告は四時によって十七時五十七分頃とも幅でも書いている。
c409-1	国会	こっかい	0.923	1.000	今回の報告書は完全に解体せず、一つ八トンの部品に分けて	国会の報告書は完全に解体せず、一つ八トンの部品に分けて
c805-2	手作業	てさぎょう	0.973	1.000	作業に切り替える。そう決めて進められた。	手作業に切り替える。そう決めて進められた。
c412-2	育った	そだった	0.743	0.824	冷却塔を引きずった後にヒビがそがった	冷却塔を引きずった後にヒビが育った。
c909-1	残った	のこった	0.909	0.955	凝った一つの年代だけで全体の半分を超えている。	残った一つの年代だけで全体の半分を超えている。
c819-3	数は	かずは	0.927	0.927	まずはこの時点でもまだ動いていたことになる。	カズはこの時点でもまだ動いていたことになる。
c820-1	数が	かずが	0.952	1.000	まずが動いたのは、同じ人を家族と職場が別々に届け出ていたからである。	数が動いたのは同じ人を家族と職場が別々に届け出ていたからである。
c321-2	建ったあと	たったあと	0.865	0.947	立った後手入れをするという段階ごとに	たったあと手入れをするという段階ごとに
c404-2	240キログラム	ニヒャクヨンジュッキログラム	0.958	0.980	百四十キログラムの荷物を載せる前提で設計されていた	二百四十キログラムの荷物を載せる前提で設計されていた
c814-2	377時間	サンビャクナナジュウナナ時間	0.941	1.000	877時間ぶりに生きて助け出された	三百七十七時間ぶりに生きて助け出された
c210-3	2番目	ニバンメ	0.955	1.000	ソウルのロッテ本店に次いで全国で番目であると	ソウルのロッテ本店に次いで全国で二番目である。
c614-1	1,439人	センヨンヒャクサンジュウキュウニン	0.872	0.895	後に数えられた被害者は千四社三十九人である。	後に数えられた被害者は千四百三十九人である。
c306-1	7万1,136	ナナマンセンヒャクサンジュウロク	0.902	0.898	ところが、許可の時は七万一千三百三十六平方メートルだった床が	ところが、許可の時は七万千百三十六平方メートルだった床が
c410-2	押え	おさえ	0.952	0.977	防水層の上にかぶせる覆えコンクリートである。	防水層の上にかぶせる押さえコンクリートである。
c514-1	止める力	とめる力	0.962	1.000	そこより深く沈むほど、床が垂れるのを溜める力は弱くなる。	そこより深く沈むほど、床が垂れるのを止める力は弱くなる。
c209-2	な店だったのか	な店 だったのか	0.894	0.957	どれくらい大きな店があったのかは次の数字でわかる。	どれくらい大きな店だったのかは次の数字でわかる。
c313-3	建て主	たてぬし	0.919	0.919	建主である三分建設が自分で行っている	建主である三分建設が自分で行っている
c104-1	建物の異変	たてものの異変	0.947	1.000	生物の異変はこの日が初めてではなかった。	建物の異変はこの日が初めてではなかった。
c811-1	行方不明者の	行方不明者 の	0.947	1.000	行方不明がの数はなかなか固まらなかった。	行方不明者の数はなかなか固まらなかった。
c707-3	地検の報告は	チケンの報告は	0.807	0.821	事件の報告は四時によって十七時五十七分頃とも幅でも書いている。	試験の報告は夜によって十七時五十七分頃とも幅でも書いている。
c707-3	頁によって	ページによって	0.807	0.793	事件の報告は四時によって十七時五十七分頃とも幅でも書いている。	治験の報告はページによって十七時五十七分頃とも幅でも書いている。
c321-1	白書には、図面	はくしょには、図面	0.857	1.000	各所には図面を書く、実際に建てる、それを見張る	白書には図面を描く、実際に建てる、それを見張る
c707-2	白書は17時	はくしょは17時	0.800	0.889	各所は十七時五十五分頃、国会の報告書は十七時五十二分	白書は十七時五十五分頃、国会の報告書は十七時五十二分
c815-1	白書によれば	はくしょによれば	0.920	1.000	各所によれば、助け出された三人はいずれも若い人だった。	白書によれば、助け出された三人はいずれも若い人だった。
c710-2	床	ゆか	1.000	1.000	先に落ちたのは屋上と五階の床だった。	先に落ちたのは屋上と五階の床だった
c112-2	床	ゆか	0.889	0.889	五階の柱の周りの床が十五センチ沈んだ	五階の柱の周りの床が十五センチ沈んだ
c520-1	床	ゆか	1.000	1.000	五階の床の鉄筋は壁の中へ六十四センチ入れる決まりだった。	五階の床の鉄筋は壁の中へ六十四センチ入れる決まりだった
c417-2	床	ゆか	0.960	0.960	その重さを直に受ける五階の柱と、柱と床の継ぎ目である	その重さを直に受ける五階の柱と柱と床の継ぎ目である
c102-2	北の棟	きたのむね	1.000	1.000	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場	北の棟が百貨店の売り場、南の棟がスポーツ施設と売り場。
c205-3	の棟	のむね	1.000	1.000	なお、この先に出てくる看板は崩れずに残った南の棟のものだ。	なお、この先に出てくる看板は崩れずに残った南の棟のものだ。
