行	テイク数	判定	各テイクの聞取	本文
c420-2	2	採用（文字起こしが台本と合う）	take1: 火葬地のそばに残ったのは起爆の準備をする班とその警備だけである。 || take2: 装置のそばに残ったのは起爆の準備をする班とその警備だけである。	装置のそばに残ったのは、起爆の準備をする班と、その警備だけである。
c421-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 起爆の班のほかは誰も艦長に残らない手順である。 || take2: 木爆の藩の他は誰も官庁に残らない手順である。 || take3: 起爆の班の他は誰も艦長に残らない手順である。	起爆の班のほかは、誰も環礁に残らない手順である。
c421-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 司令所は爆心から干潮の内側の海を挟んだ向こう岸にあった。 || take2: 司令所は爆心から干潮の内側の海を挟んだ向こう岸にあった。 || take3: 指令書は縛神から干潮の内側の海を挟んだ向こう岸にあった。	指令所は、爆心から、環礁の内側の海をはさんだ向こう岸にあった。
c505-2	1	採用（文字起こしが台本と合う）	take1: 二十階建てのビルがほぼ沈んでしまう深さである。	20階建てのビルが、ほぼ沈んでしまう深さである。
c513-1	1	採用（文字起こしが台本と合う）	take1: 爆心から海を挟んだ起爆の指令所の周りでも、1時間で放射線が強まった。	爆心から海をはさんだ、起爆の指令所のまわりでも、1時間で放射線が強まった。
c514-1	1	採用（文字起こしが台本と合う）	take1: 午前八時、南東の海で待っていた艦隊に灰が降り始めた。	午前8時、南東の海で待っていた艦隊に、灰が降りはじめた。
c519-1	2	採用（文字起こしが台本と合う）	take1: 愛を運ぶ雲は東へ流れていた。 || take2: 灰を運ぶ雲は東へ流れていた。	灰を運ぶ雲は、東へ流れていた。
c602-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 第五福竜丸。長さ三十メートルほどの木で作られた漁船である。 || take2: 第五、福竜丸。長さ三十メートルほどの木で作られた漁船である。 || take3: 第五福竜丸。長さ三十メートルほどの木で作られた漁船である。	第五福竜丸。長さ30メートルほどの、木で造られた漁船である。
c607-1	3	要耳（全テイク落ち・所見最少を採用）	take1: シナンシーの空に赤く明るい光が見えた。 || take2: 指南市の空に赤く明るい光が見えた。 || take3: 最南市の空に赤く明るい光が見えた。	西南西の空に、赤く明るい光が見えた。
c617-2	1	採用（文字起こしが台本と合う）	take1: この船は捜索から漏れていたようだと。	この船は、捜索から漏れていたようだ、と。
c622-1	1	採用（文字起こしが台本と合う）	take1: 灰を浴びてから二、三日のうちに全員が軽い頭痛を感じ	灰を浴びてから2、3日のうちに、全員が軽い頭痛を感じ、
c624-2	1	採用（文字起こしが台本と合う）	take1: 出港から五十一日後のことである。	出港から、51日後のことである。
c707-2	3	要耳（全テイク落ち・所見最少を採用）	take1: ほとんどのものが半袖半ズボンを長袖長ズボンに変えた || take2: ほとんどのものが半袖半ズボンを長袖長ズボンに考えた。 || take3: ほとんどのものが半袖半ズボンを長袖長ズボンに変えた。	ほとんどの者が、半そで半ズボンを長そで長ズボンに着がえた。
c713-1	2	採用（文字起こしが台本と合う）	take1: 夜八時頃、ドンゲリックから二通目の知らせが届いた。 || take2: 夜八時頃、ロンゲリックから二通目の知らせが届いた。	夜8時ごろ、ロンゲリックから2通目の知らせが届いた。
c713-2	3	要耳（全テイク落ち・所見最少を採用）	take1: パリは午後二時五十分から降り切れたままだという。 || take2: パリは午後二時五十分から降り切れたままだという。 || take3: アリは午後二時五十分から振り切れたままだという。	針は午後2時50分から、振り切れたままだという。
c716-1	1	採用（文字起こしが台本と合う）	take1: 翌二日の昼前、放射線の係を乗せた水上飛行機がロンゲリックの上を低く飛んだ。	翌2日の昼前、放射線の係を乗せた水上飛行機が、ロンゲリックの上を低く飛んだ。
c720-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 近くの艦長で漁をしていた十八人も後から駆逐艦に乗せられた。 || take2: 近くの艦長で漁をしていた十八人も後から駆逐艦に乗せられた。 || take3: 近くの艦長で漁をしていた十八人も後から駆逐艦に乗せられた。	近くの環礁で漁をしていた18人も、あとから駆逐艦に乗せられた。
c722-1	2	採用（文字起こしが台本と合う）	take1: アビタ放射線はロンゲラップの人々が一番多く、ウトリックのおよそ12倍。 || take2: 浴びた放射線はロンゲラップの人々が一番多く、ウトリックのおよそ十二倍。	浴びた放射線は、ロンゲラップの人々がいちばん多く、ウトリックのおよそ12倍。
c805-2	1	採用（文字起こしが台本と合う）	take1: 第五、福竜丸が持ち帰ったマグロからも放射能が見つかっていた。	第五福竜丸が持ち帰ったマグロからも、放射能が見つかっていた。
c806-2	1	採用（文字起こしが台本と合う）	take1: 船と魚を調べるためである。検査はその年の十二月の終わりまで続いた。	船と魚を調べるためである。検査は、その年の12月の終わりまで続いた。
c810-2	1	採用（文字起こしが台本と合う）	take1: 音が届くまでの時間が短いほど爆心に近かったことになる。	音が届くまでの時間が短いほど、爆心に近かったことになる。
c815-1	1	採用（文字起こしが台本と合う）	take1: ブラボーの後、危険区域は大きく広げられた。	ブラボーのあと、危険区域は大きく広げられた。
c815-2	1	採用（文字起こしが台本と合う）	take1: 実験場の辺りを中心にした半径八百三十三キロの扇形である。	実験場のあたりを中心にした、半径833キロの扇形である。
c816-1	1	採用（文字起こしが台本と合う）	take1: 船でただ一人無線の資格を持っていたのが無線長の久保山愛吉さんである。	船でただ一人、無線の資格を持っていたのが、無線長の久保山愛吉さんである。
c816-2	1	採用（文字起こしが台本と合う）	take1: 久保山さんは東京の病院で治療を受け続けた。	久保山さんは、東京の病院で治療を受け続けた。
c903-2	1	採用（文字起こしが台本と合う）	take1: ロンゲラップに上がる人たちは靴に覆いを巻いていた。	ロンゲラップに上がる人たちは、靴に覆いを巻いていた。
c906-1	1	採用（文字起こしが台本と合う）	take1: 島の人々を見た医師団の報告書にはこう書かれている。	島の人々を診た医師団の報告書には、こう書かれている。
c907-1	1	採用（文字起こしが台本と合う）	take1: ロンゲラップの人々のおよそ三人に二人が一日か二日のうちに吐き気を訴えた	ロンゲラップの人々のおよそ3人に2人が、1日か2日のうちに吐き気を訴えた。
c909-3	1	採用（文字起こしが台本と合う）	take1: その後は増え始めたが、七十六日目でも普通の値には届かなかった。	その後は増えはじめたが、76日目でもふつうの値には届かなかった。
c913-2	1	採用（文字起こしが台本と合う）	take1: ロンゲラップの住民は 1957年に戻った。	ロンゲラップの住民は、1957年に戻った
c915-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 二〇一三年の報告書が挙げるのは、予報が十分に見込まなかった高く登った雲の灰だ。 || take2: 二千十三年の報告書が挙げるのは、予報が十分に見込まなかった高く登った雲の配置。 || take3: 二千十三年の報告書が挙げるのは、予報が十分に見込まなかった高く登った雲の灰だ。	2013年の報告書が挙げるのは、予報が十分に見込まなかった、高く昇った雲の灰だ。
c916-2	1	採用（文字起こしが台本と合う）	take1: 実験を支えたアメリカ兵の一部に、外国の漁師に、そしてマーシャル諸島の人々に。	実験を支えたアメリカ兵の一部に、外国の漁師に、そしてマーシャル諸島の人々に。
c917-1	2	採用（文字起こしが台本と合う）	take1: 第五。古竜丸はその後、名前を変えて水産大学の船になった。 || take2: 第五。福竜丸はその後名前を変えて水産大学の船になった。	第五福竜丸は、その後、名前を変えて水産大学の船になった。
