行	key	val	判定	狙った音	巻き添えの疑い	前の聞取	後の聞取
c907-2	積荷	積み荷	採用	ツミニ	ガンペキ→イワカベ	岸壁に戻して、住処と残骸を下ろしていく。	岩壁に戻して積み荷と残骸を下ろしていく。
c819-2	外航船	がいこう船	効かなかった	ガイコオフネ	ソト→ガイ	マイコウ線の衝突に対する備えがなかったことを挙げている。	外交船の衝突に対する備えがなかったことを挙げている。
c901-1	航路	こうろ	効かなかった	コオロ		崩れた鋼とコンクリートは川の底と坑道を塞いだ。	崩れた鋼とコンクリートは川の底と坑道を塞いだ。
c607-2	甲板員	かんぱん員	採用	カンパンイン		選手尾にいたカンパニー一人が逃げる途中で軽い怪我を負っている。	船首にいた甲板員一人が逃げる途中で軽い怪我を負っている。
c316-1	甲板長	かんぱん長	採用	カンパンチョオ	センシュ→タムロモリ	店主には看板町が一人残った。	屯守には甲板長が一人残った。
c410-1	二等航海士	にとう航海士	効かなかった	ニトオコオカイシ		二等航海士と操舵士は聞いていると答えた。	二等航海士と操舵士は「聞いている」と答えた。
c108-1	橋台	きょうだい	採用	キョオダイ		両端の貸し台、土手のそばで橋を受ける台が二基、橋脚が三十六基	両端の橋台、土手のそばで橋を受ける台が二基、橋脚が三十六基
c112-1	崩落の前	ほうらくの前	採用	ホオラクノマエ		風邪薬の前の最後の検査は二千二十三年五月。	崩落の前の最後の検査は2023年5月
c613-2	力の道筋	ちからの道筋	採用	チカラノミチスジ		からの道筋から視点そのものが抜けた	力の道筋から視点そのものが抜けた。
c725-2	覆ったぶん	おおったぶん	採用	オオッタブン		ここをえった分だけ外回りが太くなる	覆った分だけ外回りが太くなる。
c804-2	柱に残った	はしらに残った	採用	ハシラニノコッタ		まひらに残ったのは表面の軽い傷だけである。	柱に残ったのは表面の軽い傷だけである。
c426-2	錨のブレーキ	いかりのブレーキ	採用	イカリノブレエキ		ミカのブレーキが開かなかった。	怒りのブレーキが開かなかった。
c108-1	の側	の がわ	採用	ノガワ	リョ→ド／タン→ハチ	両端の貸し台、土手のそばで橋を受ける台が二基、橋脚が三十六基	道八の橋台。土手の側で橋を受ける台が二基、橋脚が三十六基
pr12-2	259ページ	にひゃくごじゅうきゅうページ	効かなかった	ニヒャクゴジュウキュウペエジ		259ページの報告書だけでたどり	二百五十九ページの報告書だけでたどる
c809-2	35人	サンジュウゴにん	採用	サンジュウゴニン	タ→—	75人が亡くなった。	35人が亡くなっ
c308-2	6600ボルト	ろくせんろっぴゃくボルト	採用	ロクセンロッピャクボルト		Tasmak 六百ボルトの高圧の母線、電気を分ける幹の線につながっている	六千六百ボルトの高圧の母線、電気を分ける幹の線につながっている。
pr01-2	2769メートル	にせんななひゃくろくじゅうきゅうメートル	効かなかった	ニセンナナヒャクロクジュウキュウメエトル		全長二七六九メートルの橋が真ん中から川に落ちた	全長二千七百六十九メートルの橋が真ん中から川に落ちた。
c106-1	34121台	さんまんよんせんひゃくにじゅういち台	採用	サンマンヨンセンニジュウイチダイ		車線は四つ。 2023年の通行は一日当たり341 21台。	車線は四つ。二千二十三年の通行は一日当たり三万四千百二十一台。
c303-1	4679個	よんせんろっぴゃくななじゅうきゅう個	効かなかった	ヨンセンロッピャクナナジュウキュウコ		積んでいたのは四四曲六七九個のコンテナ。重さにして五万五千六百七十一トン。	積んでいたのは四千六百七十九個のコンテナ。重さにして五万五千六百七十一トン
c108-3	径間	けいかん	見送り（もともと正しい）	ケエカン		走路の上の三計観だけが鋼のトラスで組まれていた。	高炉の上の三径間だけが鋼のトラスで組まれていた。
c310-2	操舵ポンプ	そうだポンプ	見送り（もともと正しい）	ソオダポンプ	シュ→ジョオ	主機関の冷却水ポンプ、そしてソーダポンプ三台のうち二台である。	蒸気管の冷却水ポンプ、そしてそうだ、ポンプ三台のうち二台である。
