行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c108-2	読み一致		ヒガシノシマジマデモジュウミンニントアメリカヘエニンガハイノホオシャセンヲアビタ	ヒガシノシマジマデモジュウミンニニントアメリカヘエニンガハイノホオシャセンヲアビタ	東の島々でも、住民239人とアメリカ兵28人が、灰の放射線を浴びた。	東の島々でも住民に百三十九人とアメリカ兵二十八人が肺の放射線を浴びた。
c109-1	読み一致		コノドオガガオイカケルトイハフタツアル	コノドオガガオイカケルトイハフタツアル	この動画が追いかける問いは、二つある。	この動画が追いかける問いは二つある。
c109-2	読み一致		ヒトツミコミヲコエタイリョクガハイヲシマニフラセタノカ	ヒトツミコミヲコエタイリョクガハイヲシマニフラセタノカ	ひとつ。見込みを超えた威力が、灰を島に降らせたのか。	一つ、見込みを超えた威力が灰を島に降らせたのか。
c109-3	読み一致		フタツナニガハイヲヒトノスムシマヘハコンダノカ	フタツナニガハイヲヒトノスムシマヘハコンダノカ	ふたつ。何が、灰を人の住む島へ運んだのか。	二つ、何が灰を人の住む島へ運んだのか。
c110-1	読み一致		ヨクカタラレルコタエハウツマエノヨルタカサキロノカゼガヒトノスムシマヘムカッテエタコトダ	ヨクカタラレルコタエハウツマエノヨルタカサキロノカゼガヒトノスムシマヘムカッテエタコトダ	よく語られる答えは、撃つ前の夜、高さ6キロの風が人の住む島へ向かっていたことだ。	よく語られる答えは、撃つ前の夜、高さ六百キロの風が人の住む島へ向かっていたことだ。
c110-2	読み一致		ジッケンノシレエブハソレヲシリナガラオソイカゼナノデシンパイナイトミテウッテエル	ジッケンノシレエブハソレヲシリナガラオソイカゼナノデシンパイナイトミテウッテエル	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。
c110-3	読み一致		ダガネンノホオコクショハチガウコタエヲダシテエル	ダガネンノホオコクショハチガウコタエヲダシテエル	だが、2013年の報告書は、違う答えを出している。	だが、二〇一三年の報告書は違う答えを出している。
c111-1	読み一致		コノドオガハアメリカセエフノホオコクショヲエエゴノゲンブンデヨンデツクッテエル	コノドオガハアメリカセエフノホオコクショヲエエゴノゲンブンデヨンデツクッテエル	この動画は、アメリカ政府の報告書を、英語の原文で読んで作っている。	この動画はアメリカ政府の報告書を英語の原文で読んで作っている。
c111-2	読み一致		コクボオソオショオノキカンガネントネンニマトメタサツトイシダンノホオコクショデアル	コクボオソオショオノキカンガネントネンニマトメタサツトイシダンノホオコクショデアル	国防総省の機関が1982年と2013年にまとめた2冊と、医師団の報告書である。	国防総省の機関が 1982年と 2013年にまとめた二冊と医師団の報告書である。
c111-3	読み一致		ニッポンガワノデキゴトハニッポンセエフノトオジノキロクトコッカイノギジロクデタシカメタ	ニッポンガワノデキゴトハニッポンセエフノトオジノキロクトコッカイノギジロクデタシカメタ	日本側の出来事は、日本政府の当時の記録と、国会の議事録で確かめた。	日本側の出来事は日本政府の当時の記録と国会の議事録で確かめた。
c112-1	読み一致		ナオヒヅケトジコクハビキニノゲンチノモノヲツカウ	ナオヒヅケトジコクハビキニノゲンチノモノヲツカウ	なお、日付と時刻は、ビキニの現地のものを使う。	なお、日付と時刻はビキニの現地のものを使う。
c112-2	読みが違う	ビ→ドイオ／—→ニガ／キ→—	ビキニハヒズケヘンコオセンノニシニアルノデアメリカホンドデハマダツキニチダッタ	ドイオキニハヒズケヘンコオセンノニシニアルノデアメリカホンドデハマダニガツニチダッタ	ビキニは日付変更線の西にあるので、アメリカ本土では、まだ2月28日だった。	土肥沖には日付変更線の西にあるので、アメリカ本土ではまだ二月二十八日だった。
c112-3	読みが違う	—→ジュウニガ／キ→—	コオシキノジッケンノイチランモセカイノヒョオジュンジデツキニチトシルシテエル	コオシキノジッケンノイチランモセカイノヒョオジュンジデジュウニガツニチトシルシテエル	公式の実験の一覧も、世界の標準時で2月28日と記している。	公式の実験の一覧も世界の標準時で二十二月二十八日と記している。
c113-1	読み一致		バクハツシタノハシュリンプトヨバレタソオチデアル	バクハツシタノハシュリンプトヨバレタソオチデアル	爆発したのは、「シュリンプ」と呼ばれた装置である。	爆発したのはシュリンプと呼ばれた装置である。
c113-2	読み一致		ヒコオキデハコベルオオキサヲメザシテツクラレタアタラシイカタノスイバクダッタ	ヒコオキデハコベルオオキサヲメザシテツクラレタアタラシイカタノスイバクダッタ	飛行機で運べる大きさを目指して作られた、新しい型の水爆だった。	飛行機で運べる大きさを目指して作られた新しい型の水爆だった。
c114-1	読み一致		ナゼミコミハコレホドハズレタノカ	ナゼミコミハコレホドハズレタノカ	なぜ、見込みはこれほど外れたのか。	なぜ見込みはこれほど外れたのか。
c114-2	読み一致		ハナシハスイソバクダントイウヘエキガウマレタトコロカラハジマル	ハナシハスイソバクダントイウヘエキガウマレタトコロカラハジマル	話は、水素爆弾という兵器が生まれたところから始まる。	話は水素爆弾という兵器が生まれたところから始まる。
c201-1	読み一致		ハナシヲスコシサカノボル	ハナシヲスコシサカノボル	話を、少しさかのぼる。	話を少し遡る。
c201-2	読み一致		アメリカデスイソバクダンノカイハツガハジマッタノハネンノコトダッタ	アメリカデスイソバクダンノカイハツガハジマッタノハネンノコトダッタ	アメリカで水素爆弾の開発が始まったのは、1950年のことだった。	アメリカで水素爆弾の開発が始まったのは1950年のことだった。
c202-1	読み一致		ソレマデノゲンシバクダンハウランヤプルトニウムトイウオモイゲンシヲワッテチカラヲトリダス	ソレマデノゲンシバクダンハウランヤプルトニウムトイウオモイゲンシヲワッテチカラヲトリダス	それまでの原子爆弾は、ウランやプルトニウムという重い原子を割って、力を取り出す。	それまでの原子爆弾は、ウランやプルトニウムという重い原子を割って力を取り出す
c202-2	読み一致		ヒロシマトナガサキニオトサレタノガコノカタデアル	ヒロシマトナガサキニオトサレタノガコノカタデアル	広島と長崎に落とされたのが、この型である。	広島と長崎に落とされたのがこの型である。
c203-1	読み一致		スイソバクダンハシクミガチガウ	スイソバクダンハシクミガチガウ	水素爆弾は、しくみが違う。	水素爆弾は仕組みが違う。
c203-2	読み一致		スイソノナカマノカルイゲンシドオシヲクッツケテサラニオオキナチカラヲトリダス	スイソノナカマノカルイゲンシドオシヲクッツケテサラニオオキナチカラヲトリダス	水素のなかまの軽い原子どうしをくっつけて、さらに大きな力を取り出す。	水素の仲間の軽い原子同士をくっつけて、さらに大きな力を取り出す。
c203-3	読み一致		タイヨオガヒカリツヅケテエルノモコノカクユウゴオノチカラデアル	タイヨオガヒカリツヅケテエルノモコノカクユウゴオノチカラデアル	太陽が光り続けているのも、この「核融合」の力である。	太陽が光り続けているのもこの核融合の力である。
c204-1	読み一致		タダゲンシドオシヲクッツケルニハトテツモナイオンドトアツリョクガイル	タダゲンシドオシヲクッツケルニハトテツモナイオンドトアツリョクガイル	ただ、原子どうしをくっつけるには、とてつもない温度と圧力がいる。	ただ、原子同士をくっつけるにはとてつもない温度と圧力がいる。
c204-2	読み一致		ソノヒツケヤクニツカウノガゲンシバクダンダ	ソノヒツケヤクニツカウノガゲンシバクダンダ	その火つけ役に使うのが、原子爆弾だ。	その火付け役に使うのが原子爆弾だ。
c205-1	読み一致		アメリカハネンツキニチコノシクミデマイクトイウソオチヲバクハツサセタ	アメリカハネンツキニチコノシクミデマイクトイウソオチヲバクハツサセタ	アメリカは1952年11月1日、この仕組みで「マイク」という装置を爆発させた。	アメリカは1952年11月1日、この仕組みでマイクという装置を爆発させた。
c205-2	読み一致		イリョクハカヤクニナオシテトンブン	イリョクハカヤクニナオシテトンブン	威力は、TNT火薬に直して1040万トンぶん。	威力はTNT火薬に直して千四十万トン分
c205-3	判定できない	礁	バショハマアシャルショトオノエニウェトクカンショオダッタ	バショハマアシャルショトオノエニウェトクカンダッタ	場所は、マーシャル諸島のエニウェトク環礁だった。	場所はマーシャル諸島のエニウェト区間礁だった。
c206-1	読み一致		タダマイクノネンリョオハトテモヒクイオンドデヒヤシテエキタイニシテオクヒツヨオガアッタ	タダマイクノネンリョオハトテモヒクイオンドデヒヤシテエキタイニシテオクヒツヨオガアッタ	ただ、マイクの燃料は、とても低い温度で冷やして、液体にしておく必要があった。	ただ、マイクの燃料はとても低い温度で冷やして液体にしておく必要があった。
c206-2	読みが違う	—→ハ	ヒヤスセツビモイリソオチハカイダテノタテモノヲシメタ	ヒヤスセツビモハイリソオチハカイダテノタテモノヲシメタ	冷やす設備も要り、装置は3階建ての建物を占めた。	冷やす設備も入り、装置は三階建ての建物を占めた。
c207-1	読み一致		ホオコクショハマイクノコトヲコオカイテエル	ホオコクショハマイクノコトヲコオカイテエル	報告書は、マイクのことをこう書いている。	報告書はマイクのことをこう書いている。
c207-2	読み一致		マイクハハコンデツカエルヘエキデハナカッタ	マイクハハコンデツカエルヘエキデハナカッタ	マイクは、運んで使える兵器ではなかった	マイクは運んで使える兵器ではなかった。
c208-1	読み一致		ツギノネライハヒコオキニツンデハコベルスイバクデアル	ツギノネライハヒコオキニツンデハコベルスイバクデアル	次のねらいは、飛行機に積んで運べる水爆である。	次の狙いは飛行機に積んで運べる水爆である。
c208-2	読み一致		ソレヲタメスノガネンハルノキャッスルサクセンダッタ	ソレヲタメスノガネンハルノキャッスルサクセンダッタ	それを試すのが、1954年春の「キャッスル作戦」だった。	それを試すのが1954年春のキャッスル作戦だった。
c209-1	読みが違う	サク→キタチョオ／—→サンガ／キ→—／—→ゴガ／キ→—	サクセンデハツキカラツキマデニカイノバクハツガオコナワレタ	キタチョオセンデハサンガツカラゴガツマデニカイノバクハツガオコナワレタ	作戦では、3月から5月までに、6回の爆発が行われた。	北朝鮮では三月から五月までに六回の爆発が行われた。
c209-2	読み一致		カイガビキニカンショオカイガエニウェトクカンショオデアル	カイガビキニカンショオカイガエニウェトクカンショオデアル	5回がビキニ環礁、1回がエニウェトク環礁である。	五階がビキニ環礁、一階がエニウェトク環礁である。
c210-1	読み一致		カイノオチカイハカヤクニナオシテトンヲコエタ	カイノオチカイハカヤクニナオシテトンヲコエタ	6回のうち3回は、TNT火薬に直して1000万トンを超えた。	六回のうち三回はPNT火薬に直して一千万トンを超えた。
c210-2	読みが違う	—→サンガ／キ→—	ソノサイショノカイガツキニチノブラボオデアル	ソノサイショノカイガサンガツニチノブラボオデアル	その最初の1回が、3月1日の「ブラボー」である。	その最初の回が三月一日のブラボーである。
c211-1	読み一致		ジッケンヲオコナッタノハグントカクヘエキヲウケモツクニノゲンシリョクイインカイガツクッタブタイ	ジッケンヲオコナッタノハグントカクヘエキヲウケモツクニノゲンシリョクイインカイガツクッタブタイ	実験を行ったのは、軍と、核兵器を受けもつ国の原子力委員会がつくった部隊。	実験を行ったのは軍と核兵器を受け持つ国の原子力委員会が作った部隊。
c211-2	読み一致		ホオシャセンノリョオヲキロクスルバッジヲクバラレタヒトダケデニンヲコエテエタ	ホオシャセンノリョオヲキロクスルバッジヲクバラレタヒトダケデニンヲコエテエタ	放射線の量を記録するバッジを配られた人だけで、1万人を超えていた。	放射線の量を記録するバッジを配られた人だけで一万人を超えていた。
c211-3	読み一致		ブタイノナマエハダイゴオドオニンムブタイトイウ	ブタイノナマエハダイゴオドオニンムブタイトイウ	部隊の名前は、第7合同任務部隊という。	部隊の名前は第七合同任務部隊という。
c212-1	読みが違う	ジ→シ／オ→—	ジッケンジョオハタイヘエヨオノマアシャルショトオニアル	ジッケンショハタイヘエヨオノマアシャルショトオニアル	実験場は、太平洋のマーシャル諸島にある。	実験所は太平洋のマーシャル諸島にある。
c212-2	読み一致		サンゴノチイサナシマガワノヨオニツラナルカンショオトイウチケエノシマジマデアル	サンゴノチイサナシマガワノヨオニツラナルカンショオトイウチケエノシマジマデアル	サンゴの小さな島が輪のようにつらなる、「環礁」という地形の島々である。	珊瑚の小さな島が輪のように連なる環礁という地形の島々である。
c213-1	読み一致		ツカワレタノハビキニトエニウェトクノツノカンショオ	ツカワレタノハビキニトエニウェトクノフタツノカンショオ	使われたのは、ビキニとエニウェトクの2つの環礁。	使われたのはビキニとエニウェトクの二つの環礁
c213-2	読み一致		ビキニデハネンノナツニモゲンシバクダンノジッケンガカイオコナワレテエル	ビキニデハネンノナツニモゲンシバクダンノジッケンガカイオコナワレテエル	ビキニでは1946年の夏にも、原子爆弾の実験が2回行われている。	ビキニでは 1946年の夏にも原子爆弾の実験が二回行われている。
c214-1	読み一致		ブラボオノソオチハカンショオノホクセエノハジナムトオノオキニオカレタ	ブラボオノソオチハカンショオノホクセエノハジナムトオノオキニオカレタ	ブラボーの装置は、環礁の北西の端、ナム島の沖に置かれた。	ブラボーの装置は環礁の北西の端、ナム島の沖に置かれた
c214-2	読み一致		サンゴショオノオエニタテタチイサナタテモノノナカデアル	サンゴショオノオエニタテタチイサナタテモノノナカデアル	サンゴ礁の上に建てた、小さな建物の中である。	珊瑚礁の上に建てた小さな建物の中である
c214-3	読みが違う	—→ニガ／キ→—	スエツケガオワッタノハツキニチソラデハナクジメンノオエデバクハツサセルジッケンダッタ	スエツケガオワッタノハニガツニチソラデハナクジメンノオエデバクハツサセルジッケンダッタ	据えつけが終わったのは2月22日。空ではなく、地面の上で爆発させる実験だった。	据え付けが終わったのは二月二十二日。空ではなく地面の上で爆発させる実験だった。
c215-1	読み一致		マワリノシマジマニハバクフウヤホオシャセンヲハカルキカイガナラベラレタ	マワリノシマジマニハバクフウヤホオシャセンヲハカルキカイガナラベラレタ	まわりの島々には、爆風や放射線を測る機械が並べられた。	周りの島々には爆風や放射線を測る機械が並べられた。
c215-2	判定できない	凡総省	コクボオソオショオノジッケンダケデノケエカクガウゴイテエタ	キタノジッケンダケデノケエカクガウゴイテエタ	国防総省の実験だけで、29の計画が動いていた。	北凡総省の実験だけで二十九の計画が動いていた。
c216-1	読み一致		ホオシャセンカラミヲマモルキマリモコマカクツクラレテエタ	ホオシャセンカラミヲマモルキマリモコマカクツクラレテエタ	放射線から身を守る決まりも、細かく作られていた。	放射線から身を守る決まりも細かく作られていた。
c216-2	読みが違う	アイダ→マ	サクセンノアイダニアビテヨイリョオニハジョオゲンガキメラレテエタ	サクセンノマニアビテヨイリョオニハジョオゲンガキメラレテエタ	作戦のあいだに浴びてよい量には、上限が決められていた。	作戦の間に浴びて良い量には上限が決められていた。
c217-1	読み一致		ブタイハジュウミンノアンゼンヲキニカケツツシマジマノホオシャセンヲハカルヒツヨオハナイトカンガエタ	ブタイハジュウミンノアンゼンヲキニカケツツシマジマノホオシャセンヲハカルヒツヨオハナイトカンガエタ	部隊は住民の安全を気にかけつつ、島々の放射線を測る必要はないと考えた。	部隊は住民の安全を気にかけつつ、島々の放射線を測る必要はないと考えた。
c217-2	読み一致		ソレデモゲンシリョクイインカイノケンキュウジョガロンゲリックヤマジュロナドノシマニ	ソレデモゲンシリョクイインカイノケンキュウジョガロンゲリックヤマジュロナドノシマニ	それでも、原子力委員会の研究所が、ロンゲリックやマジュロなどの島に、	それでも原子力委員会の研究所がロンゲリックやマジュロなどの島に
c217-3	読み一致		ホオシャセンヲハカリツヅケルケエキヲオイテエタ	ホオシャセンヲハカリツヅケルケエキヲオイテエタ	放射線を測り続ける計器を置いていた。	放射線を測り続ける計器を置いていた。
c218-1	読みが違う	—→ニシサンガゴガ／キ→—	ツキニチニタメサレルソオチハロスアラモスカガクケンキュウジョガツクッタ	ニシサンガゴガツニチニタメサレルソオチハロスアラモスカガクケンキュウジョガツクッタ	3月1日に試される装置は、ロスアラモス科学研究所が作った。	西さんが五月一日に試される装置はロスアラモス科学研究所が作った
c218-2	読み一致		テンキノジョオケンガヨケレバソノヒニバクハツサセルヨテエダッタ	テンキノジョオケンガヨケレバソノヒニバクハツサセルヨテエダッタ	天気の条件がよければ、その日に爆発させる予定だった。	天気の条件が良ければ、その日に爆発させる予定だった。
c219-1	読み一致		コノソオチハソレマデノスイバクトハネンリョオノカタチガマッタクチガッテエタ	コノソオチハソレマデノスイバクトハネンリョオノカタチガマッタクチガッテエタ	この装置は、それまでの水爆とは、燃料の形がまったく違っていた。	この装置はそれまでの水爆とは燃料の形が全く違っていた。
c219-2	読み一致		ウマクイケバヒコオキデハコベルスイバクヘノミチガアケル	ウマクイケバヒコオキデハコベルスイバクヘノミチガアケル	うまくいけば、飛行機で運べる水爆への道が開ける。	うまくいけば飛行機で運べる水爆への道が開ける。
c220-1	読み一致		ブラボオハソノサイショノシケンダッタ	ブラボオハソノサイショノシケンダッタ	ブラボーは、その最初の試験だった。	ブラボーはその最初の試験だった。
c220-2	読み一致		カギヲニギルノハネンリョオデアル	カギヲニギルノハネンリョオデアル	鍵を握るのは、燃料である。	鍵を握るのは燃料である。
c301-1	読み一致		マイクノジャクテンハヒヤシツヅケナケレバナラナイエキタイノネンリョオダッタ	マイクノジャクテンハヒヤシツヅケナケレバナラナイエキタイノネンリョオダッタ	マイクの弱点は、冷やし続けなければならない、液体の燃料だった。	マイクの弱点は冷やし続けなければならない液体の燃料だった。
c302-1	読み一致		ソコデロスアラモスハネンリョオヲコタイニスルミチヲエランダ	ソコデロスアラモスハネンリョオヲコタイニスルミチヲエランダ	そこでロスアラモスは、燃料を固体にする道を選んだ。	そこでロスアラモスは燃料を固体にする道を選んだ。
c302-2	読み一致		オモイスイソトリチウムトイウカルイキンゾクヲムスビツケタジュウスイソカリチウムデアル	オモイスイソトリチウムトイウカルイキンゾクヲムスビツケタジュウスイソカリチウムデアル	重い水素と、リチウムという軽い金属を結びつけた、「重水素化リチウム」である。	重い水素とリチウムという軽い金属を結びつけた重水素化リチウムである。
c303-1	読み一致		コレナラヒヤスセツビハイラナイ	コレナラヒヤスセツビハイラナイ	これなら、冷やす設備はいらない。	これなら冷やす設備はいらない。
c303-2	読み一致		ネンリョオガコタイノコノカタハカンシキノスイバクトヨバレル	ネンリョオガコタイノコノカタハカンシキノスイバクトヨバレル	燃料が固体のこの型は、「乾式」の水爆と呼ばれる。	燃料が固体のこの型は乾式の水爆と呼ばれる。
c304-1	読み一致		リチウムニハオモサノチガウツノシュルイガアルリチウムトリチウムダ	リチウムニハオモサノチガウフタツノシュルイガアルリチウムトリチウムダ	リチウムには、重さの違う2つの種類がある。リチウム6と、リチウム7だ。	リチウムには重さの違う二つの種類がある。リチウム六とリチウム七だ。
c304-2	読みが違う	ダ→—	テンネンノリチウムハホトンドガリチウムデリチウムハワズカダ	テンネンノリチウムハホトンドガリチウムデリチウムハワズカ	天然のリチウムは、ほとんどがリチウム7で、リチウム6はわずかだ。	天然のリチウムはほとんどがリチウム7で、リチウム6はわずか
c305-1	読みが違う	ミエ→ジュウ	リチウムハチュウセエシトイウツブヲウケルトミエスイソトイウネンリョオヲウム	リチウムハチュウセエシトイウツブヲウケルトジュウスイソトイウネンリョオヲウム	リチウム6は、中性子という粒を受けると、三重水素という燃料を生む。	リチウム六は中性子という粒を受けると三重水素という燃料を生む。
c305-2	読み一致		バクダンノナカデネンリョオヲツクルニハコノリチウムガイルトカンガエラレテエタ	バクダンノナカデネンリョオヲツクルニハコノリチウムガイルトカンガエラレテエタ	爆弾の中で燃料をつくるには、このリチウム6が要ると考えられていた。	爆弾の中で燃料を作るにはこのリチウム六がいると考えられていた。
c306-1	読み一致		イッポオカズノオオイリチウムハドオミラレテエタカ	イッポオカズノオオイリチウムハドオミラレテエタカ	一方、数の多いリチウム7は、どう見られていたか。	一方、数の多いリチウム七はどう見られていたか。
c306-2	読み一致		ジッケンノマエハリチウムヤエキタイノオモイスイソヨリズットオトルネンリョオトミラレテエタ	ジッケンノマエハリチウムヤエキタイノオモイスイソヨリズットオトルネンリョオトミラレテエタ	実験の前は、リチウム6や液体の重い水素より、ずっと劣る燃料と見られていた。	実験の前はリチウム六や液体の重い水素よりずっと劣る燃料と見られていた。
c307-1	読み一致		コオシテツクラレタブラボオノソオチハシュリンプトヨバレタ	コオシテツクラレタブラボオノソオチハシュリンプトヨバレタ	こうして作られたブラボーの装置は、「シュリンプ」と呼ばれた。	こうして作られたブラボーの装置はシュリンプと呼ばれた。
c307-2	読み一致		エエゴデエビトイウイミデアル	エエゴデエビトイウイミデアル	英語で、エビという意味である。	英語でエビという意味である。
c308-1	読みが違う	ホオ→シン	ホオコクショハコノソオチヲヘエキソノモノデハナイトシタウエデコオカイテエル	シンコクショハコノソオチヲヘエキソノモノデハナイトシタウエデコオカイテエル	報告書は、この装置を、兵器そのものではないとしたうえで、こう書いている。	申告書はこの装置を兵器そのものではないとした上で、こう書いている。
c308-2	読み一致		マイクヨリキョオリョクデヒコオキデハコベルソオチ	マイクヨリキョオリョクデヒコオキデハコベルソオチ	マイクより強力で、飛行機で運べる装置	マイクより強力で飛行機で運べる装置
c309-1	読み一致		タダコノヒハヒコオキカラオトサズアノチイサナタテモノノナカデバクハツサセタ	タダコノヒハヒコオキカラオトサズアノチイサナタテモノノナカデバクハツサセタ	ただ、この日は飛行機から落とさず、あの小さな建物の中で爆発させた。	ただ、この日は飛行機から落とさず、あの小さな建物の中で爆発させた。
c310-1	読み一致		バクハツノマエケンキュウジョハイリョクヲミツモッテエタ	バクハツノマエケンキュウジョハイリョクヲミツモッテエタ	爆発の前、研究所は威力を見積もっていた。	爆発の前、研究所は威力を見積もっていた。
c310-2	読み一致		ヨソオノハバハカヤクニナオシテトンカラトンブン	ヨソオノハバハカヤクニナオシテトンカラトンブン	予想の幅は、TNT火薬に直して400万トンから800万トンぶん。	予想の幅はTNT火薬に直して四百万トンから八百万トン分
c311-1	読み一致		イチバンアリソオナネハトントサレテエタ	イチバンアリソオナネハトントサレテエタ	いちばんありそうな値は、600万トンとされていた。	一番ありそうな値は六百万トンとされていた。
c311-2	読み一致		ジッサイノイリョクハトンニノボッタ	ジッサイノイリョクハトンニノボッタ	実際の威力は、1500万トンにのぼった。	実際の威力は千五百万トンに上った。
c312-1	読みが違う	—→ット／—→テン	イチバンアリソオナネトクラベルトバイニアタル	イチバンアリソオナネットトクラベルトテンバイニアタル	いちばんありそうな値と比べると、2.5倍にあたる。	一番ありそうなネットと比べると二点五倍にあたる
c312-2	読み一致		ヨソオノハバノイチバンジョオトクラベテモバイチカイオオキサデアル	ヨソオノハバノイチバンジョオトクラベテモバイチカイオオキサデアル	予想の幅のいちばん上と比べても、2倍近い大きさである。	予想の幅の一番上と比べても二倍近い大きさである。
c313-1	読み一致		ナゼココマデハズレタノカ	ナゼココマデハズレタノカ	なぜ、ここまで外れたのか。	なぜここまで外れたのか。
c313-2	読みが違う	ッ→—／ノチ→ゴ	ジッケンノカゲツアマリノチケンキュウジョノタントオシャハクニノイインカイデコオセツメエシタ	ジケンノカゲツアマリゴケンキュウジョノタントオシャハクニノイインカイデコオセツメエシタ	実験の4か月あまりのち、研究所の担当者は、国の委員会でこう説明した。	事件の四ヶ月余り後、研究所の担当者は国の委員会でこう説明した。
c314-1	読み一致		ネンリョオトシテオトルトミテエタリチウムガカクハンノオデオモッタイジョオニハタライタノダト	ネンリョオトシテオトルトミテエタリチウムガカクハンノオデオモッタイジョオニハタライタノダト	燃料として劣ると見ていたリチウム7が、核反応で、思った以上に働いたのだ、と。	燃料として劣ると見ていたリチウム7が核反応で思った以上に働いたのだと
c314-2	読み一致		ハヤイチュウセエシガアタレバリチウムカラモジュウスイソガデキル	ハヤイチュウセエシガアタレバリチウムカラモジュウスイソガデキル	速い中性子が当たれば、リチウム7からも三重水素ができる。	早い中性子が当たればリチウム七からも三重水素ができる。
c315-1	読み一致		シカモイリョクガヨソオヲオオキクコエタノハブラボオダケデハナカッタ	シカモイリョクガヨソオヲオオキクコエタノハブラボオダケデハナカッタ	しかも、威力が予想を大きく超えたのは、ブラボーだけではなかった。	しかも威力が予想を大きく超えたのはブラボーだけではなかった。
