場面	一致率	送った文	聞こえた文	送信文
pr06-2	1.000	乗員も管制も、何十年もそう訓練されてきた。	乗員も管制も何十年もそう訓練されてきた。	乗員もかんせいも、何十年もそう訓練されてきた。
pr06-3	1.000	犯人と戦うことは、手引きのどこにも書かれていない。	犯人と戦うことは手引きのどこにも書かれていない。	はんにんと戦うことは、手引きのどこにも書かれていない。
pr07-1	1.000	この動画の背骨になるのは、1冊の報告書である。	この動画の背骨になるのは一冊の報告書である。	この動画の背骨になるのは、1冊の報告書である。
pr07-2	1.000	アメリカの独立調査委員会が2004年に出した。委員会報告と呼ぶ。	アメリカの独立調査委員会が2004年に出した委員会報告と呼ぶ。	アメリカの独立調査委員会が2004年に出した。委員会報告と呼ぶ。
pr08-1	1.000	建物がなぜ崩れたのかは、別の役所が別に調べている。	建物がなぜ崩れたのかは別の役所が別に調べている。	建物がなぜ崩れたのかは、別の役所が別に調べている。
pr08-2	0.930	ここでは扱わない。追いかけるのは、空のほうである。	ここでは扱わない。追いかけるのは空の方である。	ここでは扱わない。追いかけるのは、空のほうである。
pr09-1	1.000	空には決められた道があり、その道を見張る部屋がある。	空には決められた道があり、その道を見張る部屋がある。	空には決められた道があり、その道を見張る部屋がある。
pr09-2	1.000	航空路管制センターという。空港の管制塔とは別の建物である。	航空路管制センターという空港の管制塔とは別の建物である。	航空路管制センターという。空港の管制塔とは別の建物である。
pr10-1	0.870	その朝、アメリカは自分の国の空を、いったん全部閉じた。	その朝、アメリカは自分の国の空を一旦全部閉じた。	その朝、アメリカは自分の国の空を、いったん全部閉じた。
pr10-2	0.923	飛んでいた機すべてに、最寄りの空港へ降りろと命じている。	飛んでいた機さ全てに最寄りの空港へ降りろと命じている。	飛んでいた機すべてに、最寄りの空港へ降りろと命じている。
pr11-1	1.000	この日、2,973人が亡くなった。	この日、2973人が亡くなった。	この日、2,973人が亡くなった。
pr11-2	0.880	アメリカが自分の国の土地で受けた攻撃では、いちばん多い。	アメリカが自分の国の土地で受けた攻撃では一番多い	アメリカが自分の国の土地で受けた攻撃では、いちばん多い。
pr11-3	1.000	この数に、乗っ取った側の19人は入っていない。	この数に乗っ取った側の19人は入っていない。	この数に、乗っ取った側の19人は入っていない。
pr12-1	1.000	これは、4機の飛行機と、それを追っていた人たちの記録である。	これは四機の飛行機とそれを追っていた人たちの記録である。	これは、4機の飛行機と、それを追っていた人たちの記録である。
pr12-2	1.000	報告書に書かれた時刻だけを使って、その朝をたどる。	報告書に書かれた時刻だけを使ってその朝をたどる。	報告書に書かれた時刻だけを使って、その朝をたどる。
c101-1	1.000	出てくる時刻は、すべてアメリカ東部の時間である。	出てくる時刻はすべてアメリカ東部の時間である。	出てくる時刻は、すべてアメリカ東部の時間である。
c101-2	0.974	画面に出る数字は、左から時、分、秒の順に読む。	画面に出る数字は左から十五時十分秒の順に読む。	画面に出る数字は、左から時、分、秒の順に読む。
c102-1	1.000	ニューヨーク市の南の端を、ローワーマンハッタンという。	ニューヨーク市の南の端をローワーマンハッタンという	ニューヨーク市の南の端を、ローワーマンハッタンという。
c102-2	1.000	島の先っぽにあたる、細長い一帯である。	島の先っぽにあたる細長い一帯である。	島の先っぽにあたる、細長い一帯である。
c103-1	1.000	その先っぽに、世界貿易センターが建っていた。	その先っぽに世界貿易センターが建っていた。	その先っぽに、世界貿易センターが建っていた。
c103-2	1.000	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。	七棟の建物と地下の商店街をまとめてそう呼んでいる。	ななとうの建物と、地下の商店街をまとめて、そう呼んでいる。
c104-1	0.862	4便の出発地は3か所。ボストン、ワシントン、ニューアークである。	ヨンビンの出発地は三箇所、ボストン、ワシントン、ニューアークである。	4便の出発地は3か所。ボストン、ワシントン、ニューアークである。
c104-2	1.000	行き先は2か所。ロサンゼルスと、サンフランシスコだった。	行き先は二か所、ロサンゼルスとサンフランシスコだった。	行き先は2か所。ロサンゼルスと、サンフランシスコだった。
c105-1	0.950	便名は、アメリカン11便、ユナイテッド175便、	便名はアメリカン十一便、ユナイテッド百七十五便。	びんめいは、アメリカン11便、ユナイテッド175便、
c105-2	1.000	アメリカン77便、ユナイテッド93便の4つ。	アメリカン七十七便、ユナイテッド九十三便の四つ。	アメリカン77便、ユナイテッド93便の4つ。
c105-3	1.000	この動画では、最後までこの便名で呼ぶ。	この動画では最後までこの便名で呼ぶ。	この動画では、最後までこのびんめいで呼ぶ。
c106-1	1.000	ボストンのローガン空港から、2便が出発する。	ボストンのローガン空港から二便が出発する。	ボストンのローガン空港から、2便が出発する。
c106-2	0.952	アメリカン11便と、ユナイテッド175便である。	アメリカン十一便とユナイテッド百七十五便である。	アメリカン11便と、ユナイテッド175便である。
c107-1	1.000	ワシントン郊外のダレス空港から、アメリカン77便。	ワシントン郊外のダレス空港からアメリカン七十七便	ワシントン郊外のダレス空港から、アメリカン77便。
c107-2	1.000	ニューヨーク近郊のニューアーク空港から、ユナイテッド93便。	ニューヨーク近郊のニューアーク空港からユナイテッド93便	ニューヨーク近郊のニューアーク空港から、ユナイテッド93便。
c108-1	0.955	11便と175便の機種は、ボーイング767だった。	十一便と百七十五便の機種はボーイング七六七だった。	11便と175便の機種は、ボーイング767だった。
c108-2	1.000	客室の通路が2本ある、胴体の太い大型機である。	客室の通路が二本ある胴体の太い大型機である。	きゃくしつの通路が2本ある、胴体の太い大型機である。
c109-1	0.952	77便と93便は、ボーイング757という機種。	二十七便と九十三便はボーイング七五七という機種。	77便と93便は、ボーイング757という機種。
c109-2	0.864	通路が1本の、767よりひとまわり細い機体である。	通路が一本の七百六十七より一回り細い機体である。	通路が1本の、767よりひとまわり細い機体である。
c110-1	0.979	175便と93便は、その朝いつもより客が少なかった。	百七十五便と九十三便はその朝、いつもより客が少なかった。	175便と93便は、その朝いつもより客が少なかった。
c110-2	0.943	93便は182席に37人。175便は168席に56人である。	九十三便は百八十二席に三十七人、百七十五便は百六十八席に五十六人である。	93便は182席に37人。175便は168席に56人である。
c111-1	0.927	出発の前には、いまと同じように保安検査がある。	出発の前には今と同じように保安検査がある。	出発の前には、いまと同じように保安検査がある。
c111-2	0.898	金属探知機をくぐり、手荷物をエックス線に通す手順だった。	金属探知機をくぐり、手荷物をX線に通す手順だった。	金属探知機をくぐり、手荷物をエックス線に通す手順だった。
c112-1	0.943	探知機は、小型の拳銃ぶんの金属で鳴るように合わせてあった。	探知機は小型の拳銃分の金属で鳴るように合わせてあった。	探知機は、小型の拳銃ぶんの金属で鳴るように合わせてあった。
c112-2	0.955	鳴った人だけ、係員が手に持つ棒でもう一度調べる。	なった人だけ係員が手に持つ棒でもう一度調べる。	なった人だけ、係員が手に持つ棒でもう一度調べる。
c113-1	0.800	当時は、刃渡り10センチ（4インチ）未満の刃物なら、	当時は幅当たり十センチ、四インチ未満の刃物なら	当時は、はわたり10センチ（4インチ）未満の刃物なら、
c113-2	1.000	機内に持ち込めた。航空会社の手引きが、はっきり認めていた。	機内に持ち込めた航空会社の手引きがはっきり認めていた。	機内に持ち込めた。航空会社の手引きが、はっきり認めていた。
c114-1	1.000	機内に、武装した保安要員はほとんど乗っていない。	機内に武装した保安要員はほとんど乗っていない。	機内に、武装した保安要員はほとんど乗っていない。
c114-2	1.000	訓練を受けた連邦航空保安官の数は、この時点で、	訓練を受けた連邦航空保安官の数はこの時点で	訓練を受けた連邦航空保安官の数は、この時点で、
c114-3	1.000	全米で33人。国内線には原則いない	全米で三十三人。国内線には原則いない。	全米で33人。国内線には原則いない
c115-1	0.978	7時59分。アメリカン11便が、ボストンを離陸した。	七時五十九分、アメリカン十一便がボストンを離陸した。	7時59分。アメリカン11便が、ボストンを離陸した。
c115-2	0.976	乗っていたのは、乗客81人と、乗員11人である。	乗っていたのは乗客八十一人と乗員十一人である。	乗っていたのは、乗客81人と、乗員11人である。
c116-1	0.958	8時14分。ユナイテッド175便が、同じ空港を離陸する。	八時十四分、ユナイテッド百七十五便が同じ空港を離陸する。	8時14分。ユナイテッド175便が、同じ空港を離陸する。
c116-2	1.000	こちらは、乗客56人と乗員9人だった。	こちらは乗客五十六人と乗員九人だった。	こちらは、乗客56人と乗員9人だった。
c117-1	0.979	8時20分。アメリカン77便が、ダレス空港を離陸した。	八時二十分、アメリカン七十七便がダレス空港を離陸した。	8時20分。アメリカン77便が、ダレス空港を離陸した。
c117-2	0.957	乗客58人と乗員6人。あわせて64人が乗っている。	乗客五十八人と乗員六人、合わせて六十四人が乗っている。	乗客58人と乗員6人。あわせて64人が乗っている。
c118-1	1.000	8時42分。ユナイテッド93便が、ニューアークを離陸した。	八時四十二分、ユナイテッド九十三便がニューアークを離陸した。	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-2	0.919	朝の混雑で、離陸は25分あまり遅れている。	朝の混雑で離陸は二五分余り遅れている。	朝の混雑で、離陸は25分あまり遅れている。
c118-3	0.880	この遅れが、のちに効いてくる。	この遅れが後に効いてくる。	この遅れが、のちに効いてくる。
c119-1	1.000	4機はどれも、長い距離を飛ぶために燃料を満載していた。	四機はどれも長い距離を飛ぶために燃料を満載していた。	4機はどれも、長い距離を飛ぶために燃料を満載していた。
c119-2	0.881	積める量は、最大でおよそ43,150リットル、11,400ガロンである。	積める量は最大でおよそ四十三点百五十リットル、十一点四百ガロンである。	積める量は、最大でおよそ43,150リットル、11,400ガロンである。
c120-1	0.905	7時59分から8時42分まで、43分のあいだに、	七時五十九分から八時四十二分まで四十三分の間に	7時59分から8時42分まで、43分のあいだに、
c120-2	1.000	4機はすべて空に上がった。	四機はすべて空に上がった。	4機はすべて空に上がった。
c120-3	1.000	ここまでは、どこにでもある火曜の朝である。	ここまではどこにでもある火曜の朝である。	ここまでは、どこにでもある火曜の朝である。
c121-1	1.000	この決まりには、名前が付いていた。共通戦略という。	この決まりには名前が付いていた。共通戦略という。	この決まりには、名前が付いていた。共通戦略という。
c121-2	1.000	犯人と交渉し、安全に着陸させることを最優先にしていた。	犯人と交渉し、安全に着陸させることを最優先にしていた。	はんにんと交渉し、安全に着陸させることを最優先にしていた。
c121-3	1.000	1986年からの15年、アメリカ機は1機も乗っ取られていない。	1986年からの15年、アメリカ機は一機も乗っ取られていない。	1986年からの15年、アメリカ機は1機も乗っ取られていない。
c122-1	0.884	乗っ取りが分かると、管制官はまず上司に報せる。	乗っ取りがわかると、管制官はまず上司に知らせる。	乗っ取りが分かると、かんせいかんはまず上司にしらせる。
c122-2	0.945	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。	知らせは、連邦航空局という役所の本部へ上がり、国防総省へ渡る。	しらせは連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-3	1.000	軍の指揮系統をまた降りて、やっと戦闘機が動く。	軍の指揮系統をまた降りて、やっと戦闘機が動く。	ぐんの指揮系統をまた降りて、やっと戦闘機が動く。
c123-1	0.923	このときすぐ飛べる戦闘機は、全米7か所に2機ずつ、計14機。	この時すぐ飛べる戦闘機は全米七か所に二機ずつ、計十四機。	このときすぐ飛べる戦闘機は、全米7か所に2機ずつ、計14機。
c123-2	1.000	そのうち2か所が、この日の話に出てくる。	そのうち二か所がこの日の話に出てくる。	そのうち2か所が、この日の話に出てくる。
c124-1	1.000	この仕組みは、外から来る敵を止めるためのものだった。	この仕組みは外から来る敵を止めるためのものだった。	この仕組みは、外から来る敵を止めるためのものだった。
c124-2	0.909	国内を飛ぶ旅客機が武器になることは、想定に無い。	国内を飛ぶ旅客機が武器になることが想定にない。	国内を飛ぶ旅客機が武器になることは、想定に無い。
c124-3	0.786	想定の外から、その朝は始まった	童貞の底からその朝は始まった。	想定の外から、その朝は始まった
c201-1	0.917	8時14分の少し前。11便は高度およそ7,900メートル、	八時十四分の少し前、十一便は高度およそ七千九百メートル	8時14分の少し前。11便は高度およそ7,900メートル、
c201-2	0.902	26,000フィートまで上がっていた。ここまでは異常が無い。	二十六千フィートまで上がっていた。ここまでは異常がない。	26,000フィートまで上がっていた。ここまでは異常が無い。
c202-1	1.000	当時の規則でも、操縦室の扉は飛行中は閉めて施錠する。	当時の規則でも、操縦室の扉は飛行中は閉めて施錠する。	当時の規則でも、操縦室の扉は飛行中は閉めて施錠する。
c202-2	0.902	ただし、緊急のときにすぐ開けられる造りが求められていた。	ただし、緊急の時にすぐ開けられる作りが求められていた。	ただし、緊急のときにすぐ開けられる造りが求められていた。
c203-1	0.933	飛行機を乗っ取ったのは、4機あわせて19人である。	飛行機を乗っ取ったのは四機合わせて十九人である。	飛行機を乗っ取ったのは、4機あわせて19人である。
c203-2	0.960	11便、175便、77便に5人ずつ。93便だけが4人だった。	十一便、百七十五便、七十七便に五人ずつ、九十三便だけが四人だった。	11便、175便、77便に5人ずつ。93便だけが4人だった。
c204-1	0.976	19人は全員、当日の保安検査を通り抜けている。	十九人は全員当日の保安検査を通り抜けている。	19人は全員、当日の保安検査を通り抜けている。
c204-2	0.939	検査係のうち、あとから彼らを思い出せた人はいなかった。	検査係のうち、後から彼らを思い出せた人はいなかった。	検査係のうち、あとから彼らを思い出せた人はいなかった。
c205-1	0.962	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。	八時十九分、十一便の客室乗務員が会社の予約窓口に電話した。	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-2	1.000	操縦室が応答しない、と伝えている。	操縦室が応答しないと伝えている。	操縦室が応答しない、と伝えている。
c206-1	0.875	この電話は、長いあいだ切れずに続いた。	この電話は長い間切れずに続いた。	この電話は、長いあいだ切れずに続いた。
c206-2	1.000	操縦室に入った人の座席番号まで、落ち着いて伝えている。	操縦室に入った人の座席番号まで落ち着いて伝えている。	操縦室に入った人の座席番号まで、落ち着いて伝えている。
c207-1	0.952	8時21分。11便のトランスポンダが切られた。	八時二十一分、十一便のトランスポンダーが切られた。	8時21分。11便のトランスポンダが切られた。
c207-2	1.000	管制官の画面から、便名と高度の表示が消える。	管制官の画面から便名と高度の表示が消える。	かんせいかんの画面から、びんめいと高度の表示が消える。
c208-1	0.962	トランスポンダは、機体が自分から名乗るための装置である。	トランスポンダが機体が自分から名乗るための装置である。	トランスポンダは、機体が自分から名乗るための装置である。
c208-2	0.923	「私はこの便で、いまこの高さです」と自動で返す。	私はこの便で今この高さですと自動で返す。	「私はこの便で、いまこの高さです」と自動で返す。
c208-3	1.000	切ってしまうと、名前のない点だけが残る。	切ってしまうと名前のない点だけが残る。	切ってしまうと、名前のない点だけが残る。
c209-1	1.000	電波が物に当たって跳ね返るのが、一次レーダー。	電波が物に当たって跳ね返るのが一次レーダー。	電波が物に当たって跳ね返るのが、一次レーダー。
c209-2	0.837	機体が電波に答えて返すのが、二次レーダーである。	機体が電波に応えて返すのね。虹レーダーである。	機体が電波に答えて返すのが、二次レーダーである。
c209-3	0.878	管制官がふだん画面で見ていたのは、後者だった。	管制官が普段画面で見ていたのは後者だった。	かんせいかんがふだん画面で見ていたのは、後者だった。
c210-1	0.837	一次レーダーの点は、ふだんは画面に出していない。	一時レーダーの点は普段は画面に出していない。	一次レーダーのてんは、ふだんは画面に出していない。
c210-2	0.926	出すには、管制官が自分で表示の設定を切り替える必要がある。	バスには管制官が自分で表示の設定を切り替える必要がある。	出すには、かんせいかんが自分で表示の設定を切り替える必要がある。
c211-1	0.979	8時24分38秒。11便から、管制の無線に声が流れた。	八時二十四分三十八秒十一便から管制の無線に声が流れた。	8時24分38秒。11便から、かんせいの無線に声が流れた。
c211-2	1.000	「複数の飛行機がある」	複数の飛行機がある。	「複数の飛行機がある」
c212-1	1.000	ところが、担当の管制官にはこの一言が聞き取れなかった。	ところが、担当の管制官にはこの一言が聞き取れなかった。	ところが、担当のかんせいかんにはこの一言が聞き取れなかった。
c212-2	0.955	何か言っている、とだけ分かったと記録されている。	何か言っているとだけわかったと記録されている。	何か言っている、とだけ分かったと記録されている。
c213-1	0.976	11便が向かった先が、世界貿易センターである。	十一便が向かった先が世界貿易センターである。	11便が向かった先が、世界貿易センターである。
c213-2	0.808	7棟あるうち、いちばん背の高い2棟をツインタワーと呼んだ。	七頭あるうち、一番背の高い二頭をツインタワーと呼んだ。	ななとうあるうち、いちばん背の高い2棟をツインタワーと呼んだ。
c214-1	0.909	北棟と南棟。どちらも110階建てだった。	北棟と南棟、どちらも百十階建てだった。	きたとうとみなみとう。どちらも110階建てだった。
c214-2	0.963	事務所の広さは、2棟あわせておよそ97万平方メートルである。	事務所の広さは二棟合わせておよそ九十七万平方メートルである。	事務所の広さは、2棟あわせておよそ97万平方メートルである。
c215-1	0.982	建物の断面は、1辺がおよそ63メートル、208フィートの正方形。	建物の断面は一辺がおよそ六十三メートル、二百八フィートの正方形。	建物の断面は、1辺がおよそ63メートル、208フィートの正方形。
c215-2	1.000	上から見ると、細長い箱が2つ並んでいた。	上から見ると細長い箱が二つ並んでいた。	上から見ると、細長い箱が2つ並んでいた。
c216-1	0.839	2棟の高さは、およそ411メートル。	二等の高さがおよそ四百十一メートル。	2棟の高さは、およそ411メートル。
c216-2	0.912	委員会報告が書いているのは、もとの単位で1,350フィートである。	委員会報告が書いているのは元の単位で千三百五十フィートである。	委員会報告が書いているのは、もとの単位で1,350フィートである。
c216-3	0.980	東京タワーが333メートルだから、その1.2倍になる。	東京タワーが三百三十三メートルだから、その一点二倍になる。	東京タワーが333メートルだから、その1.2倍になる。
c217-1	0.875	ただし、高さの数字は出どころで変わる。	ただし、高さの数字は出所で変わる。	ただし、高さの数字は出どころで変わる。
c217-2	0.943	建物を調べた役所の資料では、北棟の屋上まで417メートル。	建物を調べた役所の資料では、北東の屋上まで四百十七メートル。	建物を調べた役所の資料では、きたとうの屋上まで417メートル。
c217-3	1.000	屋上のアンテナの先までなら、527メートルになる。	屋上のアンテナの先までなら五百二十七メートルになる。	屋上のアンテナの先までなら、527メートルになる。
c218-1	0.955	2棟は、事務所として貸し出されていた建物である。	二棟が事務所として貸し出されていた建物である。	にとうは、事務所として貸し出されていた建物である。
c218-2	1.000	ただし火曜の8時台は、人がまだ入りきっていない時間だった。	ただし、火曜の八時台は人がまだ入りきっていない時間だった。	ただし火曜の8時台は、人がまだ入りきっていない時間だった。
c219-1	1.000	8時34分。ボストンの管制センターは、決められた手順を飛ばして、	八時三十四分、ボストンの管制センターは決められた手順を飛ばして	8時34分。ボストンのかんせいセンターは、決められた手順を飛ばして、
c219-2	1.000	自分たちで軍に連絡を取ろうとした。	自分たちで軍に連絡を取ろうとした。	自分たちで軍に連絡を取ろうとした。
c220-1	1.000	8時37分52秒。ようやく防空の当直につながる。	八時三十七分五十二秒。ようやく防空の当直につながる。	8時37分52秒。ようやく防空の当直につながる。
c220-2	1.000	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。	訓練か本物かと聞かれ、管制官は訓練ではないと答えた。	訓練か本物かと聞かれ、かんせいかんは「訓練ではない」と答えた。
c221-1	0.939	つながった先は、北東航空防衛セクターという部署である。	繋がった先は北東航空防衛セクターという部署である。	つながった先は、北東航空防衛セクターという部署である。
c221-2	1.000	ニューヨーク州ローマにある、防空の当直室だった。	ニューヨーク州ローマにある防空の当直室だった。	ニューヨーク州ローマにある、防空のとうちょく室だった。
c221-3	1.000	この動画では、以下これを防空司令部と呼ぶ。	この動画では以下これを防空司令部と呼ぶ。	この動画では、以下これをぼうくう司令部と呼ぶ。
c222-1	0.920	8時46分。オーティス基地のF-15に、発進が命じられた。	八時四十六分、オーティス基地のF3に発進が命じられた。	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-2	1.000	ただし、どこへ向かわせるかが決まっていない。	ただし、どこへ向かわせるかが決まっていない。	ただし、どこへ向かわせるかが決まっていない。
c223-1	0.962	名前の消えた点が、ニューヨークへ向かって南へ下りていく。	名前の消えた点がニューヨークへ向かって南へ降りていく。	名前の消えた点が、ニューヨークへ向かって南へ下りていく。
c223-2	0.857	管制が追えているのは、跳ね返りの点だけである。	完成が終えているのは跳ね返りの点だけである。	かんせいが追えているのは、跳ね返りの点だけである。
c224-1	1.000	防空司令部が知らされてから、8分48秒後のことだった。	防空司令部が知らされてから八分四十八秒後のことだった。	ぼうくう司令部が知らされてから、8分48秒後のことだった。
c224-2	0.974	8時46分40秒。1機目が北棟にぶつかった	八時四十六分四十秒、一機目が北棟にぶつかった。	8時46分40秒。1機目がきたとうにぶつかった
c301-1	0.980	8時46分40秒の時点で、乗っ取られた便はあと3機ある。	八時四十六分四十秒の時点で乗っ取られた便はあと三機ある。	8時46分40秒の時点で、乗っ取られた便はあと3機ある。
c301-2	0.974	175便、77便、93便が、まだ空を飛んでいる。	百七十五便、七十七便、九十三便がまだ空を飛んでいる。	175便、77便、93便が、まだ空を飛んでいる。
c302-1	0.864	175便は、11便の15分あとに同じ空港を出ていた。	七十五便は十一便の十五分後に同じ空港を出ていた。	175便は、11便の15分あとに同じ空港を出ていた。
c302-2	0.960	8時33分には、高度およそ9,400メートルに達している。	八時三十三分には高度およそ九千四百メートルに達している。	8時33分には、高度およそ9,400メートルに達している。
c303-1	0.933	管制は175便に、行方の分からない11便を探してくれと頼んでいる。	管制は百七十五便に行方のわからない十一便を探してくれと頼んでいる。	かんせいは175便に、行方の分からない11便を探してくれと頼んでいる。
c303-2	0.909	175便は11便を見つけ、そのうえで妙な無線を聞いた、と伝えた。	百七十五便は十一便を見つけ、その上で妙な無線を聞いたと伝えた。	175便は11便を見つけ、そのうえで妙な無線を聞いた、と伝えた。
c304-1	0.977	175便から届いた最後の交信は、その報告だった。	百七十五便から届いた最後の交信はその報告だった。	175便から届いた最後の交信は、その報告だった。
c304-2	0.955	それから数分のうちに、この便も乗っ取られている。	それから数分のうちにこの瓶も乗っ取られている。	それから数分のうちに、この便も乗っ取られている。
c305-1	0.980	8時47分。175便の応答符号が、2回続けて書き換わった。	八時四十七分、百七十五便の応答符号が二回続けて書き換わった。	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-2	0.936	応答符号は、機体が名乗るときに使う4桁の番号である。	応答符号は、機体が名乗る時に使う四桁の番号である。	応答符号は、機体が名乗るときに使う4桁の番号である。
c305-3	1.000	乗っ取りは、この前後に起きている。	乗っ取りはこの前後に起きている。	乗っ取りは、この前後に起きている。
c306-1	0.885	このとき担当の管制官は、ほかの便の相手で手が離せずにいた。	この時、担当の管制官は他の便の相手で手が離せずにいた。	このとき担当のかんせいかんは、ほかの便の相手で手が離せずにいた。
c306-2	1.000	符号が変わったことに気づいたのは、8時51分である。	符号が変わったことに気づいたのは八時五十一分である。	ふごうが変わったことに気づいたのは、8時51分である。
c307-1	1.000	8時53分。管制官は同僚にこう伝えている。	八時五十三分、管制官は同僚にこう伝えている。	8時53分。かんせいかんは同僚にこう伝えている。
c307-2	1.000	乗っ取られたかもしれない、機体がどこにも見つからない、と。	乗っ取られたかもしれない。機体がどこにも見つからないと。	乗っ取られたかもしれない、機体がどこにも見つからない、と。
c308-1	0.981	およそ28分前に11便から流れたあの一言は、複数形だった。	およそ二八分前に十一便から流れたあの一言は複数形だった。	およそ28分前に11便から流れたあの一言は、複数形だった。
c308-2	1.000	もし聞き取れていれば、意味はまるで変わっていた。	もし聞き取れていれば意味はまるで変わっていた。	もし聞き取れていれば、意味はまるで変わっていた。
c308-3	0.917	1機だけの話ではなかった	一基だけの話ではなかった。	1機だけの話ではなかった
c309-1	0.981	175便からも、客室乗務員と乗客が地上に電話をかけている。	百七十五便からも客室乗務員と乗客が地上に電話をかけている。	175便からも、客室乗務員と乗客が地上に電話をかけている。
c309-2	1.000	操縦室の乗員が動かない、という内容だった。	操縦室の乗員が動かないという内容だった。	操縦室の乗員が動かない、という内容だった。
c310-1	0.936	航空会社には、この時点で2機ぶんの通報が届いていた。	航空会社にはこの時点で二機分の通報が届いていた。	航空会社には、この時点で2機ぶんの通報が届いていた。
c310-2	0.952	ただしその情報は、管制にも軍にも回っていない。	まだし、その情報は管制にも軍にも回っていない。	ただしその情報は、かんせいにも軍にも回っていない。
c311-1	0.933	2棟は、1970年から人が入りはじめた建物である。	二棟は1970年から人が入り始めた建物である。	にとうは、1970年から人が入りはじめた建物である。
c311-2	0.894	ニューヨークの街の顔として、30年のあいだ建っていた。	ニューヨークの街の顔として三十年の間建っていた。	ニューヨークの街の顔として、30年のあいだ建っていた。
c312-1	1.000	そこで働いていたのは、多い日でおよそ5万人。	そこで働いていたのは多い日でおよそ五万人	そこで働いていたのは、多い日でおよそ5万人。
c312-2	0.923	ほかに4万人が、毎日この区画を通り抜けていた。	他に四万人が毎日この区画を通り抜けていた。	ほかに4万人が、毎日この区画を通り抜けていた。
c313-1	0.750	北棟の上のほうから、煙が上がっている。	北塔の上の方から煙がなっている。	きたとうの上のほうから、煙が上がっている。
c313-2	1.000	街の人もテレビも、この時点ではまだ事故だと思っていた。	街の人もテレビもこの時点ではまだ事故だと思っていた。	街の人もテレビも、この時点ではまだ事故だと思っていた。
c314-1	1.000	消防と警察が、次々に現場へ入っていく。	消防と警察が次々に現場へ入っていく。	消防と警察が、次々に現場へ入っていく。
c314-2	0.698	17分のあいだ、街じゅうの関心が北棟に集まっていた。	十七分の間、町中の関心が北塔に集まっていた。	17分のあいだ、街じゅうの関心がきたとうに集まっていた。
c315-1	0.837	そのあいだに、もう1機が南のほうから近づいていた。	その間にもう一機が南の方から近づいていた。	そのあいだに、もう1機が南のほうから近づいていた。
c315-2	0.947	175便は、トランスポンダを切っていない。	百七十五便はトランスポンダーを切っていない。	175便は、トランスポンダを切っていない。
