行	扱い	理由
pr11-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr12-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr12-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c101-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c102-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c102-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c103-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c103-2	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい
c104-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c104-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c105-1	音は確定（EL_YOMI でかなを送っている）	便名＝EL_YOMI『びんめい』で送信＝音は確定
c105-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c105-3	音は確定（EL_YOMI でかなを送っている）	便名＝EL_YOMI『びんめい』で送信＝音は確定
c106-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c106-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c107-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c107-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c108-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c108-2	音は確定（EL_YOMI でかなを送っている）	客室＝EL_YOMI『きゃくしつ』で送信＝音は確定
c109-1	音は確定（EL_YOMI でかなを送っている）	ボーイング757＝EL_YOMI『ボーイングななごなな』で送信＝音は確定（前は『707』）／77便と＝EL_YOMI でカナ／かな固定＝音は確定／93便は＝EL_YOMI でカナ／かな固定＝音は確定
c109-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c110-1	音は確定（EL_YOMI でかなを送っている）	175便と＝EL_YOMI でカナ／かな固定＝音は確定／93便は＝EL_YOMI でカナ／かな固定＝音は確定
c110-2	音は確定（EL_YOMI でかなを送っている）	175便は＝EL_YOMI でカナ／かな固定＝音は確定／93便は＝EL_YOMI でカナ／かな固定＝音は確定
c111-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c111-2	表記のゆれ（音は正しいと実測）	エックス線＝聞取『X線』＝エックスせん（同じ読み）
c112-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c112-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c113-1	要耳（機械で決着せず）	🔴 **本文に全角括弧が出る4行のうちの1つ**（単位のメートル換算・2026-09-12 の恒久ルール）。「刃渡り10センチ（4インチ）未満」を、括弧が短い間になって自然に聞こえるか
c113-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c114-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c114-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c114-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c115-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c115-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c116-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c116-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c117-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c117-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c118-1	音は確定（EL_YOMI でかなを送っている）	93便が＝EL_YOMI でカナ／かな固定＝音は確定
c118-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c118-3	表記のゆれ（音は正しいと実測）	のちに＝聞取『後に』＝のちに（同じ読み）
c119-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c119-2	音は確定（EL_YOMI でかなを送っている）	43,150リットル＝EL_YOMI でカナ／かな固定＝音は確定／11,400ガロン＝EL_YOMI でカナ／かな固定＝音は確定
c120-1	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ（janome が カン／マ と読むだけ）／分から＝聞取『わから』＝表記のゆれ
c120-2	要耳（機械で決着せず）	異音の門番が unsure（3テイクとも末尾に音）。語に重ねると『が|っ|た』＝促音に重なるので本物の語と見たが、テイクごとに形が違ったので念のため
c120-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c121-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c121-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c121-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c122-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定／報せ＝EL_YOMI『しらせ』で送信＝音は確定（聞取『知らせ』）
c122-2	音は確定（EL_YOMI でかなを送っている）	報せ＝EL_YOMI『しらせ』で送信＝音は確定（聞取『知らせ』）
c122-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c123-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c123-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c124-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c124-2	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c124-3	音は確定（EL_YOMI でかなを送っている）	想定の外＝EL_YOMI『そうてい の外』で送信＝音は確定（前は『童貞』）
c201-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c201-2	音は確定（EL_YOMI でかなを送っている）	26,000フィート＝EL_YOMI でカナ／かな固定＝音は確定
c202-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c202-2	表記のゆれ（音は正しいと実測）	造り＝聞取『作り』＝つくり（同じ読み）
c203-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c203-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c204-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c205-1	音は確定（EL_YOMI でかなを送っている）	客室＝EL_YOMI『きゃくしつ』で送信＝音は確定
c205-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c206-1	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ（janome が カン／マ と読むだけ）
c206-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c207-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定／便名＝EL_YOMI『びんめい』で送信＝音は確定
c208-1	表記のゆれ（音は正しいと実測）	分から＝聞取『わから』＝表記のゆれ
c208-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c208-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c209-1	表記のゆれ（音は正しいと実測）	一次レーダー＝聞取『一時レーダー』＝いちじ（同じ読み）。⚠️ 同音なので c210-1 は要耳にも載せた
c209-2	要耳（機械で決着せず）	「電波に答えて返すのが、二次レーダーである」の助詞が、3回の聞取のうち1回だけ『返すのね』に聞こえた。A/B の前後とも『のが』なので Scribe の揺れと見たが、決着はしていない
c209-3	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c210-1	要耳（機械で決着せず）	「一次レーダー」が聞取『一時レーダー』。**読みは いちじ で同じ**なので機械では直せない。字幕は出るが、耳だけだと『一時』と取り違える恐れ
c210-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c211-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c211-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c212-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c212-2	表記のゆれ（音は正しいと実測）	分かった＝聞取『わかった』＝表記のゆれ
c213-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c213-2	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい／いちばん＝聞取『一番』＝いちばん（同じ読み）
c214-1	要耳（機械で決着せず）	🔴🔴 **読み方の決定そのものを耳で承認してほしい行。**「北棟と南棟」を **きたとう／みなみとう**（訓読み）に固定した。ほくとう だと聞取が『北東』＝方角に化けたため（A/B で実測）。この動画は西南西・南へ・東の海上と方角が多い
c214-2	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい
c215-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c215-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c216-1	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい
c216-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c217-1	表記のゆれ（音は正しいと実測）	出どころ＝聞取『出所』＝でどころ（同じ読み）
c217-2	音は確定（EL_YOMI でかなを送っている）	北棟＝EL_YOMI『きたとう』で送信＝音は確定（聞取『北塔』）。⚠️ 読み方の決定そのものは要耳へ
c217-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c218-1	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい
c218-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c219-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c219-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c220-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c220-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c221-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c221-2	音は確定（EL_YOMI でかなを送っている）	当直室＝EL_YOMI『とうちょく室』で送信＝音は確定
c221-3	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c222-1	音は確定（EL_YOMI でかなを送っている）	F-15＝EL_YOMI『エフじゅうご』で送信＝音は確定（前は『F3』）
c222-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c223-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c223-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c224-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c224-2	音は確定（EL_YOMI でかなを送っている）	北棟＝EL_YOMI『きたとう』で送信＝音は確定（聞取『北塔』）。⚠️ 読み方の決定そのものは要耳へ
c301-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c301-2	音は確定（EL_YOMI でかなを送っている）	93便が＝EL_YOMI でカナ／かな固定＝音は確定
c302-1	音は確定（EL_YOMI でかなを送っている）	175便は＝EL_YOMI でカナ／かな固定＝音は確定
c302-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c303-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c303-2	音は確定（EL_YOMI でかなを送っている）	175便は＝EL_YOMI でカナ／かな固定＝音は確定
c304-1	表記のゆれ（音は正しいと実測）	交信＝聞取『更新』＝こうしん（同じ読み）。2行とも
c304-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c305-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c305-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c305-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c306-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c306-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c307-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c307-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c308-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c308-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c308-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c309-1	音は確定（EL_YOMI でかなを送っている）	客室＝EL_YOMI『きゃくしつ』で送信＝音は確定
c309-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c310-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c310-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c311-1	表記のゆれ（音は正しいと実測）	棟＝聞取『頭／等／塔』＝とう（同じ読み）。N棟＝ななとう／にとう で正しい
c311-2	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ（janome が カン／マ と読むだけ）
c312-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c312-2	表記のゆれ（音は正しいと実測）	4万人＝聞取『四万人』＝よんまんにん（同じ読み。数の検査は 4 と 四 を別物に数える）
c313-1	要耳（機械で決着せず）	同上。きたとう を送った最初の行（聞取『北塔の上の方から煙が上がっている』）
c313-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c314-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c314-2	音は確定（EL_YOMI でかなを送っている）	北棟＝EL_YOMI『きたとう』で送信＝音は確定（聞取『北塔』）。⚠️ 読み方の決定そのものは要耳へ
c315-1	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ（janome が カン／マ と読むだけ）
c315-2	音は確定（EL_YOMI でかなを送っている）	175便は＝EL_YOMI でカナ／かな固定＝音は確定
c315-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c316-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／175便は＝EL_YOMI でカナ／かな固定＝音は確定
c316-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c317-1	音は確定（EL_YOMI でかなを送っている）	南棟＝EL_YOMI『みなみとう』で送信＝音は確定／9時3分＝EL_YOMI でカナ／かな固定＝音は確定
c317-2	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c318-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c318-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c319-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c319-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c319-3	表記のゆれ（音は正しいと実測）	跡は＝聞取『後は』＝あと（同じ読み）
c320-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c320-2	表記のゆれ（音は正しいと実測）	分から＝聞取『わから』＝表記のゆれ
c321-1	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
c321-2	表記のゆれ（音は正しいと実測）	分かった＝聞取『わかった』＝表記のゆれ／機目＝聞取『期目』＝いっき／にき（同じ読み）
c321-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c322-1	音は確定（EL_YOMI でかなを送っている）	175便は＝EL_YOMI でカナ／かな固定＝音は確定
c322-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c322-3	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
c401-1	音は確定（EL_YOMI でかなを送っている）	9時3分＝EL_YOMI でカナ／かな固定＝音は確定
c401-2	音は確定（EL_YOMI でかなを送っている）	77便と＝EL_YOMI でカナ／かな固定＝音は確定／93便が＝EL_YOMI でカナ／かな固定＝音は確定
c402-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c402-2	音は確定（EL_YOMI でかなを送っている）	10,700メートル＝EL_YOMI でカナ／かな固定＝音は確定
c403-1	表記のゆれ（音は正しいと実測）	交信＝聞取『更新』＝こうしん（同じ読み）。2行とも
c403-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c404-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c404-2	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ（janome が カン／マ と読むだけ）／分から＝聞取『わから』＝表記のゆれ
c405-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c405-3	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c406-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c406-2	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c407-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c407-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c407-3	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c408-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c408-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c409-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c409-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c410-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c410-2	音は確定（EL_YOMI でかなを送っている）	五角形＝EL_YOMI『ごかっけい』で送信＝音は確定
c411-1	音は確定（EL_YOMI でかなを送っている）	五角形＝EL_YOMI『ごかっけい』で送信＝音は確定
c411-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c412-1	音は確定（EL_YOMI でかなを送っている）	五角形＝EL_YOMI『ごかっけい』で送信＝音は確定
c412-2	表記のゆれ（音は正しいと実測）	いちばん＝聞取『一番』＝いちばん（同じ読み）
c413-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c413-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c414-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c414-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c414-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c415-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c415-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c416-1	表記のゆれ（音は正しいと実測）	分かった＝聞取『わかった』＝表記のゆれ
