行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c211-3	読み一致		マッタジカンハチャクリクシテカラジカンチカクニナッタ	マッタジカンハチャクリクシテカラジカンチカクニナッタ	待った時間は、着陸してから3時間近くになった。	待った時間は着陸してから三時間近くになった。
c212-1	読み一致		ロスロデオスクウコオノチュウキジョオハマワサレタキタイデエッパイニナッタ	ロスロデオスクウコオノチュウキジョオハマワサレタキタイデエッパイニナッタ	ロス・ロデオス空港の駐機場は、回された機体でいっぱいになった。	ロスロデオス空港の駐機場は回された機体でいっぱいになった。
c212-2	読み一致		ホオコクショハコノジョオタイヲホオワシタトイウコトバデカイテエル	ホオコクショハコノジョオタイヲホオワシタトイウコトバデカイテエル	報告書は、この状態を「飽和した」という言葉で書いている。	報告書はこの状態を飽和したという言葉で書いている。
c213-1	読み一致		キハチュウキジョオニイレナカッタトメラレタノハユウドオロデアル	キハチュウキジョオニイレナカッタトメラレタノハユウドオロデアル	KLM機は、駐機場に入れなかった。停められたのは誘導路である。	KLM機は駐機場に入れなかった。止められたのは誘導路である。
c213-2	読み一致		カッソオロトヘエコオニハシルソノミチノイチバンタンダッタ	カッソオロトヘエコオニハシルソノミチノイチバンタンダッタ	滑走路と平行に走る、その道のいちばん端だった。	滑走路と平行に走るその道の一番端だった。
c214-1	読み一致		ソノオシロニキガジュンニナランダ	ソノオシロニキガジュンニナランダ	そのうしろに、3機が順に並んだ。	その後ろに三基が順に並んだ。
c214-2	読みが違う	—→サタ	ブラアテンスノスタアリングノノデアル	ブラアテンスノスタアリングノサタノデアル	ブラーテンスの737、スターリングの727、SATAのDC-8である。	ブラーテンスの七三七、スターリングの七二七、サタのDC八である。
c215-1	読みが違う	マ→—	イチバンウシロニパンナムノガトママッタ	イチバンウシロニパンナムノガトマッタ	いちばんうしろに、パンナムの747が停まった。	一番後ろにパンナムの747が止まった。
c215-2	読み一致		ツマリパンナムキノマエニキガイルトイウナラビニナル	ツマリパンナムキノマエニキガイルトイウナラビニナル	つまり、パンナム機の前にKLM機がいる、という並びになる。	つまりパンナム機の前にKLM機がいるという並びになる。
c216-1	読み一致		ユウドオロハホンドオデオイコスコトガデキナイ	ユウドオロハホンドオデオイコスコトガデキナイ	誘導路は一本道で、追い越すことができない。	誘導路は一本道で追い越すことができない。
c216-2	読み一致		マエノキタイガウゴカナイカギリウシロノキタイハデラレナイ	マエノキタイガウゴカナイカギリウシロノキタイハデラレナイ	前の機体が動かないかぎり、うしろの機体は出られない。	前の機体が動かない限り、後ろの機体は出られない。
c217-1	読み一致		ヤガテラスパルマスクウコオガマタヒライタ	ヤガテラスパルマスクウコオガマタヒライタ	やがて、ラスパルマス空港が、また開いた。	やがてラスパルマス空港がまた開いた。
c217-2	読み一致		キトモホンライノイキサキヘムカウジュンビヲハジメルコトニナル	キトモホンライノイキサキヘムカウジュンビヲハジメルコトニナル	二機とも、本来の行き先へ向かう準備を始めることになる。	二機とも本来の行き先へ向かう準備を始めることになる。
c217-3	読み一致		ソノジコクガジダッタカハホオコクショニカカレテエナイ	ソノジコクガジダッタカハホオコクショニカカレテエナイ	その時刻が何時だったかは、報告書に書かれていない。	その時刻が何時だったかは報告書に書かれていない。
c218-1	読み一致		ノジョオキャクハタアミナルカラキナイニモドッテエッタ	ノジョオキャクハタアミナルカラキナイニモドッテエッタ	KLMの乗客は、ターミナルから機内に戻っていった。	KLMの乗客はターミナルから機内に戻っていった。
c218-2	読み一致		モドラナカッタノハソノオチタッタニンダケデアル	モドラナカッタノハソノオチタッタニンダケデアル	戻らなかったのは、そのうち、たった一人だけである。	戻らなかったのはそのうちたった一人だけである。
c219-1	読み一致		リョコオカイシャノテンジョオインガテネリフェニノコルコトニナッタ	リョコオカイシャノテンジョオインガテネリフェニノコルコトニナッタ	旅行会社の添乗員が、テネリフェに残ることになった。	旅行会社の添乗員がテネリフェに残ることになった。
c219-2	読み一致		ホオコクショハコノヒトノナマエヲフセテエル	ホオコクショハコノヒトノナマエヲフセテエル	報告書は、この人の名前を伏せている。	報告書はこの人の名前を伏せている。
c219-3	読み一致		コノニンダケガツギノビンニノラナカッタ	コノニンダケガツギノビンニノラナカッタ	この一人だけが、次の便に乗らなかった。	この一人だけが次の便に乗らなかった。
c220-1	読み一致		バクダンノセエデキハシラナイクウコオニイル	バクダンノセエデキハシラナイクウコオニイル	爆弾のせいで、二機は知らない空港にいる。	爆弾のせいで二機は知らない空港にいる。
c220-2	読み一致		ジョオキャクハマタサレヨテエハクルッタ	ジョオキャクハマタサレヨテエハクルッタ	乗客は待たされ、予定は狂った。	乗客は待たされ、予定は狂った。
c220-3	読み一致		コノジテンデハオクレハタダノオクレダッタ	コノジテンデハオクレハタダノオクレダッタ	この時点では、遅れは、ただの遅れだった。	この時点では遅れはただの遅れだった。
c301-1	読み一致		ロスロデオスクウコオハテネリフェトオノキタガワニアル	ロスロデオスクウコオハテネリフェトオノキタガワニアル	ロス・ロデオス空港は、テネリフェ島の北側にある。	ロスロデオス空港はテネリフェ島の北側にある。
c301-2	読み一致		サイショノヒコオキガオリタノハネンシマノゲンカントシテツカワレテキタ	サイショノヒコオキガオリタノハネンシマノゲンカントシテツカワレテキタ	最初の飛行機が降りたのは1930年。島の玄関として使われてきた。	最初の飛行機が降りたのは1930年。島の玄関として使われてきた。
c302-1	読み一致		クウコオノヒョオコオハメエトルヤマニハサマレタアサイタニノソコニアル	クウコオノヒョオコオハメエトルヤマニハサマレタアサイタニノソコニアル	空港の標高は632メートル。山にはさまれた、浅い谷の底にある。	空港の標高は六三二メートル。山に挟まれた浅い谷の底にある。
c302-2	読み一致		ダカラクモガソノママジメンマデオリテクルコトガアル	ダカラクモガソノママジメンマデオリテクルコトガアル	だから、雲がそのまま地面まで降りてくることがある。	だから雲がそのまま地面まで降りてくることがある。
c303-1	読み一致		カッソオロハホンシカナイナガサメエトルハバメエトル	カッソオロハホンシカナイナガサメエトルハバメエトル	滑走路は、1本しかない。長さ3,400メートル、幅45メートル。	滑走路は一本しかない。長さ三千四百メートル、幅四十五メートル。
