行	テイク数	判定	各テイクの聞取	本文
c518-1	2	採用（文字起こしが台本と合う）	take1: では、その日の積み目は何度だったのか。 || take2: では、その日の継ぎ目は何度だったのか。	では、その日の継ぎ目は何度だったのか。
c605-1	2	採用（文字起こしが台本と合う）	take1: [outro jingle] || take2: 根拠は一年前の1985年1月の飛行だった。	根拠は、1年前の1985年1月の飛行だった。
c607-3	3	採用（文字起こしが台本と合う）	take1: 薄着めが摂氏十一七度より下では飛ばせない。 || take2: ツニ目が摂氏十一・七度より下では飛ばせない。 || take3: 継ぎ目が摂氏十一点七度より下では飛ばせない。	継ぎ目が摂氏11.7度より下では飛ばせない
c608-2	1	採用（文字起こしが台本と合う）	take1: これまでで一番低かった飛行の継ぎ目の温度です。	これまででいちばん低かった飛行の、継ぎ目の温度だ。
c609-2	5	要耳（全テイク落ち・所見最少を採用）	take1: 月目は気温よりさらに冷えるから千のはるか下だ。 || take2: 次目は気温よりさらに冷えるから、千のはるか下だ。 || take3: 二目は気温よりさらに冷えるから千の遥か下だ。 || take4: 二つ目は気温よりさらに冷えるから、千のはるか下だ。 || take5: 2目目は気温よりさらに冷えるから1000のはるか下だ。	継ぎ目は気温よりさらに冷えるから、線のはるか下だ。
c620-2	1	採用（文字起こしが台本と合う）	take1: 三つの場所をつないだまま押し問答が続いていた。	三つの場所をつないだまま、押し問答が続いていた。
c702-1	1	採用（文字起こしが台本と合う）	take1: 中断は結局三十分ほど続いた。	中断は、結局30分ほどつづいた。
c705-1	1	採用（文字起こしが台本と合う）	take1: 一人は席を立ち、机の上に紙を広げて継ぎ目の絵を描き直した。	1人は席を立ち、机の上に紙を広げて継ぎ目の絵を描きなおした。
c803-2	1	採用（文字起こしが台本と合う）	take1: 次目の試験に実際に飛ぶ時と同じ形にする決まりがなかった。	継ぎ目の試験に、実際に飛ぶときと同じ形にする決まりがなかった。
c804-3	1	採用（文字起こしが台本と合う）	take1: 飛ぶ時と同じ条件で確かめたことにはならない。	飛ぶときと同じ条件で確かめたことには、ならない。
c811-1	5	要耳（全テイク落ち・所見最少を採用）	take1: 傘がかかっている間は飛べるかを確かめる会に。 || take2: 3がかかっている間は飛べるかを確かめる回にです。 || take3: 差がかかっている間は飛べるかを確かめる会議で。 || take4: 差がかかっている間は飛べるかを確かめる回にだ。 || take5: 差がかかっている間は飛べるかを確かめる回にです。	札が掛かっているあいだは、飛べるかを確かめる会議で、
c811-2	1	採用（文字起こしが台本と合う）	take1: 毎回この問題を取り上げ、片付くまで説明しなければならない。	毎回この問題を取り上げ、片づくまで説明しなければならない。
c812-1	5	要耳（全テイク落ち・所見最少を採用）	take1: その里をかけたのは補助ロケットの責任者だった。 || take2: そのファダをかけたのは補助ロケットの責任者だった。 || take3: そのさてをかけたのは補助ロケットの責任者だった。 || take4: その里を賭けたのは補助ロケットの責任者だった。 || take5: その里をかけたのは補助ロケットの責任者だった。	その札を掛けたのは、補助ロケットの責任者だった。
c814-2	1	採用（文字起こしが台本と合う）	take1: 札のことは知らなかったと全員が述べた。	札のことは知らなかった、と全員が述べた。
c815-2	2	採用（文字起こしが台本と合う）	take1: 焦がれたら期待と上院を失う区分である。控えの輪は控えにならない。 || take2: 壊れたら機体と乗員を失う区分である。控えの輪は控えにならない。	壊れたら機体と乗員を失う区分である。控えの輪は控えにならない。
c905-1	2	採用（文字起こしが台本と合う）	take1: 炭火から噴き出した炎は筒の外側にも当たっていた。 || take2: 継目から噴き出した炎は筒の外側にも当たっていた。	継ぎ目から噴き出した炎は、筒の外側にも当たっていた。
c910-1	1	採用（文字起こしが台本と合う）	take1: 海から引き上げられた主エンジンからも記録が読み出された。	海から引き上げられた主エンジンからも、記録が読み出された。
ep10-2	1	採用（文字起こしが台本と合う）	take1: スコビー、スミス、鬼塚、レズニック、マクネイ。	スコビー、スミス、オニヅカ、レズニック、マクネイア。
ep12-2	1	採用（文字起こしが台本と合う）	take1: ゴムの輪は冷えて硬くなり、潰れきって押す空気も入らなかった。	ゴムの輪は冷えて硬くなり、つぶれきって押す空気も入らなかった。
