行	key	val	前	後	前の聞取	後の聞取
c310-2	管制にも	かんせいにも	0.905	0.952	ただし、その情報は官邸にも軍にも回っていない。	まだし、その情報は管制にも軍にも回っていない。
c220-2	管制官は	かんせいかんは	0.909	1.000	訓練か本物かと聞かれ、訓練ではないと答えた。	訓練か本物かと聞かれ、管制官は訓練ではないと答えた。
c321-3	空の扱い	そらの扱い	0.923	1.000	ここから先、全米のソロの扱いが変わっていく。	ここから先、全米の空の扱いが変わっていく。
c814-2	いつ火が	いつ ひが	0.964	0.964	建物側の時計はいつ木がどこへ回ったかを合わせるためのもの。	建物側の時計はいつ日がどこへ回ったかを合わせるためのもの
c708-1	ラングレー機	ラングレーき	0.846	0.906	この時、ラングル駅の向かう先として考えられていたのは	この時ラングレー、気の向かう先として考えられていたのは
c214-1	南棟	みなみとう	0.909	0.909	北棟と南棟、どちらも百十階建てだった。	北棟と南棟、どちらも百十階建てだった。
c505-2	離れた機も	離れた 機も	0.927	0.950	搭乗口を離れた基地も動かないまま待たされた。	搭乗口を離れたきも動かないまま待たされた。
c719-1	首都の	しゅとの	0.900	1.000	主島の別の基地からも戦闘機が上がっていた。	首都の別の基地からも戦闘機が上がっていた。
c607-1	管制官	かんせいかん	0.826	0.913	九時三十分、関税官は他の便に順に問い合わせていく。	九時三十分、管制官は他の便に順に問い合わせていく。
c509-1	管制官	かんせいかん	0.852	1.000	パンジエ艦は自分の担当する空域の機を一機ずつ降ろしていく。	管制官は自分の担当する空域の機を一機ずつ降ろしていく。
c803-1	管制	かんせい	0.762	0.780	漢字への無線は普段からずっと録音されている。	感性の無線は普段からずっと録音されている。
c303-1	管制	かんせい	0.852	0.933	漢字江は百七十五便に、行方のわからない十一便を探してくれと頼んでいる。	管制は百七十五便に行方のわからない十一便を探してくれと頼んでいる。
c124-3	想定	そうてい	0.786	0.857	童貞の底からその朝は始まった。	造幣の外からその朝は始まった。
c224-1	防空司令部	ぼうくう司令部	0.960	1.000	航空司令部が知らされてから八分四十八秒後のことだった。	防空司令部が知らされてから八分四十八秒後のことだった。
c317-2	防空司令部	ぼうくうしれいぶ	0.691	1.000	Vocal Slaveがこの瓶のことを知ったのはこの瞬間である。	防空司令部がこの便のことを知ったのはこの瞬間である。
c412-1	五角形	ごかっけい	0.812	1.000	御所系の真ん中には広い中庭がある。	五角形の真ん中には広い中庭がある。
ep03-1	猶予	ゆうよ	0.815	0.923	四期を追っていた人たちに届いたヨーヨーは九分と零分だった。	四鬼を追っていた人たちに届いた猶予は九分と零分だった。
c108-2	客室	きゃくしつ	0.905	1.000	角質の通路が二本ある胴体の太い大型機である。	客室の通路が二本ある胴体の太い大型機である。
c306-2	符号が	ふごうが	0.917	0.917	時報が変わったことに気づいたのは八時五十一分である。	富豪が変わったことに気づいたのは八時五十一分である。
c505-1	滑走路	かっそうろ	0.977	1.000	走路の手前まで出ていた機体がその場で止まる。	滑走路の手前まで出ていた機体がその場で止まる。
c513-2	誘導路	ゆうどうろ	0.884	1.000	流入道路に止めたままその日を終えた空港もある。	誘導路に止めたままその日を終えた空港もある。
c815-2	分単位	ふんたんい	0.884	0.930	瞬単位の細かい記述はそこに全部書かれている。	分単位の細かい記述はそこに全部書かれている。
c904-1	刃渡り	はわたり	0.650	0.889	100あたり10cm、4インチ未満の刃物も	刃渡り十センチ、四インチ未満の刃物も
c515-1	命令から	めいれいから	0.920	0.939	帰還からほどなく、民間機はほとんど全部が地上に降りた。	命令から程なく、民間機はほとんど全部が地上に降りた。
pr04-1	軍が	ぐんが	1.000	1.000	軍が一機目の乗っ取りを知らされたのは、ぶつかる九分前だった。	軍が一機目の乗っ取りを知らされたのは、ぶつかる九分前だった。
c122-3	軍の	ぐんの	0.952	1.000	屯の指揮系統をまた降りて、やっと戦闘機が動く。	軍の指揮系統をまた降りて、やっと戦闘機が動く。
pr06-3	犯人と	はんにんと	0.978	1.000	万人と戦うことは手引きのどこにも書かれていない。	犯人と戦うことは手引きのどこにも書かれていない。
c417-1	点は	てんは	0.939	0.960	はペンタゴンの西南西八キロ五マイルまで来ていた。	点はペンタゴンの西南西八キロ、五マイルまで来ていた。
c218-1	2棟は	にとうは	0.909	0.955	地頭は事務所として貸し出されていた建物である。	二棟が事務所として貸し出されていた建物である。
c103-2	7棟	ななとう	0.917	1.000	花塔の建物と地下の商店街をまとめてそう呼んでいる。	七棟の建物と地下の商店街をまとめてそう呼んでいる。
c112-2	鳴った人	なった人	0.955	0.955	だった人だけ係員が手に持つ棒でもう一度調べる。	なった人だけ係員が手に持つ棒でもう一度調べる。
c609-3	客室	きゃくしつ	0.917	1.000	学術に向けた放送が無線に乗ってしまったものである。	客室に向けた放送が無線に乗ってしまったものである。
c418-2	の降り方	の おり方	0.829	0.878	普通の着陸の掘り方とは線の形がまるで違う。	普通の着陸の降り方とは線の形がまるで違う。
c321-1	1機目	いっき目	0.839	0.839	一期目から二期目まで十七分あった。	一期目から二期目まで十七分あった。
c613-2	という報せ	という しらせ	0.967	0.951	九十三便が乗っ取られたという伏せは連邦航空局の本部に届いていた。	九十三便が乗っ取られたという知らせは、連邦航空局の本部に届いていた。
pr01-1	2001年	にせんいちねん	0.966	1.000	2010年9月11日火曜日、アメリカ東部はよく晴れた朝だった。	2001年9月11日火曜日、アメリカ東部はよく晴れた朝だった。
c109-1	77便と	ナナジュウナナ便と	0.952	0.977	二十七便と九十三便はボーイング七五七という機種。	七十七便と九十三便はボーイング705七という機種
c401-2	77便と	ナナジュウナナ便と	0.941	1.000	二七便と九十三便がまだ空を飛んでいる。	七十七便と九十三便がまだ空を飛んでいる。
c302-1	175便は	ヒャクナナジュウゴ便は	0.864	0.936	七五便は十一便の十五分後に同じ空港を出ていた。	175便は11便の15分後に同じ空港を出ていた。
c613-2	93便が	キュウジュウサン便が	0.918	0.918	二三便が乗っ取られたという知らせは、連邦航空局の本部に届いていた。	九十三便が乗っ取られたという知らせが連邦航空局の本部に届いていた。
c805-2	93便は	キュウジュウサン便は	1.000	1.000	93便は二つとも、77便は飛行を記録した側だけである。	九十三便は二つとも、七十七便は飛行を記録した側だけである。
c401-1	9時3分11秒	クジ3分11秒	0.933	0.978	四時三分十一秒の時点で乗っ取られた便はあと二機	九時三分十一秒の時点で乗っ取られた便はあと二機
c119-2	43,150リットル	よんまんさんぜんひゃくごじゅうリットル	1.000	0.897	積める量は最大でおよそ43.150リットル、11.400ガロンである。	積める量は最大でおよそ四万三千百五十リットル、十一点四百ガロンである。
c119-2	11,400ガロン	いちまんせんよんひゃくガロン	0.881	0.836	積める量は最大でおよそ四十三点百五十リットル、十一点四百ガロンである。	積める量が最大でおよそ四十三千百五十リットル、一万千四百ガロンで
c201-2	26,000フィート	にまんろくせんフィート	0.902	0.902	二十六千フィートまで上がっていた。ここまでは異常がない。	二万六千フィートまで上がっていた。ここまでは異常がない。
c402-2	10,700メートル	いちまんななひゃくメートル	0.920	0.885	八時四十六分には高度およそ十千七百メートルに達している。	8時46分には高度をおよそ10,700mに達している。
c222-1	F-15	エフじゅうご	0.920	0.980	八時四十六分、オーティス基地のF3に発進が命じられた。	八時四十六分、オーティス基地のF15に発進が命じられた。
c707-1	F-16	エフじゅうろく	0.978	0.933	九時九分、バージニア州ラングレー基地のF16が	九時九分、バージニア州ダングレー基地のF16が
c419-2	ボーイング757	ボーイングななごなな	0.957	1.000	操縦士はあれはボーイング707だと見分けている。	操縦士はあれはボーイング757だと見分けている。
c108-1	ボーイング767	ボーイングななろくなな	0.955	0.955	十一便と百七十五便の機種はボーイング767だった。	十一便と百七十五便の機種はボーイング767だった。
c622-2	首都まで	しゅとまで	0.976	0.976	首都まで飛行機であと二十分ほどの距離である。	首都まで飛行機であと二十分ほどの距離である。
c421-3	軍人が	ぐんじんが	0.974	0.974	軍人が五十五人、それ以外の職員が七十人である。	軍人が五十五人、それ以外の職員が七十人である。
c124-3	想定の外	そうてい の外	0.786	1.000	童貞の底からその朝は始まった。	想定の外からその朝は始まった。
c310-2	ただしその	ただし その	0.952	1.000	まだし、その情報は管制にも軍にも回っていない。	ただし、その情報は管制にも軍にも回っていない。
pr04-1	軍が	ぐんが	0.947	1.000	ズンが一機目の乗っ取りを知らされたのは、ぶつかる九分前だった。	軍が一機目の乗っ取りを知らされたのはぶつかる九分前だった。
c110-1	175便と	ヒャクナナジュウゴ便と	0.958	0.979	三七五便と九十三便はその朝、いつもより客が少なかった。	百七十五便と九十三便はその朝、いつもより客が少なかった。
c210-2	出すには	だすには	0.926	1.000	バスには管制官が自分で表示の設定を切り替える必要がある。	出すには管制官が自分で表示の設定を切り替える必要がある。
c712-2	そこから向き	そこから 向き	0.976	0.850	あそこから向き直って、首都の方角へ戻っている。	そこから抜き直って使徒の方角へ戻っている。
c313-1	煙が上がって	煙が あがって	0.750	0.848	北塔の上の方から煙がなっている。	北塔の上の方から煙が上がっている。
c902-1	頼んで行って	頼んで おこなって	0.960	0.960	それまで保安検査は航空会社が業者に頼んでやっていた。	これまで保安検査は航空会社が業者に頼んで行っていた。
c209-2	返すのが	返すのが 	0.884	0.884	機体が電波に応えて返すのが虹レーダーである。	機体が電波に応えて返すのが虹レーダーである。
c708-2	燃料の減った	燃料の へった	0.960	1.000	ニューヨークだった。燃料の蹴った先発機との交代である。	ニューヨークだった。燃料の減った先発機との交代である。
