行	扱い	理由
c403-1	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c403-2	表記違い	『百三十六点五トン・九十台分』＝漢数字化。小数の点も残っている
c403-3	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c404-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c404-2	直した（辞書）	EL_YOMI「240キログラム」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c405-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c405-2	対照（辞書に入れなかった）	🔴『白書→はくしょ』を一括で当てると、この行だけ **『博士』に悪化**した（A/B 94.7→87.7%）。だから白書は**行ごとのキー**にして、この行には当てていない。いまの聞取は『白書』で正しい
c405-3	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c408-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c409-1	直した（辞書）	EL_YOMI「国会の報告書は、完全」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c410-2	直した（辞書）	EL_YOMI「押え」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c411-2	表記違い	数は全部聞き取れており一致率 90%。差は かな⇄漢字・同音の字当て
c412-2	直した（辞書）	EL_YOMI「育った」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c413-3	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c415-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c416-2	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c417-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c418-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c501-1	表記違い	数は全部聞き取れており一致率 90%。差は かな⇄漢字・同音の字当て
c501-2	表記違い	数は全部聞き取れており一致率 85%。差は かな⇄漢字・同音の字当て
c502-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c502-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c503-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c504-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c504-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c506-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c506-2	表記違い	『張りがなくて』＝梁を **はり** と正しく読んでいる（Scribe の字の当て違い）
c507-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c511-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c511-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c512-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c513-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c514-1	直した（辞書）	EL_YOMI「止める力／床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c517-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c518-1	直した（辞書）	EL_YOMI「柱のまわりの床は、板／床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c518-3	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c520-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c521-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c522-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c601-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c601-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c602-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c602-2	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c603-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c603-2	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c604-2	表記違い	数は全部聞き取れており一致率 87%。差は かな⇄漢字・同音の字当て
c607-2	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c608-2	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c610-1	表記違い	数は全部聞き取れており一致率 86%。差は かな⇄漢字・同音の字当て
c611-1	表記違い	『幹部が朝九時頃、社長が十時頃』＝漢数字化と句点→読点だけ
c612-2	表記違い	『行う・取り掛かった』＝かな→漢字だけ
c614-1	直した（辞書）	EL_YOMI「被害者は1,439人」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c701-2	直した（辞書）	EL_YOMI「北の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c703-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c704-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c705-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c705-2	表記違い	『隣の柱の方へ』＝かな→漢字だけ。音は となり／ほう
c706-1	表記違い	数は全部聞き取れており一致率 90%。差は かな⇄漢字・同音の字当て
c707-2	直した（辞書）	EL_YOMI「白書は17時」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c707-3	直した（辞書）	EL_YOMI「頁によって」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c708-2	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c709-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c710-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c711-1	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c711-2	直した（辞書）	EL_YOMI「床」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c711-3	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c713-1	直した（辞書）	EL_YOMI「北の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c713-2	直した（辞書）	EL_YOMI「の棟」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c714-2	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c716-1	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c803-1	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c805-2	直した（辞書）	EL_YOMI「手作業」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c808-2	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c811-1	直した（辞書）	EL_YOMI「行方不明者の」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c811-3	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c812-1	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c812-2	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c814-2	直した（辞書）	EL_YOMI「377時間」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c815-1	直した（辞書）	EL_YOMI「白書によれば」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c819-2	表記違い	数は全部聞き取れており一致率 88%。差は かな⇄漢字・同音の字当て
c819-3	直した（辞書）	EL_YOMI「数は、この」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c820-1	直した（辞書）	EL_YOMI「数が動いた」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c821-1	直した（辞書）	EL_YOMI「瓦礫」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c901-1	直した（辞書）	EL_YOMI「瑞草区」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c901-2	直した（辞書）	EL_YOMI「数は、この」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c903-1	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
c904-2	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c906-2	表記違い	『怪我・九百三十七人・千四百三十九人』＝かな→漢字と漢数字化
c906-3	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c907-2	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
c909-1	直した（辞書）	EL_YOMI「残った一つ」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c910-1	直した（辞書）	EL_YOMI「女性が396人」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
c915-3	表記違い	『一千三億ウォン』＝1,003億。数の照合は通っている
ep03-2	直した（辞書）	EL_YOMI「建ったあと」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
ep05-1	表記違い	行頭の算用数字を聞取が漢数字で書いただけ。数の照合は通っている
ep05-2	表記違い	『禁錮一年、懲役一年六ヶ月、懲役十ヶ月』＝⑤aで「6月→6か月」に直した行。正しく読めている
ep08-2	表記違い	『崩壊との間に』＝台本のかな「あいだ」をそのまま送っている。字だけ漢字
ep08-3	直した（辞書）	EL_YOMI「裁判を」。狙った音が出ていることを ep10_verify_fix.py で確認ずみ
ep09-3	表記違い	数は全部聞き取れており一致率 89%。差は かな⇄漢字・同音の字当て
ep10-2	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
ep13-2	表記違い	台本と聞取を読みに直すと一致（el_reading_diff）。音は正しい
