scene	decision	chosen	takes	flags	text
c607-1	clean	2	2	take1: 途中に浮いた音: 200ms（6.71秒地点・振幅15698＝本文の2.2倍／前400ms・後80ms の無音） || take2: clean	この機体には、もうひとつの来歴がある。せんきゅうひゃくななじゅうろくねんの日本の国会で語られたものだ。
c609-2	clean	2	2	take1: 途中に浮いた音: 150ms（2.93秒地点・振幅20606＝本文の2.9倍／前370ms・後90ms の無音） || take2: clean	証人は、全日空は一度も「発注する」とは言わなかった、と述べている。
c620-2	clean	2	2	take1: 途中に浮いた音: 160ms（1.52秒地点・振幅9148＝本文の1.1倍／前120ms・後120ms の無音） || take2: clean	調整にも誤りがあった。報告書は、事故機のドアの調整を、同じ型のドアに写して試した。
c620-3	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 190ms の音（4.29秒地点・振幅10093＝本文の1.4倍） || take2: clean	ピンは、本来の位置よりななてんきゅうごミリ手前で止まった。
c622-3	clean	2	2	take1: 途中に浮いた音: 190ms（3.39秒地点・振幅7063＝本文の1.3倍／前100ms・後1240ms の無音） || take2: clean	千九百七十四年 さんがつみっか、その機体が、オルリーを飛び立つ。
c705-2	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 110ms の音（5.97秒地点・振幅6716＝本文の1.1倍） || take2: 末尾に余計な音: 90ms の無音 → 200ms の音（5.95秒地点・振幅7615＝本文の1.3倍）; 途中に浮いた音: 190ms（5.67秒地点・振幅15893＝本文の2.6倍／前410ms・後90ms の無音） || take3: clean	速さは時速およそごひゃくろくじゅうキロ（さんびゃくノット）だった。
c707-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（4.24秒地点・振幅14985＝本文の2.4倍） || take2: clean	そこは、パリの北東、サン・パテュスという村の上空だった。
c711-1	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 170ms の音（6.23秒地点・振幅7850＝本文の1.0倍） || take2: clean	床の下を通る、操縦のためのケーブルが傷んだ。真ん中のエンジンも止まった。
c713-1	unsure	1	3	take1: 末尾に余計な音: 140ms の無音 → 170ms の音（2.93秒地点・振幅6974＝本文の1.1倍）; 途中に浮いた音: 130ms（2.66秒地点・振幅8037＝本文の1.3倍／前110ms・後140ms の無音） || take2: 末尾に余計な音: 140ms の無音 → 110ms の音（2.93秒地点・振幅8268＝本文の1.1倍）; 途中に浮いた音: 130ms（2.66秒地点・振幅10689＝本文の1.4倍／前100ms・後140ms の無音） || take3: 末尾に余計な音: 170ms の無音 → 160ms の音（3.04秒地点・振幅8720＝本文の1.2倍）; 途中に浮いた音: 130ms（2.74秒地点・振幅13029＝本文の1.7倍／前90ms・後170ms の無音）	機首は下がり、速さはみるみる上がっていった。
c714-1	clean	2	2	take1: 途中に浮いた音: 200ms（6.19秒地点・振幅30982＝本文の3.2倍／前340ms・後100ms の無音） || take2: clean	減圧から二十二秒後には、機首が二十度ほど下向きに傾き、時速ろっぴゃくななじゅうキロに達していた。
c720-2	unsure	3	3	take1: 末尾に余計な音: 150ms の無音 → 130ms の音（6.56秒地点・振幅5942＝本文の1.1倍）; 途中に浮いた音: 190ms（4.69秒地点・振幅5696＝本文の1.0倍／前120ms・後940ms の無音） || take2: 末尾に余計な音: 150ms の無音 → 120ms の音（6.52秒地点・振幅6672＝本文の1.1倍）; 途中に浮いた音: 180ms（4.72秒地点・振幅6835＝本文の1.1倍／前120ms・後830ms の無音） || take3: 末尾に余計な音: 140ms の無音 → 160ms の音（6.40秒地点・振幅6644＝本文の1.0倍）	火は出なかった。機体は、細かなかけらになって、森に散った。
c806-2	unsure	1	3	take1: 途中に浮いた音: 130ms（3.71秒地点・振幅16024＝本文の2.0倍／前500ms・後110ms の無音） || take2: 途中に浮いた音: 140ms（3.55秒地点・振幅14661＝本文の1.5倍／前170ms・後80ms の無音） || take3: 途中に浮いた音: 120ms（3.67秒地点・振幅7270＝本文の1.0倍／前440ms・後110ms の無音）	事故の翌日、運輸大臣は国会で、一行のことをこう説明している。
c808-2	unsure	1	3	take1: 途中に浮いた音: 250ms（6.33秒地点・振幅24626＝本文の2.9倍／前490ms・後260ms の無音） || take2: 途中に浮いた音: 230ms（6.92秒地点・振幅24390＝本文の2.8倍／前770ms・後330ms の無音） || take3: 末尾に余計な音: 120ms の無音 → 180ms の音（8.29秒地点・振幅8809＝本文の1.0倍）	ほかに添乗員や旅行の仕事の人たち。まだ確かめていない人もいる、と大臣は断った。
c809-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（3.68秒地点・振幅13898＝本文の1.9倍） || take2: clean	入社は決まっていたが、まだ正式な社員ではなかった。
c821-3	clean	3	3	take1: 途中に浮いた音: 240ms（3.58秒地点・振幅24931＝本文の3.4倍／前620ms・後370ms の無音） || take2: 途中に浮いた音: 160ms（2.72秒地点・振幅6645＝本文の1.0倍／前100ms・後600ms の無音） || take3: clean	当時の窓は小さく、確かめにくかった、と報告書は書き添えている。
c822-2	clean	2	2	take1: 末尾に余計な音: 680ms の無音 → 240ms の音（7.12秒地点・振幅14996＝本文の1.8倍） || take2: clean	これらの危険はウィンザーの事故で分かっていたのに、効き目のある直しは無かった、と。
c903-1	real	1	3	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（6.93秒地点・振幅6884＝本文の1.0倍） || take2: 末尾に余計な音: 90ms の無音 → 160ms の音（7.52秒地点・振幅7759＝本文の1.0倍） || take3: 末尾に余計な音: 100ms の無音 → 160ms の音（7.25秒地点・振幅7609＝本文の1.3倍）	アメリカの官報に載ったのは しがつふつか。この日から、だれにでも効力を持った。
c904-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 110ms の音（8.05秒地点・振幅9562＝本文の1.4倍） || take2: 末尾に余計な音: 110ms の無音 → 130ms の音（7.47秒地点・振幅7785＝本文の1.2倍） || take3: 末尾に余計な音: 110ms の無音 → 140ms の音（7.62秒地点・振幅10663＝本文の1.3倍）	七月には、通気扉の改修や、のぞき窓の取り替えなど、さらに いつつのSBが義務になった。
c907-2	clean	2	2	take1: 先頭に余計な音: 160ms の音（振幅26000＝本文の4.1倍）のあと 80ms の無音 || take2: clean	ロッキード エルテンイレブン、ボーイングななよんなな、エアバス エーさんびゃくにも及んだ。
c908-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（8.13秒地点・振幅10513＝本文の1.5倍） || take2: clean	千九百七十二年にNTSBが勧めたふたつめも、客室と貨物室のあいだの空気の逃げ道だった。
c914-2	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 140ms の音（7.06秒地点・振幅9768＝本文の1.4倍） || take2: 末尾に余計な音: 120ms の無音 → 110ms の音（7.25秒地点・振幅8366＝本文の1.0倍）; 途中に浮いた音: 120ms（6.60秒地点・振幅14249＝本文の1.7倍／前580ms・後130ms の無音） || take3: 途中に浮いた音: 130ms（6.39秒地点・振幅12918＝本文の1.8倍／前430ms・後110ms の無音）; 途中に浮いた音: 250ms（6.63秒地点・振幅11918＝本文の1.6倍／前110ms・後130ms の無音）	パリの事故のあとまでごじゅうにの さんじゅうななを済ませていなかったものが、少なくともいっきあった。
