行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c803-1	読みが違う	ガレ→カラ	ガレキハチカカイカラチカカイノアタリマデツミアガッテエタ	カラキハチカカイカラチカカイノアタリマデツミアガッテエタ	瓦礫は、地下4階から地下3階のあたりまで積み上がっていた。	カラキは地下四階から地下三階のあたりまで積み上がっていた。
c805-2	読みが違う	テ→—	テサギョオニキリカエルソオキメテススメラレタ	サギョオニキリカエルソオキメテススメラレタ	手作業に切り替える。そう決めて進められた。	作業に切り替える。そう決めて進められた。
c808-2	読みが違う	ガレ→カラ	ガレキノシタハムジンカメラヤアナニサシコムカメラデサガシテエル	カラキノシタハムジンカメラヤアナニサシコムカメラデサガシテエル	瓦礫の下は、無人カメラや、穴に差し込むカメラで探している。	カラキの下は無人カメラや穴に差し込むカメラで探している
c811-1	読みが違う	シャ→ガ	ユクエフメエシャノカズハナカナカカタマラナカッタ	ユクエフメエガノカズハナカナカカタマラナカッタ	行方不明者の数は、なかなか固まらなかった。	行方不明がの数はなかなか固まらなかった。
c812-1	読みが違う	ツキニチノアサジフンゴロクズレテカラジカンガタッテエタ→—	ツキニチノアサジフンゴロクズレテカラジカンガタッテエタ		7月9日の朝8時20分ごろ。崩れてから230時間がたっていた。	[musique de fond]
c812-2	読みが違う	ガレ→カラ	ガレキノシタカライキタママニンガタスケダサレテエル	カラキノシタカライキタママニンガタスケダサレテエル	瓦礫の下から、生きたまま1人が助け出されている。	カラキの下から生きたまま一人が助け出されている。
c814-2	読み一致		ジカンブリニイキテタスケダサレタ	ジカンブリニイキテタスケダサレタ	377時間ぶりに、生きて助け出された	877時間ぶりに生きて助け出された
c815-1	読みが違う	ハ→カ	ハクショニヨレバタスケダサレタニンハイズレモワカイヒトダッタ	カクショニヨレバタスケダサレタニンハイズレモワカイヒトダッタ	白書によれば、助け出された3人は、いずれも若い人だった。	各所によれば、助け出された三人はいずれも若い人だった。
c819-3	読みが違う	カ→マ	カズハコノジテンデモマダウゴイテエタコトニナル	マズハコノジテンデモマダウゴイテエタコトニナル	数は、この時点でもまだ動いていたことになる。	まずはこの時点でもまだ動いていたことになる。
c820-1	読みが違う	カ→マ	カズガウゴイタノハオナジヒトヲカゾクトショクバガベツベツニトドケデテエタカラデアル	マズガウゴイタノハオナジヒトヲカゾクトショクバガベツベツニトドケデテエタカラデアル	数が動いたのは、同じ人を家族と職場が別々に届け出ていたからである。	まずが動いたのは、同じ人を家族と職場が別々に届け出ていたからである。
c821-1	読みが違う	ガレ→ア／—→シチガ／キ→—	ガレキヲハコビダスサギョオモススンダツキニチノジテンデ	アキヲハコビダスサギョオモススンダシチガツニチノジテンデ	瓦礫を運び出す作業も進んだ。7月19日の時点で、	空きを運び出す作業も進んだ。七月十九日の時点で
c901-1	読みが違う	ミズクサ→イイヅカ	ミズクサクノクミンカイカンニゴオドオノショオコオショガツクラレタ	イイヅカクノクミンカイカンニゴオドオノショオコオショガツクラレタ	瑞草区の区民会館に、合同の焼香所が作られた。	飯塚区の区民会館に合同の昇降所が作られた
c903-1	読み一致		イタイガミツカラナイママユクエガワカラナイヒトハ	イタイガミツカラナイママユクエガワカラナイヒトハ	遺体が見つからないまま行方が分からない人は、	遺体が見つからないまま行方がわからない人は
c909-1	読みが違う	ノ→—	ノコッタヒトツノネンダイダケデゼンタイノハンブンヲコエテエル	コッタヒトツノネンダイダケデゼンタイノハンブンヲコエテエル	残った一つの年代だけで、全体の半分をこえている。	凝った一つの年代だけで全体の半分を超えている。
ep08-2	読みが違う	アイダ→マ	ホオカイトノアイダニインガカンケエハナイトハンダンシ	ホオカイトノマニインガカンケエハナイトハンダンシ	崩壊とのあいだに因果関係は無いと判断し、	崩壊との間に因果関係はないと判断し
ep08-3	読みが違う	サ→マ	サイバンヲコオサイヘサシモドシテエル	マイバンヲコオサイヘサシモドシテエル	裁判を高裁へ差し戻している。	毎晩を交際へ差し戻している。
ep10-2	読み一致		サイナンカンリホオトイウコオフサレタソノヒカラウゴキハジメテエル	サイナンカンリホオトイウコオフサレタソノヒカラウゴキハジメテエル	災難管理法という。公布されたその日から動き始めている。	災難管理法という、交付されたその日から動き始めている。
ep13-2	読み一致		イチバンオオクノヒトガナクナッタジコニナルダロオト	イチバンオオクノヒトガナクナッタジコニナルダロオト	いちばん多くの人が亡くなった事故になるだろう、と。	一番多くの人が亡くなった事故になるだろうと。
