場面	一致率	送った文	聞こえた文	送信文
c116-1	1.000	では、なぜ床が動くような建物になっていたのか。	ではなぜ床が動くような建物になっていたのか。	では、なぜゆかが動くような建物になっていたのか。
c116-2	1.000	それを知るには、事故の8年前まで戻る必要がある。	それを知るには、事故の八年前まで戻る必要がある。	それを知るには、事故の8年前まで戻る必要がある。
c201-1	1.000	ここからは、この建物がどう建てられたのかを見ていく。	ここからはこの建物がどう建てられたのかを見ていく。	ここからは、この建物がどう建てられたのかを見ていく。
c201-2	0.923	三豊百貨店を持っていたのは、三豊建設産業という会社である。	三分百貨店を持っていたのは三分建設産業という会社である。	サンプン百貨店を持っていたのは、サンプン建設産業という会社である。
c202-1	1.000	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。	掘る工事が始まったのは 1987年の3月。着工の届けはその年の8月25日	掘る工事が始まったのは1987年の3月。着工の届けはその年の8月25日。
c202-2	1.000	骨組みの工事は1988年11月まで続いたが、	骨組みの工事は1988年11月まで続いたが	骨組みの工事は1988年11月まで続いたが、
c202-3	1.000	仕上がらないまま打ち切られている。	仕上がらないまま打ち切られている。	仕上がらないまま打ち切られている。
c203-1	0.947	敷地は15,397平方メートル。サッカー場2面ぶんより少し広い。	敷地は一万五千三百九十七平方メートル。サッカー場二面分より少し広い。	敷地はイチマンゴセンサンビャクキュウジュウナナ平方メートル。サッカー場2面ぶんより少し広い。
c203-2	0.958	建物の床を全部たすと、73,877平方メートルになる。	建物の床を全部足すと七万三千八百七十七平方メートルになる。	建物のゆかを全部たすと、ナナマンサンゼンハッピャクナナジュウナナ平方メートルになる。
c203-3	0.933	これは、1994年に地下を広げたあとの数字である。	これは 1994年に地下を広げた後の数字である。	これは、千九百九十四年に地下を広げたあとの数字である。
c204-1	0.900	建っていたのは、同じ大きさの棟が2つである。	立っていたのは同じ大きさの胸が二つである。	建っていたのは、同じ大きさのむねが2つである。
c204-2	1.000	北がA棟で、百貨店の売り場。南がB棟で、市の断面図では、	北がA棟で百貨店の売り場、南がB棟で市の断面図では	きたがA棟で、百貨店の売り場。南がB棟で、市の断面図では、
c204-3	1.000	1階から3階が売り場、4階と5階がスポーツ施設だった。	一階から三階が売り場、四階と五階がスポーツ施設だった。	1階から3階が売り場、4階と5階がスポーツ施設だった。
c205-1	0.939	2つの棟は、真ん中のガラス張りの通路でつながっていた。	二つの棟は真ん中のガラス張りの通路で繋がっていた。	2つのむねは、真ん中のガラス張りの通路でつながっていた。
c205-2	1.000	正面から見ると、門のような形に見える建物である。	正面から見ると門のような形に見える建物である。	正面から見ると、門のような形に見える建物である。
c205-3	1.000	なお、この先に出てくる看板は、崩れずに残った南の棟のものだ。	なお、この先に出てくる看板は崩れずに残った南の棟のものだ。	なお、この先に出てくる看板は、崩れずに残った南のむねのものだ。
c206-1	0.966	地下の2つの階は、まるごと駐車場だった。とめられる車は524台。	地下の二つの階はまるごと駐車場だった。止められる車は五百二十四台	地下の2つの階は、まるごと駐車場だった。とめられる車は524台。
c206-2	1.000	客が入るのは、その上の、地下1階から地上5階までである。	客が入るのはその上の地下一階から地上五階までである。	客が入るのは、その上の、地下1階から地上5階までである。
c207-1	1.000	その6つの階のうち、5階だけが売り場ではなく食堂街だった。	その六つの階のうち五階だけが売り場ではなく食堂街だった。	その6つの階のうち、5階だけが売り場ではなく食堂街だった。
c207-2	0.810	最上階であり、この動画でいちばん大事な階になる。	最上階であり、この動画で一番大事な回になる。	最上階であり、この動画でいちばん大事な階になる。
c208-1	0.936	売り場には、催しごとの垂れ幕がいくつも下がっていた。	売り場には催し事の垂れ幕がいくつも下がっていた。	売り場には、催しごとの垂れ幕がいくつも下がっていた。
c208-2	0.958	5階にも特設の売り場があったことが、写真から分かる。	五階にも特設の売り場があったことが写真からわかる。	5階にも特設の売り場があったことが、写真から分かる。
c209-1	0.926	会員として名前を登録していた人は、76,500人をこえていた。	会員として名前を登録していた人は七万六千五百人を超えていた。	会員として名前を登録していた人は、ナナマンロクセンゴヒャクニンをこえていた。
c209-2	0.957	どれくらい大きな店だったのかは、次の数字で分かる。	どれくらい大きな店だったのかは次の数字でわかる。	どれくらい大きな店 だったのかは、次の数字で分かる。
c210-1	0.938	売り上げは、全国の百貨店で7番目だった。	売上は全国の百貨店で七番目だった。	売り上げは、全国の百貨店で7番目だった。
c210-2	0.941	一つの売り場としての大きさでいえば、	一つの売り場としての大きさで言えば。	一つの売り場としての大きさでいえば、
c210-3	0.977	ソウルのロッテ本店に次いで、全国で2番目である。	ソウルのロッテ本店に次いで全国で番目である。	ソウルのロッテ本店に次いで、全国でニバンメである。
c211-1	0.842	つまり三豊百貨店は、開いてから5年のあいだに、	つまり三分百貨店は開いてから五年の間に	つまりサンプン百貨店は、開いてから5年のあいだに、
c211-2	1.000	韓国でも指折りの店になっていたことになる。	韓国でも指折りの店になっていたことになる。	韓国でも指折りの店になっていたことになる。
c212-1	0.962	建物としても新しかった。開店から5年半しかたっていない。	建物としても新しかった。開店から五年半しか経っていない。	建物としても新しかった。開店から5年半しかたっていない。
c212-2	1.000	地震があったわけでも、火事が起きたわけでもなかった。	地震があったわけでも火事が起きたわけでもなかった。	地震があったわけでも、火事が起きたわけでもなかった。
c213-1	1.000	竣工の検査が終わったのは、開店の翌年、1990年7月27日。	竣工の検査が終わったのは開店の翌年、 1990年7月27日	しゅんこうの検査が終わったのは、開店の翌年、1990年シチガツニジュウシチニチ。
c213-2	0.943	1994年には地下1階を672平方メートル増やしたうえ、	1994年には地下一階を672平方メートル増やした上	千九百九十四年には地下1階を672平方メートル増やしたうえ、
c213-3	0.951	スポーツ施設などおよそ19,000平方メートルを売り場に変えている。	スポーツ施設などおよそ一万九千平方メートルを売り場に変えている。	スポーツ施設などおよそイチマンキュウセン平方メートルを売り場に変えている。
c214-1	0.889	崩れた1995年6月も、店はふつうに営業していた。	崩れた 1995年6月も店は普通に営業していた。	崩れた1995年6月も、店はふつうに営業していた。
c214-2	1.000	催しの広告が出され、客が入り、従業員が働いている。	催しの広告が出され、客が入り、従業員が働いている。	催しの広告が出され、客が入り、従業員が働いている。
c215-1	1.000	その5階の食堂街には、店がいくつも並んでいた。	その五階の食堂街には店がいくつも並んでいた。	その5階の食堂街には、店がいくつも並んでいた。
c215-2	1.000	どの店の厨房にも大きな冷蔵庫と調理台が置かれ、	どの店の厨房にも大きな冷蔵庫と調理台が置かれ	どの店の厨房にも大きな冷蔵庫と調理台が置かれ、
c215-3	1.000	客席には、石でできた重い椅子が使われていた。	客席には石でできた重い椅子が使われていた。	客席には、石でできた重い椅子が使われていた。
c216-1	1.000	ここで一つ、記録に残っている食い違いがある。	ここで一つ記録に残っている食い違いがある。	ここで一つ、記録に残っている食い違いがある。
c216-2	1.000	5階は、もともと食堂街として許可された階ではなかった。	五階はもともと食堂街として許可された階ではなかった。	5階は、もともと食堂街として許可された階ではなかった。
c217-1	1.000	役所に出した許可の図面と、工事に使った図面。	役所に出した許可の図面と工事に使った図面	役所に出した許可の図面と、工事に使った図面。
c217-2	1.000	この2つが、いくつもの場所で合っていなかったのである。	この二つがいくつもの場所で合っていなかったのである。	この2つが、いくつもの場所で合っていなかったのである。
c218-1	1.000	そもそも、この建物は始まりからして違っていた。	そもそもこの建物は始まりからして違っていた。	そもそも、この建物は始まりからして違っていた。
c218-2	0.897	はじめの計画は、百貨店ではなかった	初めの計画は百貨店ではなかった。	はじめの計画は、百貨店ではなかった
c301-1	1.000	判決文はこう書いている。当初は百貨店ではなく、	判決文はこう書いている。「当初は百貨店ではなく	判決文はこう書いている。当初は百貨店ではなく、
c301-2	1.000	ショッピングセンターの用途の建物として計画を立て、	ショッピングセンターの用途の建物として計画を立て	ショッピングセンターの用途の建物として計画を立て、
c301-3	1.000	設計を頼んでおきながら、実際には百貨店にした、と。	設計を頼んでおきながら、実際には百貨店にしたと。	設計を頼んでおきながら、実際には百貨店にした、と。
c302-1	0.870	建物の使いみちが変われば、	建物の使い道が変われば	建物の使いみちが変われば、
c302-2	1.000	建築の計画も、構造の計算もやり直さなければならない。	建築の計画も構造の計算もやり直さなければならない。	建築の計画も、構造の計算もやり直さなければならない。
c303-1	0.905	判決文が書いているのは、百貨店として使うために、	結論文が書いているのは、百貨店として使うために	判決文が書いているのは、百貨店として使うために、
c303-2	1.000	建築面積を勝手に増やした、というところまでである。	建築面積を勝手に増やしたというところまでである。	建築面積を勝手に増やした、というところまでである。
c304-1	1.000	1987年7月21日、役所が事業計画を承認した。	1987年7月21日、役所が事業計画を承認した。	1987年7月21日、役所が事業計画を承認した。
c304-2	0.962	中身は地下4階、地上5階、延べ71,136平方メートルである。	中身は地下四階、地上五階、延べ七万千百三十六平方メートルである。	中身は地下4階、地上5階、延べナナマンセンヒャクサンジュウロク平方メートルである。
c304-3	1.000	ただし、この中身がそのまま建てられたわけではなかった。	ただし、この中身がそのまま建てられたわけではなかった。	ただし、この中身がそのまま建てられたわけではなかった。
c305-1	1.000	骨組みの工事を受け持ったのは、別の建設会社である。	骨組みの工事を受け持ったのは別の建設会社である。	骨組みの工事を受け持ったのは、別の建設会社である。
c305-2	0.971	三豊建設が下請けに出し、1987年11月から1988年11月まで続いた。	三分建設が下請けに出し、 1987年11月から1988年11月まで続いた。	サンプンけんせつが下請けに出し、1987年11月から1988年11月まで続いた。
c306-1	0.898	ところが、許可のときは71,136平方メートルだった床が、	ところが、許可の時は七万千百三十六平方メートルだった床が	ところが、許可のときはナナマンセンヒャクサンジュウロク平方メートルだったゆかが、
c306-2	0.906	工事に使った図面では73,205平方メートルになっていた。	当時に使った図面では七万三千二百五平方メートルになっていた。	工事に使った図面ではナナマンサンゼンニヒャクゴ平方メートルになっていた。
c306-3	0.917	2,069平方メートル、テニスコート8面ぶん増えている。	二千六十九平方メートル。テニスコート八面分増えている。	ニセンロクジュウキュウ平方メートル、テニスコート8面ぶん増えている。
c307-1	0.844	増えていたのは面積だけではない。5階の使いみちも、	増えていたのは面積だけではない。誤解の使い道も	増えていたのは面積だけではない。5階の使いみちも、
c307-2	1.000	許可の図面と工事の図面で、書いてあることが違っていた。	許可の図面と工事の図面で書いてあることが違っていた。	許可の図面と工事の図面で、書いてあることが違っていた。
c308-1	1.000	国会の報告書が書いているのは、次の一行である。	国会の報告書が書いているのは次の一行である。	こっかいの報告書が書いているのは、次の いちぎょうである。
c308-2	1.000	5階は、許可の図面ではスケート場	五階は許可の図面ではスケート場。	5階は、許可の図面ではスケート場
c309-1	1.000	ローラースケート場は、床の上にほとんど物を置かない。	ローラースケート場は床の上にほとんど物を置かない。	ローラースケート場は、ゆかの上にほとんど物を置かない。
c309-2	0.909	食堂街は、厨房も冷蔵庫も客席も、全部が重さになる。	木道街は厨房も冷蔵庫も客席も全部が重さになる。	食堂街は、厨房も冷蔵庫も客席も、全部が重さになる。
c309-3	1.000	同じ床でも、支えるべき重さがまるで違ってくる。	同じ床でも支えるべき重さがまるで違ってくる。	同じゆかでも、支えるべき重さがまるで違ってくる。
c310-1	1.000	図面の食い違いは、もう一組ある。	図面の食い違いはもう一組ある。	図面の食い違いは、もう一組ある。
c310-2	1.000	構造の計算書と、構造の設計図面である。	構造の計算書と構造の設計図面である。	構造の計算書と、構造の設計図面である。
c311-1	1.000	計算した結果が図面に写されていなかった場所が、	計算した結果が図面に写されていなかった場所が	計算した結果が図面に写されていなかった場所が、
c311-2	0.970	報告書が数えただけで11か所あった。	報告書が数えただけで十一か所あった。	報告書が数えただけで11か所あった。
c311-3	1.000	柱の太さや鉄筋の数の食い違いも、そこに入っている。	柱の太さや鉄筋の数の食い違いもそこに入っている。	柱の太さや鉄筋の数の食い違いも、そこに入っている。
c312-1	1.000	建物を建てるとき、役目は3つに分かれる。	建物を建てるとき、役目は三つに分かれる。	建物を建てるとき、役目は3つに分かれる。
c312-2	1.000	図面を描く設計。実際に建てる施工。	図面を描く設計。実際に建てる施工。	図面を描く設計。実際に建てる施工。
c312-3	0.889	そして図面どおりに建っているかを見る監理である。	そして図面通りに建っているかを見る管理である。	そして図面どおりに建っているかを見る監理である。
c313-1	0.960	この建物では、設計と監理を同じ設計事務所が受け持った。	この建物では設計と管理を同じ設計事務所が受け持った。	この建物では、設計と監理を同じ設計事務所が受け持った。
c313-2	1.000	仕上げと設備の工事は、骨組みと並んで1987年10月から、	仕上げと設備の工事は骨組みと並んで 1987年10月から。	仕上げと設備の工事は、骨組みと並んで1987年10月から、
c313-3	0.919	建て主である三豊建設が自分で行っている。	建主である三分建設が自分で行っている。	建て主であるサンプンけんせつが自分で行っている。
c314-1	1.000	しかもその骨組みは、仕上がらないまま打ち切られた。	しかもその骨組みは仕上がらないまま打ち切られた。	しかもその骨組みは、仕上がらないまま打ち切られた。
c314-2	0.958	報告書はこれを、工事の一貫性を失った、と書いている。	その報告書はこれを工事の一貫性を失ったと書いている。	報告書はこれを、工事の一貫性を失った、と書いている。
c315-1	1.000	当時の韓国には、請負限度制という決まりがあった。	当時の韓国には請負限度制という決まりがあった。	当時の韓国には、請負限度制という決まりがあった。
c315-2	0.963	会社の規模に応じて、引き受けられる工事の額に上限をつける。	毎社の規模に応じて引き受けられる工事の額に上限をつける。	会社の規模に応じて、引き受けられる工事の額に上限をつける。
c316-1	0.947	三豊建設の上限は18億ウォン。この百貨店の工事は228億ウォン。	三分建設の上限は十八億ウォン。この百貨店の工事は二百二十八億ウォン。	サンプンけんせつの上限は18億ウォン。この百貨店の工事は228億ウォン。
c316-2	0.824	12倍をこえている。	十二倍を超えている。	12倍をこえている。
c317-1	1.000	ただしこの上限は、よその会社から請け負う工事のための決まりで、	ただし、この上限はよその会社から請け負う工事のための決まりで	ただしこの上限は、よその会社から請け負う工事のための決まりで、
c317-2	1.000	自分の会社の事業には当てはまらなかった。	自分の会社の事業には当てはまらなかった。	自分の会社の事業には当てはまらなかった。
c317-3	0.857	上限18億ウォン、工事は228億ウォン	条件十八億ウォン。工事は二百二十八億ウォン。	上限18億ウォン、工事は228億ウォン
c318-1	1.000	店は1989年11月、工事の途中の段階で、	店は1989年11月、工事の途中の段階で	店は1989年11月、工事の途中の段階で、
c318-2	0.000	できた部分だけ先に使ってよいという許可をもらい、翌月に開店した。	[outro jingle]	できた部分だけ先に使ってよいという許可をもらい、翌月に開店した。
c318-3	0.791	竣工の検査が終わったのは、その8か月あとである。	春高の検査が終わったのはその八ヶ月後である。	しゅんこうの検査が終わったのは、その8か月あとである。
c319-1	0.941	事故のあとの捜査では、役所への贈賄も起訴の中身に入った。	事故の後の捜査では、役所への贈賄も起訴の中身に入った。	事故のあとの捜査では、役所への贈賄も起訴の中身に入った。
c319-2	1.000	会長と社長は、この罪でも裁かれている。	会長と社長はこの罪でも裁かれている。	会長と社長は、この罪でも裁かれている。
c320-1	1.000	ただし民事の裁判では、区の職員の職務上の違反が、	ただし、民事の裁判では、区の職員の職務上の違反が	ただし民事の裁判では、区の職員の職務上の違反が、
c320-2	1.000	建物が崩れたことの原因だったとまでは言えない、とされた。	建物が崩れたことの原因だったとまでは言えないとされた。	建物が崩れたことの原因だったとまでは言えない、とされた。
c321-1	1.000	白書には、図面を描く、実際に建てる、それを見張る、	白書には図面を描く。実際に建てる。それを見張る。	はくしょには、図面を描く、実際に建てる、それを見張る、
c321-2	0.865	建ったあと手入れをする、という段階ごとに、	立った後、手入れをするという段階ごとに	たったあと手入れをする、という段階ごとに、
c321-3	1.000	何がどう足りなかったのかを並べた表が載っている。	何がどう足りなかったのかを並べた表が載っている。	何がどう足りなかったのかを並べた表が載っている。
c322-1	1.000	計画と図面の話は、ここまでである。	計画と図面の話はここまでである。	計画と図面の話は、ここまでである。
c322-2	1.000	次は、この建物の屋上に何が載せられたのかを見ていく。	次はこの建物の屋上に何が載せられたのかを見ていく。	次は、この建物の屋上に何が載せられたのかを見ていく。
c401-1	1.000	建物の屋上には、冷却塔という装置が置かれていた。	建物の屋上には冷却塔という装置が置かれていた。	建物の屋上には、冷却塔という装置が置かれていた。
c401-2	1.000	冷房に使う水を、外の空気で冷やすための装置である。	冷房に使う水を外の空気で冷やすための装置である。	冷房に使う水を、外の空気で冷やすための装置である。
c402-1	1.000	この建物の屋上には、冷却塔が3基あった。	この建物の屋上には冷却塔が三基あった。	この建物の屋上には、冷却塔が3基あった。
c402-2	1.000	1基あたりの重さは28.7トン。中に水を入れると45.5トンになる。	一基あたりの重さは28.7トン。中に水を入れると45.5トンになる。	1基あたりの重さは28.7トン。中に水を入れると45.5トンになる。
c403-1	0.889	45.5トンは、乗用車およそ30台ぶんの重さである。	四十五点五トンは乗用車およそ三十台分の重さである。	45.5トンは、乗用車およそ30台ぶんの重さである。
c403-2	0.808	それが3基。あわせて136.5トン、乗用車90台ぶんの重さが、	それが三機、合わせて百三十六点五トン。乗用車九十台分の重さが	それが3基。あわせて136.5トン、乗用車90台ぶんの重さが、
c403-3	0.923	屋上に載っていたことになる。	屋上に乗っていたことになる。	屋上に載っていたことになる。
