行	扱い	理由
c202-1	表記のゆれ（読みは同じ）	3月27日→『三月二十七日』
c203-2	表記のゆれ（読みは同じ）	あと→『後』
c206-2	表記のゆれ（読みは同じ）	行き先（ゆきさき／いきさき）
c207-1	直した（EL_YOMI）	テネリフェ島のロス→テネリフェトウのロス
c207-2	要耳⚠️「KLM機は」	全文2周とも『KLN機』。エム の m が次の「き」に引かれて「エン」に聞こえる疑い（ほかの KLM 40行は正しい）
c210-2	直した（EL_YOMI）	4805便→四千八百五便
c211-2	本物の語（異音の誤報）	3テイクとも末尾に音＝『な・か・っ・た』の促音に重なる
c213-1	要耳⚠️ 読み「入れなかった＝はいれなかった」	ハイレ を送っている。聞取は同じ字『入れなかった』
c213-2	直した（EL_YOMI・行頭のかな）	全文2周＋取り直し『雪走路』→ かっそうろと → 聞取2回とも正しい
c214-1	表記のゆれ（読みは同じ）	3機→『三基』
c214-2	取り直し（文字起こし合格）	1テイク／SATAの→サタの
c215-1	直した（EL_YOMI）	747→ナナヨンナナ
c216-1	取り直し（文字起こし合格）	2テイク
c216-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c217-2	直した（EL_YOMI）	二機とも→ニキとも
c218-2	取り直し（文字起こし合格）	1テイク
c219-3	取り直し（文字起こし合格）	3テイク
c301-1	直した（EL_YOMI）	テネリフェ島の北側→テネリフェとうの北側
c303-1	直した（EL_YOMI・行頭のかな＋数）	取り直し3テイクで行頭が揃わない → かっそうろは＋サンゼンヨンヒャク → 聞取2回とも『滑走路は…三千四百』
c303-2	直した（EL_YOMI・行頭のかな）	取り直し3テイク『スソーロ／スソーロ／道路』→ かっそうろの → 聞取2回とも正しい
c303-3	直した（EL_YOMI）	反対から入れば→反対からハイレバ
c304-1	取り直し（文字起こし合格）	3テイク
c304-2	取り直し（文字起こし合格）	1テイク
c304-3	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c306-1	直した（EL_YOMI）	747→ナナヨンナナ
c307-1	要耳🔴 行頭「平行誘導路」	全文2周『閉居有道路』→取り直しで誘導路は直ったが、6テイク『平常／併合／平常』・かな へいこう でも『A港』＝行頭の「へ」が落ちる型。今の音は『平常誘導路』
c308-1	元の音を残した（A/B で悪化）	管制塔→かんせいとう は通ったが行頭『ジャスパルマス』に崩れた。元の音は2回とも正しい
c309-1	表記のゆれ（読みは同じ）	付いて→『ついて』
c310-2	表記のゆれ（読みは同じ）	3機→『三基』・あいだ→『間』
c311-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c312-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 84%
c313-2	直した（EL_YOMI）	747→ナナヨンナナ
c314-2	表記のゆれ（読みは同じ）	あいだ→『間』
c315-1	取り直し（文字起こし合格）	1テイク
c316-1	直した（EL_YOMI）	30側の端→30がわの端
c316-2	直した（EL_YOMI）	12側の端→12がわの端
c316-3	表記のゆれ（読みは同じ）	いちばん→『一番』（頭欠けの所見は漢数字の誤報）
c317-1	直した（EL_YOMI）	雲が降りると、管制塔→雲が降りると、かんせいとう
c319-1	表記のゆれ（読みは同じ）	あいだ→『間』
c319-2	直した（EL_YOMI）	管制官→かんせいかん
c321-1	要耳🔴「足す」	全文2周『立つ』・取り直し『絶つ』・A/B 前後『発す／絶す』＝6回とも「足す」と出ない。かな「たす」でも同じ＝ す の無声化を聞取が寄せている疑い。意味が変わる語なので耳で
c401-1	直した（EL_YOMI）	KLMは管制塔→KLMはかんせいとう
c401-2	表記のゆれ（読みは同じ）	30分→『三十分』
c403-1	直した（EL_YOMI）	55,500リットル→ゴマンゴセンゴヒャクリットル
c404-1	要耳⚠️ 助詞「乗客は」	全文2周とも『乗客**が**』。聞取の文法補正の疑いが強いが、取り直しの合否では確かめられない
c405-2	直した（EL_YOMI）	25分の飛行に、55,500リットル→ニジュウゴフンの飛行に、ゴマンゴセンゴヒャクリットル
c407-1	表記のゆれ（読みは同じ）	このあと→『この後』
c408-2	直した（EL_YOMI）	全文2周＋取り直し『報告者』→ と ほうこくしょは → 聞取2回とも『報告書』
c412-1	取り直し（文字起こし合格）	1テイク
c412-2	取り直し（文字起こし合格）	1テイク
c416-1	取り直し（文字起こし合格）	2テイク
c417-2	表記のゆれ（読みは同じ）	無さそう→『なさそう』
c417-3	要耳⚠️ 助詞「なのかは」	全文2周とも『なのか**が**』。同上
c418-1	直した（EL_YOMI）	行った先で→いった先で
c419-2	要耳⚠️ 助詞「不確かさは」	全文2周とも『不確かさ**が**』。同上
c501-1	直した（EL_YOMI）	一節を割いている→イッセツを サイている
c503-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 86%
c505-1	表記のゆれ（読みは同じ）	0メートル→『ゼロメートル』
c506-1	直した（EL_YOMI）	気象の値→気象のアタイ
c508-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c508-2	直した（EL_YOMI）	くる側も→くる がわも
c509-1	本物の語（異音の誤報）	『な・っ・た』の促音に重なる
c510-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c510-2	直した（EL_YOMI）	進入の側は→進入の がわは
c511-1	要耳⚠️ 読み「10分の1＝じゅうぶんのいち」	カナで送っている。聞取は『十分の一』／『10分の1』で、ごじゅっぷん型かどうかは機械で見分けられない（8本目の試写で崩れた型）
c511-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c512-1	直した（EL_YOMI）	同じ表には→同じヒョウには
c512-2	要耳⚠️ 読み「8分の1＝はちぶんのいち」	同上
c513-1	取り直し（文字起こし合格）	1テイク
c516-2	取り直し（文字起こし合格）	1テイク
c517-1	直した（EL_YOMI）	この値は→このアタイは
c518-1	直した（EL_YOMI）	管制官→かんせいかん
c518-2	取り直し（文字起こし合格）	1テイク／管制官→かんせいかん
c519-1	直した（EL_YOMI）	端が見えない→はしが見えない
c520-1	表記のゆれ（読みは同じ）	中心線灯→『中心尖塔』＝ちゅうしんせんとう・灯り→『明かり』
c520-2	表記のゆれ（読みは同じ）	灯り→『明かり』
c521-1	直した（EL_YOMI）	管制塔は、このことを17時04分58秒→かんせいとうは、このことを十七時四分五十八秒
c521-3	取り直し（中身は正しい）	3テイクとも『八百メートルがいる』。不合格の所見は表記だけ（灯→明かり・無→ない・要→いる）
c522-1	表記のゆれ（聞取の揺れ）	灯り→『明かり』。2周目だけ『消えていた』＝同じ音の1周目は『消えている』
c522-2	直した（EL_YOMI・行頭のかな）	全文『かかる』・取り直し『まかる／曲がる』→ はかる → 聞取2回とも『測る』
c601-2	直した（EL_YOMI）	KLMが管制塔→KLMがかんせいとう
c606-1	直した（EL_YOMI）	管制官→かんせいかん
c606-2	取り直し（文字起こし合格）	1テイク
c607-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c607-3	直した（EL_YOMI・行頭のかな）	🔴決め所#7。取り直しは『走路を』のまま合格の判定（頭の字が落ちただけは所見にならない穴）→ かっそうろを → 聞取2回とも『滑走路を』
c608-2	表記のゆれ（読みは同じ）	なりうる→『なり得る』
c609-1	直した（EL_YOMI）	管制官→かんせいかん
c611-1	直した（EL_YOMI）	管制官→かんせいかん
c611-2	要耳⚠️「KLMは」	変えよ→カエヨ で命令形は直った（前『変えよう』3回）が、後の音で『KLN**が**了解した』（2回）
c613-1	直した（EL_YOMI）	管制官→かんせいかん
c613-2	直した（EL_YOMI）	向きを変えよ。ようやく→向きをカエヨ。ようやく／端まで行って→端までいって
c614-1	直した（EL_YOMI）	パンナムが管制塔を呼んだ→パンナムがかんせいとうを呼んだ
c614-2	直した（EL_YOMI・行頭のかな）	取り直し3テイク『セツール／アスベスト路／スレソール』→ かっそうろを → 聞取2回とも正しい
c615-1	直した（EL_YOMI）	管制官→かんせいかん
c616-1	取り直し（文字起こし合格）	1テイク
c616-2	表記のゆれ（読みは同じ）	あと→『後』
c617-2	本物の語（異音の誤報）	語末の『と』に重なる（聞こえた、と）
c617-3	表記のゆれ（読みは同じ）	ふう→『風』
c618-2	表記のゆれ（読みは同じ）	分から→『わから』（頭欠けの所見は表記の誤報）
c619-1	元の音を残した（A/B で悪化）	管制塔→かんせいとう の後『十七時七三分』。元の音は2回とも正しい。数:03 は先頭ゼロの誤報
c619-2	取り直し（文字起こし合格）	1テイク
c620-1	直した（EL_YOMI）	管制官→かんせいかん
c621-1	表記のゆれ（聞取の揺れ）	2周目だけ『広告主は』。同じ音の1周目は『報告書は』
c623-1	直した（EL_YOMI）	17時04分26秒→十七時四分二十六秒
c623-2	直した（EL_YOMI）	17時05分22秒→十七時五分二十二秒
c624-2	直した（取り直し＋EL_YOMI）	全文2周『取り違えたが…考えたが』→ 取り直し（--must）で語尾は直るが『番目』（四が落ちる）→ ヨンバンメ → 行頭『広告主』→ ほうこくしょは → 聞取2回とも『報告書は…四番目…考えたか、と書く』
c701-1	元の音を残した（声は数を読んでいる）	全文2周は『度』だけ → 語の時刻で『度』0.94秒≒4モーラ → 元の音を3回目・4回目に起こすと『180度』『百八十度』。カナ・漢数字の案は採らず
c701-2	直した（EL_YOMI）	747→ナナヨンナナ
c702-2	直した（EL_YOMI）	747→ナナヨンナナ
c703-2	表記のゆれ（読みは同じ）	分かる→『わかる』
c703-3	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c705-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c706-1	直した（EL_YOMI）	17時05分41秒→十七時五分四十一秒
c706-3	表記のゆれ（読みは同じ）	分かって→『わかって』
c707-1	数は正しい（先頭ゼロの誤報）	『十七時五分四十四秒』
c708-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
c708-2	表記のゆれ（読みは同じ）	あと→『後』
c710-1	直した（EL_YOMI）	管制官→かんせいかん
c712-1	要耳⚠️ 助詞「言葉は」	全文2周とも『言葉**が**』。同上
c712-2	直した（EL_YOMI）	管制官→かんせいかん
c713-1	数は正しい（先頭ゼロの誤報）	『十七時六分九秒』
c713-3	表記のゆれ（読みは同じ）	パパへ→『パパエ』（へ＝え）
c714-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 26%
c715-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c715-3	直した（EL_YOMI）	している最中に→しているサイチュウに
c716-1	数は正しい（先頭ゼロの誤報）	『十七時六分十三秒』
c716-2	直した（EL_YOMI）	ブレーキが放された→ブレーキが はなされた
c716-3	数は正しい（先頭ゼロの誤報）	『六秒後の十七時六分十七秒』。あと→後
c717-1	直した（EL_YOMI）	管制官の側から→かんせいかんの がわから
c718-1	表記のゆれ（読みは同じ）	あとから→『後から』
c718-2	直した（EL_YOMI）	管制塔の録音→かんせいとうの録音
c719-1	表記のゆれ（読みは同じ）	注に→『中に』（ちゅうに）
c719-2	表記のゆれ（読みは同じ）	分かった→『わかった』
c720-1	直した（EL_YOMI）	管制官→かんせいかん
c720-2	直した（EL_YOMI）	短い間があって→短いマがあって
c721-2	直した（EL_YOMI）	管制官→かんせいかん
c722-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c724-2	表記のゆれ（読みは同じ）	あいだ→『間』
c725-1	表記のゆれ（読みは同じ）	あいだ→『間』
c725-2	直した（EL_YOMI）	離陸の値で→離陸のアタイで
c727-2	表記のゆれ（読みは同じ）	欠けた→『かけた』
c727-3	直した（EL_YOMI）	管制官が言い終える前、パンナムに届いたのは、最後の一音→かんせいかんが言い終える前、パンナムに届いたのは、最後のイチオン
c728-1	直した（EL_YOMI）	管制官→かんせいかん（前『観測艦』→後『管制官』）。異音の unsure は『っ・た』の促音に重なる本物の語
c728-2	取り直し（文字起こし合格）	1テイク／滑走路を出たら→かっそうろを出たら
c729-1	数は正しい（先頭ゼロの誤報）	『十七時六分二十九秒』
c730-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 81%
c731-1	数は正しい（先頭ゼロの誤報）	『十七時六分三十二秒』
c731-2	要耳⚠️「なんて言った」	全文2周とも『何と言った』。意味は同じ
c732-1	表記のゆれ（読みは同じ）	返って／肯定→『帰って／皇帝』（同じ音）。数:06 は先頭ゼロの誤報（『六分』）
c801-1	直した（EL_YOMI・行頭のかな）	全文2周＋取り直し『操縦士も』（副 が落ちる）→ ふくそうじゅうしも → 聞取2回とも正しい
c804-1	直した（EL_YOMI）	管制官→かんせいかん
c805-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 80%
c806-1	表記のゆれ（読みは同じ）	灯り→『明かり』。数:06 は先頭ゼロの誤報
c807-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 86%
c808-2	直した（EL_YOMI・行頭のかな）	全文『バッツオール』・取り直し『雪走路』→ かっそうろの → 聞取2回とも正しい
c809-1	直した（EL_YOMI）	17時06分43秒→十七時六分四十三秒
c811-1	数は正しい（先頭ゼロの誤報）	『十七時六分四十七秒』
c812-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 80%
c813-1	表記のゆれ（読みは同じ）	主脚→『主客』＝しゅきゃく
c814-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c815-1	直した（EL_YOMI）	乗客234人が乗っていた→乗客ニヒャクサンジュウヨニンが乗っていた
c901-1	直した（EL_YOMI）	管制塔からは、何も→かんせいとうからは、何も
c901-2	表記のゆれ（読みは同じ）	雲→『蜘蛛』＝くも
c902-1	表記のゆれ（読みは同じ）	分からない→『わからない』。重複読みの疑いは誤報＝台本自体が「鳴ったのかも」を2回含む
c902-2	直した（EL_YOMI）	管制塔には→かんせいとうには
c903-2	表記のゆれ（読みは同じ）	分からない→『わからない』
c904-1	直した（EL_YOMI）	管制塔は、すぐに→かんせいとうは、すぐに
c904-3	表記のゆれ（読みは同じ）	分からない→『わからない』
c905-1	表記のゆれ（読みは同じ）	やって来た→『やってきた』
c907-1	直した（EL_YOMI）	駐まっている→とまっている
c909-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c909-3	要耳⚠️ 助詞「見えていたのは」	全文2周とも『見えていたの**が**』。同上
c911-2	表記のゆれ（読みは同じ）	分かった→『わかった』
c912-1	要耳⚠️ 読み「破片＝はへん」	ハヘン を送っている。はぺん かどうかは機械で見分けられない（8本目の試写で崩れた語）
c913-1	取り直し（文字起こし合格）	1テイク
c913-2	表記のゆれ（読みは同じ）	二機→『二基』（決め所#13）
c914-1	取り直し（文字起こし合格）	1テイク
c915-2	表記のゆれ（読みは同じ）	無くなった→『なくなった』
c915-3	要耳⚠️ 読み「床＝ゆか」（行頭のかな）	ユカ を送っている。聞取は『床』で、ゆか／とこ は機械で見分けられない（4本目で とこ に崩れた語）
c916-1	直した（EL_YOMI）	壁に開いた穴→壁にあいた穴
ep01-3	本物の語（異音の誤報）	『な・か・っ・た』の促音に重なる
ep02-1	取り直し（文字起こし合格）	1テイク
ep02-2	表記のゆれ（読みは同じ）	肯定→『高低』＝こうてい
ep03-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
ep03-2	表記のゆれ（読みは同じ）	機会→『機械』＝きかい
ep06-1	表記のゆれ（読みは同じ）	あと→『後』
ep06-3	取り直し（文字起こし合格）	1テイク
ep07-3	直した（EL_YOMI）	管制官→かんせいかん
ep09-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
ep09-2	要耳⚠️ 読み「十分＝じゅうぶん」	ジュウブン をカナで送っている＝音はかなで決まる。ただし聞取は同じ字『十分』で、機械の裏取りは無い
ep10-2	元の音を残した（A/B で悪化）	漢数字にしたら『1972年…11時』。元の音は2回とも『1977年3月27日17時6分50秒』
ep10-3	直した（EL_YOMI）	583人が亡くなり→五百八十三人が亡くなり
