scene	decision	chosen	takes	flags	text
c509-1	unsure	1	3	take1: 末尾に余計な音: 80ms の無音 → 130ms の音（4.59秒地点・振幅6954＝本文の0.9倍） || take2: 末尾に余計な音: 110ms の無音 → 140ms の音（4.50秒地点・振幅7035＝本文の1.1倍） || take3: 末尾に余計な音: 90ms の無音 → 100ms の音（4.54秒地点・振幅9158＝本文の1.0倍）	16時55分。滑走路の上で見える距離は、1キロになった。
c602-3	clean	2	2	take1: 先頭に余計な音: 190ms の音（振幅31013＝本文の4.2倍）のあと 100ms の無音 || take2: clean	バックタクシー。これが、この日の鍵になる言葉である。
c610-1	clean	3	3	take1: 途中に浮いた音: 190ms（1.64秒地点・振幅8572＝本文の1.0倍／前80ms・後550ms の無音） || take2: 途中に浮いた音: 220ms（1.70秒地点・振幅10370＝本文の1.1倍／前90ms・後230ms の無音） || take3: clean	KLMの答えは、こうだった。いま滑走路に入る。最初の道で出る。
c613-2	clean	3	3	take1: 途中に浮いた音: 180ms（1.12秒地点・振幅17983＝本文の1.7倍／前80ms・後90ms の無音） || take2: 末尾に余計な音: 90ms の無音 → 90ms の音（4.23秒地点・振幅22770＝本文の2.7倍） || take3: clean	まっすぐ端まで行って、そこで向きを変えよ。ようやく、了解が返る。
c617-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 50ms の音（2.90秒地点・振幅10332＝本文の1.2倍） || take2: clean	航空機関士が言った。三番目と言った、と。
c617-2	unsure	2	3	take1: 末尾に余計な音: 640ms の無音 → 60ms の音（4.26秒地点・振幅13970＝本文の2.4倍）; 途中に浮いた音: 220ms（0.66秒地点・振幅12903＝本文の2.2倍／前90ms・後100ms の無音） || take2: 末尾に余計な音: 150ms の無音 → 170ms の音（3.03秒地点・振幅12910＝本文の2.2倍） || take3: 末尾に余計な音: 520ms の無音 → 190ms の音（3.57秒地点・振幅10602＝本文の2.3倍）	機長が言った。一番目と聞こえた、と。
c624-3	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 150ms の音（3.77秒地点・振幅8570＝本文の1.0倍） || take2: 末尾に余計な音: 90ms の無音 → 130ms の音（3.79秒地点・振幅12767＝本文の1.0倍） || take3: clean	二機は、同じ1本の滑走路の上で、向かい合うことになった。
c715-2	clean	2	2	take1: 途中に浮いた音: 170ms（0.99秒地点・振幅32463＝本文の6.3倍／前150ms・後90ms の無音） || take2: clean	報告書が、はっきり書いている。
c719-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 120ms の音（4.28秒地点・振幅8228＝本文の0.9倍） || take2: clean	その送信で離陸していると分かった人は、誰も、あるいはほとんどいなかった。
c723-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 180ms の音（2.14秒地点・振幅8414＝本文の0.9倍） || take2: clean	操縦室では、甲高い音になった
c726-2	clean	2	2	take1: 途中に浮いた音: 210ms（2.14秒地点・振幅6819＝本文の1.2倍／前110ms・後150ms の無音） || take2: clean	けれども、聞き取れないほどではなかった、と書いてある。
c732-1	clean	2	2	take1: 途中に浮いた音: 210ms（2.22秒地点・振幅30915＝本文の5.4倍／前100ms・後80ms の無音） || take2: clean	17時06分35秒。返ってきたのは、強い肯定だった。
c807-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 180ms の音（3.01秒地点・振幅11380＝本文の1.3倍） || take2: clean	報告書によれば、ぶつかる9秒ほど前のことだった。
c813-3	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（4.32秒地点・振幅8446＝本文の0.9倍） || take2: clean	KLMはそのまま飛び続け、150メートル先で地面に当たった。
c917-3	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（3.33秒地点・振幅8913＝本文の1.0倍） || take2: clean	救急車は、ほとんどすぐに現れた。空港に、5台あった。
c918-3	clean	2	2	take1: 途中に浮いた音: 210ms（2.07秒地点・振幅7826＝本文の1.1倍／前80ms・後180ms の無音） || take2: clean	そのうち9人が、あとで亡くなった。残ったのは、61人だった。
ep01-3	unsure	1	3	take1: 末尾に余計な音: 80ms の無音 → 190ms の音（4.37秒地点・振幅6290＝本文の0.9倍） || take2: 末尾に余計な音: 90ms の無音 → 130ms の音（3.70秒地点・振幅6733＝本文の1.0倍） || take3: 末尾に余計な音: 80ms の無音 → 110ms の音（3.65秒地点・振幅8146＝本文の1.0倍）	二つ。離陸は待ってください、という言葉に従わなかった。
ep04-3	clean	2	2	take1: 途中に浮いた音: 200ms（0.84秒地点・振幅12529＝本文の1.5倍／前120ms・後90ms の無音） || take2: clean	答えとして三つ。一つ目は、積み重なった問題で、緊張が高まっていたこと。
pr01-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（3.46秒地点・振幅10668＝本文の1.2倍） || take2: clean	テネリフェとうにある空港の滑走路は、雲の中にあった。
c728-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（4.58秒地点・振幅15790＝本文の1.7倍） || take2: 末尾に余計な音: 130ms の無音 → 60ms の音（4.58秒地点・振幅18131＝本文の2.0倍） || take3: 末尾に余計な音: 90ms の無音 → 70ms の音（4.65秒地点・振幅21939＝本文の2.5倍）	17時06分25秒。かんせいかんがパンナムへ、こう言った。
ep07-3	clean	2	2	take1: 途中に浮いた音: 230ms（2.55秒地点・振幅6838＝本文の1.1倍／前80ms・後310ms の無音） || take2: clean	かんせいかんの「オーケー」も適切ではなかった。ただし離陸は、もう始まっていた。
c115-1	clean	2	2	take1: 末尾に余計な音: 270ms の無音 → 40ms の音（7.96秒地点・振幅16104＝本文の1.9倍） || take2: clean	副操縦士はブラッグ。イチマンハッピャク時間のうち、ナナヨンナナが2,796時間。
c907-1	clean	2	2	take1: 途中に浮いた音: 230ms（1.38秒地点・振幅31665＝本文の4.2倍／前100ms・後90ms の無音） || take2: clean	人にも、車にも、とまっている機体にもぶつかりうる。
c808-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（4.69秒地点・振幅9119＝本文の1.4倍） || take2: clean	滑走路の外へ機体を出そうとしている。もう、間に合わなかった。
c303-1	clean	2	2	take1: 途中に浮いた音: 140ms（0.94秒地点・振幅26197＝本文の2.8倍／前140ms・後80ms の無音） || take2: clean	滑走路は、1本しかない。長さサンゼンヨンヒャクメートル、幅45メートル。
pr05-1	clean	2	2	take1: 先頭に余計な音: 90ms の音（振幅30213＝本文の3.3倍）のあと 90ms の無音 || take2: clean	イッキはKLMオランダ航空の四千八百五便。朝9時にアムステルダムを出ていた。
c115-1	clean	2	2	take1: 途中に浮いた音: 220ms（1.45秒地点・振幅8042＝本文の1.0倍／前110ms・後330ms の無音） || take2: clean	副操縦士はブラッグ。イチマンハッピャク時間のうち、ナナヨンナナが2,796時間。
ep02-1	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（3.75秒地点・振幅8484＝本文の1.0倍） || take2: 末尾に余計な音: 80ms の無音 → 190ms の音（3.89秒地点・振幅9310＝本文の1.1倍） || take3: clean	三つ。パンナムがまだ滑走路にいると言ったのに、やめなかった。
c521-3	clean	2	2	take1: 途中に浮いた音: 140ms（1.88秒地点・振幅30969＝本文の2.8倍／前110ms・後80ms の無音） || take2: clean	中心線の灯りが無いなら、800メートルが要る。
c115-1	clean	3	3	take1: 途中に浮いた音: 220ms（1.26秒地点・振幅12542＝本文の1.3倍／前100ms・後210ms の無音） || take2: 途中に浮いた音: 250ms（0.96秒地点・振幅24460＝本文の2.4倍／前80ms・後100ms の無音） || take3: clean	副操縦士はブラッグ。一万八百時間のうち、ナナヨンナナが2,796時間。
