行	型	該当	本文
pr05-1	同形異音語（一般）	人	7人のうち2人は、職業の宇宙飛行士ではなかった。
pr05-1	数詞＋助数詞	7人	7人のうち2人は、職業の宇宙飛行士ではなかった。
pr05-1	数詞＋助数詞	2人	7人のうち2人は、職業の宇宙飛行士ではなかった。
pr05-2	同形異音語（一般）	人	そのうち1人は、ニューハンプシャー州で教えていた現役の教師である。
pr05-2	数詞＋助数詞	1人	そのうち1人は、ニューハンプシャー州で教えていた現役の教師である。
pr06-1	同形異音語（一般）	生	教えていたのは、中学生と高校生である。
pr06-1	同形異音語（一般）	生	教えていたのは、中学生と高校生である。
pr06-2	同形異音語（一般）	上	乗員に加わったのは、打ち上げの半年前だった。
pr06-2	§6の語（9.11）	乗員	乗員に加わったのは、打ち上げの半年前だった。
pr06-2	§6の語（コロンビア号）	打ち上げ	乗員に加わったのは、打ち上げの半年前だった。
pr07-1	§6の語（9.11）	機体	壊れた原因は、機体の横に付いた細長い補助ロケットにあった。
pr07-2	同形異音語（一般）	目	輪切りの筒をつないだ継ぎ目をふさいでいたのは、2本のゴムの輪である。
pr07-2	数詞＋助数詞	2本	輪切りの筒をつないだ継ぎ目をふさいでいたのは、2本のゴムの輪である。
pr07-3	数詞＋助数詞	7ミリ	太さは7ミリほど。自転車のタイヤのゴムに近い。
pr08-1	小数	2.2	この日の気温は、摂氏2.2度。華氏でいえば36度である。
pr08-1	同形異音語（一般）	日	この日の気温は、摂氏2.2度。華氏でいえば36度である。
pr08-2	小数	8.3	過去のどの打ち上げよりも、摂氏で8.3度低かった。
pr08-2	同形異音語（一般）	上	過去のどの打ち上げよりも、摂氏で8.3度低かった。
pr08-2	§6の語（コロンビア号）	打ち上げ	過去のどの打ち上げよりも、摂氏で8.3度低かった。
pr09-2	§6の語（9.11）	乗員	乗員が逃げるための通路まで、凍りついていた。
pr10-1	§6の語（9.11）	委員会	この動画が使うのは、大統領の委員会がまとめた報告書である。
pr10-1	§6の語（コロンビア号）	委員会	この動画が使うのは、大統領の委員会がまとめた報告書である。
pr10-1	§6の語（コロンビア号）	報告書	この動画が使うのは、大統領の委員会がまとめた報告書である。
pr10-2	文頭の数字	1	1986年6月6日に出された、事故の調査報告書。
pr10-2	1モーラ語＋助詞	日に	1986年6月6日に出された、事故の調査報告書。
pr10-2	同形異音語（一般）	日	1986年6月6日に出された、事故の調査報告書。
pr10-2	数詞＋助数詞	1986年	1986年6月6日に出された、事故の調査報告書。
pr10-2	数詞＋助数詞	6月	1986年6月6日に出された、事故の調査報告書。
pr10-2	数詞＋助数詞	6日	1986年6月6日に出された、事故の調査報告書。
pr10-2	§6の語（コロンビア号）	報告書	1986年6月6日に出された、事故の調査報告書。
c101-1	同形異音語（実績）	話	話は、打ち上げの前の日の夕方からはじまる。
c101-1	同形異音語（実績）	方	話は、打ち上げの前の日の夕方からはじまる。
c101-1	同形異音語（一般）	上	話は、打ち上げの前の日の夕方からはじまる。
c101-1	同形異音語（一般）	日	話は、打ち上げの前の日の夕方からはじまる。
c101-1	§6の語（コロンビア号）	打ち上げ	話は、打ち上げの前の日の夕方からはじまる。
c101-2	文頭の数字	1	1月27日、フロリダのケネディ宇宙センターである。
c101-2	同形異音語（一般）	日	1月27日、フロリダのケネディ宇宙センターである。
c101-2	数詞＋助数詞	1月	1月27日、フロリダのケネディ宇宙センターである。
c101-2	数詞＋助数詞	27日	1月27日、フロリダのケネディ宇宙センターである。
c101-2	§6の語（コロンビア号）	ケネディ宇宙センター	1月27日、フロリダのケネディ宇宙センターである。
c102-2	同形異音語（実績）	間	しかも、それが11時間つづく。
c102-2	数詞＋助数詞	11時	しかも、それが11時間つづく。
c102-3	数詞＋助数詞	1月	フロリダの1月としては、めずらしい。
c103-2	同形異音語（実績）	方	寒い日は、この水を全部抜くのがふだんのやり方だった。
c103-2	同形異音語（一般）	日	寒い日は、この水を全部抜くのがふだんのやり方だった。
c103-3	同形異音語（一般）	上	ところがこの夜は、翌朝が打ち上げで、それができなかった。
c103-3	§6の語（コロンビア号）	打ち上げ	ところがこの夜は、翌朝が打ち上げで、それができなかった。
c105-2	同形異音語（一般）	下	朝、発射台の下の水受けには、厚い氷が張っていた。
c106-1	同形異音語（一般）	下	流しつづけた水と、氷点下の気温と、強い風。
c107-1	同形異音語（一般）	上	氷がついたのは、塔の地上29メートルから65メートルのあたりだった。
c107-1	数詞＋助数詞	29メートル	氷がついたのは、塔の地上29メートルから65メートルのあたりだった。
c107-1	数詞＋助数詞	65メートル	氷がついたのは、塔の地上29メートルから65メートルのあたりだった。
c107-2	同形異音語（実績）	側	北側と西側に、とくに大きな氷とつららがついた。
c107-2	同形異音語（実績）	側	北側と西側に、とくに大きな氷とつららがついた。
c108-1	§6の語（9.11）	乗員	氷がついた場所のひとつが、乗員の緊急脱出用の通路だった。
c108-2	同形異音語（一般）	上	打ち上げ前に何かあったとき、かごで滑り降りる道である。
c108-2	§6の語（コロンビア号）	打ち上げ	打ち上げ前に何かあったとき、かごで滑り降りる道である。
c108-3	同形異音語（一般）	上	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。
c108-3	§6の語（9.11）	乗員	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。
c108-3	§6の語（三豊百貨店）	床	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。
c109-1	同形異音語（一般）	上	地上の通信箱のひとつは、氷におおわれて使えなくなった。
c109-2	§6の語（9.11）	委員会	委員会は、通路の氷を乗員に知らせるべきだったと書いている。
c109-2	§6の語（9.11）	乗員	委員会は、通路の氷を乗員に知らせるべきだったと書いている。
c109-2	§6の語（コロンビア号）	委員会	委員会は、通路の氷を乗員に知らせるべきだったと書いている。
c109-3	同形異音語（一般）	上	打ち上げをおくらせることも、もっと考えるべきだった、と。
c109-3	§6の語（コロンビア号）	打ち上げ	打ち上げをおくらせることも、もっと考えるべきだった、と。
c110-2	同形異音語（一般）	日	時刻は、1月28日の午前2時ごろである。
c110-2	数詞＋助数詞	1月	時刻は、1月28日の午前2時ごろである。
c110-2	数詞＋助数詞	28日	時刻は、1月28日の午前2時ごろである。
c110-2	数詞＋助数詞	2時	時刻は、1月28日の午前2時ごろである。
c111-2	§6の語（コロンビア号）	報告書	ただし報告書は、これについて一行だけ、はっきり書いている。
c111-3	同形異音語（実績）	方	このやり方は、前例がなかった
c112-2	同形異音語（一般）	上	そして午前9時、打ち上げの可否を決める会議にかけられる。
c112-2	数詞＋助数詞	9時	そして午前9時、打ち上げの可否を決める会議にかけられる。
c112-2	§6の語（コロンビア号）	打ち上げ	そして午前9時、打ち上げの可否を決める会議にかけられる。
c112-3	同形異音語（一般）	日	運用管理チームと呼ばれる、その日の判断をまとめる会議である。
c112-3	§6の語（三豊百貨店）	管理	運用管理チームと呼ばれる、その日の判断をまとめる会議である。
c113-2	同形異音語（一般）	人	本体とは、飛行機の形をした、人が乗る部分のことである。
c113-3	1モーラ語＋助詞	気に	気にしていたのは、氷が落ちてその表面に当たることだった。
c114-1	同形異音語（一般）	一	一つ、発射台の上の氷が風で飛んで当たる。
c114-1	同形異音語（一般）	上	一つ、発射台の上の氷が風で飛んで当たる。
c115-2	同形異音語（一般）	上	こういう条件で打ち上げたことが、一度もない。
c115-2	§6の語（コロンビア号）	打ち上げ	こういう条件で打ち上げたことが、一度もない。
c116-2	§6の語（9.11）	委員会	その副社長は、委員会でこう証言している。
c116-2	§6の語（コロンビア号）	委員会	その副社長は、委員会でこう証言している。
c117-1	鉤括弧	「	「ロックウェルは、飛んで安全だと百パーセントは保証できない」。
c117-1	鉤括弧	」	「ロックウェルは、飛んで安全だと百パーセントは保証できない」。
c117-3	鉤括弧	「	「ロックウェルは、飛んで安全だと保証できない」。
c117-3	鉤括弧	」	「ロックウェルは、飛んで安全だと保証できない」。
c118-2	同形異音語（一般）	上	ただし、打ち上げるな、とまでは言っていない。
c118-2	§6の語（コロンビア号）	打ち上げ	ただし、打ち上げるな、とまでは言っていない。
c118-3	同形異音語（実績）	方	委員会も、この言い方はあいまいだったと書いている。
c118-3	§6の語（9.11）	委員会	委員会も、この言い方はあいまいだったと書いている。
c118-3	§6の語（コロンビア号）	委員会	委員会も、この言い方はあいまいだったと書いている。
c119-1	英字・記号	NASA	NASAは会社に、安全だと証明させるのではなく、危険だと証明させていた。
c119-2	§6の語（9.11）	委員会	委員会はそう書き、氷そのものは原因ではないと結論している。
c119-2	§6の語（コロンビア号）	委員会	委員会はそう書き、氷そのものは原因ではないと結論している。
c119-3	同形異音語（一般）	上	それでも、この朝に打ち上げるべきではなかった、とも書いている。
c119-3	§6の語（コロンビア号）	打ち上げ	それでも、この朝に打ち上げるべきではなかった、とも書いている。
c201-1	同形異音語（一般）	人	飛んだ7人が、どんな人たちだったか。
c201-1	同形異音語（一般）	人	飛んだ7人が、どんな人たちだったか。
c201-1	数詞＋助数詞	7人	飛んだ7人が、どんな人たちだったか。
c201-2	1モーラ語＋助詞	日で	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	同形異音語（一般）	人	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	同形異音語（一般）	表	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	同形異音語（一般）	日	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	数詞＋助数詞	5人	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	数詞＋助数詞	1985年	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	数詞＋助数詞	1月	最初の5人の名前が発表されたのは、1985年1月27日である。
c201-2	数詞＋助数詞	27日	最初の5人の名前が発表されたのは、1985年1月27日である。
c202-2	数詞＋助数詞	7000時	空軍の試験飛行士で、45種類の機体を7000時間飛ばした。
c202-2	§6の語（9.11）	機体	空軍の試験飛行士で、45種類の機体を7000時間飛ばした。
c202-3	同形異音語（一般）	目	シャトルに乗るのは二度目。
c204-1	同形異音語（一般）	生	エリソン・オニヅカは、ハワイ生まれの空軍中佐。
c204-2	数詞＋助数詞	1月	前の年の1月、軍がはじめて使ったシャトルの飛行に乗っている。
c204-3	同形異音語（一般）	目	そのとき、継ぎ目のゴムはそれまででいちばん冷えていた。
c205-2	文頭の数字	1	1984年、別のシャトル、ディスカバリー号の初飛行に乗った。
c205-2	数詞＋助数詞	1984年	1984年、別のシャトル、ディスカバリー号の初飛行に乗った。
c206-2	文頭の数字	1	1984年に、このチャレンジャー号で飛んでいる。
c206-2	数詞＋助数詞	1984年	1984年に、このチャレンジャー号で飛んでいる。
c208-1	文頭の数字	7	7人目が、クリスタ・マコーリフである。
c208-1	同形異音語（一般）	目	7人目が、クリスタ・マコーリフである。
c208-1	数詞＋助数詞	7人	7人目が、クリスタ・マコーリフである。
c208-2	同形異音語（一般）	生	マサチューセッツ州のボストンで生まれ、同じ州で育った。
c209-1	数詞＋助数詞	1985年	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-1	数詞＋助数詞	7月	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-1	鉤括弧	「	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-1	鉤括弧	」	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-1	§6の語（9.11）	乗員	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-2	同形異音語（一般）	人	それから半年、乗員の一人として決められた訓練を受けている。
c209-2	§6の語（9.11）	乗員	それから半年、乗員の一人として決められた訓練を受けている。
c209-3	同形異音語（一般）	上	打ち上げの前に、7人全員が「飛べる」と認められていた。
c209-3	数詞＋助数詞	7人	打ち上げの前に、7人全員が「飛べる」と認められていた。
c209-3	鉤括弧	「	打ち上げの前に、7人全員が「飛べる」と認められていた。
c209-3	鉤括弧	」	打ち上げの前に、7人全員が「飛べる」と認められていた。
c209-3	§6の語（コロンビア号）	打ち上げ	打ち上げの前に、7人全員が「飛べる」と認められていた。
c210-1	同形異音語（一般）	事	マコーリフには、この飛行での仕事があった。
c210-2	同形異音語（一般）	事	報告書は、その仕事をこう書いている。
c210-2	§6の語（コロンビア号）	報告書	報告書は、その仕事をこう書いている。
c211-1	同形異音語（一般）	人	教師には、控えの人も選ばれていた。
c212-1	文頭の数字	2	2人は同じ訓練を受け、同じ授業の準備をした。
c212-1	同形異音語（一般）	人	2人は同じ訓練を受け、同じ授業の準備をした。
c212-1	数詞＋助数詞	2人	2人は同じ訓練を受け、同じ授業の準備をした。
c213-1	同形異音語（一般）	事	この飛行の大きな仕事は、二つの衛星を放つことだった。
c213-2	同形異音語（一般）	一	一つは、通信をつなぐための衛星。
c213-3	同形異音語（一般）	一	もう一つが、ハレー彗星を見るための衛星。
c214-1	同形異音語（一般）	上	彗星が太陽に近づくと、地上の望遠鏡では見えなくなる。
c215-1	文頭の数字	1	1月28日の朝、7人はそろって朝食をとっている。
c215-1	同形異音語（一般）	日	1月28日の朝、7人はそろって朝食をとっている。
c215-1	同形異音語（一般）	人	1月28日の朝、7人はそろって朝食をとっている。
c215-1	数詞＋助数詞	1月	1月28日の朝、7人はそろって朝食をとっている。
c215-1	数詞＋助数詞	28日	1月28日の朝、7人はそろって朝食をとっている。
c215-1	数詞＋助数詞	7人	1月28日の朝、7人はそろって朝食をとっている。
c215-2	同形異音語（実績）	間	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	同形異音語（実績）	間	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	同形異音語（一般）	上	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	同形異音語（一般）	上	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	数詞＋助数詞	2時	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	数詞＋助数詞	1時	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-2	§6の語（コロンビア号）	打ち上げ	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-3	同形異音語（実績）	間	あとの1時間は、発射台に張った氷が溶けるのを待つためだった。
c215-3	数詞＋助数詞	1時	あとの1時間は、発射台に張った氷が溶けるのを待つためだった。
c216-1	§6の語（9.11）	機体	機体に乗りこむ前の部屋を、ホワイトルームと呼ぶ。
c216-2	文頭の数字	7	7人は、ここで一人ずつ送り出された。
c216-2	同形異音語（一般）	人	7人は、ここで一人ずつ送り出された。
c216-2	同形異音語（一般）	人	7人は、ここで一人ずつ送り出された。
c216-2	数詞＋助数詞	7人	7人は、ここで一人ずつ送り出された。
c301-1	同形異音語（一般）	上	打ち上げは、東部標準時の午前11時38分に行われた。
c301-1	数詞＋助数詞	11時	打ち上げは、東部標準時の午前11時38分に行われた。
c301-1	数詞＋助数詞	38分	打ち上げは、東部標準時の午前11時38分に行われた。
c301-1	§6の語（コロンビア号）	打ち上げ	打ち上げは、東部標準時の午前11時38分に行われた。
c301-2	小数	2.2	発射台から約300メートル離れた地面で測った気温が、摂氏2.2度である。
c301-2	数詞＋助数詞	300メートル	発射台から約300メートル離れた地面で測った気温が、摂氏2.2度である。
c302-1	数詞＋助数詞	73秒	ここから先の73秒は、二つの記録から分かる。
c302-2	同形異音語（一般）	上	NASAのカメラが撮った映像と、機体から地上に送られた信号である。
c302-2	§6の語（9.11）	機体	NASAのカメラが撮った映像と、機体から地上に送られた信号である。
c302-2	英字・記号	NASA	NASAのカメラが撮った映像と、機体から地上に送られた信号である。
c302-3	数詞＋助数詞	1000分	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。
c302-3	数詞＋助数詞	1秒	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。
c302-3	§6の語（キー橋）	分の1	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。
c302-3	分数（分の）	1000分の1	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。
c303-1	小数	6.6	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-1	同形異音語（一般）	上	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-1	数詞＋助数詞	6秒	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-1	§6の語（9.11）	機体	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-1	§6の語（コロンビア号）	打ち上げ	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-2	§6の語（9.11）	機体	このとき機体はまだ、太いボルトで発射台につながれている。
c304-1	§6の語（9.11）	機体	主エンジンの力で、機体は前へぐいとしなる。
c304-3	鉤括弧	「	現場では、この動きを「はじく」という言葉で呼んでいた。
c304-3	鉤括弧	」	現場では、この動きを「はじく」という言葉で呼んでいた。
c305-2	同形異音語（実績）	間	このとき継ぎ目にかかる力は、飛行中のどの瞬間よりも大きい。
c305-2	同形異音語（一般）	目	このとき継ぎ目にかかる力は、飛行中のどの瞬間よりも大きい。
c306-1	同形異音語（一般）	上	機体が浮き上がった、その直後のことである。
c306-1	§6の語（9.11）	機体	機体が浮き上がった、その直後のことである。
c306-2	同形異音語（一般）	下	右の補助ロケットの、下の継ぎ目のあたりから灰色の煙が出た。
c306-2	同形異音語（一般）	目	右の補助ロケットの、下の継ぎ目のあたりから灰色の煙が出た。
c306-3	小数	0.678	打ち上げから0.678秒。すでに煙が出ていた
c306-3	同形異音語（一般）	上	打ち上げから0.678秒。すでに煙が出ていた
c306-3	数詞＋助数詞	678秒	打ち上げから0.678秒。すでに煙が出ていた
c306-3	§6の語（コロンビア号）	打ち上げ	打ち上げから0.678秒。すでに煙が出ていた
c309-1	同形異音語（実績）	方	煙は、右の補助ロケットの、ある一方の面から出ていた。
c310-2	文頭の数字	0	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c310-2	小数	0.836	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c310-2	小数	2.5	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c310-2	数詞＋助数詞	836秒	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c310-2	数詞＋助数詞	5秒	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c310-2	数詞＋助数詞	8回	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c311-1	同形異音語（実績）	方	出方は、1秒に約4回。
c311-1	数詞＋助数詞	1秒	出方は、1秒に約4回。
c311-1	数詞＋助数詞	4回	出方は、1秒に約4回。
c311-2	同形異音語（一般）	目	これは、機体が揺れて継ぎ目が開いたり閉じたりする速さと、ほぼ同じだった。
c311-2	§6の語（9.11）	機体	これは、機体が揺れて継ぎ目が開いたり閉じたりする速さと、ほぼ同じだった。
c311-3	同形異音語（一般）	目	揺れるたびに、継ぎ目がわずかに開いていた。
c312-2	同形異音語（一般）	目	黒い煙は、継ぎ目のグリースと断熱材とゴムの輪が焼けている印である。
c312-2	§6の語（コロンビア号）	断熱材	黒い煙は、継ぎ目のグリースと断熱材とゴムの輪が焼けている印である。
c313-1	同形異音語（一般）	上	それまでの打ち上げの映像も、一本ずつ細かく調べなおされた。
c313-1	§6の語（コロンビア号）	打ち上げ	それまでの打ち上げの映像も、一本ずつ細かく調べなおされた。
c313-3	同形異音語（一般）	日	この煙は、この日だけに出たものだった。
c314-1	小数	3.375	煙が見えたのは、3.375秒まで。そのあとは噴煙にまぎれて見えない。
c314-1	数詞＋助数詞	375秒	煙が見えたのは、3.375秒まで。そのあとは噴煙にまぎれて見えない。
c314-3	同形異音語（実績）	方	報告書は、二つの見方を並べたままにしている。
c314-3	§6の語（コロンビア号）	報告書	報告書は、二つの見方を並べたままにしている。
c315-1	§6の語（9.11）	機体	機体は、そのまま上昇をつづけた。
c315-2	文頭の数字	3	37秒から64秒にかけて、風が急に変わる高さを通っている。
c315-2	数詞＋助数詞	37秒	37秒から64秒にかけて、風が急に変わる高さを通っている。
c315-2	数詞＋助数詞	64秒	37秒から64秒にかけて、風が急に変わる高さを通っている。
c316-2	§6の語（コロンビア号）	報告書	報告書によれば、過去のどの飛行よりも大きく動いていた。
c316-3	§6の語（9.11）	機体	ただし、機体にかかった力は、設計で見こんだ範囲の中だった。
c317-1	小数	58.788	そして58.788秒。右の補助ロケットの、あの継ぎ目に小さな炎が見えた。
c317-1	同形異音語（一般）	目	そして58.788秒。右の補助ロケットの、あの継ぎ目に小さな炎が見えた。
c317-1	数詞＋助数詞	788秒	そして58.788秒。右の補助ロケットの、あの継ぎ目に小さな炎が見えた。
c318-1	文頭の数字	1	1コマあとには、強調しなくても見えるようになった。
c318-2	文頭の数字	6	60秒ごろ、左右の補助ロケットの圧力に差が出はじめる。
c318-2	数詞＋助数詞	60秒	60秒ごろ、左右の補助ロケットの圧力に差が出はじめる。
c318-2	§6の語（コロンビア号）	圧力	60秒ごろ、左右の補助ロケットの圧力に差が出はじめる。
c319-2	文頭の数字	6	64.660秒、炎の色と形が急に変わる。
c319-2	小数	64.660	64.660秒、炎の色と形が急に変わる。
c319-2	数詞＋助数詞	660秒	64.660秒、炎の色と形が急に変わる。
c319-3	小数	73.124	打ち上げから73.124秒。タンクが壊れはじめた
c319-3	同形異音語（一般）	上	打ち上げから73.124秒。タンクが壊れはじめた
c319-3	数詞＋助数詞	124秒	打ち上げから73.124秒。タンクが壊れはじめた
c319-3	§6の語（コロンビア号）	打ち上げ	打ち上げから73.124秒。タンクが壊れはじめた
c320-2	同形異音語（一般）	下	タンクのいちばん下のふたが落ちた。
c320-3	同形異音語（一般）	上	噴き出した液体水素の反動で、タンクの下半分が上へ突き上げられる。
c320-3	同形異音語（一般）	上	噴き出した液体水素の反動で、タンクの下半分が上へ突き上げられる。
c321-1	同形異音語（一般）	上	突き上げられた下半分は、その上の継ぎ目の部分に食いこんだ。
c321-1	同形異音語（一般）	上	突き上げられた下半分は、その上の継ぎ目の部分に食いこんだ。
c321-1	同形異音語（一般）	目	突き上げられた下半分は、その上の継ぎ目の部分に食いこんだ。
c321-2	同形異音語（一般）	上	同じころ、傾いた右の補助ロケットがタンクの上のほうにぶつかった。
c322-1	小数	73.137	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-1	数詞＋助数詞	100分	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-1	数詞＋助数詞	1秒	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-1	数詞＋助数詞	137秒	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-1	§6の語（キー橋）	分の1	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-1	分数（分の）	100分の1	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-2	小数	73.618	機体からの最後の信号が届いたのは、73.618秒だった。
c322-2	数詞＋助数詞	618秒	機体からの最後の信号が届いたのは、73.618秒だった。
c322-2	§6の語（9.11）	機体	機体からの最後の信号が届いたのは、73.618秒だった。
c401-1	鉤括弧	「	この事故は、ふつう「爆発」と呼ばれている。
c401-1	鉤括弧	」	この事故は、ふつう「爆発」と呼ばれている。
c401-2	同形異音語（一般）	人	テレビで見た人の記憶にも、その言葉で残っている。
c402-1	同形異音語（実績）	方	ただ、報告書の書き方はすこし違う。
c402-1	§6の語（コロンビア号）	報告書	ただ、報告書の書き方はすこし違う。
c402-2	§6の語（三豊百貨店）	階	起きたことを、三つの段階に分けて書いている。
c403-1	同形異音語（一般）	一	一つ目。タンクから噴き出した水素が、いっぺんに燃えた。
c403-1	同形異音語（一般）	目	一つ目。タンクから噴き出した水素が、いっぺんに燃えた。
c403-2	鉤括弧	「	報告書はこれを「爆発的な燃焼」と呼んでいる。
c403-2	鉤括弧	」	報告書はこれを「爆発的な燃焼」と呼んでいる。
c403-2	§6の語（コロンビア号）	報告書	報告書はこれを「爆発的な燃焼」と呼んでいる。
c404-1	§6の語（コロンビア号）	報告書	ただし報告書は、こうも書いている。
c404-2	同形異音語（実績）	方	ほとんど爆発に近い燃え方だった、と。
c405-1	同形異音語（一般）	目	二つ目。底が抜けたタンクは、その火の中で崩れていった。
c405-2	§6の語（9.11）	機体	このタンクは、三つの機体をつなぐ背骨にあたる部分だ。
c406-1	小数	1.92	このとき機体は、マッハ1.92。音の速さのおよそ2倍で飛んでいた。
c406-1	数詞＋助数詞	2倍	このとき機体は、マッハ1.92。音の速さのおよそ2倍で飛んでいた。
c406-1	§6の語（9.11）	機体	このとき機体は、マッハ1.92。音の速さのおよそ2倍で飛んでいた。
c406-2	数詞＋助数詞	4000メートル	高さは、およそ1万4000メートルだ。
c407-1	§6の語（9.11）	機体	音より速く飛ぶ機体にとって、空気は壁のように固い。
c407-1	§6の語（三豊百貨店）	壁	音より速く飛ぶ機体にとって、空気は壁のように固い。
c407-2	§6の語（三豊百貨店）	壁	背骨を失ったまま、その壁に突っこんだことになる。
c408-1	同形異音語（一般）	目	三つ目。ここが、報告書がいちばん丁寧に書いたところだ。
c408-1	§6の語（コロンビア号）	報告書	三つ目。ここが、報告書がいちばん丁寧に書いたところだ。
c408-2	1モーラ語＋助詞	火に	本体は、火に焼かれて砕けたのではなかった。
c409-1	鉤括弧	「	もっとも、「爆発ではない」と言い切るのも行きすぎだ。
c409-1	鉤括弧	」	もっとも、「爆発ではない」と言い切るのも行きすぎだ。
c409-2	鉤括弧	「	事故の直後、空軍の安全担当官は「機体が爆発した」と報告している。
c409-2	鉤括弧	」	事故の直後、空軍の安全担当官は「機体が爆発した」と報告している。
c409-2	§6の語（9.11）	機体	事故の直後、空軍の安全担当官は「機体が爆発した」と報告している。
c409-3	§6の語（コロンビア号）	報告書	報告書は、その言葉をそのまま書き残している。
c410-2	同形異音語（実績）	方	エンジンがまだ燃えている尾の部分、片方の翼、そして前の胴体。
