pr05-2  [—→テン]
  聞取: 理恵さんの方は写真を求める前から進んでいた。
c518-2  [タイ→ナカダチ]
  台本: 耐熱タイルより深く削る、という答えである。
  聞取: 媒熱タイルより深く削るという答えである。
c526-2  [シキケ→フヒニンセ／トオ→ド]
  台本: 指揮系統を飛び越したくないという理由で、送らなかったメールである。
  聞取: 不否認制度を飛び越したくないという理由で送らなかったメールである。
c527-1  [—→イチガ／キ→—]
  台本: 1月24日の会議の議事録に、破片の話は一行も無い。
  聞取: 一月二十四日の会議の議事録に破片の話は一行もない。
c609-2  [—→ニガ／キ→—]
  台本: 2月10日から15日までの5日間が、合流できる窓になる。
  聞取: 二月十日から十五日までの五日間が合流できる窓になる。
c615-1  [フ→タン／ショオヘン→コガタナ]
  台本: 塞ぐ材料は、重い金属の工具、チタンの小片。
  聞取: 探査具材料は重い金属の工具、チタンの小刀
c619-1  [チャク→—]
  台本: 着陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。
  聞取: 陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。
c707-2  [ヒ→キ]
  台本: 飛行が終わってから調べるためのもので、電波では送らない。
  聞取: 機構が終わってから調べるためのもので、電波では送らない。
c712-3  [—→デトシ]
  台本: 4つが、4〜5秒の間に次々と消えた
  聞取: 四つが四で年、秒の間に次々と消えた。
c713-1  [ハ→プラ]
  台本: 班をまとめ、最後の判断をする飛行主任が「全部が同時に消えたのか」と聞く。
  聞取: プランをまとめ、最後の判断をする飛行主任が全部が同時に消えたのかと聞く。
c720-2  [セエ→ジ／ル→タ]
  台本: 管制は、それでも計器の不具合だと考えている。
  聞取: 寛治はそれでもケーキの不具合だと考えていた。
c723-2  [アト→ノチ]
  台本: このあと、機体からの情報は何ひとつ届かない。
  聞取: この後、機体からの情報は何一つ届かない。
c724-1  [セエ→ジ]
  台本: 管制は、アンテナの切り替えによる短い途切れだと思っていた。
  聞取: 寛治はアンテナの切り替えによる短い途切れだと思っていた。
c724-2  [ツ→キュ／ハ→ガ]
  台本: 通信の担当は「少し乱れていますが、ひどくはない」と答えている。
  聞取: 球審の担当が少し乱れていますが、ひどくはないと答えている。
c726-2  [セエ→ジ]
  台本: 管制の画面には、何も映らなかった。
  聞取: 漢字の画面には何も映らなかった。
c727-3  [ヒ→キ]
  台本: 飛行主任は「ドアを閉めろ」と言い、非常の手順に入った。
  聞取: 機工主任はドアを閉めろと言い、非常の手順に入った。
c808-2  [イッパ→ハ]
  台本: 朝いっぱいかけて、百メートルほどしか進めない藪もあった。
  聞取: 朝一杯かけて百メートルほどしか進めない藪もあった。
c813-1  [ハヘ→バケ]
  台本: 破片は、ケネディ宇宙センターの大きな格納庫へ集められた。
  聞取: 馬券はケネディ宇宙センターの大きな格納庫へ集められた。
c817-1  [—→サンガ／キ→—]
  台本: 3月19日、テキサス州ヘンフィルの近くで、記録装置が見つかった。
  聞取: 三月十九日、テキサス州ヘンフィルの近くで記録装置が見つかった。
c902-3  [ヤ→ギャ／シタ→ト]
  台本: 破ったのは断熱材一片。当たったのは8枚目の下半分である。
  聞取: ギャブったのは断熱材一辺、当たったのは八枚目の一と半分である。
c905-1  [ヨ→ジョ]
  台本: 予算の不足。揺れる優先順位。日程の圧力。
  聞取: 助産の不足、揺れる優先順位、日程の圧力。
c909-1  [ア→バ]
  台本: 安全を担当する部署は、監督するはずの計画からお金をもらっていた。
  聞取: 万全を担当する部署は監督するはずの計画からお金をもらっていた。
c910-1  [ド→ショ]
  台本: どの会議にも、安全の担当者はいた。
  聞取: 署の会議にも安全の担当者はいた。
c913-2  [ウチ→シ]
  台本: 打ち上げを3方向以上から撮ること。RCCを全部点検すること。
  聞取: 仕上げを三方向以上から撮ること。RCCを全部点検すること。
ep02-2  [—→シチガ／キ→—]
  台本: 7月の終わり、警察官が湖底に現れた球形の物体に気づく。
  聞取: 七月の終わり、警察官が湖底に現れた球形の物体に気づく。
ep06-1  [ハヘ→アペ]
  台本: 破片は今も見つかる。そのたびに、あの7人が思い出される。
  聞取: アペンは今も見つかる。そのたびにあの七人が思い出される。
