行	扱い	理由
c208-2	表記のゆれ（A/B で確定）	復水（ふくすい）→伏水（ふくすい）／弁と配管→ベント配管（べんとはいかん）。かな「ふくすいポンプ」を送っても聞取は同じ＝Scribe の字の当て方
c504-2	表記のゆれ（A/B で確定）	計器→ケーキ。かな「けいきを」を送っても聞取は「ケーキ」＝送った音に関係なく Scribe がそう書く
#
# ── ④ 数だけ抜く検査に残った2行＝検査側の正規化の穴（読みは正しい） ───────────────────────
c511-2	表記のゆれ（検査の穴）	台本 1000 → 聞取「1,000」。区切りのカンマで数として拾えていないだけ
c819-1	表記のゆれ（検査の穴）	台本 8万 → 聞取「八万」。漢数字を万位で拾えていないだけ
#
# ── ⑤ 重複読みの門番＝誤報 ────────────────────────────────────────────
c607-1	誤報（語の時刻で確認）	「四百五十ポンド」と「七百五十ポンド」が部分文字列「百五十ポンド」を共有しているだけ。語ごとの時刻は 0.18→4.54秒を1回だけ順に進んでおり、二度読みは無い
#
# ── ⑥ 取り直しで直したが、採用テイクに別の誤りが入り、もう一度取り直した行 ──────────────────
c306-2	直した（EL_YOMI）＋取り直し2回	建屋から25フィート→たてやから25フィート。1回目の採用テイクは「毎時」→「毎月」（1字の取り違え）だったので取り直した。この穴を塞ぐ検査④「意味の語」を el_check_heard に足した
c605-2	取り直し（文字起こし合格）	「毎時30レントゲン」→「毎度」。新しい検査④「意味の語」が拾った行。take2 で聞取「毎時」
#
# ── ⑦ 新しい検査⑤「1字の入れ替え」に残った42行＝**全部 同音の別字**（読みは台本どおり） ──────────
#    根拠は「聞取に出た字の読みが台本の字と同じ」こと。1件ずつ読みを並べて確かめた（推測でまとめていない）。
#    ⚠️ 読みが違った21行は別に取り直し／EL_YOMI で直しずみ（棺→羊・条文→成文 など）。
c105-1	表記のゆれ（同音の別字）	型→方（かた）
c108-2	表記のゆれ（同音の別字）	立てる→建てる（たてる）
c114-1	表記のゆれ（読みは同じ）	分からない→わからない
c405-1	表記のゆれ（読みは同じ）	分からない→わからない
c514-2	表記のゆれ（読みは同じ）	分かっている→わかっている
c707-1	表記のゆれ（読みは同じ）	分からない→わからない
c115-1	表記のゆれ（同音の別字）	差してある→挿してある（さして）
c118-1	表記のゆれ（同音の別字）	全行程→全工程（ぜんこうてい）
c201-2	表記のゆれ（同音の別字）	課程→過程（かてい）
c203-2	表記のゆれ（読みは同じ）	就く→つく
c210-2	表記のゆれ（同音の別字）	栓→線（せん）
c215-2	表記のゆれ（同音の別字）	栓→線（せん）
pr08-2	表記のゆれ（同音の別字）	栓→線（せん）
c215-1	表記のゆれ（読みは同じ）	汲み下げる→くみ下げる
c221-2	表記のゆれ（同音の別字）	汲んだ→組んだ（くんだ）
pr08-1	表記のゆれ（同音の別字）	汲み→組み（くみ）
c316-1	表記のゆれ（同音の別字）	棒と覆い→ボート覆い（ぼうと）
c320-1	表記のゆれ（同音の別字）	刃→葉（は）
c321-1	表記のゆれ（同音の別字）	刃→歯（は）
c323-1	表記のゆれ（同音の別字）	載って→乗って（のって）
c323-2	表記のゆれ（同音の別字）	散水環→散水管（さんすいかん）。台本第2版 §6-3 の期待読みと一致
c326-2	表記のゆれ（かな書き）	炉→ロ（ろ）
c328-2	表記のゆれ（読みは同じ）	無い→ない
c410-2	表記のゆれ（読みは同じ）	無い→ない
c720-2	表記のゆれ（読みは同じ）	無い→ない
c724-2	表記のゆれ（読みは同じ）	無かった→なかった
c412-1	表記のゆれ（同音の別字）	構外→郊外（こうがい）
c418-1	表記のゆれ（同音の別字）	構外→郊外（こうがい）
c423-1	表記のゆれ（同音の別字）	移って→映って（うつって）
c505-1	表記のゆれ（同音の別字）	灯り→明かり（あかり）
c509-1	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
c520-2	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
pr09-1	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
c518-1	表記のゆれ（同音の別字）	診た→見た（みた）。台本第2版 §6-3 の期待読み「みた」と一致／「こう書く」→「口角」（こうかく）も同音
c519-1	表記のゆれ（同音の別字）	診て→見て（みて）。同上
c520-1	表記のゆれ（同音の別字）	軍→郡（ぐん）
c605-1	表記のゆれ（同音の別字）	納められた→収められた（おさめられた）
c719-2	表記のゆれ（読みは同じ）	要る→いる
c814-2	表記のゆれ（同音の別字）	留めた→止めた（とめた）
c912-1	表記のゆれ（同音の別字）	節→説（せつ）
c914-1	表記のゆれ（同音の別字）	速く→早く（はやく）
ep05-2	表記のゆれ（同音の別字）	火→日（ひ）
#
# ── ⑧ 第2巡で直した／決着させた行 ────────────────────────────────────
c112-1	直した（EL_YOMI）	濃縮度は→のうしゅくどは（聞取『凝縮度』＝ぎょうしゅく だった）。取り直し後の聞取「濃縮度は…試験炉らしい」
c112-2	直した（EL_YOMI）	ホウ素を→ほうそを（聞取『ホース』＝1語に潰れていた）。取り直し後の聞取「ホウ素を」
c602-2	直した（EL_YOMI）	値は→あたいは（聞取『熱は』）。A/B 100%
c913-1	直した（EL_YOMI）	同じ節に→同じ せつに（聞取『同じ伏せに』）。空白でアクセント句を切ると聞取「同じ説に」＝せつ
c816-2	表記のゆれ（A/B で確定）	埋設地→埋設土。**かな「まいせつちを」を送っても聞取は変わらない**＝送っている音は正しく、Scribe の字の当て方
c912-3	表記のゆれ（A/B で確定）	条文→成文。**かな「じょうぶんには」を送っても聞取は「成文」**＝Scribe が「成文化」へ引っぱられているだけ
c507-2	表記のゆれ（低）	アイダホ支所→会田保守所。4テイク取り直した。音は あいだほ・し(ゅ)・しょ でほぼ同じ。要耳一覧にも載せた
ep04-1	取り直し（文字起こし合格）	末尾に台本に無い音（「極」と聞こえる塊）。取り直して消えた
c209-1	表記のゆれ（同音の別字）	開けた→空けた（あけた）。取り直しずみ
c821-2	表記のゆれ（同音の別字）	公道→坑道（こうどう）
c915-3	表記のゆれ（同音の別字）	炉→路（ろ）
ep02-1	表記のゆれ（同音の別字）	厚い→熱い（あつい）
c404-2	要耳（中）文頭の「門衛所」	4テイク取り直しても「毛営所／毛営上」。かな「もんえいしょを」は A/B で悪化（王室／毛炎症）＝**決着せず**。文中の門衛所（c417-1）は正しく取れている
#
# ── ⑨ 文字起こしでは分からず、**長さ**で見分けた1件（台本第2版 §6-2 が名指しした箇所） ──────────
c709-1	直した（EL_YOMI）	報告書番号 19311 を**数として**読んでいた（3テイクずつの中央値＝素 6.32秒／1桁ずつ 5.03秒／数として 6.72秒）。§6-2「報告書番号は数として読ませない」に反するので「いちきゅうさんいちいち」に固定。直したあとの長さ 5.65秒
