行	型	該当	本文
c118-1	英字・記号	RCC	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-2	同形異音語（一般）	目	そしてこの飛行は、コロンビア号にとって28回目だった。
c118-2	数詞＋助数詞	28回	そしてこの飛行は、コロンビア号にとって28回目だった。
c201-1	1モーラ語＋助詞	日に	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-1	同形異音語（一般）	日	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-1	同形異音語（一般）	上	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-1	数詞＋助数詞	2002年	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-1	数詞＋助数詞	7月	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-1	数詞＋助数詞	19日	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-2	数詞＋助数詞	1か月	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。
c201-2	数詞＋助数詞	4か月	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。
c201-3	同形異音語（一般）	上	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c201-3	同形異音語（一般）	日	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c201-3	数詞＋助数詞	2003年	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c201-3	数詞＋助数詞	1月	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c201-3	数詞＋助数詞	16日	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c202-1	同形異音語（一般）	日	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c202-1	同形異音語（一般）	人	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c202-1	同形異音語（一般）	上	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c202-1	数詞＋助数詞	7人	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c202-1	数詞＋助数詞	59メートル	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c203-2	同形異音語（一般）	上	打ち上げを止める理由は、どこにも無かった。
c203-2	§6の語（コロンビア号）	打ち上げ	打ち上げを止める理由は、どこにも無かった。
c204-1	数詞＋助数詞	10時	午前10時39分、固体ロケットブースタに火が入った。
c204-1	数詞＋助数詞	39分	午前10時39分、固体ロケットブースタに火が入った。
c204-1	§6の語（コロンビア号）	固体ロケット	午前10時39分、固体ロケットブースタに火が入った。
c204-2	同形異音語（一般）	目	コロンビア号は、113回目のシャトル飛行に出た。
c204-2	数詞＋助数詞	113回	コロンビア号は、113回目のシャトル飛行に出た。
c205-1	小数	81.7	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-1	同形異音語（一般）	上	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-1	数詞＋助数詞	7秒	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-1	§6の語（コロンビア号）	打ち上げ	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-1	§6の語（コロンビア号）	バイポッド	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-2	1モーラ語＋助詞	手で	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c205-2	同形異音語（一般）	上	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c205-2	数詞＋助数詞	1個	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c205-2	数詞＋助数詞	2個	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c205-2	§6の語（コロンビア号）	断熱材	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c206-1	小数	0.2	その0.2秒後、かけらは左の翼に当たった。
c206-1	数詞＋助数詞	2秒	その0.2秒後、かけらは左の翼に当たった。
c206-1	§6の語（コロンビア号）	翼	その0.2秒後、かけらは左の翼に当たった。
c206-2	小数	2.46	高度は約20キロ。速さは音の2.46倍だった。
c206-2	数詞＋助数詞	46倍	高度は約20キロ。速さは音の2.46倍だった。
c206-3	小数	0.2	その0.2秒を、誰も見ていない
c206-3	数詞＋助数詞	2秒	その0.2秒を、誰も見ていない
c207-1	同形異音語（実績）	間	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。
c207-1	§6の語（9.11）	機体	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。
c207-1	§6の語（コロンビア号）	断熱材	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。
c207-2	小数	0.2	空気に押されて、0.2秒で時速約2,520キロから約1,640キロへ落ちる。
c207-2	数詞＋助数詞	2秒	空気に押されて、0.2秒で時速約2,520キロから約1,640キロへ落ちる。
c207-3	§6の語（9.11）	機体	差の分だけ、機体のほうが追いついてぶつかった。
c208-1	小数	81.9	当たったのは、81.9秒後。左の翼の前のふち。
c208-1	数詞＋助数詞	9秒	当たったのは、81.9秒後。左の翼の前のふち。
c208-1	§6の語（コロンビア号）	翼	当たったのは、81.9秒後。左の翼の前のふち。
c208-1	§6の語（コロンビア号）	前のふち	当たったのは、81.9秒後。左の翼の前のふち。
c208-2	同形異音語（一般）	目	RCCの板でいえば、5枚目から9枚目のあたり。
c208-2	同形異音語（一般）	目	RCCの板でいえば、5枚目から9枚目のあたり。
c208-2	数詞＋助数詞	5枚	RCCの板でいえば、5枚目から9枚目のあたり。
c208-2	数詞＋助数詞	9枚	RCCの板でいえば、5枚目から9枚目のあたり。
c208-2	§6の語（コロンビア号）	RCC	RCCの板でいえば、5枚目から9枚目のあたり。
c208-2	英字・記号	RCC	RCCの板でいえば、5枚目から9枚目のあたり。
c209-1	数詞＋助数詞	69センチ	かけらの長さは約53〜69センチ、幅は約30〜46センチ。
c209-1	数詞＋助数詞	46センチ	かけらの長さは約53〜69センチ、幅は約30〜46センチ。
c210-2	§6の語（コロンビア号）	断熱材	断熱材は軽い。だから、当たっても平気だと思われていた。
c211-1	同形異音語（一般）	上	打ち上げから2時間以内に、その日の映像は確認されている。
c211-1	同形異音語（一般）	日	打ち上げから2時間以内に、その日の映像は確認されている。
c211-1	数詞＋助数詞	2時	打ち上げから2時間以内に、その日の映像は確認されている。
c211-1	§6の語（コロンビア号）	打ち上げ	打ち上げから2時間以内に、その日の映像は確認されている。
c212-1	同形異音語（一般）	上	打ち上げを撮る場所は、地上に12か所あった。
c212-1	同形異音語（一般）	上	打ち上げを撮る場所は、地上に12か所あった。
c212-1	§6の語（コロンビア号）	打ち上げ	打ち上げを撮る場所は、地上に12か所あった。
c212-2	同形異音語（一般）	目	離陸から追い続ける役目は、そのうち5か所。
c213-1	数詞＋助数詞	1つ	残る3か所のうち、1つは機体を見失った。
c213-1	§6の語（9.11）	機体	残る3か所のうち、1つは機体を見失った。
c213-2	文頭の数字	1	1つはレンズの手入れが足りず、ピントが合っていない。
c213-2	数詞＋助数詞	1つ	1つはレンズの手入れが足りず、ピントが合っていない。
c213-3	文頭の数字	1	1つは、左の翼の上側しか写っていなかった。
c213-3	同形異音語（実績）	側	1つは、左の翼の上側しか写っていなかった。
c213-3	数詞＋助数詞	1つ	1つは、左の翼の上側しか写っていなかった。
c213-3	§6の語（コロンビア号）	翼	1つは、左の翼の上側しか写っていなかった。
c214-2	同形異音語（一般）	上	上がっていくシャトルを追う力は、年々落ちていったとみられる。
c215-1	同形異音語（実績）	方	一方、軌道に入ったコロンビア号に、変わった様子は無かった。
c215-1	§6の語（コロンビア号）	軌道	一方、軌道に入ったコロンビア号に、変わった様子は無かった。
c215-2	同形異音語（実績）	間	乗員は16日間の暮らしの支度を始めている。
c215-2	数詞＋助数詞	16日	乗員は16日間の暮らしの支度を始めている。
c215-2	§6の語（9.11）	乗員	乗員は16日間の暮らしの支度を始めている。
c216-1	同形異音語（一般）	目	飛行2日目の午前10時半から11時のあいだ、何かが離れた。
c216-1	数詞＋助数詞	2日	飛行2日目の午前10時半から11時のあいだ、何かが離れた。
c216-1	数詞＋助数詞	10時	飛行2日目の午前10時半から11時のあいだ、何かが離れた。
c216-1	数詞＋助数詞	11時	飛行2日目の午前10時半から11時のあいだ、何かが離れた。
c217-1	同形異音語（一般）	日	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。
c217-1	§6の語（コロンビア号）	ブラウン	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。
c217-1	§6の語（コロンビア号）	外部タンク	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。
c217-2	同形異音語（一般）	上	地上へ送ったのは、そのうち35秒分だけ。
c217-2	数詞＋助数詞	35秒	地上へ送ったのは、そのうち35秒分だけ。
c217-3	鉤括弧	「	委員会は「もっと撮っていたはずだ」と結論している。
c217-3	鉤括弧	」	委員会は「もっと撮っていたはずだ」と結論している。
c217-3	§6の語（9.11）	委員会	委員会は「もっと撮っていたはずだ」と結論している。
c217-3	§6の語（コロンビア号）	委員会	委員会は「もっと撮っていたはずだ」と結論している。
c218-1	同形異音語（一般）	上	だが地上から、残りの映像を送ってくれと頼んだ者はいなかった。
c218-2	同形異音語（一般）	目	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
c218-2	数詞＋助数詞	8つ	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
c218-2	§6の語（9.11）	委員会	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
c218-2	§6の語（コロンビア号）	委員会	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
c219-1	§6の語（コロンビア号）	断熱材	断熱材がはがれること自体は、初めてではない。
c219-2	数詞＋助数詞	79回	映像で確かめられる79回の飛行のうち、8割超で何かがはがれていた。
c219-2	数詞＋助数詞	8割	映像で確かめられる79回の飛行のうち、8割超で何かがはがれていた。
c220-1	数詞＋助数詞	7回	バイポッドの付け根が丸ごと落ちたのは、分かる限り7回。
c220-1	§6の語（コロンビア号）	バイポッド	バイポッドの付け根が丸ごと落ちたのは、分かる限り7回。
c220-2	数詞＋助数詞	1983年	最初は1983年。約48×30センチが欠けている。
c220-2	数詞＋助数詞	30センチ	最初は1983年。約48×30センチが欠けている。
c221-1	§6の語（コロンビア号）	バイポッド	右のバイポッドからは、一度も落ちていない。
c222-1	文頭の数字	3	3か月前の飛行でも、同じ場所の断熱材が外れていた。
c222-1	数詞＋助数詞	3か月	3か月前の飛行でも、同じ場所の断熱材が外れていた。
c222-1	§6の語（コロンビア号）	断熱材	3か月前の飛行でも、同じ場所の断熱材が外れていた。
c222-2	鉤括弧	「	NASAはそれを「飛行中の異常」として扱わなかった。
c222-2	鉤括弧	」	NASAはそれを「飛行中の異常」として扱わなかった。
c222-2	英字・記号	NASA	NASAはそれを「飛行中の異常」として扱わなかった。
c301-1	同形異音語（一般）	上	ここまでが、打ち上げの日に起きたことである。
c301-1	同形異音語（一般）	日	ここまでが、打ち上げの日に起きたことである。
c301-1	§6の語（コロンビア号）	打ち上げ	ここまでが、打ち上げの日に起きたことである。
c301-2	小数	0.2	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。
c301-2	同形異音語（一般）	日	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。
c301-2	数詞＋助数詞	2秒	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。
c302-1	文頭の数字	1	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-1	同形異音語（一般）	日	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-1	数詞＋助数詞	1月	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-1	数詞＋助数詞	17日	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-1	数詞＋助数詞	9時	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-1	数詞＋助数詞	30分	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-2	同形異音語（一般）	日	前日の映像を見直していて、破片が当たるのに気づいた。
c303-1	文頭の数字	1	1時間のうちに、ケネディ宇宙センターでも確かめられた。
c303-1	同形異音語（実績）	間	1時間のうちに、ケネディ宇宙センターでも確かめられた。
c303-1	数詞＋助数詞	1時	1時間のうちに、ケネディ宇宙センターでも確かめられた。
c303-1	§6の語（コロンビア号）	ケネディ宇宙センター	1時間のうちに、ケネディ宇宙センターでも確かめられた。
c304-2	文頭の数字	1	1台は約27キロ（17マイル）離れた、35ミリのフィルムカメラ。
c304-2	数詞＋助数詞	35ミリ	1台は約27キロ（17マイル）離れた、35ミリのフィルムカメラ。
c305-1	文頭の数字	2	2台の映像に写ったコマの時刻と、破片の位置。
c306-2	数詞＋助数詞	61センチ	最も有力なのは、長さ約61センチ、幅約38センチ。
c306-2	数詞＋助数詞	38センチ	最も有力なのは、長さ約61センチ、幅約38センチ。
c307-2	数詞＋助数詞	51センチ	破片の位置が51センチずれるだけで、速さの答えは大きく動く。
c308-1	同形異音語（一般）	人	解析にあたった人たちは、それぞれ別の道具で計算した。
c309-1	数詞＋助数詞	1秒	破片は、1秒に約18回まわりながら落ちていった。
c309-1	数詞＋助数詞	18回	破片は、1秒に約18回まわりながら落ちていった。
c309-2	同形異音語（一般）	上	機体とほぼ平行に、5度だけ上を向いて当たっている。
c309-2	§6の語（9.11）	機体	機体とほぼ平行に、5度だけ上を向いて当たっている。
c310-1	§6の語（コロンビア号）	断熱材	断熱材は、発泡スチロールに近いほど軽い。
c310-2	同形異音語（一般）	物	軽い物が、時速880キロで当たる
c311-1	文頭の数字	8	8枚目のパネルに当たったとすれば、角度は10度から20度。
c311-1	同形異音語（一般）	目	8枚目のパネルに当たったとすれば、角度は10度から20度。
c311-1	数詞＋助数詞	8枚	8枚目のパネルに当たったとすれば、角度は10度から20度。
c311-2	§6の語（コロンビア号）	翼	翼の前のふちは丸いので、頂点に近いほど強く当たる。
c311-2	§6の語（コロンビア号）	前のふち	翼の前のふちは丸いので、頂点に近いほど強く当たる。
c311-3	数詞＋助数詞	2倍	根もとに当たる場合の、およそ2倍の力になる。
