行	検査	何が	台本	聞取
c519-1	1字の入れ替え	端	端が見えないときは、気象の観測塔にいる観測員が決める。	橋が見えない時は、気象の観測塔にいる観測員が決める。
c520-1	字の欠け	灯線	さらに、滑走路の真ん中に並ぶ灯りが消えていた。中心線灯という。	さらに、滑走路の真ん中に並ぶ明かりが消えていた。中心尖塔という
c520-2	1字の入れ替え	灯	霧の中で、進む向きを示す灯りである。3月15日から使えなかった。	霧の中で進む向きを示す明かりである。3月15日から使えなかった。
c521-3	字の欠け	灯無要	中心線の灯りが無いなら、800メートルが要る。	中心線の明かりがないなら八百メートルがいる。
c522-1	1字の入れ替え	灯	見える距離は下がり続け、灯りは消えている。	見える距離は下がり続け、明かりは消えていた。
c522-2	1字の入れ替え	無	測る機械は、この空港には無い。その滑走路へ、二機は出ていく。	測る機械はこの空港にはない。その滑走路へ二機は出ていく。
c611-1	1字の入れ替え	制	管制官は、すぐに訂正した。	管政官はすぐに訂正した。
c618-2	頭欠け	分→わ	分からないことを、そのままにしなかった。この日、いちばん良い判断である。	わからないことをそのままにしなかった。この日、一番良い判断である。
c618-2	1字の入れ替え	分	分からないことを、そのままにしなかった。この日、いちばん良い判断である。	わからないことをそのままにしなかった。この日、一番良い判断である。
c620-1	字の欠け	制官管	管制官は、数えて答えた。	菅生漢は数えて答えた。
c621-1	1字の入れ替え	報	報告書は、ここで疑いは晴れたと書いている。	広告主はここで疑いは晴れたと書いている。
c703-2	1字の入れ替え	分	操縦室の録音から、そのことが分かる。	操縦室の録音からそのことがわかる。
c706-3	1字の入れ替え	分	機長は答えた。いや、分かっている。聞いてくれ。	機長は答えた。「いや、わかっている。聞いてくれ」
c710-1	字の欠け	制官	17時05分53秒。管制官が読み上げた。	十七時五分五十三秒。管生館が読み上げた。
c712-1	1字の入れ替え	無	この中に、離陸してよいという言葉は、一つも無い。	この中に離陸して良いという言葉が一つもない。
c716-2	1字の入れ替え	放	記録では、ブレーキが放されたのは17時06分11秒。	記録ではブレーキが離されたのは十七時六分十一秒。
c719-1	1字の入れ替え	注	報告書の注に、こう書かれている。	報告書の中にこう書かれている。
c719-2	1字の入れ替え	分	その送信で離陸していると分かった人は、誰も、あるいはほとんどいなかった。	その送信で離陸しているとわかった人は誰も、あるいはほとんどいなかった。
c727-2	1字の入れ替え	欠	無線が欠けたのは、KLMだけではなかった。	無線がかけたのはKLMだけではなかった。
c727-3	頭欠け	管→カ	管制官が言い終える前、パンナムに届いたのは、最後の一音だけだった。	カン・セカンが言い終える前、パンナムに届いたのは最後の一音だけだった。
c727-3	字の欠け	制官管	管制官が言い終える前、パンナムに届いたのは、最後の一音だけだった。	カン・セカンが言い終える前、パンナムに届いたのは最後の一音だけだった。
c732-1	字の欠け	定肯返	17時06分35秒。返ってきたのは、強い肯定だった。	十七時六分三十五秒。帰ってきたのは強い皇帝だった。
c806-1	1字の入れ替え	灯	17時06分40秒ごろ。パンナムの機長が、前方に灯りを見た。	十七時六分四十秒頃、パンナムの機長が前方に明かりを見た。
c813-1	1字の入れ替え	脚	主脚は、パンナムの右の内側のエンジンのあたりに激突した。	主客はパンナムの右の内側のエンジンの辺りに激突した。
c901-2	1字の入れ替え	雲	地面についた雲の帯が、視界をふさいでいる。	地面についた蜘蛛の帯が視界を塞いでいる。
c902-1	1字の入れ替え	分	どこで鳴ったのかも、なぜ鳴ったのかも分からない。	どこで鳴ったのかも、なぜ鳴ったのかもわからない。
c902-2	1字の入れ替え	無	管制塔には、それを確かめる手立てが無かった。見えないのである。	管制塔にはそれを確かめる手立てがなかった。見えないのである。
c903-2	1字の入れ替え	分	場所も、理由も、分からないままである。	場所も理由もわからないままである。
c904-3	1字の入れ替え	分	火がどこにあるのかは、まだ誰にも分からない。	火がどこにあるのかはまだ誰にもわからない。
c905-1	1字の入れ替え	来	そこへ、空港で働く会社の人が、消防の詰所へやって来た。	そこへ空港で働く会社の人が消防の詰め所へやってきた。
c907-1	1字の入れ替え	駐	人にも、車にも、駐まっている機体にもぶつかりうる。	人にも車にも止まっている機体にもぶつかり得る。
c911-2	1字の入れ替え	分	そして、近づいてはじめて、それが何なのかが分かった。	そして近づいて初めてそれが何なのかがわかった。
c913-2	1字の入れ替え	機	燃えていたのは、二機だった	燃えていたのは二基だった。
c915-2	1字の入れ替え	無	二階の部屋と、胴体の上側のほとんどが無くなった。	二階の部屋と胴体の上側のほとんどがなくなった。
ep02-2	字の欠け	定肯	四つ。航空機関士の問いに、強い肯定で答えた。	四つ。航空機関士の問いに強い高低で答えた。
ep03-2	1字の入れ替え	会	そして四つとも、止まるための機会だった。	そして四つとも止まるための機械だった。
