行	検査	何が	台本	聞取
c326-2	1字の入れ替え	炉	9番は、炉から完全に外れていた	九番はロから完全に外れていた。
c327-1	1字の入れ替え	載	炉心の構造の上に、載っていた。	炉心の構造の上に乗っていた
c327-2	1字の入れ替え	無	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。	一方、圧力容器の壁にも熱遮蔽にも損傷はない。水も全く見えなかった。
c328-2	1字の入れ替え	無	棒がどれだけ動き、何秒だったのかは、この208ページに無い。	棒がどれだけ動き、何秒だったのかはこの 208ページにない
c404-2	同形異音語	門	放出を示していない。門衛所を測っても、背景の値だけである。	放出を示していない。毛営所を測っても背景の値だけである。
c404-2	1字の入れ替え	衛	放出を示していない。門衛所を測っても、背景の値だけである。	放出を示していない。毛営所を測っても背景の値だけである。
c405-1	1字の入れ替え	分	つまりこの時点では、誰にも意味が分からない。	つまり、この時点では誰にも意味がわからない。
c410-1	1字の入れ替え	構	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。	九時十二分、消防車が校内に入る。副隊長は南東の扉へ向かった
c410-2	1字の入れ替え	無	鍵がかかっている。蹴り、叩いた。応答は無い。	鍵がかかっている。蹴り、叩いた。応答はない。
c412-1	1字の入れ替え	構	副隊長は、消防車を構外の道路まで下げさせた。	副隊長は消防車を郊外の道路まで下げさせた。
c417-1	1字の入れ替え	止	門衛所のそばに止めた車のところでも、値が出た。	門衛所のそばに停めた車のところでも値が出た。
c418-1	1字の入れ替え	構	9時17分までに、ここにいた全員が構外の道路まで下がった。	9時17分までにここにいた全員が郊外の道路まで下がった。
c423-1	1字の入れ替え	移	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。	九時二十五分。他の施設に無線で確かめ、三人はどこへも映っていない。
c504-2	字の欠け	器計	戸口に計器を差し出す。針は500で振り切れた。	戸口にケーキを差し出す。針は五百で振り切れた。
c505-1	1字の入れ替え	灯	副隊長が灯りを差し入れ、技術者が中をのぞいた。	副隊長が明かりを差し入れ、技術者が中を覗いた。
c507-2	1字の入れ替え	支	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。	会田保守所へ移った。管理点が置かれ、測定が組み直される。
c509-1	1字の入れ替え	階	運転階に2、3フィート入ったところで、2人が見えた。	運転会に二、三フィート入ったところで二人が見えた。
c513-1	1字の入れ替え	階	10時50分、5人が担架を2つ持って運転階に入った。	10時50分、五人が担架を二つ持って運転会に入った。
c514-1	1字の入れ替え	載	担架を入口の近くに置き、2人がそこまで運んで載せた。	担架を入り口の近くに置き、二人がそこまで運んで乗せた。
c514-2	1字の入れ替え	分	この作業のあいだに、もう1人が亡くなっていることが分かっている。	この作業の間にもう一人が亡くなっていることがわかっている。
c516-1	1字の入れ替え	階	救助にかかったのは、およそ8分。運転階に3分、構内に5分。	救助にかかったのはおよそ八分。運転会に三分、構内に五分
c517-1	1字の入れ替え	載	11時ちょうど、担架は連絡車に載せられ、	11時ちょうど、担架は連絡車に乗せられ
c518-1	1字の入れ替え	診	11時5分、管理点で看護師が診た。報告書はこう書く。	十一時五分、管理点で看護師が見た。報告書は口角。
c519-1	1字の入れ替え	診	11時14分。医師が診て、亡くなったことが確認された。	十一時十四分、医師が見て亡くなったことが確認された。
c520-1	1字の入れ替え	軍	ほぼ同じころ、支所と軍と会社から4人が組を作り、	ほぼ同じ頃、支所と郡と会社から四人が組を作り
c520-2	1字の入れ替え	階	運転階に入っている。3人目を探すためである。	運転会に入っている三人目を探すためである。
c605-1	1字の入れ替え	納	1月10日、4インチの鉛を張った容器に納められた。	1月10日、四インチの鉛を張った容器に収められた。
c707-1	1字の入れ替え	分	何が消されたのかは、分からない。	何が消されたのかはわからない。
c707-2	頭欠け	分→わ	分かるのは、消された、ということだけである。ここでは推測しない。	わかるのは消されたということだけである。ここでは推測しない。
c707-2	1字の入れ替え	分	分かるのは、消された、ということだけである。ここでは推測しない。	わかるのは消されたということだけである。ここでは推測しない。
c712-1	字の欠け	旨要	食い込んでいた位置は、報告書の要旨の2行目に書いてある。	食い込んでいた位置は報告書の用紙の二行目に書いてある。
c719-2	1字の入れ替え	要	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。	20インチまで引くのにいる時間は、暴走を起こすのにいる時間より短かった。
c720-2	1字の入れ替え	無	はっきりした証明は無い	はっきりした証明はない。
c724-2	1字の入れ替え	無	書いてあるのは、証拠に合う説明がほかに無かった、ということだ。	書いてあるのは証拠に合う説明が他になかったということだ。
c814-2	1字の入れ替え	留	柱の鋼材に、成形炸薬を磁石のクリップで留めた。	柱の鋼材に成形炸薬を磁石のクリップで止めた。
c815-1	1字の入れ替え	階	運転階の床を落とし、入った割れ目から2つに割って、	運転会の床を落とし、入った割れ目から二つに割って
c816-2	1字の入れ替え	地	そこに、新しい埋設地を掘ってあった。	そこに新しい埋設土を掘ってあった。
c821-2	1字の入れ替え	公	公道を16マイル運ぶあいだに、人が浴びる量のほうが大きいからだ。	坑道を十六マイル運ぶ間に人が浴びる量の方が大きいからだ。
c912-1	1字の入れ替え	節	同じ節は、こうも書いている。この炉は新品のときから、	同じ説はこうも書いている。「この炉は新品の時から
c912-3	1字の入れ替え	条	事故から1年10か月。この時点で、条文にはなっていない。	事故から一年十ヶ月。この時点で、成文にはなっていない
c913-1	1字の入れ替え	節	ただし同じ節に、この事故のいちばん鋭い数字がある。	ただし、同じ説にこの事故の一番鋭い数字がある。
c914-1	1字の入れ替え	速	駆動装置は、反応度が毎秒0.01パーセントより速く入らないよう、	駆動装置は反応度が毎秒0.01%より早く入らないよう
c915-3	1字の入れ替え	炉	止めた炉で棒を扱う危険	止めた路で棒を扱う危険。
ep02-1	頭欠け	None→1	いちばん厚い記録は、原因ではなく、後始末のほうにある。	一番熱い記録は原因ではなく後始末の方にある
ep02-1	1字の入れ替え	厚	いちばん厚い記録は、原因ではなく、後始末のほうにある。	一番熱い記録は原因ではなく後始末の方にある
ep05-2	1字の入れ替え	火	火は、出ていなかった。	日は出ていなかった。
