scene	decision	chosen	takes	flags	text
c218-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（4.13秒地点・振幅12554＝本文の1.5倍） || take2: clean	天気の条件がよければ、その日に爆発させる予定だった。
c219-1	clean	2	2	take1: 途中に浮いた音: 200ms（4.46秒地点・振幅15790＝本文の2.2倍／前260ms・後100ms の無音） || take2: clean	この装置は、それまでの水爆とは、燃料の形がまったく違っていた。
c301-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（4.71秒地点・振幅6022＝本文の1.1倍） || take2: clean	マイクの弱点は、冷やし続けなければならない、液体の燃料だった。
c306-1	clean	3	3	take1: 先頭に余計な音: 90ms の音（振幅24134＝本文の3.2倍）のあと 90ms の無音 || take2: 先頭に余計な音: 130ms の音（振幅11714＝本文の1.6倍）のあと 80ms の無音 || take3: clean	一方、数の多いリチウムななは、どう見られていたか。
c323-3	unsure	1	3	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（6.63秒地点・振幅7681＝本文の1.3倍） || take2: 末尾に余計な音: 110ms の無音 → 70ms の音（6.17秒地点・振幅7107＝本文の1.2倍） || take3: 末尾に余計な音: 110ms の無音 → 160ms の音（6.94秒地点・振幅5394＝本文の0.9倍）	ななひゃくまんトンの別の回「ユニオン」の雲も、ブラボーと大差なく昇った。
c402-1	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（4.08秒地点・振幅8484＝本文の0.9倍） || take2: clean	区域の東の外側には、人の住む島々があった。
c408-3	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 140ms の音（2.34秒地点・振幅6885＝本文の0.9倍） || take2: clean	船は、見つからなかった。
c409-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 130ms の音（7.95秒地点・振幅8720＝本文の1.3倍） || take2: clean	撃つ前の日の午前じゅういちじ。部隊は、太平洋軍の司令部に、こう予報を送った。
c417-1	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 200ms の音（3.96秒地点・振幅16521＝本文の2.0倍） || take2: 末尾に余計な音: 120ms の無音 → 250ms の音（4.31秒地点・振幅14164＝本文の1.3倍） || take3: clean	最後の見直しは、午前よじさんじゅっぷん。
c419-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 130ms の音（3.63秒地点・振幅6376＝本文の1.0倍） || take2: clean	下がったのは、小さくて足の遅い船だけだった。
c503-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 170ms の音（5.11秒地点・振幅7073＝本文の0.9倍） || take2: 途中に浮いた音: 160ms（1.38秒地点・振幅14404＝本文の1.8倍／前100ms・後90ms の無音） || take3: 末尾に余計な音: 110ms の無音 → 120ms の音（5.16秒地点・振幅9374＝本文の1.4倍）	火の玉は いっぷんのうちに、高さじゅうさんてんななキロまで昇った。
c505-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（5.60秒地点・振幅6589＝本文の0.9倍） || take2: clean	サンゴ礁には、幅いってんろくキロ、深さろくじゅうメートルを超える穴があいた。
c509-1	clean	2	2	take1: 途中に浮いた音: 130ms（4.93秒地点・振幅15058＝本文の2.1倍／前180ms・後120ms の無音） || take2: clean	火の玉の光は、東へ にひゃくごじゅっキロ離れた島からも、いっぷん近く見えていた。
c509-2	clean	2	2	take1: 途中に浮いた音: 190ms（4.63秒地点・振幅18238＝本文の2.0倍／前640ms・後90ms の無音） || take2: clean	東北東へひゃくごじゅうななキロの海の上では、日本の漁船が見ていた。
c510-1	unsure	1	3	take1: 途中に浮いた音: 210ms（4.46秒地点・振幅30875＝本文の7.0倍／前320ms・後110ms の無音） || take2: 途中に浮いた音: 180ms（4.28秒地点・振幅28388＝本文の4.8倍／前600ms・後130ms の無音） || take3: 途中に浮いた音: 170ms（3.88秒地点・振幅31962＝本文の4.1倍／前500ms・後120ms の無音）	漁船に音が届いたのは、光からなな、はっぷんたってから。
c513-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 80ms の音（6.24秒地点・振幅17300＝本文の2.1倍） || take2: 末尾に余計な音: 90ms の無音 → 140ms の音（6.02秒地点・振幅9766＝本文の1.0倍） || take3: 末尾に余計な音: 110ms の無音 → 150ms の音（6.01秒地点・振幅10292＝本文の1.2倍）	爆心から海をはさんだ、起爆の指令所のまわりでも、いちじかんで放射線が強まった。
c516-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（4.72秒地点・振幅6208＝本文の1.0倍） || take2: 末尾に余計な音: 110ms の無音 → 120ms の音（4.36秒地点・振幅11109＝本文の1.7倍） || take3: clean	ビキニからきゅうじゅうさんキロの所まで、全速力で南へ下がった。
c601-2	real	1	3	take1: 末尾に余計な音: 170ms の無音 → 170ms の音（9.11秒地点・振幅7891＝本文の0.9倍） || take2: 末尾に余計な音: 160ms の無音 → 130ms の音（8.67秒地点・振幅11097＝本文の1.9倍） || take3: 末尾に余計な音: 170ms の無音 → 170ms の音（8.87秒地点・振幅13801＝本文の1.8倍）	せんきゅうひゃくごじゅうよねんいちがつ にじゅうににちの昼前、静岡県の焼津港から、いっせきのマグロ漁船が出ていった。
c615-2	real	1	3	take1: 途中に浮いた音: 210ms（1.69秒地点・振幅10384＝本文の1.4倍／前90ms・後290ms の無音） || take2: 途中に浮いた音: 200ms（1.62秒地点・振幅8953＝本文の1.4倍／前100ms・後130ms の無音） || take3: 途中に浮いた音: 220ms（1.65秒地点・振幅12757＝本文の1.5倍／前90ms・後470ms の無音）	前の夜に追加が決まった、あの捜索の飛行である。
c617-2	clean	2	2	take1: 末尾に余計な音: 670ms の無音 → 190ms の音（4.02秒地点・振幅13158＝本文の1.7倍） || take2: clean	この船は、捜索から漏れていたようだ、と。
c618-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 80ms の音（3.04秒地点・振幅7247＝本文の1.1倍） || take2: 末尾に余計な音: 100ms の無音 → 120ms の音（2.91秒地点・振幅8376＝本文の1.1倍） || take3: clean	船は、部隊の誰にも気づかれなかった
c704-1	real	1	3	take1: 末尾に余計な音: 90ms の無音 → 210ms の音（1.71秒地点・振幅17184＝本文の1.6倍） || take2: 末尾に余計な音: 90ms の無音 → 210ms の音（1.63秒地点・振幅16406＝本文の1.6倍） || take3: 末尾に余計な音: 80ms の無音 → 210ms の音（1.71秒地点・振幅19268＝本文の1.6倍）	午後 にじごじゅっぷん。
c706-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（3.44秒地点・振幅6806＝本文の1.0倍） || take2: clean	ロンゲリックにどれほど灰が降ったかを、知らなかった。
c708-1	unsure	1	3	take1: 途中に浮いた音: 130ms（2.23秒地点・振幅7851＝本文の1.1倍／前400ms・後120ms の無音） || take2: 末尾に余計な音: 110ms の無音 → 140ms の音（3.53秒地点・振幅9935＝本文の1.5倍）; 途中に浮いた音: 150ms（2.18秒地点・振幅12767＝本文の1.9倍／前310ms・後80ms の無音） || take3: 途中に浮いた音: 130ms（2.19秒地点・振幅13715＝本文の1.6倍／前370ms・後110ms の無音）	灰は、深いところでいっセンチほど積もった。
c710-3	clean	2	2	take1: 途中に浮いた音: 150ms（3.14秒地点・振幅9628＝本文の1.0倍／前100ms・後560ms の無音） || take2: clean	高ささんキロの空からは、住民のロンゲラップ、兵士のロンゲリックの上でも弱い値だった。
c715-1	clean	2	2	take1: 先頭に余計な音: 130ms の音（振幅19887＝本文の2.3倍）のあと 80ms の無音 || take2: clean	一方で、別の上官からは、作業をやめて金属の建物に入れという命令が出た。
c716-3	clean	3	3	take1: 末尾に余計な音: 130ms の無音 → 170ms の音（4.95秒地点・振幅6843＝本文の0.9倍） || take2: 末尾に余計な音: 120ms の無音 → 120ms の音（5.16秒地点・振幅7061＝本文の1.0倍） || take3: clean	降りて測ると、建物の中でも外でも、強い放射線があった。
c719-3	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 120ms の音（5.56秒地点・振幅7086＝本文の1.0倍） || take2: 末尾に余計な音: 90ms の無音 → 100ms の音（5.58秒地点・振幅7180＝本文の1.1倍） || take3: clean	夕方には、別の飛行機の係が島に降りて、住む場所の放射線を測った。
c721-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（8.48秒地点・振幅15829＝本文の1.5倍） || take2: clean	よっかには、ウトリック環礁のひゃくごじゅうななにんも島を離れ、住民 にひゃくさんじゅうきゅうにんの避難が終わった。
c801-1	clean	2	2	take1: 途中に浮いた音: 230ms（1.11秒地点・振幅14255＝本文の1.4倍／前100ms・後650ms の無音） || take2: clean	さんがつじゅうよっか、焼津に戻った乗組員は、
c806-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 140ms の音（7.54秒地点・振幅6727＝本文の1.1倍） || take2: clean	国は さんがつじゅうはちにち、南の海から戻る船が入る港を、いつつに絞った。
c812-2	clean	2	2	take1: 途中に浮いた音: 190ms（4.03秒地点・振幅31695＝本文の5.4倍／前410ms・後90ms の無音） || take2: clean	音が聞こえたのはろっぷんごではなく、なな、はっぷんごだった。
c819-1	clean	2	2	take1: 途中に浮いた音: 240ms（2.31秒地点・振幅10609＝本文の1.0倍／前90ms・後450ms の無音） || take2: clean	せんきゅうひゃくごじゅうごねんいちがつよっか、日本とアメリカの話し合いが決着した。
c906-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（5.54秒地点・振幅17566＝本文の2.4倍） || take2: clean	キャッスル作戦には、人の体を調べる計画が、もともと無かった。
c908-2	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 130ms の音（4.83秒地点・振幅22147＝本文の4.0倍） || take2: 末尾に余計な音: 80ms の無音 → 110ms の音（4.77秒地点・振幅10943＝本文の1.6倍） || take3: clean	皮膚には、まだらに黒ずんだ傷ができ、じくじくとただれる人もいた。
c915-3	clean	3	3	take1: 途中に浮いた音: 220ms（5.41秒地点・振幅7589＝本文の1.0倍／前100ms・後110ms の無音）; 途中に浮いた音: 230ms（7.07秒地点・振幅10603＝本文の1.3倍／前110ms・後190ms の無音） || take2: 途中に浮いた音: 220ms（4.83秒地点・振幅10154＝本文の1.0倍／前80ms・後500ms の無音） || take3: clean	にせんじゅうさんねんの報告書が挙げるのは、予報がじゅうぶんに見込まなかった、高く昇った雲の灰だ。
c708-1	unsure	1	3	take1: 末尾に余計な音: 90ms の無音 → 130ms の音（3.39秒地点・振幅5816＝本文の1.1倍） || take2: 末尾に余計な音: 90ms の無音 → 160ms の音（3.60秒地点・振幅9396＝本文の1.4倍） || take3: 末尾に余計な音: 80ms の無音 → 120ms の音（3.47秒地点・振幅9585＝本文の1.9倍）	灰は、深いところでいっせんちほど積もった。
c708-1	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 190ms の音（3.33秒地点・振幅6862＝本文の1.1倍） || take2: 末尾に余計な音: 80ms の無音 → 140ms の音（3.38秒地点・振幅7649＝本文の1.2倍） || take3: clean	灰は、深いところで一センチほど積もった。
c412-3	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 140ms の音（5.46秒地点・振幅9495＝本文の1.3倍） || take2: clean	雲の行方を見張る飛行機は、爆発の にじかんごに飛ぶ手はずになった。
c913-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 130ms の音（4.83秒地点・振幅7585＝本文の1.1倍）; 途中に浮いた音: 250ms（4.47秒地点・振幅8480＝本文の1.2倍／前170ms・後110ms の無音） || take2: clean	ロンゲラップの住民は、せんきゅうひゃくごじゅうななねんに戻った
c210-1	clean	2	2	take1: 末尾に余計な音: 730ms の無音 → 40ms の音（6.92秒地点・振幅9434＝本文の1.5倍） || take2: clean	ろっかいのうちさんかいは、TNT火薬に直していっせんまんトンを超えた。
c421-3	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 110ms の音（5.65秒地点・振幅7872＝本文の0.9倍） || take2: clean	指令所は、爆心から、かんしょうの内側の海をはさんだ向こう岸にあった。
