場面	一致率	送った文	聞こえた文	送信文
pr10-3	1.000	その第1巻の全文を、英語の原文で当たっている。	その第一巻の全文を英語の原文で当たっている。	その第1巻の全文を、英語の原文で当たっている。
pr11-1	1.000	追いかける問いは二つある。	追いかける問いは二つある。	追いかける問いは二つある。
pr11-2	0.744	ひとつ。なぜ、ゴムの輪はすきまをふさげなかったのか。	一つ。なぜゴムの輪は隙間を塞げなかったのか。	ひとつ。なぜ、ゴムの輪はすきまをふさげなかったのか。
pr11-3	0.939	ふたつ。なぜ、前の夜の反対は朝までにひっくり返ったのか。	二つ。なぜ前の夜の反対は朝までにひっくり返ったのか。	ふたつ。なぜ、前の夜の反対は朝までにひっくり返ったのか。
c101-1	0.919	話は、打ち上げの前の日の夕方からはじまる。	話は打ち上げの前の日の夕方から始まる。	話は、打ち上げの前の日の夕方からはじまる。
c101-2	1.000	1月27日、フロリダのケネディ宇宙センターである。	一月二十七日、フロリダのケネディ宇宙センターである。	1月27日、フロリダのケネディ宇宙センターである。
c102-1	0.964	その夜の予報は、摂氏でマイナス6度ほどまで冷えこむとあった。	その夜の予報は摂氏でマイナス六度ほどまで冷え込むとあった。	その夜の予報は、摂氏でマイナス6度ほどまで冷えこむとあった。
c102-2	0.833	しかも、それが11時間つづく。	しかもそれが十一時間続く	しかも、それが11時間つづく。
c102-3	0.867	フロリダの1月としては、めずらしい。	フロリダの一月としては珍しい。	フロリダの1月としては、めずらしい。
c103-1	1.000	発射台には、消火や音を抑えるための水の配管が通っている。	発射台には、消火や音を抑えるための水の配管が通っている。	発射台には、消火や音を抑えるための水の配管が通っている。
c103-2	0.894	寒い日は、この水を全部抜くのがふだんのやり方だった。	寒い日はこの水を全部抜くのが普段のやり方だった。	寒い日は、この水を全部抜くのがふだんのやり方だった。
c103-3	1.000	ところがこの夜は、翌朝が打ち上げで、それができなかった。	ところがこの夜は翌朝が打ち上げでそれができなかった。	ところがこの夜は、翌朝が打ち上げで、それができなかった。
c105-1	0.930	そこで、配管が凍らないよう水を細く流しつづけた。	そこで配管が凍らないよう水を細く流し続けた。	そこで、配管が凍らないよう水を細く流しつづけた。
c105-2	0.952	朝、発射台の下の水受けには、厚い氷が張っていた。	朝、発射台の下の水受けには厚い氷があっていた。	朝、発射台の下の水受けには、厚い氷が張っていた。
c105-3	1.000	凍らないための薬を入れていたのに、である。	凍らないための薬を入れていたのにである。	凍らないための薬を入れていたのに、である。
c106-1	0.914	流しつづけた水と、氷点下の気温と、強い風。	流し続けた水と、氷点下の気温と強い風。	流しつづけた水と、氷点下の気温と、強い風。
c106-2	1.000	この三つが重なって、塔には大量の氷がついていった。	この三つが重なって、塔には大量の氷がついていった。	この三つが重なって、塔には大量の氷がついていった。
c107-1	0.952	氷がついたのは、塔の地上29メートルから65メートルのあたりだった。	氷がついたのは塔の地上二十九メートルから六十五メートルの辺りだった。	氷がついたのは、塔の地上29メートルから65メートルのあたりだった。
c107-2	0.927	北側と西側に、とくに大きな氷とつららがついた。	北側と西側に特に大きな氷とつららがついた。	北側と西側に、とくに大きな氷とつららがついた。
c108-1	0.941	氷がついた場所のひとつが、乗員の緊急脱出用の通路だった。	氷がついた場所の一つが乗員の緊急脱出用の通路だった。	氷がついた場所のひとつが、乗員の緊急脱出用の通路だった。
c108-2	0.857	打ち上げ前に何かあったとき、かごで滑り降りる道である。	打ち上げ前に何かあった時、カゴで滑り降りる道である。	打ち上げ前に何かあったとき、かごで滑り降りる道である。
c108-3	1.000	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。	もし逃げるとなれば、乗員は凍った床の上を走ることになっていた。
c109-1	0.875	地上の通信箱のひとつは、氷におおわれて使えなくなった。	地上の通信箱の一つは氷に覆われて使えなくなった。	地上の通信箱のひとつは、氷におおわれて使えなくなった。
c109-2	1.000	委員会は、通路の氷を乗員に知らせるべきだったと書いている。	委員会は通路の氷を乗員に知らせるべきだったと書いている。	委員会は、通路の氷を乗員に知らせるべきだったと書いている。
c109-3	0.939	打ち上げをおくらせることも、もっと考えるべきだった、と。	打ち上げを遅らせることももっと考えるべきだったと。	打ち上げをおくらせることも、もっと考えるべきだった、と。
c110-1	0.939	氷に最初に気づいたのは、発射台を見まわる氷の班だった。	氷に最初に気づいたのは発射台を見回る氷の班だった。	氷に最初に気づいたのは、発射台を見まわる氷の班だった。
c110-2	0.914	時刻は、1月28日の午前2時ごろである。	時刻は一月二十八日の午前二時頃である。	時刻は、1月28日の午前2時ごろである。
c111-1	1.000	配管を守るため水を流す。それ自体は、理屈が通っている。	配管を守るため水を流す。それ自体は理屈が通っている。	配管を守るため水を流す。それ自体は、理屈が通っている。
c111-2	0.981	ただし報告書は、これについて一行だけ、はっきり書いている。	ただし、報告書はこれについて一二行だけはっきり書いている。	ただし報告書は、これについて一行だけ、はっきり書いている。
c111-3	0.923	このやり方は、前例がなかった	そのやり方は前例がなかった。	このやり方は、前例がなかった
c112-1	0.788	氷のことは、夜のあいだ検討されつづけた。	氷のことは夜の間検討され続けた。	氷のことは、夜のあいだ検討されつづけた。
c112-2	1.000	そして午前9時、打ち上げの可否を決める会議にかけられる。	そして午前九時、打ち上げの可否を決める会議にかけられる。	そして午前9時、打ち上げの可否を決める会議にかけられる。
c112-3	1.000	運用管理チームと呼ばれる、その日の判断をまとめる会議である。	運用管理チームと呼ばれるその日の判断をまとめる会議である。	運用管理チームと呼ばれる、その日の判断をまとめる会議である。
c113-1	1.000	懸念を出したのは、本体を作ったロックウェルという会社だった。	懸念を出したのは本体を作ったロックウェルという会社だった。	懸念を出したのは、本体を作ったロックウェルという会社だった。
c113-2	1.000	本体とは、飛行機の形をした、人が乗る部分のことである。	本体とは飛行機の形をした人が乗る部分のことである。	本体とは、飛行機の形をした、人が乗る部分のことである。
c113-3	1.000	気にしていたのは、氷が落ちてその表面に当たることだった。	気にしていたのは、氷が落ちてその表面に当たることだった。	気にしていたのは、氷が落ちてその表面に当たることだった。
c114-1	0.944	一つ、発射台の上の氷が風で飛んで当たる。	一つ、発射台の上の氷が風で飛んで当たり	一つ、発射台の上の氷が風で飛んで当たる。
c114-2	0.872	二つ、エンジン点火のときに氷が跳ねて当たる。	五つ。エンジン点火の時に氷が跳ねて当たる。	二つ、エンジン点火のときに氷が跳ねて当たる。
c114-3	0.863	三つ、大きな補助ロケットが空気を吸いこみ、氷を巻きこむ。	三つ大きな補助ロケットが空気を吸い込み、氷を巻き込ます。	三つ、大きな補助ロケットが空気を吸いこみ、氷を巻きこむ。
c115-1	1.000	ロックウェルの、宇宙輸送部門の社長はこう言っている。	ロックウェルの宇宙輸送部門の社長はこう言っている。	ロックウェルの、宇宙輸送部門の社長はこう言っている。
c115-2	1.000	こういう条件で打ち上げたことが、一度もない。	こういう条件で打ち上げたことが一度もない。	こういう条件で打ち上げたことが、一度もない。
c115-3	0.917	何が起きるか分からない、と。	何が起きるかわからないと。	何が起きるか分からない、と。
c116-1	0.915	会社としての立場は、ケネディにいた副社長から会議に伝えられた。	会社としての立場はケネディにいた副社長からカイニに伝えられた。	会社としての立場は、ケネディにいた副社長から会議に伝えられた。
c116-2	1.000	その副社長は、委員会でこう証言している。	その副社長は委員会でこう証言している。	その副社長は、委員会でこう証言している。
c117-1	1.000	「ロックウェルは、飛んで安全だと百パーセントは保証できない」。	ロックウェルは飛んで安全だと百パーセントは保証できない。	「ロックウェルは、飛んで安全だと百パーセントは保証できない」。
c117-2	0.909	そこまで言って、副社長は言いなおした。	そこまで言って副社長は言い直した。	そこまで言って、副社長は言いなおした。
c117-3	1.000	「ロックウェルは、飛んで安全だと保証できない」。	ロックウェルは飛んで安全だと保証できない。	「ロックウェルは、飛んで安全だと保証できない」。
c118-1	0.791	百パーセントという逃げ道を、副社長は自分で消した。	100%という逃げ道を副社長は自分で消した。	百パーセントという逃げ道を、副社長は自分で消した。
c118-2	1.000	ただし、打ち上げるな、とまでは言っていない。	ただし、打ち上げるなとまでは言っていない。	ただし、打ち上げるな、とまでは言っていない。
c118-3	0.864	委員会も、この言い方はあいまいだったと書いている。	委員会もこの言い方は曖昧だったと書いている。	委員会も、この言い方はあいまいだったと書いている。
c119-1	1.000	NASAは会社に、安全だと証明させるのではなく、危険だと証明させていた。	NASAは会社に安全だと証明させるのではなく、危険だと証明させていた。	NASAは会社に、安全だと証明させるのではなく、危険だと証明させていた。
c119-2	1.000	委員会はそう書き、氷そのものは原因ではないと結論している。	委員会はそう書き、氷そのものは原因ではないと結論している。	委員会はそう書き、氷そのものは原因ではないと結論している。
c119-3	1.000	それでも、この朝に打ち上げるべきではなかった、とも書いている。	それでも「この朝に打ち上げるべきではなかった」とも書いている。	それでも、この朝に打ち上げるべきではなかった、とも書いている。
c201-1	0.875	飛んだ7人が、どんな人たちだったか。	そんな七人がどんな人たちだったか。	飛んだ7人が、どんな人たちだったか。
c201-2	1.000	最初の5人の名前が発表されたのは、1985年1月27日である。	最初の五人の名前が発表されたのは1985年1月27日である。	最初の5人の名前が発表されたのは、1985年1月27日である。
c202-1	0.955	機長は、フランシス・スコビー。通称ディック・スコビー。	市長はフランシス・スコビー、通称ディック・スコビー。	機長は、フランシス・スコビー。通称ディック・スコビー。
c202-2	0.941	空軍の試験飛行士で、45種類の機体を7000時間飛ばした。	空軍の試験飛行士で四十五種類の機体を七千時間飛ばした。	空軍の試験飛行士で、45種類の機体を7000時間飛ばした。
c202-3	1.000	シャトルに乗るのは二度目。	シャトルに乗るのは二度目	シャトルに乗るのは二度目。
c203-1	1.000	操縦士は、海軍大佐のマイケル・スミス。	操縦士は海軍大佐のマイケルスミス。	操縦士は、海軍大佐のマイケル・スミス。
c203-2	1.000	海軍の試験飛行士で、シャトルに乗るのは初めて。	海軍の試験飛行士でシャトルに乗るのは初めて。	海軍の試験飛行士で、シャトルに乗るのは初めて。
c204-1	0.842	エリソン・オニヅカは、ハワイ生まれの空軍中佐。	エリソン鬼塚はハワイ生まれの空軍中佐。	エリソン・オニヅカは、ハワイ生まれの空軍中佐。
c204-2	0.945	前の年の1月、軍がはじめて使ったシャトルの飛行に乗っている。	前の年の一月、軍が初めて使ったシャトルの飛行に乗っている。	前の年の1月、軍がはじめて使ったシャトルの飛行に乗っている。
c204-3	0.809	そのとき、継ぎ目のゴムはそれまででいちばん冷えていた。	その時、継ぎ目のゴムはそれまでで一番冷えていた。	そのとき、継ぎ目のゴムはそれまででいちばん冷えていた。
c205-1	1.000	ジュディス・レズニックは、電気工学の博士。	ジュディス・レズニックは電気工学の博士。	ジュディス・レズニックは、電気工学の博士。
c205-2	1.000	1984年、別のシャトル、ディスカバリー号の初飛行に乗った。	1984年、別のシャトルディスカバリー号の初飛行に乗った。	1984年、別のシャトル、ディスカバリー号の初飛行に乗った。
c206-1	1.000	ロナルド・マクネイアは、物理学の博士。	ロナルド・マクネイアは物理学の博士	ロナルド・マクネイアは、物理学の博士。
c206-2	1.000	1984年に、このチャレンジャー号で飛んでいる。	1984年にこのチャレンジャー号で飛んでいる。	1984年に、このチャレンジャー号で飛んでいる。
c207-1	1.000	グレゴリー・ジャービスは、人工衛星を設計してきた技術者。	グレゴリー・ジャービスは人工衛星を設計してきた技術者。	グレゴリー・ジャービスは、人工衛星を設計してきた技術者。
c207-2	0.966	ヒューズという会社から送りこまれ、流体の実験を受け持っていた。	ヒューズという会社から送り込まれ、流体の実験を受け持っていた。	ヒューズという会社から送りこまれ、流体の実験を受け持っていた。
c208-1	0.938	7人目が、クリスタ・マコーリフである。	二人目がクリスタマコーリフである。	7人目が、クリスタ・マコーリフである。
c208-2	1.000	マサチューセッツ州のボストンで生まれ、同じ州で育った。	マサチューセッツ州のボストンで生まれ、同じ州で育った。	マサチューセッツ州のボストンで生まれ、同じ州で育った。
c208-3	1.000	中学と高校で、いろいろな教科を教えていた。	中学と高校でいろいろな教科を教えていた。	中学と高校で、いろいろな教科を教えていた。
c209-1	1.000	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。	宇宙へ行く教師に選ばれ、乗員に加わったのは 1985年の7月。	「宇宙へ行く教師」に選ばれ、乗員に加わったのは1985年の7月。
c209-2	0.963	それから半年、乗員の一人として決められた訓練を受けている。	それから半年、乗員の一人として決められた訓練を受けていた。	それから半年、乗員の一人として決められた訓練を受けている。
c209-3	1.000	打ち上げの前に、7人全員が「飛べる」と認められていた。	打ち上げの前に七人全員が飛べると認められていた。	打ち上げの前に、7人全員が「飛べる」と認められていた。
c210-1	1.000	マコーリフには、この飛行での仕事があった。	マコーリフにはこの飛行での仕事があった。	マコーリフには、この飛行での仕事があった。
c210-2	1.000	報告書は、その仕事をこう書いている。	報告書はその仕事をこう書いている。	報告書は、その仕事をこう書いている。
c210-3	1.000	宇宙から、授業をするはずだった	宇宙から授業をするはずだった。	宇宙から、授業をするはずだった
c211-1	0.846	教師には、控えの人も選ばれていた。	教師に人も選ばれていた。	教師には、控えの人も選ばれていた。
c211-2	1.000	アイダホ州の小学校で教えていた、バーバラ・モーガンである。	アイダホ州の小学校で教えていたバーバラ・モーガンである。	アイダホ州の小学校で教えていた、バーバラ・モーガンである。
c212-1	1.000	2人は同じ訓練を受け、同じ授業の準備をした。	二人は同じ訓練を受け、同じ授業の準備をした。	2人は同じ訓練を受け、同じ授業の準備をした。
c212-2	1.000	飛ぶのはマコーリフ、残るのはモーガンだった。	飛ぶのはマコーリフ、残るのはモーガンだった。	飛ぶのはマコーリフ、残るのはモーガンだった。
c213-1	1.000	この飛行の大きな仕事は、二つの衛星を放つことだった。	この飛行の大きな仕事は二つの衛星を放つことだった。	この飛行の大きな仕事は、二つの衛星を放つことだった。
c213-2	1.000	一つは、通信をつなぐための衛星。	一つは通信をつなぐための衛星。	一つは、通信をつなぐための衛星。
c213-3	1.000	もう一つが、ハレー彗星を見るための衛星。	もう一つがハレー彗星を見るための衛星。	もう一つが、ハレー彗星を見るための衛星。
c214-1	1.000	彗星が太陽に近づくと、地上の望遠鏡では見えなくなる。	彗星が太陽に近づくと、地上の望遠鏡では見えなくなる。	彗星が太陽に近づくと、地上の望遠鏡では見えなくなる。
c214-2	1.000	その時期を、宇宙から見ようという計画だった。	その時期を宇宙から見ようという計画だった	その時期を、宇宙から見ようという計画だった。
c215-1	0.930	1月28日の朝、7人はそろって朝食をとっている。	一月二十八日の朝、七人は揃って朝食をとっている。	1月28日の朝、7人はそろって朝食をとっている。
c215-2	0.893	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、	打ち上げは二時間遅れた。初めの一時間は地上の設備の故障で	打ち上げは2時間おくれた。はじめの1時間は地上の設備の故障で、
c215-3	0.945	あとの1時間は、発射台に張った氷が溶けるのを待つためだった。	後の一時間は発射台に張った氷が溶けるのを待つためだった。	あとの1時間は、発射台に張った氷が溶けるのを待つためだった。
c216-1	0.955	機体に乗りこむ前の部屋を、ホワイトルームと呼ぶ。	機体に乗り込む前の部屋をホワイトルームと呼ぶ。	機体に乗りこむ前の部屋を、ホワイトルームと呼ぶ。
c216-2	1.000	7人は、ここで一人ずつ送り出された。	七人はここで一人ずつ送り出された。	7人は、ここで一人ずつ送り出された。
c301-1	1.000	打ち上げは、東部標準時の午前11時38分に行われた。	打ち上げは東部標準時の午前11時38分に行われた。	打ち上げは、東部標準時の午前11時38分に行われた。
c301-2	0.954	発射台から約300メートル離れた地面で測った気温が、摂氏2.2度である。	発射台から約三百メートル離れた地面で測った気温が摂氏二点二度である。	発射台から約300メートル離れた地面で測った気温が、摂氏2.2度である。
c302-1	0.950	ここから先の73秒は、二つの記録から分かる。	ここから先の七十三秒は二つの記録からわかる。	ここから先の73秒は、二つの記録から分かる。
c302-2	1.000	NASAのカメラが撮った映像と、機体から地上に送られた信号である。	NASAのカメラが撮った映像と機体から地上に送られた信号である。	NASAのカメラが撮った映像と、機体から地上に送られた信号である。
c302-3	0.868	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。	映像は一コマずつ、信号は千分の一秒刻みで読み直された。	映像は1コマずつ、信号は1000分の1秒きざみで読み直された。
c303-1	0.982	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。	まず、打ち上げの六点六秒前に機体の後ろの主エンジンが点火する。	まず、打ち上げの6.6秒前に、機体の後ろの主エンジンが点火する。
c303-2	0.941	このとき機体はまだ、太いボルトで発射台につながれている。	この時、機体はまだ太いボルトで発射台につながれている。	このとき機体はまだ、太いボルトで発射台につながれている。
c304-1	1.000	主エンジンの力で、機体は前へぐいとしなる。	主エンジンの力で機体は前へぐいとしなる。	主エンジンの力で、機体は前へぐいとしなる。
c304-2	0.865	そのあと、まっすぐに戻ろうとしてはね返る。	その後まっすぐに戻ろうとしては寝返る。	そのあと、まっすぐに戻ろうとしてはね返る。
c304-3	0.933	現場では、この動きを「はじく」という言葉で呼んでいた。	現場ではこの動きを弾くという言葉で呼んでいた。	現場では、この動きを「はじく」という言葉で呼んでいた。
c305-1	0.952	ボルトが外れるのは、このはね返りの途中である。	ボルトが外れるのはこの跳ね返りの途中である。	ボルトが外れるのは、このはね返りの途中である。
c305-2	0.943	このとき継ぎ目にかかる力は、飛行中のどの瞬間よりも大きい。	この時継ぎ目にかかる力は飛行中のどの瞬間よりも大きい。	このとき継ぎ目にかかる力は、飛行中のどの瞬間よりも大きい。
c306-1	1.000	機体が浮き上がった、その直後のことである。	機体が浮き上がったその直後のことである。	機体が浮き上がった、その直後のことである。
c306-2	0.906	右の補助ロケットの、下の継ぎ目のあたりから灰色の煙が出た。	国の補助ロケットの下の継ぎ目の辺りから灰色の煙が出た。	右の補助ロケットの、下の継ぎ目のあたりから灰色の煙が出た。
c306-3	1.000	打ち上げから0.678秒。すでに煙が出ていた	打ち上げから0.678秒、すでに煙が出ていた。	打ち上げから0.678秒。すでに煙が出ていた
c307-1	0.949	このとき煙が出た場所を正確に撮るはずだったカメラが、2台あった。	この時、煙が出た場所を正確に撮るはずだったカメラが二台あった。	このとき煙が出た場所を正確に撮るはずだったカメラが、2台あった。
c307-2	0.909	どちらも、そのとき作動していなかった。	どちらもその時作動していなかった。	どちらも、そのとき作動していなかった。
c308-1	1.000	そこで、別の場所にあったカメラの映像を集め、	そこで別の場所にあったカメラの映像を集め	そこで、別の場所にあったカメラの映像を集め、
c308-2	0.895	計算で煙の出どころを割り出すことになった。	計算で煙の出所を割り出すことになった。	計算で煙の出どころを割り出すことになった。
c309-1	1.000	煙は、右の補助ロケットの、ある一方の面から出ていた。	煙は右の補助ロケットのある一方の面から出ていた。	煙は、右の補助ロケットの、ある一方の面から出ていた。
c309-2	0.864	まん中の大きな燃料タンクのほうを向いた面である。	満中の大きな燃料タンクの方を向いた面である。	まん中の大きな燃料タンクのほうを向いた面である。
c309-3	0.864	煙はロケットとタンクのあいだから噴き出していた。	煙はロケットとタンクの間から吹き出していた。	煙はロケットとタンクのあいだから噴き出していた。
c310-1	1.000	煙は一度きりではなかった。	煙は一度きりではなかった。	煙は一度きりではなかった。
c310-2	0.920	0.836秒から2.5秒までのあいだに、さらに8回出ている。	0.836秒から2.5秒までの間にさらに八回出ている。	0.836秒から2.5秒までのあいだに、さらに8回出ている。
c311-1	1.000	出方は、1秒に約4回。	出方は一秒に約四回。	出方は、1秒に約4回。
c311-2	1.000	これは、機体が揺れて継ぎ目が開いたり閉じたりする速さと、ほぼ同じだった。	これは機体が揺れて継ぎ目が開いたり閉じたりする速さとほぼ同じだった。	これは、機体が揺れて継ぎ目が開いたり閉じたりする速さと、ほぼ同じだった。
c311-3	1.000	揺れるたびに、継ぎ目がわずかに開いていた。	揺れるたびに継ぎ目がわずかに開いていた。	揺れるたびに、継ぎ目がわずかに開いていた。
c312-1	0.966	煙は、出るたびに黒くなっていった。	煙は出るたびに黒くなっていた。	煙は、出るたびに黒くなっていった。
c312-2	1.000	黒い煙は、継ぎ目のグリースと断熱材とゴムの輪が焼けている印である。	黒い煙は継ぎ目のグリースと断熱材とゴムの輪が焼けている印である。	黒い煙は、継ぎ目のグリースと断熱材とゴムの輪が焼けている印である。
c313-1	0.943	それまでの打ち上げの映像も、一本ずつ細かく調べなおされた。	それまでの打ち上げの映像も一本ずつ細かく調べ直された。	それまでの打ち上げの映像も、一本ずつ細かく調べなおされた。
c313-2	1.000	同じ色、同じ濃さの煙は、一度も出ていなかった。	同じ色、同じ濃さの煙は一度も出ていなかった。	同じ色、同じ濃さの煙は、一度も出ていなかった。
c313-3	1.000	この煙は、この日だけに出たものだった。	この煙はこの日だけに出たものだった。	この煙は、この日だけに出たものだった。
c314-1	0.915	煙が見えたのは、3.375秒まで。そのあとは噴煙にまぎれて見えない。	煙が見えたのは3.375秒まで。その後は噴煙にまみれて見えない。	煙が見えたのは、3.375秒まで。そのあとは噴煙にまぎれて見えない。
c314-2	0.720	漏れが続いていたのか、焼けたかすがすきまをふさいだのか。	これが続いていたのか、焼けたカスが隙間を塞いだのか。	漏れが続いていたのか、焼けたかすがすきまをふさいだのか。
c314-3	1.000	報告書は、二つの見方を並べたままにしている。	報告書は二つの見方を並べたままにしている。	報告書は、二つの見方を並べたままにしている。
c315-1	0.741	機体は、そのまま上昇をつづけた。	期待はそのまま上昇を続けた。	機体は、そのまま上昇をつづけた。
c315-2	0.981	37秒から64秒にかけて、風が急に変わる高さを通っている。	七秒から六十四秒にかけて風が急に変わる高さを通っている。	37秒から64秒にかけて、風が急に変わる高さを通っている。
c315-3	1.000	少し高さが変わるだけで、風の向きと速さが大きく変わる場所である。	少し高さが変わるだけで風の向きと速さが大きく変わる場所である。	少し高さが変わるだけで、風の向きと速さが大きく変わる場所である。
c316-1	0.945	補助ロケットの向きを変える仕組みは、この風に反応しつづけた。	補助ロケットの向きを変える仕組みはこの風に反応し続けた。	補助ロケットの向きを変える仕組みは、この風に反応しつづけた。
c316-2	1.000	報告書によれば、過去のどの飛行よりも大きく動いていた。	報告書によれば、過去のどの飛行よりも大きく動いていた。	報告書によれば、過去のどの飛行よりも大きく動いていた。
c316-3	0.962	ただし、機体にかかった力は、設計で見こんだ範囲の中だった。	ただし、機体にかかった力は設計で見込んだ範囲の中だった	ただし、機体にかかった力は、設計で見こんだ範囲の中だった。
c317-1	0.985	そして58.788秒。右の補助ロケットの、あの継ぎ目に小さな炎が見えた。	そして五十八点七八十八秒。右の補助ロケットのあの継ぎ目に小さな炎が見えた。	そして58.788秒。右の補助ロケットの、あの継ぎ目に小さな炎が見えた。
c317-2	0.957	映像を強調して、ようやく分かるほどの小ささである。	映像を強調してようやくわかるほどの小ささである。	映像を強調して、ようやく分かるほどの小ささである。
c318-1	0.933	1コマあとには、強調しなくても見えるようになった。	一コマ後には強調しなくても見えるようになった。	1コマあとには、強調しなくても見えるようになった。
c318-2	0.851	60秒ごろ、左右の補助ロケットの圧力に差が出はじめる。	六十秒頃、左右の補助ロケットの圧力に差が出始める。	60秒ごろ、左右の補助ロケットの圧力に差が出はじめる。
c318-3	0.903	右が低い。つまり、そこから漏れている。	右が低い。つまり底から漏れている。	右が低い。つまり、そこから漏れている。
c319-1	0.877	炎は風で後ろへ倒され、まん中の燃料タンクの表面をなめはじめた。	炎は風で後ろへ倒され、真ん中の燃料タンクの表面を舐め始めた。	炎は風で後ろへ倒され、まん中の燃料タンクの表面をなめはじめた。
c319-2	0.882	64.660秒、炎の色と形が急に変わる。	六十四点七百六十秒。炎の色と形が急に変わる。	64.660秒、炎の色と形が急に変わる。
c319-3	0.930	打ち上げから73.124秒。タンクが壊れはじめた	打ち上げから73.124秒。タンクが壊れ始めた。	打ち上げから73.124秒。タンクが壊れはじめた
