場面	一致率	送った文	聞こえた文	送信文
c109-1	1.000	この動画が追いかける問いは、二つある。	この動画が追いかける問いは二つある。	この動画が追いかける問いは、ふたつある。
c109-2	0.933	ひとつ。見込みを超えた威力が、灰を島に降らせたのか。	一つ、見込みを超えた威力が灰を島に降らせたのか。	ひとつ。見込みを超えた威力が、灰を島に降らせたのか。
c109-3	0.914	ふたつ。何が、灰を人の住む島へ運んだのか。	二つ、何が灰を人の住む島へ運んだのか。	ふたつ。何が、灰を人の住む島へ運んだのか。
c110-1	1.000	よく語られる答えは、撃つ前の夜、高さ6キロの風が人の住む島へ向かっていたことだ。	よく語られる答えは、撃つ前の夜、高さ六キロの風が人の住む島へ向かっていたことだ。	よく語られる答えは、撃つ前の夜、高さろくキロの風が人の住む島へ向かっていたことだ。
c110-2	1.000	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。	実験の司令部はそれを知りながら、遅い風なので心配ないと見て撃っている。
c110-3	1.000	だが、2013年の報告書は、違う答えを出している。	だが、二〇一三年の報告書は違う答えを出している。	だが、にせんじゅうさんねんの報告書は、違う答えを出している。
c111-1	1.000	この動画は、アメリカ政府の報告書を、英語の原文で読んで作っている。	この動画はアメリカ政府の報告書を英語の原文で読んで作っている。	この動画は、アメリカ政府の報告書を、英語の原文で読んで作っている。
c111-2	1.000	国防総省の機関が1982年と2013年にまとめた2冊と、医師団の報告書である。	国防総省の機関が 1982年と 2013年にまとめた二冊と医師団の報告書である。	国防総省の機関がせんきゅうひゃくはちじゅうにねんと にせんじゅうさんねんにまとめた にさつと、医師団の報告書である。
c111-3	1.000	日本側の出来事は、日本政府の当時の記録と、国会の議事録で確かめた。	日本側の出来事は日本政府の当時の記録と国会の議事録で確かめた。	日本側の出来事は、日本政府の当時の記録と、国会の議事録で確かめた。
c112-1	1.000	なお、日付と時刻は、ビキニの現地のものを使う。	なお、日付と時刻はビキニの現地のものを使う。	なお、日付と時刻は、ビキニの現地のものを使う。
c112-2	1.000	ビキニは日付変更線の西にあるので、アメリカ本土では、まだ2月28日だった。	ビキニは日付変更線の西にあるので、アメリカ本土ではまだ二月二十八日だった。	ビキニは日付変更線の西にあるので、アメリカ本土では、まだ にがつ にじゅうはちにちだった。
c112-3	1.000	公式の実験の一覧も、世界の標準時で2月28日と記している。	公式の実験の一覧も世界の標準時で二月二十八日と記している。	公式の実験の一覧も、世界の標準時で二月二十八日と記している。
c113-1	1.000	爆発したのは、「シュリンプ」と呼ばれた装置である。	爆発したのはシュリンプと呼ばれた装置である。	爆発したのは、「シュリンプ」と呼ばれた装置である。
c113-2	1.000	飛行機で運べる大きさを目指して作られた、新しい型の水爆だった。	飛行機で運べる大きさを目指して作られた新しい型の水爆だった。	飛行機で運べる大きさを目指して作られた、新しい型の水爆だった。
c114-1	1.000	なぜ、見込みはこれほど外れたのか。	なぜ見込みはこれほど外れたのか。	なぜ、見込みはこれほど外れたのか。
c114-2	1.000	話は、水素爆弾という兵器が生まれたところから始まる。	話は水素爆弾という兵器が生まれたところから始まる。	話は、水素爆弾という兵器が生まれたところから始まる。
c201-1	0.667	話を、少しさかのぼる。	話を少し遡る。	話を、少しさかのぼる。
c201-2	1.000	アメリカで水素爆弾の開発が始まったのは、1950年のことだった。	アメリカで水素爆弾の開発が始まったのは1950年のことだった。	アメリカで水素爆弾の開発が始まったのは、せんきゅうひゃくごじゅうねんのことだった。
c202-1	1.000	それまでの原子爆弾は、ウランやプルトニウムという重い原子を割って、力を取り出す。	それまでの原子爆弾は、ウランやプルトニウムという重い原子を割って力を取り出す	それまでの原子爆弾は、ウランやプルトニウムという重い原子を割って、力を取り出す。
c202-2	1.000	広島と長崎に落とされたのが、この型である。	広島と長崎に落とされたのがこの型である。	広島と長崎に落とされたのが、この型である。
c203-1	0.818	水素爆弾は、しくみが違う。	水素爆弾は仕組みが違う。	水素爆弾は、しくみが違う。
c203-2	0.839	水素のなかまの軽い原子どうしをくっつけて、さらに大きな力を取り出す。	水素の仲間の軽い原子同士をくっつけて、さらに大きな力を取り出す。	水素のなかまの軽い原子どうしをくっつけて、さらに大きな力を取り出す。
c203-3	1.000	太陽が光り続けているのも、この「核融合」の力である。	太陽が光り続けているのもこの核融合の力である。	太陽が光り続けているのも、この「核融合」の力である。
c204-1	0.912	ただ、原子どうしをくっつけるには、とてつもない温度と圧力がいる。	ただ、原子同士をくっつけるにはとてつもない温度と圧力がいる。	ただ、原子どうしをくっつけるには、とてつもない温度と圧力がいる。
c204-2	0.938	その火つけ役に使うのが、原子爆弾だ。	その火付け役に使うのが原子爆弾だ。	その火つけ役に使うのが、原子爆弾だ。
c205-1	1.000	アメリカは1952年11月1日、この仕組みで「マイク」という装置を爆発させた。	アメリカは1952年11月1日、この仕組みでマイクという装置を爆発させた。	アメリカはせんきゅうひゃくごじゅうにねんじゅういちがつついたち、この仕組みで「マイク」という装置を爆発させた。
c205-2	0.833	威力は、TNT火薬に直して1040万トンぶん。	威力はTNT火薬に直して千四十万トン分	威力は、TNT火薬に直してせんよんじゅうまんトンぶん。
c205-3	0.909	場所は、マーシャル諸島のエニウェトク環礁だった。	場所はマーシャル諸島のエニウェト区間礁だった。	場所は、マーシャル諸島のエニウェトク環礁だった。
c206-1	1.000	ただ、マイクの燃料は、とても低い温度で冷やして、液体にしておく必要があった。	ただ、マイクの燃料はとても低い温度で冷やして液体にしておく必要があった。	ただ、マイクの燃料は、とても低い温度で冷やして、液体にしておく必要があった。
c206-2	0.955	冷やす設備も要り、装置は3階建ての建物を占めた。	冷やす設備も入り、装置は三階建ての建物を占めた。	冷やす設備も要り、装置はさんがいだての建物を占めた。
c207-1	1.000	報告書は、マイクのことをこう書いている。	報告書はマイクのことをこう書いている。	報告書は、マイクのことをこう書いている。
c207-2	1.000	マイクは、運んで使える兵器ではなかった	マイクは運んで使える兵器ではなかった。	マイクは、運んで使える兵器ではなかった
c208-1	0.927	次のねらいは、飛行機に積んで運べる水爆である。	次の狙いは飛行機に積んで運べる水爆である。	次のねらいは、飛行機に積んで運べる水爆である。
c208-2	1.000	それを試すのが、1954年春の「キャッスル作戦」だった。	それを試すのが1954年春のキャッスル作戦だった。	それを試すのが、せんきゅうひゃくごじゅうよねん春の「キャッスル作戦」だった。
c209-1	1.000	作戦では、3月から5月までに、6回の爆発が行われた。	作戦では三月から五月までに六回の爆発が行われた。	作戦では、さんがつからごがつまでに、ろっかいの爆発が行われた。
c209-2	0.909	5回がビキニ環礁、1回がエニウェトク環礁である。	五階がビキニ環礁、一階がエニウェトク環礁である。	ごかいがビキニ環礁、いっかいがエニウェトク環礁である。
c210-1	0.941	6回のうち3回は、TNT火薬に直して1000万トンを超えた。	六回のうち三回はTNT火薬に直して一千万トンを超えた。	ろっかいのうちさんかいは、TNT火薬に直していっせんまんトンを超えた。
c210-2	1.000	その最初の1回が、3月1日の「ブラボー」である。	その最初の1回が3月1日のブラボーである。	その最初のいっかいが、さんがつついたちの「ブラボー」である。
c211-1	0.923	実験を行ったのは、軍と、核兵器を受けもつ国の原子力委員会がつくった部隊。	実験を行ったのは軍と核兵器を受け持つ国の原子力委員会が作った部隊。	実験を行ったのは、軍と、核兵器を受けもつ国の原子力委員会がつくった部隊。
c211-2	1.000	放射線の量を記録するバッジを配られた人だけで、1万人を超えていた。	放射線の量を記録するバッジを配られた人だけで一万人を超えていた。	放射線の量を記録するバッジを配られた人だけで、いちまんにんを超えていた。
c211-3	1.000	部隊の名前は、第7合同任務部隊という。	部隊の名前は第七合同任務部隊という。	部隊の名前は、だいなな合同任務部隊という。
c212-1	1.000	実験場は、太平洋のマーシャル諸島にある。	実験場は太平洋のマーシャル諸島にある	実験場は、太平洋のマーシャル諸島にある。
c212-2	0.867	サンゴの小さな島が輪のようにつらなる、「環礁」という地形の島々である。	珊瑚の小さな島が輪のように連なる環礁という地形の島々である。	サンゴの小さな島が輪のようにつらなる、「環礁」という地形の島々である。
c213-1	1.000	使われたのは、ビキニとエニウェトクの2つの環礁。	使われたのはビキニとエニウェトクの二つの環礁	使われたのは、ビキニとエニウェトクのふたつの環礁。
c213-2	1.000	ビキニでは1946年の夏にも、原子爆弾の実験が2回行われている。	ビキニでは 1946年の夏にも原子爆弾の実験が二回行われている。	ビキニではせんきゅうひゃくよんじゅうろくねんの夏にも、原子爆弾の実験が にかい行われている。
c214-1	1.000	ブラボーの装置は、環礁の北西の端、ナム島の沖に置かれた。	ブラボーの装置は環礁の北西の端、ナム島の沖に置かれた	ブラボーの装置は、環礁の北西の端、ナム島の沖に置かれた。
c214-2	0.872	サンゴ礁の上に建てた、小さな建物の中である。	珊瑚礁の上に建てた小さな建物の中である	サンゴ礁の上に建てた、小さな建物の中である。
c214-3	0.972	据えつけが終わったのは2月22日。空ではなく、地面の上で爆発させる実験だった。	据え付けが終わったのは二月二十二日。空ではなく地面の上で爆発させる実験だった。	据えつけが終わったのは にがつ にじゅうににち。空ではなく、地面の上で爆発させる実験だった。
c215-1	0.939	まわりの島々には、爆風や放射線を測る機械が並べられた。	周りの島々には爆風や放射線を測る機械が並べられた。	まわりの島々には、爆風や放射線を測る機械が並べられた。
c215-2	1.000	国防総省の実験だけで、29の計画が動いていた。	国防総省の実験だけで二十九の計画が動いていた。	こくぼうそうしょうの実験だけで、にじゅうきゅうの計画が動いていた。
c216-1	1.000	放射線から身を守る決まりも、細かく作られていた。	放射線から身を守る決まりも細かく作られていた。	放射線から身を守る決まりも、細かく作られていた。
c216-2	0.875	作戦のあいだに浴びてよい量には、上限が決められていた。	作戦の間に浴びて良い量には上限が決められていた。	作戦のあいだに浴びてよい量には、上限が決められていた。
c217-1	1.000	部隊は住民の安全を気にかけつつ、島々の放射線を測る必要はないと考えた。	部隊は住民の安全を気にかけつつ、島々の放射線を測る必要はないと考えた。	部隊は住民の安全を気にかけつつ、島々の放射線を測る必要はないと考えた。
c217-2	1.000	それでも、原子力委員会の研究所が、ロンゲリックやマジュロなどの島に、	それでも原子力委員会の研究所がロンゲリックやマジュロなどの島に	それでも、原子力委員会の研究所が、ロンゲリックやマジュロなどの島に、
c217-3	1.000	放射線を測り続ける計器を置いていた。	放射線を測り続ける計器を置いていた。	放射線を測り続ける計器を置いていた。
c218-1	1.000	3月1日に試される装置は、ロスアラモス科学研究所が作った。	三月一日に試される装置はロスアラモス科学研究所が作った。	さんがつついたちに試される装置は、ロスアラモス科学研究所が作った。
c218-2	0.958	天気の条件がよければ、その日に爆発させる予定だった。	天気の条件が良ければ、その日に爆発させる予定だった。	天気の条件がよければ、その日に爆発させる予定だった。
c219-1	0.926	この装置は、それまでの水爆とは、燃料の形がまったく違っていた。	この装置はそれまでの水爆とは燃料の形が全く違っていた。	この装置は、それまでの水爆とは、燃料の形がまったく違っていた。
c219-2	1.000	うまくいけば、飛行機で運べる水爆への道が開ける。	うまくいけば飛行機で運べる水爆への道が開ける。	うまくいけば、飛行機で運べる水爆への道が開ける。
c220-1	1.000	ブラボーは、その最初の試験だった。	ブラボーはその最初の試験だった。	ブラボーは、その最初の試験だった。
c220-2	1.000	鍵を握るのは、燃料である。	鍵を握るのは燃料である。	鍵を握るのは、燃料である。
c301-1	1.000	マイクの弱点は、冷やし続けなければならない、液体の燃料だった。	マイクの弱点は冷やし続けなければならない液体の燃料だった。	マイクの弱点は、冷やし続けなければならない、液体の燃料だった。
c302-1	1.000	そこでロスアラモスは、燃料を固体にする道を選んだ。	そこでロスアラモスは燃料を固体にする道を選んだ。	そこでロスアラモスは、燃料を固体にする道を選んだ。
c302-2	1.000	重い水素と、リチウムという軽い金属を結びつけた、「重水素化リチウム」である。	重い水素とリチウムという軽い金属を結びつけた重水素化リチウムである。	重い水素と、リチウムという軽い金属を結びつけた、「じゅうすいそかリチウム」である。
c303-1	1.000	これなら、冷やす設備はいらない。	これなら冷やす設備はいらない。	これなら、冷やす設備はいらない。
c303-2	1.000	燃料が固体のこの型は、「乾式」の水爆と呼ばれる。	燃料が固体のこの型は乾式の水爆と呼ばれる。	燃料が固体のこの型は、「乾式」の水爆と呼ばれる。
c304-1	1.000	リチウムには、重さの違う2つの種類がある。リチウム6と、リチウム7だ。	リチウムには重さの違う二つの種類がある。リチウム六とリチウム七だ。	リチウムには、重さの違うふたつの種類がある。リチウムろくと、リチウムななだ。
c304-2	1.000	天然のリチウムは、ほとんどがリチウム7で、リチウム6はわずかだ。	天然のリチウムはほとんどがリチウム7で、リチウム6はわずかだ。	天然のリチウムは、ほとんどがリチウムななで、リチウムろくはわずかだ。
c305-1	1.000	リチウム6は、中性子という粒を受けると、三重水素という燃料を生む。	リチウム六は中性子という粒を受けると三重水素という燃料を生む。	リチウムろくは、中性子という粒を受けると、さんじゅうすいそという燃料を生む。
c305-2	0.918	爆弾の中で燃料をつくるには、このリチウム6が要ると考えられていた。	爆弾の中で燃料を作るにはこのリチウム六がいると考えられていた。	爆弾の中で燃料をつくるには、このリチウムろくが要ると考えられていた。
c306-1	1.000	一方、数の多いリチウム7は、どう見られていたか。	一方、数の多いリチウム七はどう見られていたか。	一方、数の多いリチウムななは、どう見られていたか。
c306-2	1.000	実験の前は、リチウム6や液体の重い水素より、ずっと劣る燃料と見られていた。	実験の前はリチウム六や液体の重い水素よりずっと劣る燃料と見られていた。	実験の前は、リチウムろくや液体の重い水素より、ずっと劣る燃料と見られていた。
c307-1	1.000	こうして作られたブラボーの装置は、「シュリンプ」と呼ばれた。	こうして作られたブラボーの装置はシュリンプと呼ばれた。	こうして作られたブラボーの装置は、「シュリンプ」と呼ばれた。
c307-2	1.000	英語で、エビという意味である。	英語でエビという意味である。	英語で、エビという意味である。
c308-1	0.952	報告書は、この装置を、兵器そのものではないとしたうえで、こう書いている。	報告書はこの装置を兵器そのものではないとした上で、こう書いている。	報告書は、この装置を、兵器そのものではないとしたうえで、こう書いている。
c308-2	1.000	マイクより強力で、飛行機で運べる装置	マイクより強力で飛行機で運べる装置	マイクより強力で、飛行機で運べる装置
c309-1	1.000	ただ、この日は飛行機から落とさず、あの小さな建物の中で爆発させた。	ただ、この日は飛行機から落とさず、あの小さな建物の中で爆発させた。	ただ、この日は飛行機から落とさず、あの小さな建物の中で爆発させた。
c310-1	1.000	爆発の前、研究所は威力を見積もっていた。	爆発の前、研究所は威力を見積もっていた。	爆発の前、研究所は威力を見積もっていた。
c310-2	0.863	予想の幅は、TNT火薬に直して400万トンから800万トンぶん。	予想の幅はTNT火薬に直して四百万トンから八百万トン分	予想の幅は、TNT火薬に直してよんひゃくまんトンから はっぴゃくまんトンぶん。
c311-1	0.800	いちばんありそうな値は、600万トンとされていた。	一番ありそうな値は六百万トンとされていた。	いちばんありそうな値は、ろっぴゃくまんトンとされていた。
c311-2	0.800	実際の威力は、1500万トンにのぼった。	実際の威力は千五百万トンに上った。	実際の威力は、せんごひゃくまんトンにのぼった。
c312-1	0.837	いちばんありそうな値と比べると、2.5倍にあたる。	一番ありそうな値と比べると二点五倍にあたる	いちばんありそうな値と比べると、にてんごばいにあたる。
c312-2	0.875	予想の幅のいちばん上と比べても、2倍近い大きさである。	予想の幅の一番上と比べても二倍近い大きさである。	予想の幅のいちばん上と比べても、にばい近い大きさである。
c313-1	1.000	なぜ、ここまで外れたのか。	なぜここまで外れたのか。	なぜ、ここまで外れたのか。
c313-2	0.867	実験の4か月あまりのち、研究所の担当者は、国の委員会でこう説明した。	実験の四ヶ月余り後、研究所の担当者は国の委員会でこう説明した。	実験のよんかげつあまりのち、研究所の担当者は、国の委員会でこう説明した。
c314-1	1.000	燃料として劣ると見ていたリチウム7が、核反応で、思った以上に働いたのだ、と。	燃料として劣ると見ていたリチウム7が核反応で思った以上に働いたのだと	燃料として劣ると見ていたリチウムななが、核反応で、思った以上に働いたのだ、と。
c314-2	0.962	速い中性子が当たれば、リチウム7からも三重水素ができる。	早い中性子が当たればリチウム七からも三重水素ができる。	速い中性子が当たれば、リチウムななからもさんじゅうすいそができる。
c315-1	1.000	しかも、威力が予想を大きく超えたのは、ブラボーだけではなかった。	しかも威力が予想を大きく超えたのはブラボーだけではなかった。	しかも、威力が予想を大きく超えたのは、ブラボーだけではなかった。
c315-2	1.000	担当者は、作戦のほとんどの回で、そうだったと話している。	担当者は作戦のほとんどの回でそうだったと話している。	担当者は、作戦のほとんどの回で、そうだったと話している。
c316-1	1.000	「リチウム7の見込み違い」は、威力が大きすぎた理由として広く語られる。	リチウム七の見込み違いは威力が大きすぎた理由として広く語られる。	「リチウムななの見込み違い」は、威力が大きすぎた理由として広く語られる。
c317-1	0.984	ところが2024年、同じロスアラモスの研究者2人が、論文にこう書いた。	ところが、二千二十四年、同じロスアラモスの研究者二人が論文にこう書いた。	ところが にせんにじゅうよねん、同じロスアラモスの研究者ふたりが、論文にこう書いた。
c317-2	1.000	リチウム7の見込み違い説は、誤りである	リチウム七の見込み違い説は誤りである。	リチウムななの見込み違い説は、誤りである
c318-1	0.760	70年あまりたったいまも、その説明は一つにそろっていない。	七十年余り経った今も、その説明は一つに揃っていない。	ななじゅうねんあまりたったいまも、その説明はひとつにそろっていない。
c318-2	0.982	当時からの説明と、2024年の論文とが、食い違ったままである。	当時からの説明と二千二十四年の論文とが食い違ったままである。	当時からの説明と、にせんにじゅうよねんの論文とが、食い違ったままである。
c319-1	1.000	もう一つ、よく語られる話がある。	もう一つよく語られる話がある。	もうひとつ、よく語られる話がある。
c319-2	0.943	1500万トンという威力は、誰も考えていなかった、というものだ。	千五百万トンという威力は誰も考えていなかったというものだ。	せんごひゃくまんトンという威力は、誰も考えていなかった、というものだ。
c320-1	1.000	だが、2013年に国防総省の機関がまとめた報告書は、違うことを書いている。	だが、二〇一三年に国防総省の機関がまとめた報告書は違うことを書いている。	だが、にせんじゅうさんねんに国防総省の機関がまとめた報告書は、違うことを書いている。
c320-2	0.923	研究所は、起きるとは見ないが備える上限を、1500万トン規模と計算していた。	研究所は起きるとはみないが、備える上限を千五百万トン規模と計算していた。	研究所は、起きるとは見ないが備える上限を、せんごひゃくまんトン規模と計算していた。
c320-3	1.000	その数字は、2月18日の電報で、現地に伝えられていた。	その数字は2月18日の電報で現地に伝えられていた。	その数字は、にがつじゅうはちにちの電報で、現地に伝えられていた。
c321-1	1.000	部隊は、隊員を守る手立てを、この上限をもとに決める方針だった。	部隊は隊員を守る手立てをこの上限をもとに決める方針だった。	部隊は、隊員を守る手立てを、この上限をもとに決める方針だった。
c321-2	0.974	科学の責任者は前年12月、さらに大きい威力を考え、飛行機を離す距離を指示していた。	化学の責任者は前年 12月、さらに大きい威力を考え、飛行機を離す距離を指示していた。	科学の責任者は前年じゅうにがつ、さらに大きい威力を考え、飛行機を離す距離を指示していた。
c322-1	0.945	では、威力が作った側の予定どおりだったら、島は無事だったのか。	では、威力が作った側の予定通りだったら、島は無事だったのか？	では、威力が作った側の予定どおりだったら、島は無事だったのか。
c322-2	1.000	同じ報告書は、こう書いている。	同じ報告書はこう書いている。	同じ報告書は、こう書いている。
c322-3	1.000	予定の威力でも、人の住む島は汚れたはずだ	予定の威力でも人の住む島は汚れたはずだ。	予定の威力でも、人の住む島は汚れたはずだ
c323-1	0.947	1500万トンの威力は、事態をさらに悪くしただけだ、と報告書は言う。	千五百万トンの威力は事態をさらに悪くしただけだ、と報告書は言う。	せんごひゃくまんトンの威力は、事態をさらに悪くしただけだ、と報告書は言う。
c323-2	1.000	雲の高さと形は、威力にあまり左右されないからだ。	雲の高さと形は威力にあまり左右されないからだ。	雲の高さと形は、威力にあまり左右されないからだ。
c323-3	0.889	700万トンの別の回「ユニオン」の雲も、ブラボーと大差なく昇った。	七百万トンの別の階、ユニオンの雲もブラボーと大差なく上った。	ななひゃくまんトンの別の回「ユニオン」の雲も、ブラボーと大差なく昇った。
c324-1	1.000	では、何が灰を、人の住む島まで運んだのか。	では、何が灰を人の住む島まで運んだのか。	では、何が灰を、人の住む島まで運んだのか。
c324-2	1.000	よく語られるのは、撃つ前の夜の、風の話である。	よく語られるのは、撃つ前の夜の風の話である。	よく語られるのは、撃つ前の夜の、風の話である。
c401-1	0.917	話を、撃つ前の数日間に戻す。	話を打つ前の数日間に戻す。	話を、撃つ前の数日間に戻す。
c401-2	0.941	実験場のまわりには、アメリカが定めた警戒の区域があった。	実験場の周りにはアメリカが定めた警戒の区域があった。	実験場のまわりには、アメリカが定めた警戒の区域があった。
c401-3	1.000	エニウェトクとビキニを囲む、縦278キロ、横556キロの区域である。	エニウェトクとビキニを囲む縦二百七十八キロ、横五百五十六キロの区域である。	エニウェトクとビキニを囲む、縦二百七十八キロ、横ごひゃくごじゅうろくキロの区域である。
c402-1	1.000	区域の東の外側には、人の住む島々があった。	区域の東の外側には人の住む島々があった。	区域の東の外側には、人の住む島々があった。
c402-2	0.879	ロンゲラップに64人、となりのアイリングナエに18人、ウトリックに157人。	ロンゲラップに六十四人、隣のアイリングナイに十八人、ウトリックに百五十七人	ロンゲラップに ろくじゅうよにん、となりのアイリングナエに じゅうはちにん、ウトリックに ひゃくごじゅうななにん。
c402-3	1.000	ロンゲリック環礁には、アメリカ兵28人の観測所があった。	ロンゲリック環礁にはアメリカ兵二十八人の観測所があった	ロンゲリック環礁には、アメリカ兵二十八人の観測所があった。
c403-1	1.000	灰がどこへ流れるかは、上空の風で決まる。	灰がどこへ流れるかは上空の風で決まる。	灰がどこへ流れるかは、上空の風で決まる。
c403-2	0.903	部隊には、風の向きと、灰の落ちる先を予報する大きな班が置かれていた。	舞台には風の向きと灰の落ちる先を予報する大きな版が置かれていた。	部隊には、風の向きと、灰の落ちる先を予報する大きな班が置かれていた。
c404-1	1.000	風の向きと強さは、高さによって違う。	風の向きと強さは高さによって違う。	風の向きと強さは、高さによって違う。
c404-2	0.943	班は、高さごとの風を重ね合わせて、灰の落ちる先を予想した。	ハンは高さごとの風を重ね合わせて、灰の落ちる先を予想した。	ハンは、高さごとの風を重ね合わせて、灰の落ちる先を予想した。
c405-1	1.000	ただ、灰の予報には弱点があった。	ただ、灰の予報には弱点があった。	ただ、灰の予報には弱点があった。
c405-2	1.000	灰の広がりを見積もる方法は、主にネバダの、威力の小さい実験の記録をもとにしていた。	灰の広がりを見積もる方法は、主にネバダの威力の小さい実験の記録をもとにしていた。	灰の広がりを見積もる方法は、主にネバダの、威力の小さい実験の記録をもとにしていた。
c405-3	0.963	大きな爆発の灰には足りないと、実験が始まってから分かった。	大きな爆発の灰には足りないと実験が始まってからわかった。	大きな爆発の灰には足りないと、実験が始まってから分かった。
c406-1	1.000	地上で爆発させた実験で、遠くまでの灰を測った記録は、	地上で爆発させた実験で遠くまでの灰を測った記録は	地上で爆発させた実験で、遠くまでの灰を測った記録は、
c406-2	0.894	1951年の、威力の小さな実験1回ぶんしか無かった。	1951年の威力の小さな実験一回分しかなかった。	せんきゅうひゃくごじゅういちねんの、威力の小さな実験いっかいぶんしか無かった。
c407-1	0.966	撃つ5日前、部隊は本国と太平洋軍の司令部に見通しを伝えている。	うつ。五日前、部隊は本国と太平洋軍の司令部に見通しを伝えている。	撃つ いつかまえ、部隊は本国と太平洋軍の司令部に見通しを伝えている。
c407-2	1.000	予報の風が続けば、灰は北西から北東へ、扇形に広がる。	予報の風が続けば、灰は北西から北東へ扇形に広がる。	予報の風が続けば、灰は北西から北東へ、おうぎがたに広がる。
c407-3	0.941	部隊はこれを、都合のよい風と見ていた。	部隊はこれを都合の良い風と見ていた。	部隊はこれを、都合のよい風と見ていた。
c408-1	1.000	そこで、2日前と前の日に、北西の海を飛行機で探した。	そこで二日前と前の日に北西の海を飛行機で探した。	そこで、ふつかまえと前の日に、北西の海を飛行機で探した。
c408-2	1.000	通りがかりの船がいないかを、確かめるためである。	通りがかりの船がいないかを確かめるためである。	通りがかりの船がいないかを、確かめるためである。
c408-3	1.000	船は、見つからなかった。	船は見つからなかった。	船は、見つからなかった。
c409-1	0.984	撃つ前の日の午前11時。部隊は、太平洋軍の司令部に、こう予報を送った。	撃つ前の日の午前十一時、部隊は太平洋軍の司令部にこう予報を送った。	撃つ前の日の午前じゅういちじ。部隊は、太平洋軍の司令部に、こう予報を送った。
c409-2	0.848	予報：人の住む島々に、大きな降灰なし	予報。人の住む島々に大きな荒廃なし。	予報：人の住む島々に、大きなこうはいなし
c410-1	0.936	風の見通しが変わりはじめたのは、その日の夕方である。	風の見通しが変わり始めたのは、その日の夕方である。	風の見通しが変わりはじめたのは、その日の夕方である。
