cid	mm:ss	start	sec	chapter
c606	18:12.2	1092.24	10.13	6/9 第五福竜丸
c607	18:22.4	1102.37	8.22	6/9 第五福竜丸
c608	18:30.6	1110.59	9.89	6/9 第五福竜丸
c609	18:40.5	1120.48	10.79	6/9 第五福竜丸
c610	18:51.3	1131.27	11.03	6/9 第五福竜丸
c611	19:02.3	1142.30	13.98	6/9 第五福竜丸
c612	19:16.3	1156.28	7.60	6/9 第五福竜丸
c613	19:23.9	1163.88	13.69	6/9 第五福竜丸
c614	19:37.6	1177.57	5.60	6/9 第五福竜丸
c615	19:43.2	1183.17	9.93	6/9 第五福竜丸
c616	19:53.1	1193.10	15.88	6/9 第五福竜丸
c617	20:09.0	1208.98	7.87	6/9 第五福竜丸
c618	20:16.9	1216.85	6.79	6/9 第五福竜丸
c619	20:23.6	1223.64	10.99	6/9 第五福竜丸
c620	20:34.6	1234.63	11.88	6/9 第五福竜丸
c621	20:46.5	1246.51	6.61	6/9 第五福竜丸
c622	20:53.1	1253.12	6.98	6/9 第五福竜丸
c623	21:00.1	1260.10	14.63	6/9 第五福竜丸
c624	21:14.7	1274.73	8.23	6/9 第五福竜丸
c625	21:23.0	1282.96	16.54	6/9 第五福竜丸
c626	21:39.5	1299.50	6.43	6/9 第五福竜丸
c701	21:45.9	1305.93	10.83	7/9 島に降った灰
c702	21:56.8	1316.76	11.32	7/9 島に降った灰
c703	22:08.1	1328.08	12.31	7/9 島に降った灰
c704	22:20.4	1340.39	6.84	7/9 島に降った灰
c705	22:27.2	1347.23	8.75	7/9 島に降った灰
c706	22:36.0	1355.98	5.77	7/9 島に降った灰
c707	22:41.8	1361.75	8.41	7/9 島に降った灰
c708	22:50.2	1370.16	6.70	7/9 島に降った灰
c709	22:56.9	1376.86	8.07	7/9 島に降った灰
c710	23:04.9	1384.93	13.24	7/9 島に降った灰
c711	23:18.2	1398.17	9.09	7/9 島に降った灰
c712	23:27.3	1407.26	10.16	7/9 島に降った灰
c713	23:37.4	1417.42	7.95	7/9 島に降った灰
c714	23:45.4	1425.37	9.65	7/9 島に降った灰
c715	23:55.0	1435.02	8.21	7/9 島に降った灰
c716	24:03.2	1443.23	15.82	7/9 島に降った灰
c717	24:19.1	1459.05	8.28	7/9 島に降った灰
c718	24:27.3	1467.33	9.73	7/9 島に降った灰
c719	24:37.1	1477.06	13.98	7/9 島に降った灰
c720	24:51.0	1491.04	10.54	7/9 島に降った灰
c721	25:01.6	1501.58	16.07	7/9 島に降った灰
c722	25:17.7	1517.65	16.80	7/9 島に降った灰
c801	25:34.5	1534.45	8.80	8/9 日本に帰ってきた灰
c802	25:43.3	1543.25	8.88	8/9 日本に帰ってきた灰
c803	25:52.1	1552.13	7.91	8/9 日本に帰ってきた灰
c804	26:00.0	1560.04	10.07	8/9 日本に帰ってきた灰
c805	26:10.1	1570.11	7.04	8/9 日本に帰ってきた灰
c806	26:17.2	1577.15	12.52	8/9 日本に帰ってきた灰
c807	26:29.7	1589.67	8.39	8/9 日本に帰ってきた灰
c808	26:38.1	1598.06	12.69	8/9 日本に帰ってきた灰
c809	26:50.8	1610.75	12.06	8/9 日本に帰ってきた灰
c810	27:02.8	1622.81	9.76	8/9 日本に帰ってきた灰
c811	27:12.6	1632.57	9.05	8/9 日本に帰ってきた灰
c812	27:21.6	1641.62	14.72	8/9 日本に帰ってきた灰
c813	27:36.3	1656.34	9.54	8/9 日本に帰ってきた灰
c814	27:45.9	1665.88	12.00	8/9 日本に帰ってきた灰
c815	27:57.9	1677.88	8.32	8/9 日本に帰ってきた灰
c816	28:06.2	1686.20	9.33	8/9 日本に帰ってきた灰
c817	28:15.5	1695.53	8.40	8/9 日本に帰ってきた灰
c818	28:23.9	1703.93	12.08	8/9 日本に帰ってきた灰
c819	28:36.0	1716.01	17.85	8/9 日本に帰ってきた灰
c820	28:53.9	1733.86	16.80	8/9 日本に帰ってきた灰
c901	29:10.7	1750.66	12.35	9/9 その後
c902	29:23.0	1763.01	8.29	9/9 その後
c903	29:31.3	1771.30	11.33	9/9 その後
c904	29:42.6	1782.63	9.50	9/9 その後
c905	29:52.1	1792.13	9.64	9/9 その後
c906	30:01.8	1801.77	11.64	9/9 その後
c907	30:13.4	1813.41	10.72	9/9 その後
c908	30:24.1	1824.13	7.73	9/9 その後
c909	30:31.9	1831.86	12.49	9/9 その後
c910	30:44.4	1844.35	8.65	9/9 その後
c911	30:53.0	1853.00	11.06	9/9 その後
c912	31:04.1	1864.06	6.56	9/9 その後
c913	31:10.6	1870.62	10.38	9/9 その後
c914	31:21.0	1881.00	16.62	9/9 その後
c915	31:37.6	1897.62	15.07	9/9 その後
c916	31:52.7	1912.69	12.96	9/9 その後
c917	32:05.7	1925.65	11.55	9/9 その後
c918	32:17.2	1937.20	9.21	9/9 その後
c919	32:26.4	1946.41	11.20	9/9 その後
c920	32:37.6	1957.61	11.96	9/9 その後
c921	32:49.6	1969.57	12.58	9/9 その後
ed01	33:02.2	1982.15	7.53	ed
