cid	mm:ss	start	sec	chapter
c303	6:03.2	363.18	9.90	3/9 閉まったように見えるドア
c304	6:13.1	373.08	8.03	3/9 閉まったように見えるドア
c305	6:21.1	381.11	6.74	3/9 閉まったように見えるドア
c306	6:27.9	387.85	11.78	3/9 閉まったように見えるドア
c307	6:39.6	399.63	5.77	3/9 閉まったように見えるドア
c308	6:45.4	405.40	8.68	3/9 閉まったように見えるドア
c309	6:54.1	414.08	8.94	3/9 閉まったように見えるドア
c310	7:03.0	423.02	11.48	3/9 閉まったように見えるドア
c311	7:14.5	434.50	11.88	3/9 閉まったように見えるドア
c312	7:26.4	446.38	8.22	3/9 閉まったように見えるドア
c313	7:34.6	454.60	14.52	3/9 閉まったように見えるドア
c314	7:49.1	469.12	10.29	3/9 閉まったように見えるドア
c315	7:59.4	479.41	9.12	3/9 閉まったように見えるドア
c316	8:08.5	488.53	10.88	3/9 閉まったように見えるドア
c317	8:19.4	499.41	9.77	3/9 閉まったように見えるドア
c318	8:29.2	509.18	10.87	3/9 閉まったように見えるドア
c319	8:40.0	520.05	9.69	3/9 閉まったように見えるドア
c320	8:49.7	529.74	9.19	3/9 閉まったように見えるドア
c321	8:58.9	538.93	7.91	3/9 閉まったように見えるドア
c322	9:06.8	546.84	4.22	3/9 閉まったように見えるドア
c401	9:11.1	551.06	17.51	4/9 予兆
c402	9:28.6	568.57	11.16	4/9 予兆
c403	9:39.7	579.73	6.74	4/9 予兆
c404	9:46.5	586.47	7.24	4/9 予兆
c405	9:53.7	593.71	6.98	4/9 予兆
c406	10:00.7	600.69	9.80	4/9 予兆
c407	10:10.5	610.49	9.38	4/9 予兆
c408	10:19.9	619.87	8.20	4/9 予兆
c409	10:28.1	628.07	9.95	4/9 予兆
c410	10:38.0	638.02	11.17	4/9 予兆
c411	10:49.2	649.19	12.05	4/9 予兆
c412	11:01.2	661.24	17.07	4/9 予兆
c413	11:18.3	678.31	12.19	4/9 予兆
c414	11:30.5	690.50	18.21	4/9 予兆
c415	11:48.7	708.71	15.08	4/9 予兆
c416	12:03.8	723.79	8.53	4/9 予兆
c417	12:12.3	732.32	9.15	4/9 予兆
c418	12:21.5	741.47	9.82	4/9 予兆
c419	12:31.3	751.29	5.90	4/9 予兆
c420	12:37.2	757.19	7.19	4/9 予兆
c421	12:44.4	764.38	11.60	4/9 予兆
c422	12:56.0	775.98	14.10	4/9 予兆
c423	13:10.1	790.08	11.69	4/9 予兆
c424	13:21.8	801.77	6.13	4/9 予兆
c425	13:27.9	807.90	12.79	4/9 予兆
c426	13:40.7	820.69	13.00	4/9 予兆
c501	13:53.7	833.69	12.62	5/9 電話1本の約束
c502	14:06.3	846.31	14.35	5/9 電話1本の約束
c503	14:20.7	860.66	9.95	5/9 電話1本の約束
c504	14:30.6	870.61	5.90	5/9 電話1本の約束
c505	14:36.5	876.51	10.38	5/9 電話1本の約束
c506	14:46.9	886.89	9.64	5/9 電話1本の約束
c507	14:56.5	896.53	10.24	5/9 電話1本の約束
c508	15:06.8	906.77	8.09	5/9 電話1本の約束
c509	15:14.9	914.86	14.78	5/9 電話1本の約束
c510	15:29.6	929.64	15.89	5/9 電話1本の約束
c511	15:45.5	945.53	12.51	5/9 電話1本の約束
c512	15:58.0	958.04	7.31	5/9 電話1本の約束
c513	16:05.4	965.35	3.20	5/9 電話1本の約束
c514	16:08.6	968.55	10.35	5/9 電話1本の約束
c515	16:18.9	978.90	12.13	5/9 電話1本の約束
c516	16:31.0	991.03	4.61	5/9 電話1本の約束
c517	16:35.6	995.64	7.24	5/9 電話1本の約束
c518	16:42.9	1002.88	5.97	5/9 電話1本の約束
c519	16:48.9	1008.85	18.46	5/9 電話1本の約束
c520	17:07.3	1027.31	19.11	5/9 電話1本の約束
c521	17:26.4	1046.42	16.56	5/9 電話1本の約束
c522	17:43.0	1062.98	12.47	5/9 電話1本の約束
c523	17:55.5	1075.45	5.04	5/9 電話1本の約束
c524	18:00.5	1080.49	6.20	5/9 電話1本の約束
c601	18:06.7	1086.69	9.61	6/9 29号機に付いていなかった板
c602	18:16.3	1096.30	11.09	6/9 29号機に付いていなかった板
c603	18:27.4	1107.39	20.07	6/9 29号機に付いていなかった板
c604	18:47.5	1127.46	13.18	6/9 29号機に付いていなかった板
c605	19:00.6	1140.64	7.72	6/9 29号機に付いていなかった板
c606	19:08.4	1148.36	11.82	6/9 29号機に付いていなかった板
c607	19:20.2	1160.18	12.18	6/9 29号機に付いていなかった板
c608	19:32.4	1172.36	12.45	6/9 29号機に付いていなかった板
c609	19:44.8	1184.81	13.73	6/9 29号機に付いていなかった板
c610	19:58.5	1198.54	9.21	6/9 29号機に付いていなかった板
c611	20:07.8	1207.75	11.13	6/9 29号機に付いていなかった板
c612	20:18.9	1218.88	13.78	6/9 29号機に付いていなかった板
c613	20:32.7	1232.66	11.31	6/9 29号機に付いていなかった板
c614	20:44.0	1243.97	11.88	6/9 29号機に付いていなかった板
c615	20:55.9	1255.85	9.07	6/9 29号機に付いていなかった板
c616	21:04.9	1264.92	3.44	6/9 29号機に付いていなかった板
c617	21:08.4	1268.36	10.49	6/9 29号機に付いていなかった板
c618	21:18.9	1278.85	15.83	6/9 29号機に付いていなかった板
c619	21:34.7	1294.68	12.03	6/9 29号機に付いていなかった板
c620	21:46.7	1306.71	15.76	6/9 29号機に付いていなかった板
c621	22:02.5	1322.47	7.23	6/9 29号機に付いていなかった板
c622	22:09.7	1329.70	18.87	6/9 29号機に付いていなかった板
c701	22:28.6	1348.57	14.13	7/9 77秒
c702	22:42.7	1362.70	12.33	7/9 77秒
c703	22:55.0	1375.03	15.19	7/9 77秒
c704	23:10.2	1390.22	8.40	7/9 77秒
c705	23:18.6	1398.62	12.35	7/9 77秒
c706	23:31.0	1410.97	10.10	7/9 77秒
c707	23:41.1	1421.07	8.58	7/9 77秒
c708	23:49.7	1429.65	8.04	7/9 77秒
c709	23:57.7	1437.69	9.90	7/9 77秒
c710	24:07.6	1447.59	5.84	7/9 77秒
c711	24:13.4	1453.43	5.29	7/9 77秒
c712	24:18.7	1458.72	8.84	7/9 77秒
c713	24:27.6	1467.56	7.47	7/9 77秒
c714	24:35.0	1475.03	6.76	7/9 77秒
c715	24:41.8	1481.79	7.00	7/9 77秒
c716	24:48.8	1488.79	5.64	7/9 77秒
c717	24:54.4	1494.43	4.67	7/9 77秒
c718	24:59.1	1499.10	10.92	7/9 77秒
c719	25:10.0	1510.02	8.16	7/9 77秒
c720	25:18.2	1518.18	10.53	7/9 77秒
c721	25:28.7	1528.71	5.41	7/9 77秒
c722	25:34.1	1534.12	9.20	7/9 77秒
c801	25:43.3	1543.32	13.17	8/9 日本の48人と、報告書の結論
c802	25:56.5	1556.49	5.40	8/9 日本の48人と、報告書の結論
c803	26:01.9	1561.89	6.71	8/9 日本の48人と、報告書の結論
c804	26:08.6	1568.60	7.86	8/9 日本の48人と、報告書の結論
c805	26:16.5	1576.46	13.37	8/9 日本の48人と、報告書の結論
c806	26:29.8	1589.83	8.04	8/9 日本の48人と、報告書の結論
c807	26:37.9	1597.87	5.49	8/9 日本の48人と、報告書の結論
c808	26:43.4	1603.36	14.69	8/9 日本の48人と、報告書の結論
c809	26:58.1	1618.05	9.03	8/9 日本の48人と、報告書の結論
c810	27:07.1	1627.08	17.66	8/9 日本の48人と、報告書の結論
c811	27:24.7	1644.74	7.66	8/9 日本の48人と、報告書の結論
c812	27:32.4	1652.40	8.09	8/9 日本の48人と、報告書の結論
c813	27:40.5	1660.49	9.63	8/9 日本の48人と、報告書の結論
c814	27:50.1	1670.12	6.91	8/9 日本の48人と、報告書の結論
c815	27:57.0	1677.03	5.72	8/9 日本の48人と、報告書の結論
c816	28:02.8	1682.75	9.02	8/9 日本の48人と、報告書の結論
c817	28:11.8	1691.77	5.84	8/9 日本の48人と、報告書の結論
c818	28:17.6	1697.61	3.79	8/9 日本の48人と、報告書の結論
c819	28:21.4	1701.40	3.82	8/9 日本の48人と、報告書の結論
c820	28:25.2	1705.22	11.18	8/9 日本の48人と、報告書の結論
c821	28:36.4	1716.40	16.69	8/9 日本の48人と、報告書の結論
c822	28:53.1	1733.09	15.98	8/9 日本の48人と、報告書の結論
c901	29:09.1	1749.07	12.26	9/9 その後
c902	29:21.3	1761.33	10.50	9/9 その後
c903	29:31.8	1771.83	19.86	9/9 その後
c904	29:51.7	1791.69	7.32	9/9 その後
c905	29:59.0	1799.01	15.04	9/9 その後
c906	30:14.1	1814.05	9.07	9/9 その後
c907	30:23.1	1823.12	9.10	9/9 その後
c908	30:32.2	1832.22	12.96	9/9 その後
c909	30:45.2	1845.18	11.54	9/9 その後
c910	30:56.7	1856.72	10.25	9/9 その後
c911	31:07.0	1866.97	7.12	9/9 その後
c912	31:14.1	1874.09	12.35	9/9 その後
c913	31:26.4	1886.44	5.89	9/9 その後
c914	31:32.3	1892.33	15.20	9/9 その後
c915	31:47.5	1907.53	7.02	9/9 その後
c916	31:54.6	1914.55	5.67	9/9 その後
c917	32:00.2	1920.22	10.44	9/9 その後
c918	32:10.7	1930.66	5.81	9/9 その後
c919	32:16.5	1936.47	5.47	9/9 その後
c920	32:21.9	1941.94	9.78	9/9 その後
ed01	32:31.7	1951.72	7.39	ed
