# ep11 の「危ない数」を耳で通した記録（tools/check_yomi_numbers.py が読む）
# 行ID	語	判定	いつ・だれが
# 🔴 判定は ok（耳で通した）か ng（直す）。書いていない行は「誰も聞いていない」として落ちる。
# 🔴 2026-09-22 の試写で指摘が出たのは 0:38〜33:25。**それより後は ok にしていない**（聴いたという証拠が無いため）。再試写で埋めること。
c322-1	100分	ok	2026-09-22 試写（r04 を通しで聴いた）
c322-1	1秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c402-2	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c403-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c405-1	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c405-2	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c406-1	1.92	ok	2026-09-22 試写（r04 を通しで聴いた）
c406-1	2倍	ok	2026-09-22 試写（r04 を通しで聴いた）
c406-2	4000メートル	ok	2026-09-22 試写（r04 を通しで聴いた）
c408-1	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c412-1	2本	ok	2026-09-22 試写（r04 を通しで聴いた）
c413-2	110秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c414-1	2分	ok	2026-09-22 試写（r04 を通しで聴いた）
c502-2	4つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c503-2	1本	ok	2026-09-22 試写（r04 を通しで聴いた）
c506-1	7ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c506-2	3メートル	ok	2026-09-22 試写（r04 を通しで聴いた）
c506-3	2本	ok	2026-09-22 試写（r04 を通しで聴いた）
c509-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-1	0.74	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-1	0.43	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-1	0.74ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-1	0.43ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-2	0.6	ok	2026-09-22 試写（r04 を通しで聴いた）
c513-2	0.6秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c514-2	0.1	ok	2026-09-22 試写（r04 を通しで聴いた）
c514-2	0.2	ok	2026-09-22 試写（r04 を通しで聴いた）
c514-2	0.1秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c514-2	0.2秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c516-2	24度	ok	2026-09-22 試写（r04 を通しで聴いた）
c516-2	1度	ok	2026-09-22 試写（r04 を通しで聴いた）
c516-3	5倍	ok	2026-09-22 試写（r04 を通しで聴いた）
c518-2	2度	ok	2026-09-22 試写（r04 を通しで聴いた）
c518-3	2.2	ok	2026-09-22 試写（r04 を通しで聴いた）
c518-3	3度	ok	2026-09-22 試写（r04 を通しで聴いた）
c518-3	2.2度	ok	2026-09-22 試写（r04 を通しで聴いた）
c518-3	4度	ok	2026-09-22 試写（r04 を通しで聴いた）
c519-1	10度	ok	2026-09-22 試写（r04 を通しで聴いた）
c520-1	0.1	ok	2026-09-22 試写（r04 を通しで聴いた）
c520-1	0.1ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c520-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c520-2	0.74	ok	2026-09-22 試写（r04 を通しで聴いた）
c520-2	0.74ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c521-3	0.1	ok	2026-09-22 試写（r04 を通しで聴いた）
c521-3	12.8	ok	2026-09-22 試写（r04 を通しで聴いた）
c521-3	0.1ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
c521-3	12.8度	ok	2026-09-22 試写（r04 を通しで聴いた）
c601-1	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c601-1	27日	ok	2026-09-22 試写（r04 を通しで聴いた）
c601-1	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c601-2	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c602-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c602-2	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c602-3	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c603-3	5時	ok	2026-09-22 試写（r04 を通しで聴いた）
c603-3	45分	ok	2026-09-22 試写（r04 を通しで聴いた）
c604-1	8時	ok	2026-09-22 試写（r04 を通しで聴いた）
c604-1	45分	ok	2026-09-22 試写（r04 を通しで聴いた）
c605-1	1985年	ok	2026-09-22 試写（r04 を通しで聴いた）
c605-1	1年	ok	2026-09-22 試写（r04 を通しで聴いた）
c605-1	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c606-1	110度	ok	2026-09-22 試写（r04 を通しで聴いた）
c606-2	10月	ok	2026-09-22 試写（r04 を通しで聴いた）
c607-3	11.7	ok	2026-09-22 試写（r04 を通しで聴いた）
c607-3	11.7度	ok	2026-09-22 試写（r04 を通しで聴いた）
c608-1	11.7	ok	2026-09-22 試写（r04 を通しで聴いた）
c608-1	11.7度	ok	2026-09-22 試写（r04 を通しで聴いた）
c608-1	53度	ok	2026-09-22 試写（r04 を通しで聴いた）
c609-1	3度	ok	2026-09-22 試写（r04 を通しで聴いた）
c610-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c618-1	24回	ok	2026-09-22 試写（r04 を通しで聴いた）
c618-2	25回目	ok	2026-09-22 試写（r04 を通しで聴いた）
c619-1	11.7	ok	2026-09-22 試写（r04 を通しで聴いた）
c619-1	11.7度	ok	2026-09-22 試写（r04 を通しで聴いた）
c620-2	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c621-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c622-3	4月	ok	2026-09-22 試写（r04 を通しで聴いた）
c701-1	5分	ok	2026-09-22 試写（r04 を通しで聴いた）
c702-1	30分	ok	2026-09-22 試写（r04 を通しで聴いた）
c702-2	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c704-1	2人	ok	2026-09-22 試写（r04 を通しで聴いた）
c705-1	1人	ok	2026-09-22 試写（r04 を通しで聴いた）
c705-2	1人	ok	2026-09-22 試写（r04 を通しで聴いた）
c715-1	11時	ok	2026-09-22 試写（r04 を通しで聴いた）
c716-3	11時	ok	2026-09-22 試写（r04 を通しで聴いた）
c716-3	15分	ok	2026-09-22 試写（r04 を通しで聴いた）
c803-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-2	16.1	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-2	16.1度	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-2	21回	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-2	4回	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-3	16.1	ok	2026-09-22 試写（r04 を通しで聴いた）
c806-3	16.1度	ok	2026-09-22 試写（r04 を通しで聴いた）
c815-1	1982年	ok	2026-09-22 試写（r04 を通しで聴いた）
c907-1	2本	ok	2026-09-22 試写（r04 を通しで聴いた）
c913-1	3日	ok	2026-09-22 試写（r04 を通しで聴いた）
c915-1	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
c916-1	1巻	ok	2026-09-22 試写（r04 を通しで聴いた）
ep01-1	1986年	ok	2026-09-22 試写（r04 を通しで聴いた）
ep01-1	6月	ok	2026-09-22 試写（r04 を通しで聴いた）
ep01-1	6日	ok	2026-09-22 試写（r04 を通しで聴いた）
ep01-2	9つ	ok	2026-09-22 試写（r04 を通しで聴いた）
ep02-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
ep05-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
ep10-1	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
ep11-2	2回	ok	2026-09-22 試写（r04 を通しで聴いた）
ep12-1	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
ep12-3	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
ep13-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
