cid	mm:ss	start	sec	chapter
c220	8:31.0	511.05	9.86	2/9 ラスパルマスの爆弾
c301	8:40.9	520.91	9.51	3/9 小さな空港に、5機が並んだ
c302	8:50.4	530.42	9.73	3/9 小さな空港に、5機が並んだ
c303	9:00.1	540.15	18.94	3/9 小さな空港に、5機が並んだ
c304	9:19.1	559.09	14.93	3/9 小さな空港に、5機が並んだ
c305	9:34.0	574.02	8.02	3/9 小さな空港に、5機が並んだ
c306	9:42.0	582.04	10.50	3/9 小さな空港に、5機が並んだ
c307	9:52.5	592.54	7.65	3/9 小さな空港に、5機が並んだ
c308	10:00.2	600.19	8.65	3/9 小さな空港に、5機が並んだ
c309	10:08.8	608.84	10.37	3/9 小さな空港に、5機が並んだ
c310	10:19.2	619.21	11.97	3/9 小さな空港に、5機が並んだ
c311	10:31.2	631.18	8.12	3/9 小さな空港に、5機が並んだ
c312	10:39.3	639.30	9.41	3/9 小さな空港に、5機が並んだ
c313	10:48.7	648.71	10.03	3/9 小さな空港に、5機が並んだ
c314	10:58.7	658.74	9.30	3/9 小さな空港に、5機が並んだ
c315	11:08.0	668.04	4.77	3/9 小さな空港に、5機が並んだ
c316	11:12.8	672.81	11.72	3/9 小さな空港に、5機が並んだ
c317	11:24.5	684.53	5.33	3/9 小さな空港に、5機が並んだ
c318	11:29.9	689.86	10.48	3/9 小さな空港に、5機が並んだ
c319	11:40.3	700.34	9.23	3/9 小さな空港に、5機が並んだ
c320	11:49.6	709.57	4.85	3/9 小さな空港に、5機が並んだ
c321	11:54.4	714.42	5.57	3/9 小さな空港に、5機が並んだ
c322	11:60.0	719.99	9.33	3/9 小さな空港に、5機が並んだ
c401	12:09.3	729.32	9.77	4/9 燃料を足すという判断
c402	12:19.1	739.09	7.57	4/9 燃料を足すという判断
c403	12:26.7	746.66	8.07	4/9 燃料を足すという判断
c404	12:34.7	754.73	9.49	4/9 燃料を足すという判断
c405	12:44.2	764.22	8.85	4/9 燃料を足すという判断
c406	12:53.1	773.07	7.23	4/9 燃料を足すという判断
c407	13:00.3	780.30	9.54	4/9 燃料を足すという判断
c408	13:09.8	789.84	8.77	4/9 燃料を足すという判断
c409	13:18.6	798.61	10.66	4/9 燃料を足すという判断
c410	13:29.3	809.27	9.01	4/9 燃料を足すという判断
c411	13:38.3	818.28	8.21	4/9 燃料を足すという判断
c412	13:46.5	826.49	10.33	4/9 燃料を足すという判断
c413	13:56.8	836.82	9.25	4/9 燃料を足すという判断
c414	14:06.1	846.07	12.53	4/9 燃料を足すという判断
c415	14:18.6	858.60	8.69	4/9 燃料を足すという判断
c416	14:27.3	867.29	7.17	4/9 燃料を足すという判断
c417	14:34.5	874.46	11.55	4/9 燃料を足すという判断
c418	14:46.0	886.01	9.57	4/9 燃料を足すという判断
c419	14:55.6	895.58	8.45	4/9 燃料を足すという判断
c420	15:04.0	904.03	8.29	4/9 燃料を足すという判断
c501	15:12.3	912.32	9.17	5/9 雲が滑走路へ降りてきた
c502	15:21.5	921.49	8.99	5/9 雲が滑走路へ降りてきた
c503	15:30.5	930.48	7.09	5/9 雲が滑走路へ降りてきた
c504	15:37.6	937.57	10.29	5/9 雲が滑走路へ降りてきた
c505	15:47.9	947.86	8.05	5/9 雲が滑走路へ降りてきた
c506	15:55.9	955.91	10.08	5/9 雲が滑走路へ降りてきた
c507	16:06.0	965.99	8.85	5/9 雲が滑走路へ降りてきた
c508	16:14.8	974.84	9.81	5/9 雲が滑走路へ降りてきた
c509	16:24.7	984.65	10.77	5/9 雲が滑走路へ降りてきた
c510	16:35.4	995.42	11.49	5/9 雲が滑走路へ降りてきた
c511	16:46.9	1006.91	9.97	5/9 雲が滑走路へ降りてきた
c512	16:56.9	1016.88	9.97	5/9 雲が滑走路へ降りてきた
c513	17:06.9	1026.85	13.09	5/9 雲が滑走路へ降りてきた
c514	17:19.9	1039.94	8.45	5/9 雲が滑走路へ降りてきた
c515	17:28.4	1048.39	4.55	5/9 雲が滑走路へ降りてきた
c516	17:32.9	1052.94	10.29	5/9 雲が滑走路へ降りてきた
c517	17:43.2	1063.23	7.81	5/9 雲が滑走路へ降りてきた
c518	17:51.0	1071.04	8.77	5/9 雲が滑走路へ降りてきた
c519	17:59.8	1079.81	12.11	5/9 雲が滑走路へ降りてきた
c520	18:11.9	1091.92	11.57	5/9 雲が滑走路へ降りてきた
c521	18:23.5	1103.49	12.23	5/9 雲が滑走路へ降りてきた
c522	18:35.7	1115.72	8.44	5/9 雲が滑走路へ降りてきた
c601	18:44.2	1124.16	14.07	6/9 滑走路を、逆向きに走る
c602	18:58.2	1138.23	13.17	6/9 滑走路を、逆向きに走る
c603	19:11.4	1151.40	9.65	6/9 滑走路を、逆向きに走る
c604	19:21.0	1161.05	4.85	6/9 滑走路を、逆向きに走る
c605	19:25.9	1165.90	9.17	6/9 滑走路を、逆向きに走る
c606	19:35.1	1175.07	9.57	6/9 滑走路を、逆向きに走る
c607	19:44.6	1184.64	11.42	6/9 滑走路を、逆向きに走る
c608	19:56.1	1196.06	8.50	6/9 滑走路を、逆向きに走る
c609	20:04.6	1204.56	10.55	6/9 滑走路を、逆向きに走る
c610	20:15.1	1215.11	11.09	6/9 滑走路を、逆向きに走る
c611	20:26.2	1226.20	8.53	6/9 滑走路を、逆向きに走る
c612	20:34.7	1234.73	9.73	6/9 滑走路を、逆向きに走る
c613	20:44.5	1244.46	13.41	6/9 滑走路を、逆向きに走る
c614	20:57.9	1257.87	9.45	6/9 滑走路を、逆向きに走る
c615	21:07.3	1267.32	10.45	6/9 滑走路を、逆向きに走る
c616	21:17.8	1277.77	7.63	6/9 滑走路を、逆向きに走る
c617	21:25.4	1285.40	10.29	6/9 滑走路を、逆向きに走る
c618	21:35.7	1295.69	8.85	6/9 滑走路を、逆向きに走る
c619	21:44.5	1304.54	8.61	6/9 滑走路を、逆向きに走る
c620	21:53.1	1313.15	7.73	6/9 滑走路を、逆向きに走る
c621	22:00.9	1320.88	9.25	6/9 滑走路を、逆向きに走る
c622	22:10.1	1330.13	8.61	6/9 滑走路を、逆向きに走る
c623	22:18.7	1338.74	14.61	6/9 滑走路を、逆向きに走る
c624	22:33.3	1353.35	12.77	6/9 滑走路を、逆向きに走る
c701	22:46.1	1366.12	10.02	7/9 重なった30秒
c702	22:56.1	1376.14	10.36	7/9 重なった30秒
c703	23:06.5	1386.50	10.21	7/9 重なった30秒
c704	23:16.7	1396.71	8.69	7/9 重なった30秒
c705	23:25.4	1405.40	16.85	7/9 重なった30秒
c706	23:42.2	1422.25	15.04	7/9 重なった30秒
c707	23:57.3	1437.29	8.69	7/9 重なった30秒
c708	24:06.0	1445.98	8.37	7/9 重なった30秒
c709	24:14.3	1454.35	7.81	7/9 重なった30秒
c710	24:22.2	1462.16	9.25	7/9 重なった30秒
c711	24:31.4	1471.41	12.35	7/9 重なった30秒
c712	24:43.8	1483.76	8.55	7/9 重なった30秒
c713	24:52.3	1492.31	14.34	7/9 重なった30秒
c714	25:06.6	1506.65	8.21	7/9 重なった30秒
c715	25:14.9	1514.86	9.89	7/9 重なった30秒
c716	25:24.7	1524.75	17.28	7/9 重なった30秒
c717	25:42.0	1542.03	13.25	7/9 重なった30秒
c718	25:55.3	1555.28	7.25	7/9 重なった30秒
c719	26:02.5	1562.53	8.13	7/9 重なった30秒
c720	26:10.7	1570.66	10.45	7/9 重なった30秒
c721	26:21.1	1581.11	8.35	7/9 重なった30秒
c722	26:29.5	1589.46	8.75	7/9 重なった30秒
c723	26:38.2	1598.21	10.77	7/9 重なった30秒
c724	26:49.0	1608.98	13.97	7/9 重なった30秒
c725	27:02.9	1622.95	10.69	7/9 重なった30秒
c726	27:13.6	1633.64	14.91	7/9 重なった30秒
c727	27:28.5	1648.55	13.96	7/9 重なった30秒
c728	27:42.5	1662.51	10.04	7/9 重なった30秒
c729	27:52.5	1672.55	9.73	7/9 重なった30秒
c730	28:02.3	1682.28	9.41	7/9 重なった30秒
c731	28:11.7	1691.69	13.49	7/9 重なった30秒
c732	28:25.2	1705.18	9.92	7/9 重なった30秒
c801	28:35.1	1715.10	8.84	8/9 17時06分50秒
c802	28:43.9	1723.94	9.72	8/9 17時06分50秒
c803	28:53.7	1733.66	8.13	8/9 17時06分50秒
c804	29:01.8	1741.79	10.75	8/9 17時06分50秒
c805	29:12.5	1752.54	11.17	8/9 17時06分50秒
c806	29:23.7	1763.71	9.67	8/9 17時06分50秒
c807	29:33.4	1773.38	8.51	8/9 17時06分50秒
c808	29:41.9	1781.89	8.40	8/9 17時06分50秒
c809	29:50.3	1790.29	13.41	8/9 17時06分50秒
c810	30:03.7	1803.70	11.96	8/9 17時06分50秒
c811	30:15.7	1815.66	10.77	8/9 17時06分50秒
c812	30:26.4	1826.43	10.43	8/9 17時06分50秒
c813	30:36.9	1836.86	13.56	8/9 17時06分50秒
c814	30:50.4	1850.42	8.61	8/9 17時06分50秒
c815	30:59.0	1859.03	11.81	8/9 17時06分50秒
c816	31:10.8	1870.84	13.93	8/9 17時06分50秒
c901	31:24.8	1884.77	9.65	9/9 逃げた61人
c902	31:34.4	1894.42	8.53	9/9 逃げた61人
c903	31:43.0	1902.95	8.05	9/9 逃げた61人
c904	31:51.0	1911.00	11.41	9/9 逃げた61人
c905	32:02.4	1922.41	9.62	9/9 逃げた61人
c906	32:12.0	1932.03	9.57	9/9 逃げた61人
c907	32:21.6	1941.60	7.41	9/9 逃げた61人
c908	32:29.0	1949.01	8.93	9/9 逃げた61人
c909	32:37.9	1957.94	9.30	9/9 逃げた61人
c910	32:47.2	1967.24	10.84	9/9 逃げた61人
c911	32:58.1	1978.08	8.61	9/9 逃げた61人
c912	33:06.7	1986.69	7.89	9/9 逃げた61人
c913	33:14.6	1994.58	7.57	9/9 逃げた61人
c914	33:22.1	2002.15	9.81	9/9 逃げた61人
c915	33:32.0	2011.96	11.09	9/9 逃げた61人
c916	33:43.0	2023.05	10.37	9/9 逃げた61人
c917	33:53.4	2033.42	13.45	9/9 逃げた61人
c918	34:06.9	2046.87	14.77	9/9 逃げた61人
ep01	34:21.6	2061.64	15.68	締め
ep02	34:37.3	2077.32	9.17	締め
ep03	34:46.5	2086.49	6.53	締め
ep04	34:53.0	2093.02	13.73	締め
ep05	35:06.8	2106.75	13.01	締め
ep06	35:19.8	2119.76	15.00	締め
ep07	35:34.8	2134.76	14.95	締め
ep08	35:49.7	2149.71	14.29	締め
ep09	36:04.0	2164.00	13.38	締め
ep10	36:17.4	2177.38	17.25	締め
