# ep13 の「危ない数」の記録（tools/check_yomi_numbers.py が読む）
# 行ID	語	判定	いつ・だれが
# 🔴 phon＝音素の網で読みを確かめた（耳ではない）。ok＝耳で通した。ng＝直す
c622-3	3日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-1	12時	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-1	30分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-1	30秒	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-2	334人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-2	12人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c701-2	346人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c706-2	12時	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c706-2	39分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c706-2	56秒	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c715-2	50秒	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c718-1	12時	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c718-1	41分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c718-1	13秒	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c805-1	48人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c814-1	1997年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c905-1	1975年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c905-1	8月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c906-2	1	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c412-1	67人	phon	2026-09-24 ⑤a' 網『ろくじゅうななにん』（pyopenjtalk は しち）＝どちらも正しい読み。耳ではない
