pr10-2   [コ→ド]
   台: 生きて帰せる見込みは、迎えに行く案のほうがはるかに高い。
   聞: 生きて帰する見込みは迎えに行く案の方がはるかに高い。
c619-1   [チャク→—]
   台: 着陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。
   聞: 陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。
c619-2   [フ→ホ]
   台: 荷物の一部を投げ捨て、左の翼が熱くなりにくい降り方も検討された。
   聞: 荷物の一部を投げ捨て、左の翼が熱くなりにくい掘り方も検討された。
c702-1   [チ→ジ]
   台: 午前8時10分、地上から「降りてよい」と伝えられる。
   聞: 午前八時十分、事情から降りて良いと伝えられる。
c707-2   [ヒ→キ]
   台: 飛行が終わってから調べるためのもので、電波では送らない。
   聞: 機構が終わってから調べるためのもので、電波では送らない。
c712-1   [セ→ゼ]
   台: 8時54分24秒。管制で初めて、異常が形になった。
   聞: 八時五十四分二十四秒。関税で初めて異常が形になった。
c712-3   [—→デトシ]
   台: 4つが、4〜5秒の間に次々と消えた
   聞: 四つが四で年、秒の間に次々と消えた。
c713-1   [ハ→プラ]
   台: 班をまとめ、最後の判断をする飛行主任が「全部が同時に消えたのか」と聞く。
   聞: プランをまとめ、最後の判断をする飛行主任が全部が同時に消えたのかと聞く。
c716-1   [ム→ヌ]
   台: 8時55分32秒、ユタ州へ。8時56分30秒、機体は傾きを切り替えた。
   聞: 八時五十五分三十二秒、ユタ州へ。八時五十六分三十秒、機体は型抜きを切り替えた。
c720-1   [ュ→—]
   台: 8時59分15秒、左の主脚のタイヤの空気圧の表示が消えた。
   聞: 八時五十九分十五秒。左の死脚のタイヤの空気圧の表示が消えた。
c720-2   [セエ→ジ／ル→タ]
   台: 管制は、それでも計器の不具合だと考えている。
   聞: 寛治はそれでもケーキの不具合だと考えていた。
c724-1   [セエ→ジ]
   台: 管制は、アンテナの切り替えによる短い途切れだと思っていた。
   聞: 寛治はアンテナの切り替えによる短い途切れだと思っていた。
c724-2   [ツ→キュ／ハ→ガ]
   台: 通信の担当は「少し乱れていますが、ひどくはない」と答えている。
   聞: 球審の担当が少し乱れていますが、ひどくはないと答えている。
c726-2   [セエ→ジ]
   台: 管制の画面には、何も映らなかった。
   聞: 漢字の画面には何も映らなかった。
c727-1   [ジョオナイノホオソオハ→—]
   台: 9時02分21秒、場内の放送は「着陸まで14分」と伝えていた。
   聞: 9時2分21秒、着陸まで14分と伝えていた。
c727-3   [ヒ→キ]
   台: 飛行主任は「ドアを閉めろ」と言い、非常の手順に入った。
   聞: 機工主任はドアを閉めろと言い、非常の手順に入った。
c807-1   [—→マヤク]
   台: 270の機関から、2万5千人以上が加わった。
   聞: 麻薬70の期間から2万5000人以上が加わった。
c807-2   [ア→ワ]
   台: 延べ150万時間をかけて、四国の半分ほどの広さを当たった。
   聞: 延べ150万時間をかけて四国の半分ほどの広さを渡った。
c809-3   [ア→ヤ]
   台: 契約の操縦士ジュールズ・マイアと、森林局のチャールズ・クレネク。
   聞: 契約の操縦士ジュールズマイヤと森林局のチャールズクレネク
c812-1   [—→リ]
   台: 並べていくと、落ちた場所に規則があった。
   聞: 並べていくと落ちた場所に規則があったり
c813-1   [ハヘ→バケ]
   台: 破片は、ケネディ宇宙センターの大きな格納庫へ集められた。
   聞: 馬券はケネディ宇宙センターの大きな格納庫へ集められた。
c815-1   [デ→テ]
   台: いちばん西で見つかった耐熱タイルは、8枚目と9枚目の真後ろの物。
   聞: 一番にして見つかった耐熱タイルは八枚目と九枚目の真後ろのもの。
c816-2   [マ→メ]
   台: だから、最初に壊れたのは左の翼の8枚目のあたりだと分かった。
   聞: だから最初に壊れたのは左の翼の八枚目の辺りだとわかった。
c817-1   [—→サンガ／キ→—]
   台: 3月19日、テキサス州ヘンフィルの近くで、記録装置が見つかった。
   聞: 三月十九日、テキサス州ヘンフィルの近くで記録装置が見つかった。
c818-1   [—→ア／—→テン]
   台: 中には、800個のセンサの値が、約2.9キロのテープに残っていた。
   聞: 中には八百個のセンサーの値が約二点九キロのテープに残っていた。
c902-3   [ヤ→ギャ／シタ→ト]
   台: 破ったのは断熱材一片。当たったのは8枚目の下半分である。
   聞: ギャブったのは断熱材一辺、当たったのは八枚目の一と半分である。
c905-1   [ヨ→ジョ]
   台: 予算の不足。揺れる優先順位。日程の圧力。
   聞: 助産の不足、揺れる優先順位、日程の圧力。
c907-2   [—→ヨロコ]
   台: 8枚目のパネルに、縦横40センチほどの穴が開いた。
   聞: 八枚目のパネルに縦横よろこ四十センチほどの穴が開いた。
c909-1   [ア→バ]
   台: 安全を担当する部署は、監督するはずの計画からお金をもらっていた。
   聞: 万全を担当する部署は監督するはずの計画からお金をもらっていた。
c910-1   [ド→ショ]
   台: どの会議にも、安全の担当者はいた。
   聞: 署の会議にも安全の担当者はいた。
c913-2   [ウチ→シ]
   台: 打ち上げを3方向以上から撮ること。RCCを全部点検すること。
   聞: 仕上げを三方向以上から撮ること。RCCを全部点検すること。
ep02-2   [—→シチガ／キ→—]
   台: 7月の終わり、警察官が湖底に現れた球形の物体に気づく。
   聞: 七月の終わり、警察官が湖底に現れた球形の物体に気づく。
ep06-1   [ハヘ→アペ]
   台: 破片は今も見つかる。そのたびに、あの7人が思い出される。
   聞: アペンは今も見つかる。そのたびにあの七人が思い出される。
