# 15本目 リノ・エアレース2011 ⑤a-1：数の台帳（tools/check_aq_yomi.py が読む）。鍵<TAB>読み<TAB>注（下書きの行）
# 作り方＝check_aq_yomi --propose の下書き（pyopenjtalk の読み）を、台本 §6-1 と日本語の標準の読みを答えにして Claude が1鍵ずつ読んで直した（2026-09-26）
# 直した鍵＝0秒（ぜろ→れい）・桁区切りのカンマの3つ（1,000／1,453／2,700）・1桁ずつに割れた3つ（177・69・P-51の51）。鍵を切った10件（後ろの漢字まで拾った）
# ⚠️ §6-1 と違えたもの＝0.27秒・0.56秒・0.83秒は小数点の下を1桁ずつ読む（れいてんにーなな…）。§6-1 の「れいてんにじゅうなな」などは標準の読みでない（同じ表の 1.44秒＝いってんよんよん とも食い違っていた）
# ⚠️ 0度＝ぜろど は §6-1 のまま（時間の0は れい・角度の0は ぜろ＝文脈が違う。⑤a' の試聴で耳に引っかかれば揃える）
# ⚠️ 読みは長音を「ー」で書く（音声記号列の書き方）。鍵は台本の字のまま（算用数字は半角）
0.27秒	れーてんにーななびょー	下書きのまま（c305-2）
2つ	ふたつ	下書きのまま（c318-3,c324-1,c817-2,c821-1,c912-1,c918-1）
2位	にい	下書きのまま（c207-1）
2倍	にばい	下書きのまま（c206-1,c509-2）
2周	にしゅー	下書きのまま（c216-1）
2回	にかい	下書きのまま（c608-3）
2日	ふつか	下書きのまま（c608-2,c809-2）
2月	にがつ	下書きのまま（c913-2）
2枚	にまい	下書きのまま（c512-3,c515-3）
2機	にき	下書きのまま（c219-1,c319-1,c320-1）
3	さん	下書きのまま（c303-1,c308-2,c706-2,c809-2,c907-2,c910-1）
3.1秒	さんてんいちびょー	下書きのまま（c311-1）
305メートル	さんびゃくごめーとる	下書きのまま（c209-2,c818-2）
37フィート	さんじゅーななふぃーと	下書きのまま（c502-2）
38秒	さんじゅーはちびょー	下書きのまま（c317-1）
395号	さんびゃくきゅーじゅーごごー	下書きのまま（c811-1）
3つ	みっつ	下書きのまま（c109-2,c918-1,c918-3）
3ミリ	さんみり	下書きのまま（c511-1）
3位	さんい	下書きのまま（c205-2）
3周目	さんしゅーめ	下書きのまま（c205-2）
3回	さんかい	下書きのまま（c606-1,c720-2,c913-1）
3日	みっか	下書きのまま（c914-2）
3日前	みっかまえ	下書きのまま（c214-1）
3時間	さんじかん	下書きのまま（c606-1,c609-2）
3秒後	さんびょーご	下書きのまま（c104-2）
4	よん	下書きのまま（c907-2）
4.5秒先	よんてんごびょーさき	下書きのまま（c207-1）
4.6秒	よんてんろくびょー	下書きのまま（c312-1）
400ノット	よんひゃくのっと	下書きのまま（c522-1）
40分	よんじゅっぷん	下書きのまま（c609-1）
435ノット	よんひゃくさんじゅーごのっと	下書きのまま（c203-3）
445ノット	よんひゃくよんじゅーごのっと	下書きのまま（c205-1）
458ノット	よんひゃくごじゅーはちのっと	下書きのまま（c216-2）
46人	よんじゅーろくにん	下書きのまま（c810-2）
4つ	よっつ	下書きのまま（c803-1）
4位	よんい	下書きのまま（c214-1）
4周	よんしゅー	下書きのまま（c906-1）
4日前	よっかまえ	下書きのまま（c624-2,c701-1,c720-1,c918-2）
4時	よじ	下書きのまま（c208-1,c301-1,c317-1,c804-1）
4月	しがつ	下書きのまま（c402-2,c603-2,c902-2）
500フィート	ごひゃくふぃーと	下書きのまま（c818-1）
59	ごじゅーきゅー	下書きのまま（c621-1）
5回	ごかい	下書きのまま（c608-3,c609-1）
5月	ごがつ	下書きのまま（c813-1,c917-1）
6	ろく	下書きのまま（c216-2）
6.2キロ	ろくてんにきろ	下書きのまま（c509-2）
602キロ	ろっぴゃくにきろ	下書きのまま（c616-1）
62分	ろくじゅーにふん	下書きのまま（c726-2）
62分以内	ろくじゅーにふんいない	下書きのまま（c805-3）
64人	ろくじゅーよにん	下書きのまま（c802-2）
65キロ	ろくじゅーごきろ	下書きのまま（c217-1）
66年	ろくじゅーろくねん	下書きのまま（c324-3）
6つ	むっつ	下書きのまま（c203-2）
6周	ろくしゅー	下書きのまま（c205-2）
6月	ろくがつ	下書きのまま（c809-2）
7	なな	下書きのまま（c216-2）
741キロ	ななひゃくよんじゅーいちきろ	下書きのまま（c522-1）
748フィート	ななひゃくよんじゅーはちふぃーと	下書きのまま（c212-1）
74歳	ななじゅーよんさい	下書きのまま（c107-2）
7月	しちがつ	下書きのまま（c404-2,c408-1,c415-2,c622-2,c916-1）
8	はち	下書きのまま（c205-1,c216-1,c219-1,c301-1）
8.4マイル	はってんよんまいる	下書きのまま（c204-1）
8.8メートル	はってんはちめーとる	下書きのまま（c502-2）
8.8秒先	はってんはちびょーさき	下書きのまま（c207-1）
806キロ	はっぴゃくろっきろ	下書きのまま（c203-3）
824キロ	はっぴゃくにじゅーよんきろ	下書きのまま（c205-1）
848キロ	はっぴゃくよんじゅーはちきろ	下書きのまま（c216-2）
874フィート	はっぴゃくななじゅーよんふぃーと	下書きのまま（c211-2）
8秒前	はちびょーまえ	下書きのまま（c218-2）
9.1秒	きゅーてんいちびょー	下書きのまま（c317-1）
93度	きゅーじゅーさんど	下書きのまま（c307-1）
9件	きゅーけん	下書きのまま（c911-1）
9月	くがつ	下書きのまま（c101-1,c201-1,c607-1,c610-1,c701-1,c704-1）
9秒	きゅーびょー	下書きのまま（c102-1,c109-2,c220-2）
177	ひゃくななじゅーなな	直した：§6-1（下書き ひゃくななじゅーなな・文の中は いちなななな＝1桁ずつ）（c401-1）
200時間	にひゃくじかん	鍵を切った（下書き 200時間飛・c622-1）
325ノット	さんびゃくにじゅーごのっと	鍵を切った（下書き 325ノット未・c616-1）
35ノット	さんじゅーごのっと	鍵を切った（下書き 35ノット速・c217-1）
51	ごじゅーいち	直した：P-51・P-51D（文の中は ごーいち＝1桁ずつ）（c207-2,c402-1,c501-1,c502-3,c512-3）
69	ろくじゅーきゅー	直した：§6-1（文の中は ろくきゅー＝1桁ずつ）（c405-2）
70度	ななじゅーど	鍵を切った（下書き 70度傾・c219-1）
73度	ななじゅーさんど	鍵を切った（下書き 73度傾・c304-2）
