行ID	話者	文	音声記号列	読み	出どころ
c108-1		落ちたのは、区切られた観客の席、ボックス席が並ぶ駐機場。	お'ちたのわ、くぎられた'/かんきゃくの/せ'き、ぼっくす'せきが/ならぶ/ちゅーきじょー。	おちたのわ、くぎられたかんきゃくのせき、ぼっくすせきがならぶちゅーきじょー。	auto
c108-2		駐機場は、飛行機を止めておく広場。燃料を積んだ車も止まっていた。	ちゅーきじょーわ、ひこ'ーきを/とめておく/ひ'ろば。ねんりょ'ーを/つんだ'/くるまも/とまっていた'。	ちゅーきじょーわ、ひこーきをとめておくひろば。ねんりょーをつんだくるまもとまっていた。	auto
c109-1	q	何を追っていくの？	な'にを/おっていく'の？	なにをおっていくの？	auto
c109-2		3つの問いだ。9秒のあいだに、機体に何が起きたのか。	みっつ'の/といだ。きゅ'ーびょーの/あいだに、きたいに/な'にが/お'きたのか。	みっつのといだ。きゅーびょーのあいだに、きたいになにがおきたのか。	auto
c109-3		なぜ、板は震えたのか。そして、観客席との距離は、足りていたか。	な'ぜ、い'たわ/ふるえた'のか。そして、かんきゃく'せきとの/きょ'りわ、たりていた'か。	なぜ、いたわふるえたのか。そして、かんきゃくせきとのきょりわ、たりていたか。	auto
c110-1		手がかりは、アメリカの国家運輸安全委員会、NTSBの事故報告書。	てが'かりわ、あめりかの/こっかう'んゆ/あんぜんいい'んかい、えぬてぃーえすび'ーの/じこほーこくしょ。	てがかりわ、あめりかのこっかうんゆあんぜんいいんかい、えぬてぃーえすびーのじこほーこくしょ。	auto
c110-2		調べた資料の束と合わせて、原文で読んだ。	しらべた'/し'りょーの/た'ばと/あわ'せて、げんぶんで/よ'んだ。	しらべたしりょーのたばとあわせて、げんぶんでよんだ。	auto
c111-1		時刻は現地の時刻で話す。日本の時刻より16時間遅い。	じ'こくわ/げ'んちの/じ'こくで/はな'す。にほ'んの/じ'こくより/じゅーろくじ'かん/おそい。	じこくわげんちのじこくではなす。にほんのじこくよりじゅーろくじかんおそい。	auto
c111-2		長さや速さは、メートル法に直して伝える。	な'がさや/はや'さわ、めーとるほーに/なお'して/つたえる。	ながさやはやさわ、めーとるほーになおしてつたえる。	auto
c112-1		会場は、リノのステッド空港。	かいじょーわ、り'のの/すてっどく'ーこー。	かいじょーわ、りののすてっどくーこー。	auto
c112-2		話は、事故の日の会場から始まる。	はなし'わ、じこの'ひの/かいじょーから'/はじまる。	はなしわ、じこのひのかいじょーからはじまる。	auto
c201-1		2011年9月16日。ステッド空港の空は、よく晴れていた。	にせんじゅーいち'ねん/く'がつ/じゅーろく'にち。すてっどく'ーこーの/そ'らわ、よ'く/は'れていた。	にせんじゅーいちねんくがつじゅーろくにち。すてっどくーこーのそらわ、よくはれていた。	auto
c201-2		気温は摂氏22度。西南西の風が吹いていた。	きおんわ/せ'っし/にじゅーに'ど。せーなんせーの/かぜが/ふ'いていた。	きおんわせっしにじゅーにど。せーなんせーのかぜがふいていた。	auto
c202-1		ここで開かれていたのが、全米選手権エアレース。	ここで/ひらかれていた'のが、ぜんべーせんしゅけんえあれ'ーす。	ここでひらかれていたのが、ぜんべーせんしゅけんえあれーす。	auto
c202-2		決められたコースを、飛行機が速さを競って何周も回る。	きめら'れた/こ'ーすを、ひこ'ーきが/はや'さを/きそ'って/な'んしゅーも/まわる。	きめられたこーすを、ひこーきがはやさをきそってなんしゅーもまわる。	auto
c203-1	q	どんな飛行機が走るの？	ど'んな/ひこ'ーきが/はし'るの？	どんなひこーきがはしるの？	auto
c203-2		部門は6つ。事故機が出ていたのは、プロペラ機を改造して走る無制限クラス。	ぶ'もんわ/むっつ'。じこ'きが/で'ていたのわ、ぷろぺら'きを/かいぞーして/はし'る/むせーげんく'らす。	ぶもんわむっつ。じこきがでていたのわ、ぷろぺらきをかいぞーしてはしるむせーげんくらす。	auto
c203-3		地面に対する速さで、時速約806キロ（435ノット）を超えることもある。	じ'めんに/たいす'る/はや'さで、じそく/や'く/はっぴゃくろ'っきろ、よんひゃくさんじゅーごの'っとを/こえること'も/あ'る。	じめんにたいするはやさで、じそくやくはっぴゃくろっきろ、よんひゃくさんじゅーごのっとをこえることもある。	auto
c204-1		コースの目印は、柱の「パイロン」が10本。1周は約13.5キロ（8.4マイル）。	こ'ーすの/めじ'るしわ、はしら'の/ぱ'いろんが/じゅ'っぽん。いっしゅーわ/やくじゅーさんてんご'きろ、はってんよんま'いる。	こーすのめじるしわ、はしらのぱいろんがじゅっぽん。いっしゅーわやくじゅーさんてんごきろ、はってんよんまいる。	auto
c204-2		回るのは、いつも左だ。	まわる'のわ、い'つも/ひだりだ。	まわるのわ、いつもひだりだ。	auto
c205-1		事故機はパイロン8を、時速約824キロ（445ノット）で回っていた。	じこ'きわ/ぱいろ'ん/はち'を、じそく/や'く/はっぴゃくにじゅーよ'んきろ、よんひゃくよんじゅーごの'っとで/まわっていた'。	じこきわぱいろんはちを、じそくやくはっぴゃくにじゅーよんきろ、よんひゃくよんじゅーごのっとでまわっていた。	auto
c205-2		6周のレースの3周目。順位は3位だった。	ろくしゅーの/れ'ーすの/さんしゅーめ。じゅ'んいわ/さ'んいだった。	ろくしゅーのれーすのさんしゅーめ。じゅんいわさんいだった。	auto
c206-1		新幹線のいちばん速い営業運転の、2倍を超える速さだ。	しんか'んせんの/いち'ばん/はや'い/えーぎょーう'んてんの、に'ばいを/こえる/はや'さだ。	しんかんせんのいちばんはやいえーぎょーうんてんの、にばいをこえるはやさだ。	auto
c206-2	q	そんなに速いんだ。	そんなに'/はや'いんだ。	そんなにはやいんだ。	auto
c207-1		約4.5秒先を2位のヴードゥー、約8.8秒先を1位のストレガが飛んでいた。	や'く/よんてんごびょーさきを/に'いの/ぶ'ーどぅー、や'く/はってんはちびょーさきを/いち'いの/すとれ'がが/とんでいた'。	やくよんてんごびょーさきをにいのぶーどぅー、やくはってんはちびょーさきをいちいのすとれががとんでいた。	auto
c207-2		どちらも、昔の戦闘機P-51Dを改造した機体だ。	ど'ちらも、むかしの/せんと'ーき/ぴ'ー/ごじゅ'ーいちでぃーを/かいぞーした'/きたいだ。	どちらも、むかしのせんとーきぴーごじゅーいちでぃーをかいぞーしたきたいだ。	auto
c208-1		事故機がこの空港を離陸したのは、午後4時15分ごろ。	じこ'きが/この/くーこーを/りりくした'のわ、ご'ご/よ'じ/じゅーごふんご'ろ。	じこきがこのくーこーをりりくしたのわ、ごごよじじゅーごふんごろ。	auto
c208-2		事故の、およそ10分前だった。	じ'この、およそ/じゅっぷんま'えだった。	じこの、およそじゅっぷんまえだった。	auto
c209-1		観客席とコースの境目は、滑走路の南の端の線、「ショーライン」。	かんきゃく'せきと/こ'ーすの/さかいめ'わ、かっそ'ーろの/みなみの/はしの/せ'ん、しょーら'いん。	かんきゃくせきとこーすのさかいめわ、かっそーろのみなみのはしのせん、しょーらいん。	auto
c209-2		高さ約305メートル（1,000フィート）より下は、この線の北を飛ぶ。	た'かさ/や'く/さんびゃくごめ'ーとる、せんふぃ'ーとより/したわ、この/せ'んの/きたを/とぶ。	たかさやくさんびゃくごめーとる、せんふぃーとよりしたわ、このせんのきたをとぶ。	auto
c210-1		大会を許可したアメリカ連邦航空局、FAAの条件の1つは、水平の距離。	たいかいを/きょ'かした/あめりかれ'んぽー/こーく'ーきょく、えふえーえ'ーの/じょーけ'んの/ひと'つわ、すいへーの/きょ'り。	たいかいをきょかしたあめりかれんぽーこーくーきょく、えふえーえーのじょーけんのひとつわ、すいへーのきょり。	auto
c210-2		観客席から152メートル以上離れて飛ぶ	かんきゃく'せきから/ひゃくごじゅーにめ'ーとる/い'じょー/はな'れて/とぶ。	かんきゃくせきからひゃくごじゅーにめーとるいじょーはなれてとぶ。	auto
c211-1	q	実際の観客席は、どこにあったの？	じっさいの/かんきゃく'せきわ、ど'こに/あ'ったの？	じっさいのかんきゃくせきわ、どこにあったの？	auto
c211-2		ショーラインから南へ。ボックス席の端までは、約266メートル（874フィート）。	しょーら'いんから/みなみえ。ぼっくす'せきの/はしま'でわ、や'く/にひゃくろくじゅーろくめ'ーとる、はっぴゃくななじゅーよんふぃ'ーと。	しょーらいんからみなみえ。ぼっくすせきのはしまでわ、やくにひゃくろくじゅーろくめーとる、はっぴゃくななじゅーよんふぃーと。	auto
c212-1		整備の場所「ピット」の端までは、約228メートル（748フィート）。	せ'ーびの/ばしょぴ'っとの/はしま'でわ、や'く/にひゃくにじゅーはちめ'ーとる、ななひゃくよんじゅーはちふぃ'ーと。	せーびのばしょぴっとのはしまでわ、やくにひゃくにじゅーはちめーとる、ななひゃくよんじゅーはちふぃーと。	auto
c212-2		ピットのあたりにも多くの観客がいて、燃料を積んだ車も止まっていた。	ぴ'っとの/あ'たりにも/お'ーくの/かんきゃくが/いて、ねんりょ'ーを/つんだ'/くるまも/とまっていた'。	ぴっとのあたりにもおーくのかんきゃくがいて、ねんりょーをつんだくるまもとまっていた。	auto
c213-1	q	条件の距離は、守られていたの？	じょーけ'んの/きょ'りわ、まもられていた'の？	じょーけんのきょりわ、まもられていたの？	auto
c213-2		線の北を飛べば、満たしていた。どちらも、条件の152メートルより遠い。	せ'んの/きたを/とべ'ば、みた'していた。ど'ちらも、じょーけ'んの/ひゃくごじゅーにめ'ーとるより/とーい。	せんのきたをとべば、みたしていた。どちらも、じょーけんのひゃくごじゅーにめーとるよりとーい。	auto
c213-3		ただ、FAAの別の資料には、違う数字が書いてあった。それは、あとの章で。	た'だ、えふえーえ'ーの/べつの/し'りょーにわ、ちがう/すーじが/か'いてあった。それわ、あ'との/しょ'ーで。	ただ、えふえーえーのべつのしりょーにわ、ちがうすーじがかいてあった。それわ、あとのしょーで。	auto
c214-1		事故機は、3日前の予選を4位で通っていた。	じこ'きわ、みっかま'えの/よせんを/よ'んいで/と'おっていた。	じこきわ、みっかまえのよせんをよんいでとおっていた。	auto
c214-2		この日は、無制限クラスの「ゴールド」と呼ばれる組のレースだった。	この'ひわ、むせーげんく'らすの/ご'ーるどと/よばれ'る/くみ'の/れ'ーすだった。	このひわ、むせーげんくらすのごーるどとよばれるくみのれーすだった。	auto
c215-1		旅客機のような記録装置は、積む決まりが無く、積んでいなかった。	りょかく'きのよーな/きろくそ'ーちわ、つむ/きまりが/な'く、つんでいな'かった。	りょかくきのよーなきろくそーちわ、つむきまりがなく、つんでいなかった。	auto
c215-2		代わりに、機体の状態を地上へ送る装置「テレメトリー」を積んでいた。	かわりに、きたいの/じょーたいを/ちじょーえ/おくる/そーちてれめ'とりーを/つんでいた'。	かわりに、きたいのじょーたいをちじょーえおくるそーちてれめとりーをつんでいた。	auto
c216-1		その記録では、パイロン8を回る速さとGは、前の2周とほぼ同じ。	その/きろくで'わ、ぱいろ'ん/はち'を/まわる/はや'さと/じ'ー/わ、ま'えの/にしゅーと/ほ'ぼ/おなじ。	そのきろくでわ、ぱいろんはちをまわるはやさとじーわ、まえのにしゅーとほぼおなじ。	auto
c216-2		ただ、パイロン6と7のあいだで、時速約848キロ（458ノット）を出していた。	た'だ、ぱいろ'ん/ろく'と/な'なの/あいだで、じそく/や'く/はっぴゃくよんじゅーはち'きろ、よんひゃくごじゅーはちの'っとを/だ'していた。	ただ、ぱいろんろくとななのあいだで、じそくやくはっぴゃくよんじゅーはちきろ、よんひゃくごじゅーはちのっとをだしていた。	auto
c217-1		この機体がコースで出した最高より、時速約65キロ（35ノット）速い。	この/きたいが/こ'ーすで/だ'した/さいこーよ'り、じそく/や'く/ろくじゅーご'きろ、さんじゅーごの'っと/はや'い。	このきたいがこーすでだしたさいこーより、じそくやくろくじゅーごきろ、さんじゅーごのっとはやい。	auto
c217-2		エンジンの吸い込む圧力と回転の数も、記録の中でいちばん高かった。	え'んじんの/すいこ'む/あつ'りょくと/かいてんの/か'ずも、きろくのな'かで/いち'ばん/たか'かった。	えんじんのすいこむあつりょくとかいてんのかずも、きろくのなかでいちばんたかかった。	auto
c218-1	q	つまり、いつもより速かった？	つ'まり、い'つもより/はや'かった？	つまり、いつもよりはやかった？	auto
c218-2		そう。急に横へ回る「横転」の約8秒前、エンジンの圧力と回転が目に見えて下がった。	そー。きゅーに/よこえ/まわる/おーてんの/や'く/はちびょーま'え、え'んじんの/あつ'りょくと/かいてんが/め'に/み'えて/さが'った。	そー。きゅーによこえまわるおーてんのやくはちびょーまえ、えんじんのあつりょくとかいてんがめにみえてさがった。	auto
c218-3		報告書は、その理由には触れていない。	ほーこくしょわ、その/りゆーに'わ/ふれていな'い。	ほーこくしょわ、そのりゆーにわふれていない。	auto
c219-1		前の2機は、パイロン8を、左へ約70度傾けて回っていった。	ま'えの/に'きわ、ぱいろ'ん/はち'を、ひだりえ/や'く/ななじゅ'ーど/かたむ'けて/まわっていった'。	まえのにきわ、ぱいろんはちを、ひだりえやくななじゅーどかたむけてまわっていった。	auto
c219-2		事故機は、その後ろを追っていた。	じこ'きわ、その/うしろを/おっていた'。	じこきわ、そのうしろをおっていた。	auto
c220-1		報告書は、観客が撮った写真と映像、テレメトリーを突き合わせた。	ほーこくしょわ、かんきゃくが/と'った/しゃしんと/えーぞー、てれめ'とりーを/つきあわ'せた。	ほーこくしょわ、かんきゃくがとったしゃしんとえーぞー、てれめとりーをつきあわせた。	auto
c220-2		そして、その9秒を、秒の単位で並べた。	そして、その/きゅ'ーびょーを、びょ'ーの/た'んいで/ならべた'。	そして、そのきゅーびょーを、びょーのたんいでならべた。	auto
c301-1		午後4時24分28秒。事故機は、パイロン8を回り始めた。	ご'ご/よ'じ/にじゅーよ'んぷん/にじゅーはち'びょー。じこ'きわ、ぱいろ'ん/はち'を/まわりはじ'めた。	ごごよじにじゅーよんぷんにじゅーはちびょー。じこきわ、ぱいろんはちをまわりはじめた。	auto
c301-2		尾翼の小さな板は、それまでの周と同じ向きだった。	びよくの/ち'ーさな/い'たわ、それま'での/しゅ'ーと/おなじ/む'きだった。	びよくのちーさないたわ、それまでのしゅーとおなじむきだった。	auto
c302-1	q	尾翼の板って、何？	びよくの/い'たって、な'に？	びよくのいたって、なに？	auto
c302-2		機首を上げ下げする舵「昇降舵」の後ろの、小さな板「トリムタブ」。	き'しゅを/あげ'さげする/か'じしょーこーだの/うしろの、ち'ーさな/いたとりむ'たぶ。	きしゅをあげさげするかじしょーこーだのうしろの、ちーさないたとりむたぶ。	auto
c302-3		操縦桿を押さえ続けなくても、機首の向きを保てるようにする板だ。	そーじゅ'ーかんを/おさえつずけな'くても、き'しゅの/む'きを/たもて'るよーにする/い'ただ。	そーじゅーかんをおさえつずけなくても、きしゅのむきをたもてるよーにするいただ。	auto
c303-1		板は3か所のちょうつがいで留まり、細い棒「リンク」が角度を決める。	い'たわ/さんか'しょの/ちょーつ'がいで/とまり、ほそ'い/ぼーり'んくが/か'くどを/きめる。	いたわさんかしょのちょーつがいでとまり、ほそいぼーりんくがかくどをきめる。	auto
c303-2		事故機で動かせるのは、左の板だけ。右の板は固定されていた。	じこ'きで/うごかせ'るのわ、ひだりの/い'ただけ。みぎの/い'たわ/こてーされていた'。	じこきでうごかせるのわ、ひだりのいただけ。みぎのいたわこてーされていた。	auto
c304-1		ここからは、報告書の経過の表を、秒ごとに追う。	ここから'わ、ほーこくしょの/けーかの/ひょーを、びょーごとに/おう。	ここからわ、ほーこくしょのけーかのひょーを、びょーごとにおう。	auto
c304-2		横転の始まりを0秒とする。機体は左へ約73度傾いて回っていた。	おーてんの/はじまりを/れ'ーびょーとする。きたいわ/ひだりえ/や'く/ななじゅーさ'んど/かたむ'いて/まわっていた'。	おーてんのはじまりをれーびょーとする。きたいわひだりえやくななじゅーさんどかたむいてまわっていた。	auto
c305-1		0秒。機体が、さらに左へ転がるように傾き始める。	れ'ーびょー。きたいが、さ'らに/ひだりえ/ころがるよ'ーに/かたむきはじめる。	れーびょー。きたいが、さらにひだりえころがるよーにかたむきはじめる。	auto
c305-2		0.27秒。傾きを戻す舵、補助翼が右へ切られたのが写真に写る。	れーてんにーなな'びょー。かたむきを/もど'す/か'じ、ほじょ'よくが/みぎえ/きられた'のが/しゃしんに/うつ'る。	れーてんにーななびょー。かたむきをもどすかじ、ほじょよくがみぎえきられたのがしゃしんにうつる。	auto
c306-1	q	板は、どうなっていたの？	い'たわ、ど'ー/な'っていたの？	いたわ、どーなっていたの？	auto
c306-2		0.56秒。左の板の角度は、上へ21度以上。ふだんは13度までしか上がらない。	れーてんごーろく'びょー。ひだりの/い'たの/か'くどわ、うええ/にじゅーいち'ど/い'じょー。ふ'だんわ/じゅーさ'んどまでしか/あがらな'い。	れーてんごーろくびょー。ひだりのいたのかくどわ、うええにじゅーいちどいじょー。ふだんわじゅーさんどまでしかあがらない。	auto
c306-3		板を支える棒、リンクは、もう折れていた。	い'たを/ささえる/ぼー、り'んくわ、も'ー/お'れていた。	いたをささえるぼー、りんくわ、もーおれていた。	auto
c307-1		0.83秒。傾きは左へ約93度。真横を少し越えた。	れーてんはちさ'んびょー。かたむきわ/ひだりえ/や'く/きゅーじゅーさ'んど。まよこを/すこ'し/こえた'。	れーてんはちさんびょー。かたむきわひだりえやくきゅーじゅーさんど。まよこをすこしこえた。	auto
c307-2		1.3秒。機首が一気に上がり、Gは最大の17.3Gに達した。	いってんさ'んびょー。き'しゅが/い'っきに/あがり、じ'ー/わ/さいだいの/じゅーななてんさん/じ'ー/に/たっした'。	いってんさんびょー。きしゅがいっきにあがり、じーわさいだいのじゅーななてんさんじーにたっした。	auto
c308-1		17.3Gでは、体重の17倍あまりの力で、座席に押しつけられる。	じゅーななてんさん/じ'ー/で'わ、たいじゅーの/じゅーななばいあ'まりの/ちから'で、ざせきに/おしつけられ'る。	じゅーななてんさんじーでわ、たいじゅーのじゅーななばいあまりのちからで、ざせきにおしつけられる。	auto
c308-2		しかも約1秒で、ふつうの旋回の3Gから一気に上がった。	しか'も/や'く/いち'びょーで、ふつーの/せんかいの/さん/じ'ー/から'/い'っきに/あがった'。	しかもやくいちびょーで、ふつーのせんかいのさんじーからいっきにあがった。	auto
c309-1		このとき、しまってあった後ろの車輪が、下へ出てきた。	このと'き、しま'ってあった/うしろの/しゃりんが、したえ/で'てきた。	このとき、しまってあったうしろのしゃりんが、したえでてきた。	auto
c309-2		固定してあった右の板も、動いていた。それを留めていたリンクも、折れていたのだ。	こてーしてあ'った/みぎの/い'たも、うご'いていた。それを/とめていた'/り'んくも、お'れていたのだ。	こてーしてあったみぎのいたも、うごいていた。それをとめていたりんくも、おれていたのだ。	auto
c310-1	q	左も右も、折れていた？	ひだりも/みぎも、お'れていた？	ひだりもみぎも、おれていた？	auto
c310-2		そう。1.44秒には、左の板が下へ、右の板が上へ振れていた。	そー。いってんよんよ'んびょーにわ、ひだりの/い'たが/したえ、みぎの/い'たが/うええ/ふれていた'。	そー。いってんよんよんびょーにわ、ひだりのいたがしたえ、みぎのいたがうええふれていた。	auto
c310-3		補助翼は、右へいっぱい近くまで切られていた。	ほじょ'よくわ、みぎえ/いっぱい/ち'かくまで/きられていた'。	ほじょよくわ、みぎえいっぱいちかくまできられていた。	auto
c311-1		約3.1秒。機体は、上昇のいちばん上へ。	や'く/さんてんいち'びょー。きたいわ、じょーしょーの/いちばんうええ。	やくさんてんいちびょー。きたいわ、じょーしょーのいちばんうええ。	auto
c311-2		左の板の内側の一片が、ちょうつがいから外れた。	ひだりの/い'たの/うちがわの/いっぺ'んが、ちょーつ'がいから/はずれた'。	ひだりのいたのうちがわのいっぺんが、ちょーつがいからはずれた。	auto
c312-1		4.6秒。その一片が機体から離れ、のちにゴールの目印の柱の近くで見つかった。	よんてんろく'びょー。その/いっぺ'んが/きたいから'/はな'れ、のち'に/ご'ーるの/めじ'るしの/はしら'の/ち'かくで/みつかった'。	よんてんろくびょー。そのいっぺんがきたいからはなれ、のちにごーるのめじるしのはしらのちかくでみつかった。	auto
c312-2		順番は、逆だった。機首が上がったのは、一片が離れる前。	じゅんばんわ、ぎゃくだ'った。き'しゅが/あがった'のわ、いっぺ'んが/はなれ'る/ま'え。	じゅんばんわ、ぎゃくだった。きしゅがあがったのわ、いっぺんがはなれるまえ。	auto
c312-3		さらにその前に、板を支えるリンクが折れていた。	さ'らに/その/ま'えに、い'たを/ささえる/り'んくが/お'れていた。	さらにそのまえに、いたをささえるりんくがおれていた。	auto
c313-1	q	パイロットは？	ぱ'いろっとわ？	ぱいろっとわ？	auto
c313-2		上昇のあいだの写真では、前へ、右へ崩れた姿勢だった。	じょーしょーの/あいだの/しゃしんで'わ、ま'ええ、みぎえ/くず'れた/しせーだ'った。	じょーしょーのあいだのしゃしんでわ、まええ、みぎえくずれたしせーだった。	auto
c313-3		いつものレースの姿勢ではない。	い'つもの/れ'ーすの/しせーで'わない。	いつものれーすのしせーでわない。	auto
c314-1		パイロットにかかったGは、上がる速さも大きさも、人の限界を超えていた。	ぱ'いろっとに/かか'った/じ'ー/わ、あがる/はや'さも/おーき'さも、ひとの/げんかいを/こえていた'。	ぱいろっとにかかったじーわ、あがるはやさもおーきさも、ひとのげんかいをこえていた。	auto
c314-2		意識を保てたのは、1秒未満とみられる	い'しきを/たも'てたのわ、いちびょーみ'まんと/みられ'る。	いしきをたもてたのわ、いちびょーみまんとみられる。	auto
c315-1	q	そのあと、機体は？	その'あと、きたいわ？	そのあと、きたいわ？	auto
c315-2		右へ回りながら上り、らせんを描いて落ちていった。	みぎえ/まわりな'がら/のぼり、らせんを/えが'いて/お'ちていった。	みぎえまわりながらのぼり、らせんをえがいておちていった。	auto
c315-3		その後の上昇と降下は、操縦なしで起きた	そのごの/じょーしょーと/こ'ーかわ、そーじゅー/な'しで/お'きた。	そのごのじょーしょーとこーかわ、そーじゅーなしでおきた。	auto
c316-1		「最後に観客席を避けようとしたように見えた」と話した観客もいた、と報じられた。	さ'いごに/かんきゃく'せきを/さけ'よーとしたよーに/み'えたと/はな'した/かんきゃくも/いた'、と/ほーじら'れた。	さいごにかんきゃくせきをさけよーとしたよーにみえたとはなしたかんきゃくもいた、とほーじられた。	auto
c316-2		でも報告書は、そのときパイロットは、もう操縦できなかったとみている。	で'も/ほーこくしょわ、そのと'き/ぱ'いろっとわ、も'ー/そーじゅー/でき'なかったと/み'ている。	でもほーこくしょわ、そのときぱいろっとわ、もーそーじゅーできなかったとみている。	auto
c317-1		横転の始まりから約9.1秒。午後4時24分38秒ごろ、機体は駐機場に落ちた。	おーてんの/はじまりから'/や'く/きゅーてんいち'びょー。ご'ご/よ'じ/にじゅーよ'んぷん/さんじゅーはちびょーご'ろ、きたいわ/ちゅーきじょーに/お'ちた。	おーてんのはじまりからやくきゅーてんいちびょー。ごごよじにじゅーよんぷんさんじゅーはちびょーごろ、きたいわちゅーきじょーにおちた。	auto
c317-2		観客のボックス席のあるところだった。	かんきゃくの/ぼっくす'せきの/あ'るところだった。	かんきゃくのぼっくすせきのあるところだった。	auto
c318-1	q	そもそも、なぜ傾き始めたの？	そ'もそも、な'ぜ/かたむきはじ'めたの？	そもそも、なぜかたむきはじめたの？	auto
c318-2		最初の横転のきっかけは、報告書でも1つに決まっていない。	さいしょの/おーてんの/きっかけわ、ほーこくしょで'も/ひと'つに/きまっていな'い。	さいしょのおーてんのきっかけわ、ほーこくしょでもひとつにきまっていない。	auto
c318-3		見方は2つある。	みかた'わ/ふたつ'/あ'る。	みかたわふたつある。	auto
c319-1		1つは、前を行く2機が残した空気の渦、「後方乱気流」に入った見方。	ひと'つわ、ま'えを/いく/に'きが/のこ'した/く'ーきの/う'ず、こーほーらんき'りゅーに/は'いった/みかた'。	ひとつわ、まえをいくにきがのこしたくーきのうず、こーほーらんきりゅーにはいったみかた。	auto
c319-2		レースでは珍しくなく、ふつうは操縦で打ち消せる。	れ'ーすでわ/めずらしく'なく、ふつーわ/そーじゅーで/うちけせ'る。	れーすでわめずらしくなく、ふつーわそーじゅーでうちけせる。	auto
c320-1		前の2機の通り道は、データが足りず、はっきりしなかった。	ま'えの/に'きの/とーり'みちわ、で'ーたが/たり'ず、はっき'りしなかった。	まえのにきのとーりみちわ、でーたがたりず、はっきりしなかった。	auto
c320-2		後方乱気流に入った可能性は、排除できない	こーほーらんき'りゅーに/は'いった/かのーせーわ、は'いじょ/でき'ない。	こーほーらんきりゅーにはいったかのーせーわ、はいじょできない。	auto
c321-1		もう1つは、板の震えで先にリンクが折れ、操縦桿を後ろへ引く力が急に強まった見方。	も'ー/ひと'つわ、い'たの/ふるえで/さきに/り'んくが/お'れ、そーじゅ'ーかんを/うしろえ/ひく/ちから'が/きゅーに/つよま'った/みかた'。	もーひとつわ、いたのふるえでさきにりんくがおれ、そーじゅーかんをうしろえひくちからがきゅーにつよまったみかた。	auto
