# 14本目 セウォル号 ⑤a：数の台帳（tools/check_aq_yomi.py が読む）。鍵<TAB>読み<TAB>注（下書きの「文の中」と行）
# 作り方＝check_aq_yomi --propose の下書き（pyopenjtalk の読み）を、台本 §6-1 を答えにして Claude が1鍵ずつ読んで直した（2026-09-25）
# 直した鍵＝7人（しちにん→ななにん）・10フィート（じゅう→じゅっ）・1か月／4か月（鍵が数字だけで切れていた）・
#   4月1日（1日だけだと いちにち）・下書きが後ろの漢字まで拾った7鍵（185台積→185台 など）
# ⚠️ 読みは長音を「ー」で書く（音声記号列の書き方）。鍵は台本の字のまま（算用数字は半角）
鍵	語だけの読み	文の中	行
21時	にじゅーいちじ	○	c207-1,c213-1
22メートル	にじゅーにめーとる	○	c202-1
22日	にじゅーににち	○	c305-3
23人	にじゅーさんにん	○	ca06-1
2437トン	にせんよんひゃくさんじゅーななとん	○	c407-1
246人	にひゃくよんじゅーろくにん	○	c106-2,ca04-2
24人	にじゅーよにん	○	c212-1
24分	にじゅーよんぷん	○	c806-1,c809-1
24日	にじゅーよっか	○	c413-1
250人用	にひゃくごじゅーにんよー	○	c311-2
25トン	にじゅーごとん	○	c511-2
25人乗り	にじゅーごにんのり	○	c311-1
25分	にじゅーごふん	○	c810-1,c917-1
26分	にじゅーろっぷん	○	c812-1,c816-2,c817-3
28分	にじゅーはっぷん	○	ca08-2
28秒	にじゅーはちびょー	○	c815-1
295人	にひゃくきゅーじゅーごにん	○	ca03-2
2つ	ふたつ	○	c108-2,c109-1,c402-2
2人	ふたり	○	c602-2,ca05-1,cc06-1
2倍超	にばいちょー	○	c505-2
2回	にかい	○	c605-2
2回目	にかいめ	○	c606-1
2審	にしん	○	cb09-1
2往復	におーふく	○	c203-3
2日後	ふつかご	○	c918-2
2時間	にじかん	○	c207-2
2月	にがつ	○	c301-1,c401-1,cc09-2
2本	にほん	○	c511-1
2段	にだん	○	c501-2,c513-1
2番	にばん	○	cc10-2
2等	にとー	○	cb08-1
2等客室	にとーきゃくしつ	○	c310-2
2等航海士	にとーこーかいし	○	c705-1,c813-1,cb12-2
2通り	ふたとーり	○	c606-2
303人	さんびゃくさんにん	○	ca09-2,cb04-1
304人	さんびゃくよにん	○	ca03-2,ca09-2,cd05-2
30人	さんじゅーにん	○	ca05-2
30分	さんじゅっぷん	○	c201-2,c203-1,c207-2,c711-1,c903-1,c905-1
30度	さんじゅーど	○	c612-2
31キロ	さんじゅーいちきろ	○	c610-1
31分	さんじゅーいっぷん	○	c107-1,c802-3,c918-1
325人	さんびゃくにじゅーごにん	○	c106-1,c204-2,ca04-1
33人	さんじゅーさんにん	○	c204-1,c206-2,ca06-1
33分	さんじゅーさんぷん	○	cb15-2
33秒	さんじゅーさんびょー	○	c612-2
34分	さんじゅーよんぷん	○	c907-1
35分	さんじゅーごふん	○	c906-2,c920-2
370トン	さんびゃくななじゅっとん	○	c408-2
37分	さんじゅーななふん	○	c802-3,c818-1
38分	さんじゅーはっぷん	○	c908-1
39分	さんじゅーきゅーふん	○	c213-1,c908-1,c910-1
3つ	みっつ	○	c708-1
3メートル	さんめーとる	○	c503-2
3人	さんにん	○	ca05-2
3年	さんねん	○	cb14-1
3月	さんがつ	○	c306-2,cd05-1
3等航海士	さんとーこーかいし	○	c208-1,c602-2,c603-1,c605-1,c608-2,cb09-1 ほか1
3階	さんがい	○	c309-2,c309-3,c709-1,c813-2,c817-2,c908-2 ほか2
4か月	よんかげつ	手で足した（下書きは 4 で切れた）	c312-2
40分	よんじゅっぷん	○	c107-2
43秒	よんじゅーさんびょー	○	c609-2
443人	よんひゃくよんじゅーさんにん	○	c106-1,c204-1
44個	よんじゅーよんこ	○	c311-1
450人	よんひゃくごじゅーにん	○	c212-1,c902-2,c904-2
45個	よんじゅーごこ	○	c503-2
46分	よんじゅーろっぷん	○	c604-1,c907-1,c911-1
476人	よんひゃくななじゅーろくにん	○	c101-2,c204-1,ca03-1
47分	よんじゅーななふん	○	c914-1
48分	よんじゅーはっぷん	○	c606-2
49分	よんじゅーきゅーふん	○	c606-2,c609-2
4つ	よっつ	○	c311-2,c516-1
4人	よにん	○	c106-2,ca04-2
4割	よんわり	○	c407-2
4日後	よっかご	○	c312-2
4月	しがつ	○	c101-1,c201-1,c302-2,c502-1,c601-1,ca01-2
4本	よんほん	○	c511-2
4通り	よとーり	○	c906-1
4階	よんかい	○	c309-2,c309-3,c310-2,c817-2,c914-1
50トン	ごじゅっとん	○	c404-2
50分	ごじゅっぷん	○	c102-2,c612-1,c612-2,c711-1,c914-1,c915-1
52.2度	ごじゅーにーてんにど	○	c907-1
52分	ごじゅーにふん	○	c614-1,c701-1,c708-2
55分	ごじゅーごふん	○	c703-1
56人	ごじゅーろくにん	○	c404-1
56分	ごじゅーろっぷん	○	c704-1,c708-2,c711-1
57分	ごじゅーななふん	○	ca01-2
58分	ごじゅーはっぷん	○	c705-1,c707-2,c708-2,c714-2
5つ	いつつ	○	c515-3
5人	ごにん	○	c916-1,ca06-2,cd05-3
5分	ごふん	○	c207-1
5年	ごねん	○	cb12-2
5度以内	ごどいない	○	c605-2
5月	ごがつ	○	ca10-1
5階	ごかい	○	c309-2,c310-1
6	ろく	○	c506-1
6.20メートル	ろくてんにーぜろめーとる	○	c211-1
6.26メートル	ろくてんにーろくめーとる	○	c211-1
60個	ろくじゅっこ	○	c503-1
61.2度	ろくじゅーいってんにど	○	c907-1
61度	ろくじゅーいちど	○	c911-2
657トン	ろっぴゃくごじゅーななとん	○	c212-2
6分	ろっぷん	○	c801-1,c916-1
6日後	むいかご	○	cd01-1
75人	ななじゅーごにん	○	ca04-1
761トン	ななひゃくろくじゅーいっとん	○	c508-1,c508-2
79度	ななじゅーきゅーど	○	c609-2
7人	ななにん	🔧 §6-1（下書き しちにん）	c910-1
7年	ななねん	○	cb12-2,cb13-1
8	はち	○	ca02-1
840人	はっぴゃくよんじゅーにん	○	c410-1
8フィート	はちふぃーと	○	c503-1
8人	はちにん	○	c206-2,c911-1
8日	よーか	○	c304-1
8時	はちじ	○	c604-1,c606-2,c606-2,c609-2,c612-1,c612-2 ほか11
956人	きゅーひゃくごじゅーろくにん	○	c202-2,c410-1
987トン	きゅーひゃくはちじゅーななとん	○	c407-1,c504-3,c505-2
9つ	ここのつ	○	c515-3
9人	きゅーにん	○	ca03-2,ca05-1,cd05-3
9分	きゅーふん	○	c815-1
9時	くじ	○	c102-2,c203-1,c711-1,c711-1,c711-1,c801-1 ほか24
185台	ひゃくはちじゅーごだい	手で切った（下書き 185台積）	c502-1
1マイル	いちまいる	手で切った（下書き 1マイル手）	c903-1
4月1日	しがつついたち	手で足した（1日だけだと いちにち）	c302-2
51センチ	ごじゅーいっせんち	手で切った（下書き 51センチ上）	c406-2
60度	ろくじゅーど	手で切った（下書き 60度傾）	c818-1
