# NTSB public docket WPR11MA454 (59 items). Source: https://data.ntsb.gov/Docket/?NTSBNumber=WPR11MA454 (server-rendered HTML; TOC: https://data.ntsb.gov/Docket/TOCPrintable?data=81814). Docket created 09/29/2011; public release 08/21/2012 7:31 AM; last modified shown 08/21/2012 10:31 AM. Per-item dates are NOT shown in the docket; pdf_created/pdf_modified = PDF metadata of downloaded copies (retrieved 2026-09-24). bytes = HTTP Content-Length. Rights: US federal = public domain (17 USC 105) except third-party material inside (photos credited to private photographers; RARA/NAG letters).
n	title	pages	photos_in_docket	type	bytes	docBLOB_id	url	local_file	pdf_created	pdf_modified	md5	note
11	Evidence Control Form WPR11MA454-AIR-003	1	0	Adobe PDF file	148371	40381656	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40381656&FileExtension=.PDF&FileName=Evidence%20Control%20Form%20WPR11MA454-AIR-003-Master.PDF					
12	Evidence Control Form WPR11MA454-AIR-002	1	0	Adobe PDF file	147701	40381655	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40381655&FileExtension=.PDF&FileName=Evidence%20Control%20Form%20WPR11MA454-AIR-002-Master.PDF					
13	Evidence Control Form WPR11MA454-AIR-001	1	0	Adobe PDF file	148234	40381654	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40381654&FileExtension=.PDF&FileName=Evidence%20Control%20Form%20WPR11MA454-AIR-001-Master.PDF					
14	Data Recorders - Factual Report	40	0	Adobe PDF file	2588979	40372163	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40372163&FileExtension=.PDF&FileName=Data%20Recorders%20-%20Factual%20Report-Master.PDF	ntsb_docket_14_data_recorders_factual.pdf	2012-07-06 08:20	2012-07-06 08:34	a38a524ee2dfa80adadebd6ba02f1d65	
15	Data Recorders - Attachment 1 - FBI Lab Report	3	0	Adobe PDF file	215521	40370450	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370450&FileExtension=.PDF&FileName=Data%20Recorders%20-%20Attachment%201%20-%20FBI%20Lab%20Report-Master.PDF	ntsb_docket_15_data_recorders_att1_fbi_lab.pdf	2012-06-15 15:19	2012-06-15 15:19	72aa8b46d9519c6741479b6c6f96e5e0	
16	Data Recorders - Attachment 2 Tabular Data .csv Format (File Compressed .zip)	0	0	zip	211724	40372164	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40372164&FileExtension=zip&FileName=Data%20Recorders%20-%20Attachment%202%20Tabular%20Data%20.csv%20Format%20(File%20Compressed%20.zip)-Master	ntsb_docket_16_data_recorders_att2_tabular_csv.zip			529f80e9179d97808469313f691e8162	
17	Airworthiness Factual Report of Group Chairman	29	0	Adobe PDF file	245445	40371103	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371103&FileExtension=.PDF&FileName=Airworthiness%20Factual%20Report%20of%20Group%20Chairman-Master.PDF	ntsb_docket_17_airworthiness_factual.pdf	2012-06-24 10:46	2012-06-24 10:46	166e63f2141f2a0e912156623bea3191	
18	Airworthiness Addendum 1 - 2011 Race Speeds	3	0	Adobe PDF file	79406	40371446	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371446&FileExtension=.PDF&FileName=Airworthiness%20Addendum%201%20-%202011%20Race%20Speeds-Master.PDF	ntsb_docket_18_airworthiness_add1_race_speeds.pdf	2012-06-28 04:59	2012-06-28 05:00	9ec7c71970378a3a1d8d066946b4800e	
19	Airworthiness Factual Report - Addendum 2	2	0	Adobe PDF file	19026	40375223	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375223&FileExtension=.PDF&FileName=Airworthiness%20Factual%20Report%20-%20Addendum%202-Master.PDF	ntsb_docket_19_airworthiness_add2.pdf	2012-08-08 12:04	2012-08-08 12:04	f310946340f27c983b06abddfe55da05	
20	Airworthiness Appendix A - Photos/Figures	20	0	Adobe PDF file	2091217	40371104	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371104&FileExtension=.PDF&FileName=Airworthiness%20Appendix%20A%20-%20Photos%2FFigures-Master.PDF	ntsb_docket_20_airworthiness_appA_photos_figures.pdf			e54dc3d321c8664e5209ca3096b81cd5	SERVER COPY TRUNCATED: data ends at byte 876544, rest zero-filled, no %%EOF; opens 0 pages (re-download identical md5)
21	Airworthiness Appendix B - Operating Limitations (under current regulations)	6	0	Adobe PDF file	38913	40371105	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371105&FileExtension=.PDF&FileName=Airworthiness%20Appendix%20B%20-%20Operating%20Limitations%20(under%20current%20regulations)-Master.PDF					
22	Airworthiness Attachment 1 - Interview Summaries	26	0	Adobe PDF file	402789	40374990	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40374990&FileExtension=.PDF&FileName=Airworthiness%20Attachment%201%20-%20Interview%20Summaries-Redacted.PDF	ntsb_docket_22_airworthiness_att1_interview_summaries.pdf	2011-11-14 14:51	2012-08-08 13:55	d801a8a0b4731956d796432a72c0ec8c	
23	Airworthiness Attachment 2 - Drawings	5	0	Adobe PDF file	1151090	40370713	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370713&FileExtension=.PDF&FileName=Airworthiness%20Attachment%202%20-%20Drawings-Master.PDF					
24	Airworthiness Attachment 3 - Article	7	0	Adobe PDF file	4003109	40370714	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370714&FileExtension=.PDF&FileName=Airworthiness%20Attachment%203%20-%20Article-Master.PDF					
25	Airworthiness Attachment 4 - Maintenance Records	21	0	Adobe PDF file	2448015	40371096	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371096&FileExtension=.PDF&FileName=Airworthiness%20Attachment%204%20-%20Maintenance%20Records-Redacted.PDF					
26	Airworthiness Attachment 5 - Safety Inspections	4	0	Adobe PDF file	799199	40370716	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370716&FileExtension=.PDF&FileName=Airworthiness%20Attachment%205%20-%20Safety%20Inspections-Redacted.PDF					
27	Airworthiness Attachment 6 - Weight and Balance Information	7	0	Adobe PDF file	562906	40370717	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370717&FileExtension=.PDF&FileName=Airworthiness%20Attachment%206%20-%20Weight%20and%20Balance%20Information-Redacted.PDF					
28	Airworthiness Attachment 7 - NAG Documents	47	0	Adobe PDF file	1227586	40370718	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370718&FileExtension=.PDF&FileName=Airworthiness%20Attachment%207%20-%20NAG%20Documents-Redacted.PDF					
29	Airworthiness Attachment 8 - RARA Rules	50	0	Adobe PDF file	1021951	40370719	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40370719&FileExtension=.PDF&FileName=Airworthiness%20Attachment%208%20-%20RARA%20Rules-Redacted.PDF					
30	Airworthiness Attachment 9 - Entry Forms and Correspondence	26	0	Adobe PDF file	3485539	40371097	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371097&FileExtension=.PDF&FileName=Airworthiness%20Attachment%209%20-%20Entry%20Forms%20and%20Correspondence-Redacted.PDF					
31	Airworthiness Attachment 10 - Technical Orders	31	0	Adobe PDF file	4458284	40374999	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40374999&FileExtension=.PDF&FileName=Airworthiness%20Attachment%2010%20-%20Technical%20Orders-Master.PDF					
32	Airworthiness Attachment 11 - FAA Documents	153	0	Adobe PDF file	19516421	40371098	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371098&FileExtension=.PDF&FileName=Airworthiness%20Attachment%2011%20-%20FAA%20Documents-Redacted.PDF					
33	Survival Factors / Operations - Factual Report of Group Chairman	22	0	Adobe PDF file	1083983	40373386	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40373386&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Factual%20Report%20of%20Group%20Chairman-Master.PDF	ntsb_docket_33_survival_factors_operations_factual.pdf	2012-07-05 12:31	2012-07-05 12:31	cfa34439eac0c122788bfa411126785b	
34	Survival Factors / Operations - Attachment 1 - FAA Order 8900 Volume 3	109	0	Adobe PDF file	3651481	40375627	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375627&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%201%20-%20FAA%20Order%208900%20Volume%203-Redacted.PDF					
35	Survival Factors / Operations - Attachment 2 - FAA Advisory Circular AC91-45C	79	0	Adobe PDF file	9442620	40375628	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375628&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%202%20-%20FAA%20Advisory%20Circular%20AC91-45C-Redacted.PDF					
36	Survival Factors / Operations - Attachment 3 - FAA Waiver	27	0	Adobe PDF file	5243095	40373390	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40373390&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%203%20-%20FAA%20Waiver-Redacted.PDF					
37	Survival Factors / Operations - Attachment 4 - 2011 Unlimited Race Course	2	0	Adobe PDF file	549821	40373391	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40373391&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%204%20-%202011%20Unlimited%20Race%20Course-Master.PDF	ntsb_docket_37_sf_att4_2011_unlimited_race_course.pdf	2012-07-22 09:39	2012-07-22 09:45	ed06007eb7b28add88e55141362b5abf	
38	Survival Factors / Operations - Attachment 5 - RARA Emergency Services Manual	28	0	Adobe PDF file	614233	40373392	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40373392&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%205%20-%20RARA%20Emergency%20Services%20Manual-Redacted.PDF					
39	Survival Factors / Operations - Attachment 9 - Record of Conversation with Incident Commander	2	0	Adobe PDF file	64113	40374941	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40374941&FileExtension=.PDF&FileName=Survival%20Factors%20%2F%20Operations%20-%20Attachment%209%20-%20Record%20of%20Conversation%20with%20Incident%20Commander-Master.PDF	ntsb_docket_39_sf_att9_roc_incident_commander.pdf	2012-08-08 08:03	2012-08-08 08:03	535d265f4b03588cfe22ebd518bb354a	
40	Materials Laboratory 15 - Factual Report 12-029	61	123	Adobe PDF file	6770398	40375594	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375594&FileExtension=.PDF&FileName=Materials%20Laboratory%2015%20-%20Factual%20Report%2012-029-Master.PDF	ntsb_docket_40_materials_lab_12-029.pdf	2012-08-20 11:53	2012-08-20 11:53	76c6844be653761dc8f4acc9aee053ac	
41	Video Study	11	0	Adobe PDF file	160728	40374916	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40374916&FileExtension=.PDF&FileName=Video%20Study-Master.PDF	ntsb_docket_41_video_study.pdf	2012-08-08 08:46	2012-08-08 09:08	e9982aca20e8d4f4da6ddb40c8210c57	
42	Image Study	27	27	Adobe PDF file	2433092	40374510	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40374510&FileExtension=.PDF&FileName=Image%20Study-Master.PDF	ntsb_docket_42_image_study.pdf	2012-08-03 10:08	2012-08-03 10:08	962989e69fe67f1741a4983c39b19b28	
43	Witness Video	1	0	Adobe PDF file	92253	40375649	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375649&FileExtension=.PDF&FileName=Witness%20Video-Master.PDF	ntsb_docket_43_witness_video.pdf	2012-08-21 10:16	2012-08-21 10:16	6d3cd400036b12dc134f794165d45b87	1-page placeholder: video by Jason Schillereff; copy only via NTSB Public Inquiries (202)314-6551; no video file in docket
44	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	89496	40371107	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371107&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
45	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	224574	40371108	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371108&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
46	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	2159058	40371109	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371109&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
47	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	228893	40371110	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371110&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
48	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	67380	40371111	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371111&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
49	Statement of Party Representatives to NTSB Investigation	1	0	Adobe PDF file	70852	40371112	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40371112&FileExtension=.PDF&FileName=Statement%20of%20Party%20Representatives%20to%20NTSB%20Investigation-Redacted.PDF					
50	Toxicological Report	1	0	Adobe PDF file	111610	40357756	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40357756&FileExtension=.PDF&FileName=Toxicological%20Report-Master.PDF					
51	Medical - Factual Information	4	0	Adobe PDF file	123484	40367705	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40367705&FileExtension=.PDF&FileName=Medical%20-%20Factual%20Information-Master.PDF	ntsb_docket_51_medical_factual.pdf	2012-05-10 12:29	2012-05-10 12:29	51fe846d67922429723dc6630ea2b296	
52	Evidence Control Form AVI-005	3	0	Adobe PDF file	269837	40356190	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40356190&FileExtension=.PDF&FileName=Evidence%20Control%20Form%20AVI-005-Redacted.PDF					
53	Aircraft Performance 13 - Study	29	0	Adobe PDF file	1377141	40375638	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375638&FileExtension=.PDF&FileName=Aircraft%20Performance%2013%20-%20Study-Master.PDF	ntsb_docket_53_aircraft_performance_study.pdf	2012-08-21 07:38	2012-08-21 07:38	d4e17e7fd5260effd2d1f685bfe12206	
54	FAA Response to Recommendation	2	0	Adobe PDF file	329319	40375786	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375786&FileExtension=.PDF&FileName=FAA%20Response%20to%20Recommendation%20-Redacted.PDF	ntsb_docket_54_faa_response_to_recs.pdf	2012-06-28 14:00	2012-08-23 09:25	40f5bed87438b3387ceab5a2430f8a3b	
55	NTSB Response to FAA ref Recommendation Action 72512	2	0	Adobe PDF file	219883	40375787	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375787&FileExtension=.PDF&FileName=NTSB%20Response%20to%20FAA%20ref%20Recommendation%20Action%2072512-Redacted.PDF	ntsb_docket_55_ntsb_response_to_faa_072512.pdf	2012-07-25 16:19	2012-08-23 09:28	c6241988145faf30e913545abbb0bf04	
56	NAG Response to Recommendations 82212 11M454	6	0	Adobe PDF file	213314	40375788	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375788&FileExtension=.PDF&FileName=NAG%20Response%20to%20Recommendations%2082212%2011M454-Redacted.PDF	ntsb_docket_56_nag_response_to_recs_082212.pdf	2012-08-22 16:14	2012-08-23 09:39	f574537efe622428b14a88e797bacc3e	
57	RARA Response to Recommendations 72912	5	0	Adobe PDF file	983730	40375789	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40375789&FileExtension=.PDF&FileName=RARA%20Response%20to%20Recommendations%2072912-Redacted.PDF	ntsb_docket_57_rara_response_to_recs_072912.pdf	2012-07-24 16:42	2012-08-23 09:42	60181fbbd60304f33675c7cc5fcc0d28	title says 72912 but content = RARA letters dated July 9 and July 12, 2012
58	Accident Brief - Reno, NV	52	0	Adobe PDF file	3327282	40376980	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40376980&FileExtension=.PDF&FileName=Accident%20Brief%20-%20Reno,%20NV-Master.PDF					Accident Brief (docket copy, 3327282 B) differs in size from separately obtained AAB1201.pdf (2434266 B); not downloaded per instruction
59	Airworthiness Factual Report - Addendum 3	20	0	Adobe PDF file	282240	40378437	https://data.ntsb.gov/Docket/Document/docBLOB?ID=40378437&FileExtension=.PDF&FileName=Airworthiness%20Factual%20Report%20-%20Addendum%203-Master.PDF	ntsb_docket_59_airworthiness_add3.pdf	2012-10-04 12:20	2012-10-04 12:20	ac3e349b91a0bb354cf28b40f663cfd6	
