id	verdict	ground	w	h	date	author	license	title	scene	commons_page
#047	△	A+D'	277	800	1961	unknown & US Army	Public domain	Vajont Dam before after from Longarone.jpg	前後の合成（上＝#002・下＝#076＝特徴点で一致）・小さい	https://commons.wikimedia.org/wiki/File:Vajont_Dam_before_after_from_Longarone.jpg
#048	△	A+D'	800	278	between 1961 and 1963 da	unknown & US Army	Public domain	Vajont Dam before after.jpg	前後の合成（左＝#084/#088・右＝#023＝特徴点で一致）・小さい	https://commons.wikimedia.org/wiki/File:Vajont_Dam_before_after.jpg
#050	◎	D'	433	291	1960-11-04	Leopold Muller (?)	Public domain	Frana Monte Toc 1960 1.jpg	草地を横切る長い亀裂と人（1960・433px・作者は「Leopold Muller (?)」）	https://commons.wikimedia.org/wiki/File:Frana_Monte_Toc_1960_1.jpg
#051	△	D'	360	237	1960-11-04	Unknown author Unknown author	Public domain	Frana Monte Toc 1960 2.jpg	1960年の崩落の跡（360px・ぼやける）・説明「80万m³・波 最大10m」（博物館の資料）	https://commons.wikimedia.org/wiki/File:Frana_Monte_Toc_1960_2.jpg
#073	△	BY-SA	1499	1934	2011-12-29	Enel	CC BY-SA 4.0	1956. Ponte SACAIM. Avanzamento lavori.jpg	1956年のアーチ橋の工事（BY-SA・透かし「archivio Aime Simone」が焼き込み）	https://commons.wikimedia.org/wiki/File:1956._Ponte_SACAIM._Avanzamento_lavori.jpg
#074	△	BY-SA	1077	770	2025-02-04	Simone Aime	CC BY-SA 4.0	1957. Diga del Vajont. Stazione mobile del Blondin per la stesura del calcestruzzo.jpg	1957年のケーブルクレーンの小屋と人（BY-SA・透かし）	https://commons.wikimedia.org/wiki/File:1957._Diga_del_Vajont._Stazione_mobile_del_Blondin_per_la_stesura_del_calcestruzzo.jpg
#075	△	BY-SA	1077	746	1954-02-12	Simone Aime	CC BY-SA 4.0	1958. Vista del ponte tubo.jpg	1958年の管の橋（BY-SA・透かし）	https://commons.wikimedia.org/wiki/File:1958._Vista_del_ponte_tubo.jpg
#076	○	D'	546	800	1961	Unknown author Unknown author	Public domain	Cartolina Diga del Vajont.jpg	1961年の絵はがき：下流から見たダムとアーチ橋（「altezza m. 280」と刷られている）	https://commons.wikimedia.org/wiki/File:Cartolina_Diga_del_Vajont.jpg
#077	○	D	2000	1374	1963-02-15	Pdighe	Public domain	Centrale Colomber.jpg	コロンベル発電所の中（写真に「15-2-1963」の書き込み）	https://commons.wikimedia.org/wiki/File:Centrale_Colomber.jpg
#078	◎	D	2774	1973	before 1963 date QS:P,+1	VENET01	Public domain	Diga con cabina comandi.jpg	完成間近のダムの天端と操作室（2774px）＝10月9日の夜の場所	https://commons.wikimedia.org/wiki/File:Diga_con_cabina_comandi.jpg
#079	○	D	800	552	1960	Unknown author Unknown author	Public domain	Diga del Vajont 1960.jpg	絵はがき「Erto m.775 Lago del Vajont」：湖とエルト村（1960）	https://commons.wikimedia.org/wiki/File:Diga_del_Vajont_1960.jpg
#080	△	BY-SA	1058	1482	1960-06-08	Torno S.p.A.	CC BY-SA 4.0	Diga del Vajont vista da valle (1960).jpg	1960年の下流から見たダム（BY-SA・Torno・下に透かし）	https://commons.wikimedia.org/wiki/File:Diga_del_Vajont_vista_da_valle_(1960).jpg
#081	△	BY-SA	1079	746	1960-02-05	Simone Aime	CC BY-SA 4.0	Diga del Vajont. Inverno 1960.jpg	1960年冬のダムの天端と操作室（カラー・BY-SA・透かし）	https://commons.wikimedia.org/wiki/File:Diga_del_Vajont._Inverno_1960.jpg
#082	○	D	849	579	1963	Unknown photographer	Public domain	Diga Vajont colori (bromocolor).jpg	カラーの絵はがき：左岸の道・赤いバス・ダム・奥にトックの斜面（1963?）	https://commons.wikimedia.org/wiki/File:Diga_Vajont_colori_(bromocolor).jpg
#083	◎	D'	1252	938	1960	Unknown photographer	Public domain	Frana 4-11-1960.jpg	1960年11月4日の崩落：ダムの上から湖と左岸の崩れた跡（1252px）	https://commons.wikimedia.org/wiki/File:Frana_4-11-1960.jpg
#084	◎	D	1600	1026	1963-09	Unknown photographer	Public domain	Invaso Vajont estate 1963.jpg	ダムの天端と満水に近い湖・トックの斜面（1600px）🔴 #088＝1960年の絵はがきと同じ写真（特徴点652一致）＝撮影年が割れる＝「1963年夏」と書かない	https://commons.wikimedia.org/wiki/File:Invaso_Vajont_estate_1963.jpg
#086	✕	D'	400	274	1960	Unknown photographer	Public domain	Torta del Vajont (1960).jpg	SADE の文字のケーキと職人3人＝私人の顔	https://commons.wikimedia.org/wiki/File:Torta_del_Vajont_(1960).jpg
#087	○	D'	496	700	1956	Unknown author Unknown author	Public domain	Vajont 1956.jpg	1956年の峡谷（496px）	https://commons.wikimedia.org/wiki/File:Vajont_1956.jpg
#088	○	D'	800	549	1960	Unknown author Unknown author	Public domain	Vajont Dam 1960 panorama.jpg	#084 と同じ写真（800px）＝#084 を使う	https://commons.wikimedia.org/wiki/File:Vajont_Dam_1960_panorama.jpg
#089	○	D'	800	559	1960	Unknown photographer	Public domain	Vajont Diga 1960.jpg	ダムの天端の道と湖・左岸の建物（1960）	https://commons.wikimedia.org/wiki/File:Vajont_Diga_1960.jpg
#090	○	D'	640	750	1960	Unknown author Unknown author	Public domain	Valle del Vajont 1960.jpg	1960年の空撮：湖とダム＝#034 と前後で対	https://commons.wikimedia.org/wiki/File:Valle_del_Vajont_1960.jpg
#091	◎	D	1709	1128	before 1959 date QS:P,+1	Unknown photographer	Public domain	Vista della gola del Vajont prima della costruzione della diga.jpg	建設前のロンガローネと峡谷の出口（1709px・絵はがき・1959年より前）	https://commons.wikimedia.org/wiki/File:Vista_della_gola_del_Vajont_prima_della_costruzione_della_diga.jpg
#092	△	D'	951	755	1953-07-23	Unknown photographer	Public domain	Vittorio Cini, Carlo Semenza, Mario Mainardis e Antonio Rossi.jpg	1953年の SADE の幹部4人（Cini・C. Semenza ほか・顔がはっきり）＝④で判断	https://commons.wikimedia.org/wiki/File:Vittorio_Cini,_Carlo_Semenza,_Mario_Mainardis_e_Antonio_Rossi.jpg
#100	○	E	1600	845	2011-05-28	Unknown author Unknown author	Public domain	Mappa Vajont IGM 1934.jpg	IGM 1934年の地形図（1600px）	https://commons.wikimedia.org/wiki/File:Mappa_Vajont_IGM_1934.jpg
#108	○	D'	593	443	1968-11-27	Unknown photographer	Public domain	Primo processo sul Vajont (1968).jpg	1968年11月のラクイラの法廷（人は後ろ姿が多い）	https://commons.wikimedia.org/wiki/File:Primo_processo_sul_Vajont_(1968).jpg
#109	◎	D'	1920	1080	between 1961 and 1963 da	Unknown photographer	Public domain	Simulazione frana Vajont.jpg	ノーヴェの水理模型（1920px・出どころ＝Augusto Ghetti）	https://commons.wikimedia.org/wiki/File:Simulazione_frana_Vajont.jpg
#110	△	A	3871	5806	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062151).jpg	2023年の60周年の式典（米陸軍・人が主役）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062151).jpg
#111	△	A	6185	4123	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062152).jpg	2023年の60周年の式典の壇上（首長・人が主役）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062152).jpg
#112	△	A	6056	4037	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062153).jpg	2023年の式典の群衆（私人の顔は小さい）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062153).jpg
#113	△	A	5826	3884	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062176).jpg	2023年の式典の行進（米陸軍）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062176).jpg
#114	△	A	4344	6516	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062916).jpg	2023年の式典（米陸軍と地元の人）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062916).jpg
#115	○	A	3706	2471	Taken on 8 October 2023	U.S. Army photo by Sgt. Bobbi-Jo McGinle	Public domain	SETAF-AF remembers Vajont Dam (8062917).jpg	「Viale Soccorritori del Vajont」（ヴァイオントの救助者の通り）の標識（米陸軍 2023）	https://commons.wikimedia.org/wiki/File:SETAF-AF_remembers_Vajont_Dam_(8062917).jpg
#116	○	B	1712	1299	27 February 2008 (origin	Tor91 at it.wikipedia - Riccardo Sartor	Public domain	Diga Vajont.jpg	下流から見た現在のダム	https://commons.wikimedia.org/wiki/File:Diga_Vajont.jpg
#117	○	BY	1920	2560	Taken on 6 April 2003	Stefano Petri	CC BY 3.0	Diga del Vajont - panoramio.jpg	真下から見た現在のダム（縦）	https://commons.wikimedia.org/wiki/File:Diga_del_Vajont_-_panoramio.jpg
#118	◎	BY	2560	1920	Taken on 6 April 2003	Stefano Petri	CC BY 3.0	Diga del Vajont da Longarone - panoramio.jpg	ロンガローネから峡谷の出口ごしに見える現在のダム	https://commons.wikimedia.org/wiki/File:Diga_del_Vajont_da_Longarone_-_panoramio.jpg
#119	◎	B	1625	2229	2012-09-25 06:20:09	Foto di Emanuele Paolini.	Public domain	La diga del Vajont vista da Longarone 18-8-2005.jpg	ロンガローネの家並みの上に見えるダム（縦）	https://commons.wikimedia.org/wiki/File:La_diga_del_Vajont_vista_da_Longarone_18-8-2005.jpg
#120	◎	BY	2048	1367	27 August 2016, 18:13:45	Davide Cavalli	CC BY 3.0	Monte Toc (190845863).jpeg	トック山の崩れた跡（現在）	https://commons.wikimedia.org/wiki/File:Monte_Toc_(190845863).jpeg
#121	◎	BY	1600	1200	2005-07-23	Christian Thiergan	CC BY 2.5	Bergsturz Monte Toc Vajont.jpg	トック山のすべり面の近景（現在）	https://commons.wikimedia.org/wiki/File:Bergsturz_Monte_Toc_Vajont.jpg
#122	◎	BY	2560	1920	2015-05-24 17:08:24	Gianmarco139	CC BY 4.0	Vale dal Vajont.jpg	残った湖と崩れた山（現在）	https://commons.wikimedia.org/wiki/File:Vale_dal_Vajont.jpg
